DateTime,AddedIPs,RemovedIPs
1591453516,608,0
1591475160,569,0
1591496724,499,0
1591518339,641,0
1591539989,390,0
1591561492,28,0
1591583170,429,0
1591588524,209,0
1591610082,670,0
1591631801,575,0
1591653354,17,0
1591673203,538,0
1591694789,441,0
1591716383,733,0
1591737917,610,0
1591759728,644,0
1591781261,609,0
1591802786,539,0
1591824419,524,0
1591846042,518,0
1591867574,669,0
1591889292,460,0
1591910723,503,0
1591930563,80,0
1591952176,165,0
1591973791,719,0
1591995480,271,0
1592015924,325,0
1592037816,1006,0
1592059212,355,0
1592080097,323,0
1592099613,587,0
1592117759,405,0
1592139357,549,0
1592160979,459,0
1592182671,423,0
1592204142,436,0
1592225752,163,0
1592245729,242,0
1592267198,334,0
1592288809,2,0
1592310390,604,0
1592330197,358,0
1592351834,397,0
1592373399,155,0
1592394918,496,1
1592416637,438,0
1592438288,407,0
1592459823,317,0
1592481342,434,0
1592502932,430,0
1592524605,71,0
1592546103,274,0
1592567765,403,0
1592589475,415,0
1592611074,370,0
1592632675,373,0
1592654185,479,0
1592675739,329,0
1592697426,419,0
1592719010,162,0
1592740535,509,0
1592762198,394,0
1592783887,328,0
1592805401,1642,0
1592827030,856,0
1592848633,617,0
1592870384,173,0
1592891865,415,0
1592913451,962,0
1592935040,679,0
1592956761,550,0
1592978303,428,0
1592999824,496,0
1593021372,398,0
1593043194,385,0
1593063211,322,0
1593084571,536,0
1593106080,436,0
1593143855,357,0
1593165514,289,0
1593187066,491,0
1593208746,403,2
1593230307,478,0
1593251876,506,0
1593273461,545,0
1593295017,477,0
1593338276,573,0
1593359874,349,0
1593381440,416,0
1593403059,196,0
1593424589,498,0
1593446327,260,0
1593467859,243,0
1593489530,460,0
1593511117,630,0
1593532748,508,0
1593554279,533,0
1593575816,468,0
1593597403,557,0
1593619039,478,0
1593640690,432,0
1593662269,413,0
1593683902,560,0
1593705473,101,0
1593727075,640,0
1593762256,15,0
1593783328,3,0
1594067258,0,17
1597260870,0,1
1602776585,9063,268807
1602796274,1448,0
1602816092,1759,0
1602837650,1269,0
1602857419,1311,0
1602875071,1235,0
1602894888,1226,0
1602914471,318,0
1602932813,683,0
1602953913,1174,0
1602975603,892,0
1602996777,778,0
1603017676,826,0
1603038016,654,0
1603057733,639,0
1603077471,296,0
1603116948,718,0
1603138497,608,0
1603160148,509,0
1603179931,500,0
1603201500,596,0
1603223122,567,0
1603244717,577,0
1603266310,504,0
1603286107,533,0
1603305883,279,0
1603314916,338,0
1603334722,657,0
1603354484,668,0
1603374267,111,0
1603385108,415,0
1603405831,537,0
1603424685,269,0
1603446333,766,0
1603467885,564,0
1603489506,428,0
1603500371,152,0
1603516509,361,0
1603538118,609,0
1603557864,73,0
1603565091,366,0
1603586691,409,0
1603608269,459,0
1603628107,506,0
1603635304,36,0
1603655097,434,0
1603676677,475,0
1603698319,491,0
1603719903,571,0
1603741512,14,0
1603763124,434,0
1603766719,41,0
1603788311,848,0
1603800948,164,0
1603817128,440,0
1603838730,559,0
1603884816,576,0
1603890906,5,0
1603910755,1055,0
1603930738,95,0
1603939543,468,0
1603961153,561,0
1603982764,497,0
1604002564,402,0
1604022358,9,0
1604024137,34,0
1604045685,667,0
1604058500,300,0
1604076361,563,0
1604097909,444,0
1604117720,277,0
1604137489,487,0
1604148326,249,0
1604166294,432,0
1604187354,442,0
1604207701,336,0
1604234705,455,0
1604256320,394,0
1604275549,192,0
1604281523,195,0
1604303138,437,0
1604324744,352,0
1604344541,35,0
1604349948,331,0
1604371539,26,0
1604391352,484,0
1604398580,67,0
1604420132,431,0
1604438179,647,0
1604459822,192,0
1604461535,151,0
1604484932,608,119
1604506563,402,0
1604528148,95,0
1604540780,288,0
1604553368,400,0
1604569579,0,1816
1604577541,526,0
1604619740,523,0
1604627213,386,0
1604646997,454,0
1604655984,0,1772
1604668574,400,0
1604690206,51,0
1604711773,352,0
1604715390,27,0
1604736964,495,0
1604742420,71,2018
1604760382,430,0
1604799983,398,1
1604807176,148,0
1604830562,548,1789
1604852146,364,0
1604873747,60,0
1604886367,307,0
1604898951,310,0
1604915156,0,1714
1604922593,452,0
1604965067,396,0
1604972815,299,0
1604994508,351,0
1605014177,325,1999
1605035802,34,0
1605037644,171,0
1605064352,25,0
1605084384,644,0
1605105964,429,1835
1605127580,91,0
1605145593,268,0
1605152787,159,0
1605174353,73,0
1605185594,571,1886
1605206953,450,0
1605228279,185,0
1605233534,422,0
1605253565,405,0
1605271585,226,2387
1605291409,427,6
1605300359,403,0
1605321984,57,0
1605325608,83,0
1605345418,461,0
1605358003,108,1602
1605368755,456,0
1605404778,344,0
1605415590,219,0
1605437150,377,0
1605444374,87,1286
1605460578,314,0
1605491194,294,0
1605509190,282,0
1605545184,369,1878
1605556032,766,0
1605575750,87,0
1605577570,298,0
1605617274,449,1896
1605624444,300,0
1605646013,327,0
1605671167,129,0
1605690981,407,0
1605703618,148,1551
1605719774,404,2
1605737769,315,0
1605759374,75,0
1605761164,132,0
1605789977,454,1608
1605807954,297,0
1605829026,212,0
1605836835,136,0
1605854859,358,0
1605878193,415,1829
1605899854,309,0
1605921391,14,0
1605923210,281,0
1605962811,364,1736
1605969967,322,0
1606009576,323,0
1606015032,217,0
1606036585,305,0
1606049220,224,1245
1606061782,321,0
1606083378,344,0
1606096038,4,0
1606106765,330,0
1606135810,438,1540
1606153575,314,0
1606174766,196,0
1606184227,183,0
1606200719,312,0
1606222114,121,1509
1606223958,236,0
1606245514,215,0
1606247394,82,0
1606270794,38,0
1606292352,486,1
1606312172,0,1866
1606416328,0,1390
1606497330,0,1509
1606580159,0,1384
1606664731,0,1431
1606747583,0,1585
1606819526,0,1540
1606842920,0,1
1606904127,0,1656
1606990552,0,1481
1607076902,0,1647
1607098503,0,6
1607163298,0,1858
1607249676,0,2052
1607336075,0,1545
1607422477,0,1687
1607449540,0,2
1607508951,0,2170
1607595267,0,1662
1607681666,0,1396
1607768075,0,2079
1607856222,0,2265
1607940853,0,2723
1608027281,0,19894
1608059699,307,0
1608144194,75,0
1608169567,1,0
1608234174,91,0
1608320529,68,0
1608342112,13,0
1608349297,1,0
1608410444,74,0
1608496843,76,0
1608585061,90,0
1608687670,67,0
1608759657,52,0
1608846059,55,0
1608860465,16,0
1608934263,51,0
1609033264,54,0
1609119662,57,0
1609206178,66,0
1609218674,26,0
1609240385,9,0
1609242099,5,0
1609263673,16,0
1609306868,19,0
1609310476,7,0
1609330280,11,0
1609351883,12,0
1609373493,7,0
1609396879,23,0
1609440076,27,0
1609461685,23,0
1609465283,1,0
1609485081,15,0
1609506684,15,0
1609528282,11,0
1609549885,3,0
1609551685,6,0
1609573285,16,0
1609594887,12,0
1609638076,17,0
1609639889,12,0
1609661487,13,0
1609683086,12,0
1609704687,7,0
1609706481,15,0
1609749693,25,0
1609773094,16,0
1609794685,14,0
1609816307,1,0
1609837892,26,0
