DateTime,Entries,UniqueIPs
1567692008,2003,2003
1567778407,2382,2382
1567864807,2721,2721
1567951207,3031,3031
1568037607,3336,3336
1568124019,3630,3630
1568210406,3897,3897
1568340006,4330,4330
1568426414,477,477
1568512813,922,922
1568599209,1328,1328
1568685606,1756,1756
1568772013,2150,2150
1568858410,2543,2543
1568944810,2939,2939
1569031207,3267,3267
1569117607,3541,3541
1569204007,3791,3791
1569290409,4077,4077
1569376807,4342,4342
1569463210,4610,4610
1569549609,4854,4854
1569636009,5058,5058
1569722406,128,128
1569808806,462,462
1569895207,887,887
1569981610,1295,1295
1570068006,1679,1679
1570154406,2000,2000
1570240807,2371,2371
1570327209,2722,2722
1570413614,3005,3005
1570500014,3295,3295
1570586407,3668,3668
1570672810,4030,4030
1570759213,4345,4345
1570845606,4658,4658
1570932006,4980,4980
1571018406,5026,5026
1571104806,5283,5283
1571191206,5587,5587
1571277613,5950,5950
1571364006,6270,6270
1571450407,6547,6547
1571536809,6835,6835
1571623213,7105,7105
1571709609,7389,7389
1571796006,732,732
1571882413,1126,1126
1571968808,1484,1484
1572055206,1840,1840
1572141614,2150,2150
1572228007,2429,2429
1572314407,2750,2750
1572400813,2829,2829
1572487208,3138,3138
1572573611,3461,3461
1572660007,3745,3745
1572746407,3997,3997
1572832807,4266,4266
1572919207,4555,4555
1573005606,4878,4878
1573092013,418,418
1573178409,877,877
1573264809,1300,1300
1573351209,1644,1644
1573437609,1972,1972
1573524007,2348,2348
1573610410,2693,2693
1573696814,3038,3038
1573783211,3346,3346
1573869613,3527,3527
1573956011,3821,3821
1574042409,4050,4050
1574128814,4342,4342
1574215210,187,187
1574301606,637,637
1574388010,1055,1055
1574474413,1411,1411
1574560813,1756,1756
1574647207,2063,2063
1574733607,2431,2431
1574820007,2798,2798
1574906413,3218,3218
1574992806,3557,3557
1575079205,3922,3922
1575165613,4230,4230
1575252009,4507,4507
1575338410,4859,4859
1575424806,5234,5234
1575511209,5577,5577
1575597614,5927,5927
1575684006,6265,6265
1575770406,6559,6559
1575856808,6821,6821
1575943208,7146,7146
1576029607,445,445
1576116007,883,883
1576202407,1313,1313
1576288814,1704,1704
1576375207,2043,2043
1576461606,2340,2340
1576522804,2610,2610
1576781804,485,485
1576868228,951,951
1576954651,1367,1367
1577041074,1799,1799
1577127498,2266,2266
1577213923,2680,2680
1577300348,3058,3058
1577386772,3455,3455
1577473195,3885,3885
1577559318,4247,4247
1577627736,4474,4474
1578760251,1274,1274
1578846674,1666,1666
1578933097,2103,2103
1579019520,2561,2561
1579105944,2944,2944
1579192368,3338,3338
1579278791,3681,3681
1579365214,3963,3963
1579451637,4230,4230
1579538058,4519,4519
1579624481,4827,4827
1579710604,5101,5101
1579797026,5405,5405
1579883448,5687,5687
1579969871,5991,5991
1580056294,6241,6241
1580142717,6500,6500
1580229139,6763,6763
1580315561,7033,7033
1580401984,7313,7313
1580488407,7617,7617
1580574830,7882,7882
1580661253,8112,8112
1580747675,8402,8402
1580834097,8661,8661
1580920219,8948,8948
1581006642,9219,9219
1581093065,9425,9425
1581179488,9604,9604
1581265911,493,493
1581352334,811,811
1581438758,1141,1141
1581525181,1447,1447
1581611604,1739,1739
1581698027,2055,2055
1581784450,2315,2315
1581870872,2612,2612
1581957293,3008,3008
1582043416,3370,3370
1582129838,3750,3750
1582216261,4115,4115
1582302683,4438,4438
1582389106,4722,4722
1582475530,5012,5012
1582561952,5345,5345
1582648374,5652,5652
1582734797,497,497
1582821220,942,942
1582907642,1378,1378
1582994064,1766,1766
1583080486,2125,2125
1583166607,2462,2462
1583253031,2896,2896
1583339456,3254,3254
1583425879,3611,3611
1583512303,3967,3967
1583598727,4291,4291
1583685150,4576,4576
1583771574,4864,4864
1583857997,5208,5208
1583944421,5568,5568
1584030845,652,652
1584117269,1132,1132
1584203692,1528,1528
1584289816,1898,1898
1584376239,2244,2244
1584462661,2604,2604
1584549084,2928,2928
1584635508,3199,3199
1584721931,3504,3504
1584808355,3765,3765
1584894778,4013,4013
1584981202,4273,4273
1585067625,4594,4594
1585154048,4695,4695
1585240471,4921,4921
1585326896,5209,5209
1585413019,5431,5431
1585499442,5626,5626
1585585865,5873,5873
1585672288,6121,6121
1585758711,6363,6363
1585845136,6610,6610
1585931560,6858,6858
1586017984,7101,7101
1586104408,7326,7326
1586190830,7579,7579
1586277253,7911,7911
1586363676,8194,8194
1586450099,8495,8495
1586536222,8734,8734
1586622646,8953,8953
1586709071,80,80
1586795492,655,655
1586881916,1153,1153
1586968340,1549,1549
1587054764,1904,1904
1587141187,2331,2331
1587227610,2682,2682
1587314032,3032,3032
1587400454,3432,3432
1587486877,3842,3842
1587573300,4247,4247
1587659423,4538,4538
1587745844,4923,4923
1587832266,5295,5295
1587918688,5653,5653
1588005110,6046,6046
1588091532,540,540
1588177954,1048,1048
1588264376,1580,1580
1588350799,2084,2084
1588437219,2475,2475
1588523642,2847,2847
1588610064,3217,3217
1588696485,3741,3741
1588782606,4173,4173
1588869028,4658,4658
1588955450,5140,5140
1589041871,5550,5550
1589128294,6022,6022
1589214716,6432,6432
1589301139,6858,6858
1589387563,7286,7286
1589473987,7679,7679
1589560410,8077,8077
1589646833,8441,8441
1589733257,8799,8799
1589819679,338,338
1589905801,860,860
1589992224,1372,1372
1590078646,1866,1866
1590165070,2270,2270
1590251493,2670,2670
1590337915,2996,2996
1590424338,81,81
1590510761,618,618
1590597184,1181,1181
1590683605,1727,1727
1590770029,2248,2248
1590856453,2746,2746
1590942876,3131,3131
1591029299,3624,3624
1591115423,4172,4172
1591201845,4629,4629
1591288268,5138,5138
1591374690,5728,5728
1591461113,6212,6212
1591547537,6659,6659
1591633961,7112,7112
1591720384,677,677
1591806808,1128,1128
1591893231,1733,1733
1591979654,2132,2132
1592066077,2681,2681
1592152500,3166,3166
1592238623,3757,3757
1592325045,4312,4312
1592411467,4827,4827
1592497890,5315,5315
1592584245,5829,5829
1592670667,6306,6306
1592757088,308,308
1592843510,941,941
1592929933,1582,1582
1593016355,2207,2207
1593102777,2880,2880
1593189199,3433,3433
1593275622,3914,3914
1593362044,4359,4359
1593448466,4895,4895
1593534889,5525,5525
1593621011,6080,6080
1593707432,6320,6320
1593793853,6837,6837
1593880274,190,190
1593966697,711,711
1594053119,1216,1216
1594139541,1751,1751
1594225892,2236,2236
1594312313,2685,2685
1594398736,3143,3143
1594485158,3544,3544
1594571580,3933,3933
1594658002,4384,4384
1594744424,4842,4842
1594830846,5309,5309
1594917269,5726,5726
1595003691,6214,6214
1595089813,742,742
1595176235,1167,1167
1595262657,1748,1748
1595349079,2650,2650
1595435501,3119,3119
1595521924,3567,3567
1595608345,3997,3997
1595694767,4399,4399
