DateTime,AddedIPs,RemovedIPs
1611077323,131,89
1611078042,82,103
1611079485,92,113
1611080202,113,92
1611080922,103,82
1611081642,172,138
1611085266,79,57
1611085964,57,79
1611086686,62,97
1611087399,121,63
1611088124,77,100
1611089563,135,140
1611090291,50,150
1611091726,150,50
1611092438,50,150
1611093160,150,50
1611094601,47,57
1611095322,57,47
1611096039,47,57
1611096790,135,181
1611100639,55,68
1611101320,68,55
1611102039,55,68
1611104199,185,179
1611106363,83,75
1611107082,75,83
1611107798,83,75
1611108521,75,83
1611109238,83,75
1611109968,75,83
1611111433,146,169
1611117887,185,117
1611125050,96,82
1611126746,37,51
1611127448,51,37
1611129621,60,94
1611130325,94,60
1611131050,60,94
1611132489,76,72
1611133220,72,76
1611134651,85,182
1611137053,188,130
1611138490,130,188
1611139210,188,130
1611143527,140,90
1611144979,87,207
1611145692,207,87
1611147134,87,207
1611149289,216,74
1611151461,74,216
1611152168,250,122
1611153606,101,87
1611154359,87,101
1611155053,101,87
1611155774,87,101
1611157238,97,87
1611159367,67,99
1611160089,119,129
1611161089,140,98
1611162054,98,140
1611162764,145,81
1611163488,81,145
1611165653,145,81
1611166372,81,145
1611167085,145,81
1611168523,110,95
1611169498,95,110
1611170206,40,146
1611170963,202,81
1611173805,62,119
1611175962,135,115
1611176723,115,135
1611177406,115,89
1611178138,89,95
1611179807,121,114
1611180545,95,133
1611181242,119,88
1611182684,88,119
1611184124,161,165
1611185570,71,46
1611186311,46,71
1611187002,71,46
1611187724,46,71
1611189200,71,46
1611189886,46,71
1611190604,100,85
1611191313,48,50
1611192249,50,48
1611192966,48,50
1611195144,50,48
1611195848,48,50
1611196567,50,48
1611197290,137,119
1611199452,37,88
1611200169,88,37
1611200919,37,88
1611203768,88,37
1611205223,37,88
1611205929,172,160
1611206697,80,104
1611209530,104,80
1611210972,80,104
1611211687,104,80
1611212465,139,135
1611213127,66,42
1611213862,42,66
1611214567,66,42
1611216967,42,66
1611217692,66,42
1611220567,113,91
1611221295,38,297
1611222008,297,38
1611223453,38,297
1611227772,331,133
1611228495,86,78
1611229207,78,86
1611229991,86,78
1611232094,78,86
1611232810,86,78
1611234254,162,135
1611234966,98,72
1611236408,72,98
1611237861,98,72
1611239533,102,192
1611240250,192,102
1611242406,102,192
1611243139,172,120
1611244625,114,47
1611245291,81,200
1611246008,172,120
1611246734,139,83
1611247458,88,142
1611248170,164,166
1611248890,166,164
1611250364,126,100
1611251049,105,59
1611252733,81,153
1611253448,188,79
1611254206,43,80
1611254887,108,65
1611255625,36,60
1611256326,96,115
1611257048,134,150
1611257769,112,78
1611258490,78,112
1611259216,125,66
1611259958,66,125
1611260652,112,77
1611261367,126,122
1611263533,101,106
1611264970,126,185
1611265688,128,81
1611266418,81,128
1611267126,128,81
1611267848,81,128
1611268585,128,81
1611269290,81,128
1611270569,128,81
1611271236,117,217
1611272677,165,58
1611273398,58,165
1611274120,165,58
1611274837,58,165
1611276279,165,58
1611278436,92,172
1611279173,172,92
1611280598,92,172
1611282044,98,98
1611282759,98,98
1611283481,98,98
1611287079,162,130
1611287811,83,94
1611289237,94,83
1611290203,83,94
1611293798,101,94
1611294519,94,101
1611295249,121,142
1611297431,92,64
1611298852,64,92
1611300284,108,312
1611301011,312,108
1611301724,108,312
1611302435,202,254
1611306759,254,202
1611307482,364,87
1611308200,72,401
1611309651,400,146
1611310362,136,61
1611314697,104,165
1611315400,122,136
1611316117,136,122
1611316847,122,136
1611317559,136,122
1611318281,110,109
1611319244,109,110
1611319957,110,109
1611321398,122,104
1611322121,104,122
1611322841,122,104
1611324296,104,122
1611324999,122,104
1611325720,79,94
1611326458,94,79
1611328601,146,117
1611330756,86,88
1611332220,104,122
1611332920,87,67
1611335809,67,87
1611337243,143,103
1611337965,82,84
1611338690,84,82
1611340126,82,84
1611340843,84,128
1611341564,158,112
1611343119,141,145
1611344443,113,111
1611345163,111,113
1611346159,68,110
1611347054,171,94
1611347777,82,117
1611348486,88,91
1611349219,91,88
1611350654,167,133
1611351370,112,149
1611352334,149,112
1611358091,124,153
1611364811,132,132
1611365526,48,65
1611366271,65,48
1611366965,48,65
1611367691,65,48
1611368407,48,65
1611372276,154,142
1611373925,41,70
1611374667,70,41
1611375365,41,70
1611376127,70,41
1611376806,41,70
1611378287,70,41
1611379252,41,70
1611380923,127,250
1611384523,133,245
1611385254,245,133
1611386685,133,245
1611388161,320,79
1611389561,70,80
1611391004,80,70
1611391722,70,80
1611392453,80,70
1611393161,70,80
1611393923,98,60
1611396058,52,64
1611396761,64,52
1611397485,52,64
1611399667,64,52
1611401086,52,64
1611401804,103,61
1611403250,61,103
1611403962,121,88
1611404686,65,56
1611406122,56,65
1611406871,65,56
1611407562,56,65
1611408344,113,133
1611409729,133,113
1611410452,113,133
1611411191,96,94
1611411888,94,96
1611413320,96,94
1611414060,94,96
1611415486,143,89
1611416203,80,132
1611417892,132,80
1611420764,58,62
1611421488,126,188
1611422199,154,81
1611422935,93,113
1611423641,113,93
1611424358,93,113
1611425084,73,126
1611425803,126,73
1611426527,102,95
1611427239,63,36
1611427958,55,89
1611428704,89,147
1611429397,114,22
1611430126,76,76
1611430838,69,161
1611432285,185,91
1611433240,60,87
1611434704,50,25
1611435404,79,93
1611438250,62,46
1611438966,90,100
1611439933,77,83
1611441372,83,77
1611444971,68,100
1611445689,61,114
1611447849,114,61
1611448572,61,114
1611450046,126,126
1611450728,126,126
1611452166,137,143
1611453680,84,78
1611454327,78,84
1611455787,84,78
1611457217,128,346
1611457927,319,107
1611458650,107,319
1611460817,123,350
1611461546,350,123
1611462254,123,350
1611464421,551,77
1611465128,77,551
1611465850,551,77
1611466567,40,82
1611467321,82,40
1611468028,40,82
1611468726,82,40
1611469451,40,82
1611472326,117,90
1611473769,54,37
1611476653,37,54
1611478087,54,37
1611478944,37,54
1611479770,100,191
1611481209,154,41
1611482672,41,154
1611484807,154,41
1611485527,41,154
1611486254,154,41
1611486967,107,94
1611487689,94,107
1611488494,118,200
1611489128,147,52
1611492045,52,147
1611492758,147,52
1611494200,141,106
1611495637,78,49
1611497092,41,46
1611497798,46,41
1611499237,41,46
1611500689,46,41
1611501420,99,122
1611502836,82,118
1611503561,111,36
1611504332,79,139
1611504998,107,86
1611507159,82,118
1611507887,147,69
1611508599,70,112
1611509321,82,118
1611510038,183,104
1611511485,47,56
1611514890,74,69
1611515772,45,41
1611516491,47,56
1611517262,37,40
1611517928,61,79
1611519366,127,108
1611520809,85,248
1611522255,219,53
1611522975,36,82
1611523685,82,36
1611525127,115,147
1611526566,79,63
1611527289,63,79
1611528252,79,63
1611528966,63,79
1611531848,114,126
1611532566,97,69
1611534007,69,97
1611535482,58,343
1611537605,343,58
1611539050,110,122
1611542169,50,76
1611542887,76,50
1611545069,50,76
1611545767,76,50
1611546488,50,76
1611547219,119,127
1611551525,78,72
1611552256,72,78
1611552966,78,72
1611554420,79,119
1611557319,93,116
1611560921,145,132
1611562615,132,145
1611564043,172,106
1611564758,73,126
1611566198,126,73
1611568360,112,71
1611569797,71,112
1611571237,125,134
1611571961,106,56
1611573397,56,106
1611574837,106,56
1611576288,90,133
1611577724,117,124
1611578440,151,119
1611579905,85,110
1611582040,110,85
1611582790,85,110
1611583493,137,138
1611588520,125,87
1611589240,72,119
1611589957,155,146
1611590693,114,64
1611591397,94,153
1611592128,126,133
1611593618,125,46
1611594285,69,70
1611596683,43,121
1611597414,168,139
1611598837,139,168
1611599557,168,139
1611602446,111,69
1611603162,69,111
1611603883,111,69
1611604854,100,131
1611607731,88,70
1611608447,70,88
1611612054,123,327
1611619253,319,106
1611626484,106,145
1611634361,135,139
1611641359,116,117
1611648528,103,196
1611655964,192,140
1611663161,163,112
1611670381,141,202
1611677563,225,106
1611684800,145,107
1611691249,90,364
