DateTime,Entries,UniqueIPs
1611198512,3417,3417
1611200091,3428,3428
1611203693,3399,3399
1611206401,3400,3400
1611208077,3388,3388
1611210880,3374,3374
1611212994,3368,3368
1611214479,3365,3365
1611215684,3367,3367
1611217547,3377,3377
1611219046,3380,3380
1611220877,3391,3391
1611221684,3388,3388
1611223032,3384,3384
1611224640,3385,3385
1611226244,3356,3356
1611227344,3352,3352
1611228885,3338,3338
1611232475,3324,3324
1611235091,3336,3336
1611236083,3323,3323
1611237256,3324,3324
1611238917,3329,3329
1611239685,3341,3341
1611241183,3384,3384
1611242624,3390,3390
1611243284,3353,3353
1611244687,3343,3343
1611246342,3337,3337
1611246881,3305,3305
1611250483,3274,3274
1611253547,3248,3248
1611254660,3187,3187
1611257671,3148,3148
1611261298,3163,3163
1611264352,3120,3120
1611264882,3107,3107
1611266188,3114,3114
1611267814,3120,3120
1611271190,3089,3089
1611272088,3066,3066
1611273212,3064,3064
1611274945,3068,3068
1611276586,3058,3058
1611279282,3038,3038
1611282347,3038,3038
1611285630,3007,3007
1611286489,2963,2963
1611289550,2929,2929
1611291050,2887,2887
1611293691,2832,2832
1611295010,2820,2820
1611296750,2796,2796
1611298002,2714,2714
1611300346,2679,2679
1611301730,2666,2666
1611303567,2668,2668
1611304484,2656,2656
1611305686,2662,2662
1611309047,2658,2658
1611310264,2644,2644
1611311684,2614,2614
1611313494,2598,2598
1611315285,2582,2582
1611317077,2562,2562
1611318351,2571,2571
1611319549,2563,2563
1611320818,2566,2566
1611321941,2576,2576
1611325542,2562,2562
1611326087,2544,2544
1611327609,2521,2521
1611329109,2532,2532
1611332486,2517,2517
1611333285,2507,2507
1611334486,2514,2514
1611336339,2521,2521
1611337874,2537,2537
1611339083,2534,2534
1611340879,2536,2536
1611343543,2543,2543
1611344085,2537,2537
1611345217,2532,2532
1611347696,2419,2419
1611349436,2418,2418
1611351294,2447,2447
1611354348,2494,2494
1611355846,2497,2497
1611357624,2491,2491
1611359090,2470,2470
1611361544,2469,2469
1611362087,2445,2445
1611363204,2452,2452
1611364958,2446,2446
1611365689,2433,2433
1611367446,2426,2426
1611368747,2433,2433
1611372353,2440,2440
1611373850,2434,2434
1611375033,2435,2435
1611376491,2421,2421
1611379559,2426,2426
1611381186,2426,2426
1611382969,2427,2427
1611383689,2421,2421
1611386742,2436,2436
1611388244,2434,2434
1611390882,2413,2413
1611392005,2412,2412
1611393945,2409,2409
1611395138,2401,2401
1611396378,2401,2401
1611397540,2426,2426
1611399051,2427,2427
1611401689,2430,2430
1611403598,2413,2413
1611404742,2426,2426
1611406120,2421,2421
1611408884,2394,2394
1611411949,2298,2298
1611415419,2308,2308
1611416081,2308,2308
1611417260,2314,2314
1611419144,2312,2312
1611419684,2299,2299
1611421593,2294,2294
1611422745,2305,2305
1611423285,2294,2294
1611425336,2294,2294
1611426882,2273,2273
1611429943,2274,2274
1611432248,2235,2235
1611433427,2250,2250
1611435039,2255,2255
1611437691,2227,2227
1611439424,2226,2226
1611441282,2226,2226
1611444351,2240,2240
1611445534,2291,2291
1611448486,2306,2306
1611452091,2306,2306
1611454879,2321,2321
1611456647,2331,2331
1611459296,2334,2334
1611460471,2338,2338
1611462350,2341,2341
1611462892,2330,2330
1611465957,2347,2347
1611467240,2334,2334
1611470086,2308,2308
1611472532,2282,2282
1611473685,2267,2267
1611476238,2256,2256
1611477284,2252,2252
1611478398,2250,2250
1611480346,2253,2253
1611481700,2236,2236
1611483943,2241,2241
1611487544,2244,2244
1611488929,2241,2241
1611491143,2233,2233
1611492254,2209,2209
1611494743,2219,2219
1611495285,2204,2204
1611496438,2209,2209
1611498350,2210,2210
1611499530,2207,2207
1611502480,2206,2206
1611503807,2217,2217
1611505533,2221,2221
1611506086,2206,2206
1611508588,2201,2201
1611509684,2192,2192
1611511147,2175,2175
1611512748,2187,2187
1611513972,2170,2170
1611516883,2150,2150
1611518548,2139,2139
1611520484,2119,2119
1611522397,2097,2097
1611524089,2074,2074
1611527144,2075,2075
1611531302,2055,2055
1611532678,2066,2066
1611534345,2057,2057
1611534885,2052,2052
1611538487,2049,2049
1611539643,2065,2065
1611542091,2041,2041
1611545691,2033,2033
1611547585,2020,2020
1611548755,2022,2022
1611550256,2014,2014
1611552888,2012,2012
1611554764,2004,2004
1611556481,2005,2005
1611559545,2004,2004
1611560085,1994,1994
1611561365,1996,1996
1611563097,2006,2006
1611563686,2004,2004
1611564882,2017,2017
1611566372,2021,2021
1611567288,2014,2014
1611569030,2000,2000
1611570346,2012,2012
1611571847,1996,1996
1611573330,2004,2004
1611575448,2194,2194
1611577402,2254,2254
1611578085,2259,2259
1611580158,2263,2263
1611581685,2265,2265
1611583642,2275,2275
1611585283,2302,2302
1611586734,2329,2329
1611588345,2345,2345
1611588883,2343,2343
1611590674,2348,2348
1611592483,2337,2337
1611595128,2341,2341
1611597045,2341,2341
1611598194,2335,2335
1611599684,2336,2336
1611602151,2326,2326
1611603281,2310,2310
1611604397,2320,2320
1611606890,2335,2335
1611608150,2341,2341
1611609949,2346,2346
1611611445,2334,2334
1611612747,2335,2335
1611614082,2320,2320
1611615836,2254,2254
1611617687,2248,2248
1611620028,2246,2246
1611621290,2233,2233
1611623517,2232,2232
1611625849,2227,2227
1611627285,2214,2214
1611629450,2201,2201
1611631551,2203,2203
1611633049,2204,2204
1611634565,2205,2205
1611635689,2193,2193
1611638003,2216,2216
1611639291,2213,2213
1611640385,2222,2222
1611641839,2229,2229
1611642879,2239,2239
1611644636,2260,2260
1611645944,2283,2283
1611647367,2296,2296
1611648771,2308,2308
1611650011,2317,2317
1611651877,2323,2323
1611653680,2334,2334
1611655551,2330,2330
1611657287,2332,2332
1611659453,2338,2338
1611660760,2333,2333
1611663236,2327,2327
1611664487,2326,2326
1611667541,2351,2351
1611669080,2341,2341
1611670734,2360,2360
1611671683,2363,2363
1611673646,2354,2354
1611675275,2350,2350
1611676589,2356,2356
1611677995,2366,2366
1611678884,2361,2361
1611681942,2385,2385
1611682488,2382,2382
1611683720,2393,2393
1611685253,2409,2409
1611686086,2404,2404
1611687301,2421,2421
1611689147,2430,2430
1611691642,2435,2435
1611693283,2444,2444
1611696889,2459,2459
1611699711,2502,2502
1611701026,2507,2507
1611702251,2521,2521
1611703547,2538,2538
1611704730,2541,2541
1611706653,2544,2544
1611708508,2542,2542
1611709700,2540,2540
1611712245,2538,2538
1611714273,2541,2541
1611715589,2539,2539
1611716919,2540,2540
1611718502,2540,2540
1611721065,2536,2536
1611722091,2566,2566
1611723546,2604,2604
1611725150,2631,2631
1611726479,2646,2646
1611727665,2669,2669
1611729285,2693,2693
1611731333,2728,2728
1611732882,2773,2773
1611734268,2797,2797
1611735960,2830,2830
1611737445,2833,2833
1611739046,2849,2849
1611740085,2858,2858
1611742752,2884,2884
1611744250,2824,2824
1611745731,2789,2789
1611747283,2769,2769
1611750347,2800,2800
1611751755,2795,2795
1611753943,2813,2813
1611754482,2799,2799
1611755763,2794,2794
1611757543,2785,2785
1611758085,2777,2777
1611761688,2753,2753
1611765283,2778,2778
1611767385,2791,2791
1611768887,2803,2803
1611771943,2827,2827
1611773440,2827,2827
1611774760,2823,2823
1611776086,2809,2809
1611777206,2812,2812
1611779146,2821,2821
1611779688,2813,2813
1611781904,2821,2821
1611783293,2826,2826
1611786880,2829,2829
1611789168,2839,2839
1611790523,2842,2842
1611792792,2879,2879
1611794089,2876,2876
1611797678,2841,2841
1611799849,2850,2850
1611801305,2851,2851
1611803330,2848,2848
1611804896,2851,2851
1611807948,2840,2840
1611809450,2830,2830
1611811372,2834,2834
1611813042,2824,2824
1611815680,2793,2793
1611817850,2774,2774
1611819285,2752,2752
1611821928,2767,2767
1611823052,2760,2760
1611824644,2765,2765
