DateTime,AddedIPs,RemovedIPs
1611203662,90,160
1611206376,87,107
1611208048,44,114
1611210859,66,165
1611212969,64,111
1611214457,59,96
1611215660,33,25
1611217521,44,82
1611219023,41,130
1611220849,45,69
1611221657,23,64
1611223011,58,26
1611224619,54,70
1611226220,42,137
1611227324,34,77
1611228860,46,90
1611235064,165,262
1611236059,28,100
1611237235,32,35
1611238896,39,81
1611239659,21,82
1611241153,40,83
1611242604,43,20
1611243260,27,75
1611244665,33,30
1611246319,74,72
1611246858,21,70
1611250459,113,148
1611253518,97,83
1611254622,40,132
1611257660,108,140
1611260609,96,122
1611261273,27,74
1611264322,98,97
1611264856,13,61
1611266163,37,20
1611267786,56,72
1611271161,95,193
1611272060,31,79
1611273185,37,21
1611274918,74,105
1611276560,55,107
1611279258,81,127
1611282319,118,93
1611285598,102,170
1611286461,35,79
1611288269,77,76
1611289522,40,2
1611291023,48,88
1611293660,100,161
1611294974,46,27
1611296719,85,44
1611297958,47,110
1611300322,118,122
1611301695,67,106
1611303021,40,65
1611304460,63,61
1611305664,66,23
1611307450,70,57
1611309018,60,72
1611310242,44,39
1611311660,44,66
1611313442,56,74
1611315259,60,64
1611317048,59,52
1611318320,34,0
1611319516,27,65
1611320792,37,86
1611321918,43,40
1611325519,75,139
1611326061,17,38
1611327567,39,54
1611329088,49,4
1611331200,55,92
1611332463,33,29
1611333262,26,29
1611334462,30,13
1611336317,55,40
1611337836,36,64
1611339055,31,72
1611340848,61,76
1611343519,68,144
1611344061,14,46
1611345180,49,19
1611347672,85,84
1611349389,57,55
1611351264,67,53
1611354319,113,94
1611355822,61,71
1611357594,57,53
1611359064,36,84
1611361518,74,37
1611362059,15,80
1611363174,38,21
1611364929,40,1971
1611365664,147,52
1611367406,236,50
1611368721,153,3
1611372322,345,131
1611373820,144,71
1611375001,92,47
1611376463,102,57
1611378158,100,78
1611379527,90,2
1611381165,95,88
1611382947,101,55
1611383665,42,81
1611385565,114,80
1611386719,58,7
1611388218,81,64
1611390860,122,114
1611391980,67,20
1611393921,96,61
1611395106,42,118
1611396358,55,37
1611397515,52,3
1611399030,58,71
1611401664,106,99
1611403570,57,75
1611404715,41,3
1611406095,57,71
1611408859,92,99
1611411922,111,60
1611415394,95,113
1611416059,21,67
1611417235,43,14
1611419120,47,38
1611419659,17,44
1611421565,38,52
1611422720,36,0
1611423262,17,42
1611425289,48,76
1611426858,43,46
1611429917,76,72
1611430457,19,57
1611433170,78,64
1611434432,40,69
1611437123,82,46
1611437662,17,56
1611439387,37,61
1611441259,57,53
1611444321,78,61
1611445489,32,77
1611448459,74,100
1611452063,94,140
1611454847,91,78
1611456619,42,86
1611459263,89,123
1611460442,35,26
1611462323,51,59
1611462861,17,56
1611465926,80,65
1611467215,26,81
1611470057,68,137
1611472496,73,85
1611473658,39,58
1611476182,88,96
1611477259,37,44
1611478377,29,16
1611480319,52,46
1611481680,41,64
1611483918,97,60
1611487520,117,133
1611491121,95,151
1611492233,41,75
1611494717,49,38
1611495258,5,47
1611496416,19,20
1611498320,29,36
1611499499,19,62
1611502458,56,71
1611503784,58,16
1611506061,341,81
1611508564,169,77
1611509660,87,48
1611511075,96,10
1611512720,110,74
1611513942,87,43
1611516859,234,84
1611518379,77,44
1611519918,78,31
1611520458,22,82
1611522289,81,64
1611524061,75,64
1611525774,58,61
1611527120,82,2
1611531271,184,151
1611532634,42,16
1611534320,63,29
1611534858,18,56
1611538461,139,130
1611539619,51,8
1611542060,88,83
1611545662,125,111
1611547541,51,74
1611548706,59,1
1611550225,65,64
1611552863,86,91
1611554743,49,65
1611556457,48,47
1611559521,118,51
1611560060,15,39
1611561344,42,14
1611563075,68,43
1611563659,26,32
1611564855,40,23
1611566342,45,47
1611567260,32,64
1611568999,70,57
1611570321,54,9
1611571822,41,74
1611573298,38,35
1611575425,52,49
1611577381,63,52
1611578061,32,52
1611580133,37,53
1611581660,37,55
1611585260,84,101
1611586682,41,20
1611588319,40,36
1611588862,15,46
1611590627,54,48
1611592459,46,42
1611595105,45,80
1611597021,49,73
1611598163,26,35
1611599662,58,38
1611602114,78,68
1611603257,34,44
1611604369,37,22
1611606861,74,118
1611608128,51,18
1611609924,59,47
1611611419,37,69
1611612722,34,60
1611614057,36,59
1611615780,45,76
1611617660,40,73
1611620003,65,66
1611621262,35,51
1611623491,65,128
1611625823,82,64
1611627255,44,63
1611629421,54,82
1611631522,53,52
1611633021,33,89
1611634513,32,93
1611635658,38,50
1611637977,84,68
1611639262,32,70
1611640365,25,19
1611641792,41,39
1611642857,24,66
1611644583,60,92
1611645920,41,6
1611647343,47,107
1611648750,50,47
1611649982,39,62
1611651844,57,72
1611653658,45,124
1611655529,81,116
1611657261,66,58
1611659430,59,72
1611660723,34,75
1611663214,58,113
1611664462,32,72
1611667518,65,67
1611669059,40,55
1611670714,46,30
1611671658,21,49
1611673612,34,62
1611675259,48,100
1611676560,34,25
1611677971,35,48
1611678861,17,64
1611680772,44,73
1611682464,51,89
1611683695,37,41
1611685224,46,67
1611686059,23,86
1611687279,38,25
1611689120,55,63
1611691606,68,138
1611693258,47,62
1611696861,100,180
1611699689,75,107
1611701004,37,92
1611702189,41,50
1611703519,33,5
1611704690,29,82
1611709657,121,214
1611712219,73,115
1611714245,45,60
1611715547,51,92
1611716890,44,55
1611718466,56,69
1611721002,67,75
1611722062,29,64
1611723468,41,26
1611725124,51,46
1611726449,34,73
1611727645,35,49
1611729260,35,67
1611731313,73,91
1611732858,47,88
1611734247,53,28
1611735920,42,51
1611737419,36,107
1611738994,34,66
1611740061,25,85
1611742723,88,74
1611744228,38,73
1611745694,41,59
1611747260,55,57
1611750320,94,82
1611751731,40,61
1611754459,73,91
1611755739,33,25
1611757518,40,45
1611758059,10,59
1611761660,80,122
1611764718,95,53
1611765258,38,36
1611767344,52,41
1611768860,42,45
1611769963,31,17
1611771919,58,27
1611773417,51,68
1611774734,50,38
1611776058,47,59
1611777181,49,22
1611779119,43,47
1611779662,9,68
1611781877,60,63
1611783263,35,53
1611786857,99,99
1611789145,54,56
1611790476,37,48
1611792770,110,90
1611794061,53,72
1611799817,173,1790
1611801259,122,47
1611803299,114,48
1611804862,160,40
1611807921,171,67
1611809421,92,61
1611811347,104,33
1611813005,101,63
1611815657,144,95
1611817828,115,72
1611819261,85,60
1611821908,164,57
1611823031,58,62
1611824586,84,81
1611825919,64,2
1611827254,56,68
1611828985,96,45
1611830277,60,40
1611831759,64,51
1611832908,52,13
1611833660,42,48
1611834959,49,18
1611836604,65,23
1611838218,71,57
1611839573,45,50
1611840859,46,39
1611843000,57,48
1611844461,47,40
1611846423,54,45
1611848058,65,45
1611850023,55,65
1611852023,65,46
1611853148,41,30
1611854721,57,15
1611855259,29,36
1611856468,58,15
1611858148,56,39
1611858858,22,0
1611860353,47,81
1611861919,44,25
1611862458,22,38
1611865119,90,52
1611866060,26,44
1611867434,53,21
1611869125,69,30
1611869661,13,32
1611872721,74,41
1611875073,62,105
1611876860,60,53
1611880456,92,108
1611882267,48,60
1611884060,58,46
1611886543,77,72
1611888146,57,77
1611890457,61,42
1611891263,24,35
1611894860,112,125
1611899421,144,126
1611902058,55,157
1611903795,66,69
1611905658,76,48
1611906784,38,19
1611909259,63,77
1611910477,40,27
1611912318,49,70
1611914018,48,68
1611915721,52,37
1611916459,23,43
1611919120,72,63
1611921566,74,103
1611924228,71,71
1611926095,34,33
1611927263,29,31
1611928652,27,10
1611930857,53,73
1611932267,28,13
1611933736,43,43
1611934460,11,79
1611935719,31,25
1611937518,26,38
1611938060,11,48
1611939895,37,52
1611941660,37,36
1611944733,77,77
1611945939,22,71
1611948317,59,44
1611949819,25,60
1611951550,39,46
1611952459,25,49
1611955520,79,53
1611957019,35,66
1611959659,63,111
1611963263,96,175
1611964621,33,19
1611966320,42,39
1611967652,29,65
1611970459,59,1459
1611973520,222,67
1611974061,42,56
1611975727,94,61
1611977661,110,57
1611980016,125,62
1611981259,67,65
1611984858,185,128
1611987917,128,60
1611989326,66,66
1611990810,69,73
1611992062,58,83
1611995121,122,77
1611995669,16,59
1612000671,198,158
1612001833,45,34
1612002858,39,41
1612006458,142,110
1612008627,86,60
1612010057,56,46
1612012173,76,50
1612013473,31,51
1612014620,29,19
1612017258,80,69
1612020856,110,94
1612022610,53,60
1612024457,57,43
1612025816,49,23
1612028058,52,105
1612030734,92,54
1612031659,43,56
1612033642,67,57
1612035262,54,63
1612037437,78,75
1612038859,36,54
1612041404,79,58
1612042459,27,64
1612044877,76,57
1612047018,73,62
1612049121,57,59
1612049661,23,39
1612051532,64,74
1612052722,63,3
1612054220,65,62
1612055336,36,78
1612056861,55,56
1612060459,100,98
1612064064,112,109
1612066813,98,64
1612068786,61,73
1612071263,54,87
1612074861,86,101
1612076005,32,20
1612077167,36,40
1612078457,29,53
1612079673,36,20
1612081517,45,82
1612083020,59,75
1612084727,36,45
1612085660,22,45
1612086853,35,13
1612088491,28,32
1612090220,52,58
1612091829,25,29
