DateTime,Entries,UniqueIPs
1611203662,20373,20373
1611206376,20353,20353
1611208048,20283,20283
1611210859,20184,20184
1611212969,20137,20137
1611214457,20100,20100
1611215660,20108,20108
1611217521,20070,20070
1611219023,19981,19981
1611220849,19957,19957
1611221657,19916,19916
1611223011,19948,19948
1611224619,19932,19932
1611226220,19837,19837
1611227324,19794,19794
1611228860,19750,19750
1611235064,19653,19653
1611236059,19581,19581
1611237235,19578,19578
1611238896,19536,19536
1611239659,19475,19475
1611241153,19432,19432
1611242604,19455,19455
1611243260,19407,19407
1611244665,19410,19410
1611246319,19412,19412
1611246858,19363,19363
1611250459,19328,19328
1611253518,19342,19342
1611254622,19250,19250
1611257660,19218,19218
1611260609,19192,19192
1611261273,19145,19145
1611264322,19146,19146
1611264856,19098,19098
1611266163,19115,19115
1611267786,19099,19099
1611271161,19001,19001
1611272060,18953,18953
1611273185,18969,18969
1611274918,18938,18938
1611276560,18886,18886
1611279258,18840,18840
1611282319,18865,18865
1611285598,18797,18797
1611286461,18753,18753
1611288269,18754,18754
1611289522,18792,18792
1611291023,18752,18752
1611293660,18691,18691
1611294974,18710,18710
1611296719,18751,18751
1611297958,18688,18688
1611300322,18684,18684
1611301695,18645,18645
1611303021,18620,18620
1611304460,18622,18622
1611305664,18665,18665
1611307450,18678,18678
1611309018,18666,18666
1611310242,18671,18671
1611311660,18649,18649
1611313442,18631,18631
1611315259,18627,18627
1611317048,18634,18634
1611318320,18668,18668
1611319516,18630,18630
1611320792,18581,18581
1611321918,18584,18584
1611325519,18520,18520
1611326061,18499,18499
1611327567,18484,18484
1611329088,18529,18529
1611331200,18492,18492
1611332463,18496,18496
1611333262,18493,18493
1611334462,18510,18510
1611336317,18525,18525
1611337836,18497,18497
1611339055,18456,18456
1611340848,18441,18441
1611343519,18365,18365
1611344061,18333,18333
1611345180,18363,18363
1611347672,18364,18364
1611349389,18366,18366
1611351264,18380,18380
1611354319,18399,18399
1611355822,18389,18389
1611357594,18393,18393
1611359064,18345,18345
1611361518,18382,18382
1611362059,18317,18317
1611363174,18334,18334
1611364929,16403,16403
1611365664,16498,16498
1611367406,16684,16684
1611368721,16834,16834
1611372322,17048,17048
1611373820,17121,17121
1611375001,17166,17166
1611376463,17211,17211
1611378158,17233,17233
1611379527,17321,17321
1611381165,17328,17328
1611382947,17374,17374
1611383665,17335,17335
1611385565,17369,17369
1611386719,17420,17420
1611388218,17437,17437
1611390860,17445,17445
1611391980,17492,17492
1611393921,17527,17527
1611395106,17451,17451
1611396358,17469,17469
1611397515,17518,17518
1611399030,17505,17505
1611401664,17512,17512
1611403570,17494,17494
1611404715,17532,17532
1611406095,17518,17518
1611408859,17511,17511
1611411922,17562,17562
1611415394,17544,17544
1611416059,17498,17498
1611417235,17527,17527
1611419120,17536,17536
1611419659,17509,17509
1611421565,17495,17495
1611422720,17531,17531
1611423262,17506,17506
1611425289,17478,17478
1611426858,17475,17475
1611429917,17479,17479
1611430457,17441,17441
1611433170,17455,17455
1611434432,17426,17426
1611437123,17462,17462
1611437662,17423,17423
1611439387,17399,17399
1611441259,17403,17403
1611444321,17420,17420
1611445489,17375,17375
1611448459,17349,17349
1611452063,17303,17303
1611454847,17316,17316
1611456619,17272,17272
1611459263,17238,17238
1611460442,17247,17247
1611462323,17239,17239
1611462861,17200,17200
1611465926,17215,17215
1611467215,17160,17160
1611470057,17091,17091
1611472496,17079,17079
1611473658,17060,17060
1611476182,17052,17052
1611477259,17045,17045
1611478377,17058,17058
1611480319,17064,17064
1611481680,17041,17041
1611483918,17078,17078
1611487520,17062,17062
1611491121,17006,17006
1611492233,16972,16972
1611494717,16983,16983
1611495258,16941,16941
1611496416,16940,16940
1611498320,16933,16933
1611499499,16890,16890
1611502458,16875,16875
1611503784,16917,16917
1611506061,17177,17177
1611508564,17269,17269
1611509660,17308,17308
1611511075,17394,17394
1611512720,17430,17430
1611513942,17474,17474
1611516859,17624,17624
1611518379,17657,17657
1611519918,17704,17704
1611520458,17644,17644
