DateTime,Entries,UniqueIPs
1611005342,15945,16813
1611007252,15945,16814
1611010114,15942,16811
1611012022,15946,16816
1611013990,15948,16818
1611015877,15952,16822
1611017803,15951,16821
1611023546,15930,16797
1611025516,15929,16796
1611027430,15929,16797
1611029318,15926,16796
1611032179,15926,16797
1611034105,15930,16802
1611036080,15933,16805
1611037972,15948,16821
1611039861,15956,16830
1611041827,15970,16844
1611043691,15979,16855
1611045658,15984,16860
1611047561,15989,16866
1611049494,15995,16873
1611051426,15998,16875
1611053303,15993,16873
1611055233,15994,16875
1611057188,15992,16873
1611059060,15995,16876
1611061004,15998,16879
1611062961,15994,16875
1611064838,15991,16871
1611066773,16000,16878
1611069627,15994,16871
1611072502,15994,16869
1611074459,15992,16867
1611076346,15986,16861
1611078507,15996,16871
1611080432,15993,16869
1611082363,15994,16871
1611085263,15994,16871
1611087154,15997,16876
1611089081,15990,16867
1611091029,15987,16864
1611092912,15979,16856
1611094836,15981,16858
1611098689,15979,16859
1611101580,15977,16856
1611103513,15976,16855
1611105384,15978,16857
1611107553,15984,16864
1611109485,15988,16868
1611112342,15992,16871
1611116177,15977,16859
1611120556,15965,16844
1611122447,15978,16857
1611124345,15982,16861
1611126352,15989,16868
1611128239,15995,16873
1611130131,15999,16880
1611132038,16014,16896
1611133933,16021,16904
1611135917,16033,16918
1611137807,16036,16921
1611139959,16039,16924
1611141862,16050,16934
1611144747,16047,16930
1611146710,16045,16928
1611148581,16060,16943
1611150500,16062,16946
1611152439,16062,16942
1611155326,16067,16948
1611157233,16070,16950
1611159185,16087,16967
1611161086,16086,16967
1611162983,16077,16957
1611164936,16076,16956
1611166839,16076,16956
1611169027,16090,16970
1611172910,16089,16969
1611176719,16093,16973
1611178585,16096,16976
1611180541,16100,16980
1611182443,16100,16980
1611184375,16100,16981
1611186307,16091,16973
1611189196,16088,16970
1611191310,16099,16981
1611193261,16094,16974
1611195141,16099,16979
1611197066,16094,16972
1611199022,16097,16976
1611200916,16100,16979
1611202856,16098,16977
1611204762,16096,16974
1611206694,16095,16972
1611208630,16090,16968
1611210524,16098,16978
1611212461,16103,16982
1611215586,16107,16986
1611217473,16101,16982
1611220344,16102,16981
1611222310,16092,16971
1611224195,16104,16986
1611226112,16105,16989
1611228068,16105,16989
1611229988,16103,16987
1611231877,16099,16984
1611234741,16096,16982
1611238847,16082,16968
1611240751,16095,16979
1611242693,16096,16980
1611244622,16103,16988
1611246545,16109,16995
1611248455,16107,16993
1611250361,16110,16997
1611252310,16119,17006
1611256107,16124,17011
1611258058,16134,17021
1611259955,16129,17015
1611261873,16131,17017
1611264734,16138,17027
1611266671,16144,17033
1611268582,16150,17039
1611270565,16147,17035
1611272436,16147,17035
1611275307,16140,17026
1611277245,16141,17027
1611279170,16145,17031
1611281071,16155,17043
1611283945,16157,17046
1611285872,16150,17038
1611287808,16157,17045
1611289721,16170,17058
1611291722,16174,17061
1611293547,16177,17064
1611295458,16170,17056
1611297427,16170,17054
1611299294,16172,17056
1611301238,16174,17058
1611303190,16179,17063
1611305061,16180,17065
1611306979,16184,17069
1611308935,16189,17075
1611310831,16188,17074
1611312752,16197,17084
1611314693,16194,17079
1611316603,16190,17074
1611318751,16188,17074
1611320698,16188,17074
1611323588,16173,17059
1611326454,16165,17049
1611328345,16159,17044
1611330261,16164,17048
1611332216,16164,17049
1611336991,16146,17030
1611339162,16140,17023
1611341073,16138,17021
1611343943,16130,17013
1611346154,16127,17009
1611348072,16125,17007
1611349983,16119,17001
1611351914,16119,17001
1611353787,16116,16999
1611355747,16124,17005
1611357662,16121,17003
1611359545,16123,17005
1611362436,16129,17011
1611364387,16131,17013
1611366268,16137,17019
1611368226,16139,17021
1611370125,16137,17019
1611372273,16142,17026
1611374244,16143,17028
1611376123,16143,17028
1611378036,16144,17028
1611381140,16137,17020
1611383102,16139,17022
1611384993,16136,17017
1611388158,16119,17000
1611390039,16125,17008
1611391940,16124,17008
1611393920,16125,17008
1611395805,16122,17007
1611397741,16133,17020
1611399664,16127,17014
1611402552,16140,17027
1611404435,16142,17029
1611406344,16130,17016
1611408340,16129,17015
1611411188,16119,17005
1611413077,16128,17014
1611415016,16139,17025
1611417175,16141,17027
1611419076,16146,17033
1611420963,16142,17029
1611422932,16143,17030
1611424893,16149,17036
1611426746,16144,17031
1611428700,16151,17038
1611430580,16149,17035
1611432808,16149,17033
1611434699,16145,17030
1611436583,16148,17033
1611438501,16150,17034
1611440467,16143,17027
1611442400,16141,17024
1611444268,16140,17022
1611446189,16136,17017
1611448147,16134,17015
1611450043,16141,17020
1611451945,16143,17021
1611453924,16128,17006
1611455783,16121,17000
1611457700,16129,17008
1611459669,16142,17022
1611461543,16136,17016
1611463471,16133,17014
1611465415,16130,17011
1611467318,16123,17004
1611469231,16125,17002
1611471168,16122,16996
1611473074,16118,16993
1611475059,16113,16988
1611476925,16118,16994
1611478941,16115,16990
1611480771,16123,17000
1611482669,16119,16994
1611484586,16115,16990
1611486550,16109,16986
1611490633,16086,16961
1611492512,16088,16962
1611494453,16082,16956
1611497549,16074,16948
1611499471,16071,16945
1611501417,16071,16945
1611504329,16055,16929
1611506212,16055,16932
1611508363,16052,16929
1611510260,16051,16928
1611512530,16052,16930
1611515373,16051,16927
1611517258,16041,16917
1611519151,16042,16917
1611522036,16021,16896
1611523940,16015,16889
1611526827,16010,16883
1611529707,16004,16878
1611531643,15994,16869
1611533588,15995,16871
1611536440,15972,16847
1611538341,15967,16842
1611541294,15964,16839
1611543156,15959,16831
1611545066,15957,16829
1611547011,15955,16828
1611548910,15949,16823
1611550828,15943,16818
1611552774,15934,16807
1611554695,15926,16799
1611556615,15922,16792
1611558521,15916,16787
1611561406,15900,16764
1611563333,15895,16760
1611565235,15901,16765
1611567137,15907,16771
1611569100,15909,16772
1611570986,15915,16779
1611573143,15912,16775
1611575063,15908,16772
1611577041,15917,16784
1611578912,15917,16783
1611580893,15925,16792
1611583982,15906,16772
1611585892,15898,16766
1611587837,15895,16759
1611589695,15902,16766
1611591639,15899,16761
1611593614,15902,16763
1611595479,15907,16768
1611597410,15903,16764
1611600320,15898,16756
1611602204,15893,16749
1611604353,15898,16754
1611607236,15902,16756
1611609187,15904,16755
1611611080,15900,16749
1611612968,15903,16749
1611614925,15910,16756
1611616891,15915,16759
1611618739,15927,16768
1611620706,15927,16768
1611622587,15934,16776
1611624511,15930,16772
1611627645,15921,16760
1611629562,15921,16760
1611631500,15918,16758
1611633405,15919,16759
1611635555,15921,16760
1611637524,15922,16761
1611639395,15917,16755
1611642258,15914,16752
1611645138,15907,16745
1611647091,15913,16751
1611649969,15918,16754
1611652835,15920,16755
1611654753,15922,16757
1611656710,15917,16751
1611659592,15912,16742
1611662554,15919,16748
1611664636,15912,16740
1611666498,15911,16738
1611668480,15920,16747
1611670377,15931,16758
1611674189,15923,16750
1611676140,15925,16752
1611679019,15919,16745
1611680908,15925,16751
1611682828,15929,16754
1611685703,15929,16755
1611687674,15936,16762
1611690548,15930,16754
1611694394,15926,16750
1611696323,15939,16763
1611701048,15938,16758
1611702992,15937,16757
1611704932,15951,16773
1611706860,15952,16775
1611710021,15944,16771
1611711868,15952,16779
1611713797,15958,16785
1611715736,15954,16781
1611717635,15953,16780
1611719577,15953,16782
1611721473,15967,16797
1611723390,15973,16803
1611726512,15977,16805
1611729388,15978,16805
1611731298,15970,16797
1611733269,15977,16804
1611735142,15992,16819
1611737087,15977,16803
1611739044,15979,16805
1611740902,15975,16801
1611743066,15975,16801
1611745940,15982,16808
1611747859,15985,16814
1611749810,15993,16824
1611751699,15995,16825
1611753636,16003,16835
1611755569,16015,16850
1611757487,16022,16852
1611759434,16004,16834
1611761359,16012,16843
1611765173,16007,16837
1611767065,16020,16851
1611768986,16020,16850
1611770942,16014,16847
1611772866,16020,16850
1611774724,16028,16859
1611776730,16013,16843
1611778606,16014,16845
1611780520,16024,16855
1611782478,16020,16852
1611784345,16021,16853
1611786263,16032,16865
1611791112,16016,16848
1611792978,16022,16855
1611794905,16025,16859
1611796866,16026,16861
1611798746,16030,16865
1611800675,16025,16860
1611802597,16026,16861
1611804510,16035,16870
1611806445,16031,16866
1611808370,16036,16871
1611810285,16037,16872
1611812217,16024,16860
1611814376,16012,16848
1611816248,16008,16843
1611818173,15999,16834
1611820137,15994,16829
1611822022,16003,16838
1611823938,16001,16836
1611827778,15986,16822
1611831647,15968,16804
1611833527,15978,16815
1611835453,15981,16820
1611837674,15976,16814
1611839552,15962,16801
1611841460,15968,16805
1611843413,15969,16806
1611845300,15964,16801
1611848195,15971,16808
1611851097,15971,16807
1611853014,15977,16814
1611854900,15977,16814
1611857792,15978,16817
1611859721,15986,16827
1611861661,15984,16825
1611863606,15977,16817
1611865469,15990,16831
1611867450,15999,16840
1611869305,15997,16838
1611871268,16004,16845
1611873202,16012,16853
1611875087,16011,16852
1611877925,16011,16852
1611879866,16022,16863
1611881855,16016,16857
1611883702,16033,16875
1611885640,16030,16873
1611887624,16038,16881
1611891373,16033,16875
1611893390,16034,16876
1611896245,16031,16872
1611898104,16027,16868
1611900067,16020,16861
1611902029,16025,16866
1611903853,16030,16872
1611905827,16026,16868
1611907769,16024,16867
1611909650,16021,16864
1611911535,16022,16864
1611915407,16020,16862
1611919470,16020,16863
1611921377,16021,16865
1611923555,16020,16863
1611926692,16021,16863
1611928613,16030,16875
1611930508,16038,16883
1611932494,16046,16893
1611934416,16042,16888
1611936273,16047,16894
1611938199,16048,16892
1611940171,16056,16901
1611943061,16050,16892
1611944914,16048,16890
1611947835,16045,16887
1611949721,16036,16878
1611952825,16031,16871
1611954744,16027,16866
1611956744,16022,16859
1611958565,16022,16859
