DateTime,AddedIPs,RemovedIPs
1611005342,6,15
1611007252,13,12
1611010114,11,14
1611012022,16,14
1611013990,5,5
1611015877,7,16
1611017803,11,8
1611023546,16,45
1611025516,13,11
1611027430,17,11
1611029318,11,13
1611032179,20,11
1611034105,17,13
1611036080,10,22
1611037972,19,23
1611039861,14,18
1611041827,15,0
1611043691,19,15
1611045658,14,20
1611047561,19,28
1611049494,23,18
1611051426,13,27
1611053303,15,17
1611055233,15,16
1611057188,15,22
1611059060,14,23
1611061004,6,14
1611062961,9,17
1611064838,12,24
1611066773,26,19
1611069627,13,22
1611072502,8,37
1611074459,9,19
1611076346,17,14
1611078507,14,16
1611080432,15,15
1611082363,17,3
1611085263,9,14
1611087154,18,15
1611089081,8,12
1611091029,13,19
1611092912,8,12
1611094836,12,15
1611098689,26,27
1611101580,12,16
1611103513,14,13
1611105384,17,10
1611107553,15,26
1611109485,16,0
1611112342,19,38
1611116177,15,34
1611120556,10,45
1611122447,18,17
1611124345,14,0
1611126352,26,24
1611128239,14,31
1611130131,20,24
1611132038,19,16
1611133933,21,30
1611135917,16,22
1611137807,17,26
1611139959,16,17
1611141862,19,18
1611144747,16,21
1611146710,18,21
1611148581,18,15
1611150500,20,16
1611152439,16,20
1611155326,22,19
1611157233,12,17
1611159185,26,14
1611161086,15,20
1611162983,11,0
1611164936,12,12
1611166839,11,9
1611169027,17,12
1611172910,16,43
1611176719,18,18
1611178585,11,0
1611180541,8,10
1611182443,9,13
1611184375,16,16
1611186307,7,16
1611189196,6,31
1611191310,14,11
1611193261,12,21
1611195141,8,16
1611197066,8,18
1611199022,18,25
1611200916,17,15
1611202856,13,23
1611204762,16,0
1611206694,15,31
1611208630,15,28
1611210524,20,24
1611212461,20,20
1611215586,14,35
1611217473,11,0
1611220344,16,41
1611222310,14,18
1611224195,23,18
1611226112,20,0
1611228068,17,17
1611229988,24,12
1611231877,12,13
1611234741,12,9
1611238847,17,35
1611240751,20,0
1611242693,19,35
1611244622,19,0
1611246545,15,8
1611248455,11,17
1611250361,28,0
1611252310,10,11
1611256107,18,29
1611258058,11,6
1611259955,7,21
1611261873,10,8
1611264734,16,15
1611266671,10,14
1611268582,17,11
1611270565,15,17
1611272436,10,14
1611275307,11,13
1611277245,14,16
1611279170,10,12
1611281071,14,9
1611283945,17,16
1611285872,6,0
1611287808,9,15
1611289721,22,21
1611291722,19,23
1611293547,9,18
1611295458,9,19
1611297427,13,16
1611299294,11,0
1611301238,12,20
1611303190,15,28
1611305061,22,9
1611306979,16,18
1611308935,21,10
1611310831,18,20
1611312752,12,11
1611314693,15,0
1611316603,12,9
1611318751,19,21
1611320698,18,12
1611323588,15,38
1611326454,7,19
1611328345,13,16
1611330261,22,16
1611332216,14,15
1611336991,9,55
1611339162,13,15
1611341073,14,16
1611343943,4,10
1611346154,11,9
1611348072,17,10
1611349983,15,20
1611351914,16,14
1611353787,21,15
1611355747,16,10
1611357662,15,11
1611359545,16,7
1611362436,22,11
1611364387,18,7
1611366268,17,6
1611368226,9,13
1611370125,16,7
1611372273,19,14
1611374244,12,12
1611376123,15,14
1611378036,20,14
1611381140,10,13
1611383102,20,0
1611384993,14,19
1611388158,18,23
1611390039,31,0
1611391940,26,19
1611393920,21,20
1611395805,20,8
1611397741,16,15
1611399664,13,16
1611402552,21,32
1611404435,14,0
1611406344,5,15
1611408340,17,35
1611411188,10,20
1611413077,18,26
1611415016,13,23
1611417175,13,10
1611419076,17,0
1611420963,14,0
1611422932,11,13
1611424893,14,12
1611426746,8,7
1611428700,17,15
1611430580,11,14
1611432808,12,10
1611434699,12,12
1611436583,15,11
1611438501,12,11
1611440467,9,12
1611442400,11,0
1611444268,13,10
1611446189,11,7
1611448147,15,0
1611450043,22,15
1611451945,13,17
1611453924,15,13
1611455783,11,16
1611457700,12,15
1611459669,19,19
1611461543,10,22
1611463471,15,14
1611465415,18,0
1611467318,13,20
1611469231,13,15
1611471168,10,18
1611473074,16,18
1611475059,8,14
1611476925,16,20
1611478941,13,21
1611480771,14,32
1611482669,18,29
1611484586,14,11
1611486550,10,0
1611490633,7,36
1611492512,13,13
1611494453,11,0
1611497549,12,23
1611499471,6,11
1611501417,9,17
1611504329,5,13
1611506212,11,18
1611508363,7,11
1611510260,11,0
1611512530,17,29
1611515373,10,5
1611517258,5,14
1611519151,13,11
1611522036,6,9
1611523940,7,14
1611526827,7,6
1611529707,10,25
1611531643,14,13
1611533588,12,9
1611536440,9,18
1611538341,8,16
1611541294,11,22
1611543156,11,18
1611545066,20,0
1611547011,18,12
1611548910,11,11
1611550828,8,0
1611552774,7,12
1611554695,12,7
1611556615,5,13
1611558521,13,13
1611561406,6,17
1611563333,17,13
1611565235,20,20
1611567137,13,16
1611569100,11,18
1611570986,21,10
1611573143,11,10
1611575063,17,10
1611577041,22,22
1611578912,11,0
1611580893,13,11
1611583982,14,26
1611585892,16,14
1611587837,7,15
1611589695,9,0
1611591639,13,15
1611593614,8,8
1611595479,7,13
1611597410,11,13
1611600320,8,27
1611602204,8,14
1611604353,6,26
1611607236,15,17
1611609187,11,16
1611611080,10,7
1611612968,15,17
1611614925,14,8
1611616891,17,16
1611618739,20,0
1611620706,12,11
1611622587,11,0
1611624511,10,12
1611627645,10,0
1611629562,18,13
1611631500,19,17
1611633405,17,21
1611635555,14,5
1611637524,21,19
1611639395,11,19
1611642258,13,8
1611645138,22,37
1611647091,16,18
1611649969,19,19
1611652835,23,34
1611654753,15,20
1611656710,19,19
1611659592,13,18
1611662554,17,24
1611664636,12,15
1611666498,13,6
1611668480,18,11
1611670377,25,15
1611674189,10,24
1611676140,14,12
1611679019,12,11
1611680908,14,12
1611682828,15,21
1611685703,18,30
1611687674,16,14
1611690548,15,9
1611694394,15,24
1611696323,16,11
1611701048,25,21
1611702992,8,0
1611704932,20,25
1611706860,14,9
1611710021,23,15
1611711868,9,12
1611713797,16,16
1611715736,13,14
1611717635,17,15
1611719577,14,0
1611721473,18,13
1611723390,24,0
1611726512,26,11
1611729388,18,24
1611731298,18,25
1611733269,17,11
1611735142,21,18
1611737087,17,17
1611739044,14,23
1611740902,12,17
1611743066,11,14
1611745940,16,19
1611747859,16,20
1611749810,19,13
1611751699,18,17
1611753636,22,18
1611755569,25,19
1611757487,12,18
1611759434,14,0
1611761359,21,20
1611765173,14,28
1611767065,16,15
1611768986,17,14
1611770942,22,13
1611772866,14,11
1611774724,12,13
1611776730,17,0
1611778606,16,14
1611780520,12,0
1611782478,15,14
1611784345,15,9
1611786263,12,12
1611791112,15,30
1611792978,9,0
1611794905,9,3
1611796866,15,14
1611798746,12,11
1611800675,13,6
1611802597,10,12
1611804510,11,15
1611806445,9,19
1611808370,16,10
1611810285,10,15
1611812217,7,12
1611814376,9,18
1611816248,18,15
1611818173,13,16
1611820137,18,0
1611822022,16,9
1611823938,11,12
1611827778,12,35
1611831647,13,39
1611833527,18,14
1611835453,16,21
1611837674,13,14
1611839552,8,10
1611841460,18,0
1611843413,18,0
1611845300,13,15
1611848195,20,43
1611851097,20,16
1611853014,18,19
1611854900,15,13
1611857792,10,33
1611859721,19,0
1611861661,10,15
1611863606,10,11
1611865469,16,10
1611867450,16,12
1611869305,11,0
1611871268,17,13
1611873202,14,15
1611875087,9,14
1611877925,12,26
1611879866,13,0
1611881855,9,9
1611883702,19,18
1611885640,16,13
1611887624,11,19
1611891373,9,31
1611893390,11,8
1611896245,12,21
1611898104,16,14
1611900067,14,7
1611902029,17,12
1611903853,20,16
1611905827,14,17
1611907769,15,17
1611909650,13,16
1611911535,15,21
1611915407,19,44
1611919470,10,28
1611921377,11,14
1611923555,14,27
1611926692,14,15
1611928613,24,12
1611930508,11,0
1611932494,22,4
1611934416,11,14
1611936273,15,18
1611938199,13,15
1611940171,16,0
1611943061,23,12
1611944914,15,14
1611947835,15,17
1611949721,9,5
1611952825,8,12
1611954744,14,16
1611956744,6,23
1611958565,14,0
1611962672,11,48
1611964653,14,15
1611966510,7,0
1611968432,8,12
1611970342,13,16
1611973471,15,25
1611975388,12,26
1611977365,14,17
1611980244,15,13
1611982173,14,18
1611984094,15,18
1611985951,27,15
1611987868,10,0
1611991745,17,31
1611993648,21,16
1611995617,14,27
1611997475,14,24
1612000436,17,25
1612002277,11,21
1612004182,13,20
1612006202,18,13
1612008028,10,20
1612009951,10,19
1612013821,18,27
1612015999,8,16
1612017958,13,18
1612019830,12,14
1612021775,12,0
1612023726,16,15
1612025544,15,21
1612027450,17,13
1612029476,19,14
1612032402,14,23
1612034501,10,26
1612036340,15,10
1612042364,13,44
1612044270,12,12
1612046182,14,7
1612050026,13,29
1612051950,11,12
1612053962,15,17
1612055787,21,21
1612057719,11,12
1612059632,8,17
1612061602,11,8
1612063477,7,18
1612065445,11,21
1612067317,15,16
1612069238,14,19
1612071242,14,14
1612074980,15,32
1612076966,16,20
1612078863,18,13
1612080739,17,10
1612082656,16,17
1612084642,16,17
1612086499,16,12
1612090329,13,42
1612092266,11,22
