DateTime,AddedIPs,RemovedIPs
1611005342,36,48
1611007252,39,35
1611010114,49,40
1611012022,39,45
1611013990,31,37
1611015877,24,32
1611017803,33,26
1611023546,43,36
1611025516,43,40
1611027430,47,44
1611029318,42,47
1611032179,60,44
1611034105,55,59
1611036080,49,51
1611037972,47,52
1611039861,52,50
1611041827,47,53
1611043691,60,46
1611045658,62,59
1611047561,53,61
1611049494,52,48
1611051426,53,56
1611053303,54,57
1611055233,53,51
1611057188,53,52
1611059060,52,53
1611061004,45,49
1611062961,55,49
1611064838,54,55
1611066773,51,57
1611069627,47,48
1611072502,36,40
1611074459,31,41
1611076346,44,32
1611078507,56,45
1611080432,43,57
1611082363,57,41
1611085263,40,55
1611087154,44,41
1611089081,45,44
1611091029,48,42
1611092912,37,45
1611094836,43,38
1611098689,59,51
1611101580,44,61
1611103513,52,36
1611105384,41,54
1611107553,46,41
1611109485,41,46
1611112342,56,43
1611116177,45,54
1611120556,39,42
1611122447,57,46
1611124345,42,58
1611126352,51,39
1611128239,47,51
1611130131,63,46
1611132038,49,64
1611133933,59,52
1611135917,50,61
1611137807,45,46
1611139959,44,45
1611141862,51,48
1611144747,53,51
1611146710,52,48
1611148581,51,56
1611150500,49,53
1611152439,46,46
1611155326,52,48
1611157233,33,52
1611159185,67,33
1611161086,42,63
1611162983,41,37
1611164936,43,46
1611166839,42,39
1611169027,50,49
1611172910,44,49
1611176719,41,42
1611178585,40,42
1611180541,32,38
1611182443,37,33
1611184375,39,34
1611186307,37,37
1611189196,30,38
1611191310,43,34
1611193261,42,44
1611195141,43,38
1611197066,39,44
1611199022,44,38
1611200916,51,47
1611202856,43,50
1611204762,51,47
1611206694,59,51
1611208630,61,55
1611210524,54,66
1611212461,42,44
1611215586,40,44
1611217473,49,44
1611220344,53,49
1611222310,42,57
1611224195,52,43
1611226112,56,50
1611228068,48,55
1611229988,47,48
1611231877,41,47
1611234741,42,42
1611238847,44,40
1611240751,47,43
1611242693,43,49
1611244622,40,45
1611246545,48,40
1611248455,45,48
1611250361,57,45
1611252310,35,52
1611256107,44,35
1611258058,41,46
1611259955,38,36
1611261873,49,40
1611264734,44,47
1611266671,48,47
1611268582,49,48
1611270565,43,47
1611272436,43,45
1611275307,46,42
1611277245,49,43
1611279170,44,50
1611281071,45,43
1611283945,47,47
1611285872,52,49
1611287808,31,50
1611289721,57,36
1611291722,48,53
1611293547,33,49
1611295458,36,25
1611297427,56,45
1611299294,39,54
1611301238,48,42
1611303190,49,46
1611305061,52,48
1611306979,42,53
1611308935,50,42
1611310831,45,47
1611312752,62,53
1611314693,59,61
1611316603,51,55
1611318751,46,53
1611320698,60,48
1611323588,40,60
1611326454,39,39
1611328345,55,39
1611330261,49,55
1611332216,53,43
1611336991,35,56
1611339162,43,33
1611341073,49,46
1611343943,30,48
1611346154,41,29
1611348072,59,38
1611349983,46,59
1611351914,45,46
1611353787,49,51
1611355747,55,51
1611357662,40,47
1611359545,52,46
1611362436,57,50
1611364387,48,53
1611366268,53,49
1611368226,46,54
1611370125,54,45
1611372273,48,57
1611374244,47,48
1611376123,52,49
1611378036,56,49
1611381140,54,54
1611383102,43,60
1611384993,35,39
1611388158,39,38
1611390039,56,42
1611391940,55,53
1611393920,56,55
1611395805,55,55
1611397741,49,57
1611399664,40,48
1611402552,48,40
1611404435,46,47
1611406344,46,44
1611408340,43,43
1611411188,43,47
1611413077,53,42
1611415016,46,53
1611417175,44,46
1611419076,39,44
1611420963,46,43
1611422932,43,43
1611424893,44,43
1611426746,52,46
1611428700,46,54
1611430580,43,48
1611432808,43,36
1611434699,50,45
1611436583,42,51
1611438501,43,40
1611440467,36,42
1611442400,47,39
1611444268,50,46
1611446189,41,50
1611448147,51,40
1611450043,59,54
1611451945,40,55
1611453924,45,44
1611455783,44,45
1611457700,45,38
1611459669,48,48
1611461543,43,47
1611463471,44,44
1611465415,49,47
1611467318,50,44
1611469231,51,56
1611471168,57,51
1611473074,49,57
1611475059,35,44
1611476925,37,36
1611478941,56,38
1611480771,45,56
1611482669,47,46
1611484586,44,48
1611486550,55,45
1611490633,43,54
1611492512,43,42
1611494453,52,43
1611497549,49,53
1611499471,42,46
1611501417,55,42
1611504329,45,53
1611506212,49,52
1611508363,55,45
1611510260,50,58
1611512530,47,49
1611515373,54,48
1611517258,41,50
1611519151,51,41
1611522036,40,49
1611523940,49,41
1611526827,53,54
1611529707,56,49
1611531643,57,59
1611533588,44,53
1611536440,54,46
1611538341,46,51
1611541294,43,42
1611543156,44,48
1611545066,56,42
1611547011,54,54
1611548910,53,56
1611550828,37,50
1611552774,41,42
1611554695,44,32
1611556615,42,54
1611558521,47,43
1611561406,40,43
1611563333,47,39
1611565235,47,53
1611567137,42,49
1611569100,37,40
1611570986,49,40
1611573143,41,46
1611575063,47,41
1611577041,44,46
1611578912,50,46
1611580893,38,47
1611583982,45,41
1611585892,42,42
1611587837,42,44
1611589695,27,38
1611591639,46,31
1611593614,47,45
1611595479,43,49
1611597410,38,40
1611600320,39,39
1611602204,39,40
1611604353,38,37
1611607236,44,39
1611609187,37,44
1611611080,39,30
1611612968,37,38
1611614925,42,36
1611616891,48,44
1611618739,45,55
1611620706,32,41
1611622587,38,34
1611624511,35,35
1611627645,48,38
1611629562,41,43
1611631500,50,48
1611633405,36,46
1611635555,34,37
1611637524,34,25
1611639395,37,37
1611642258,44,47
1611645138,44,41
1611647091,48,46
1611649969,57,48
1611652835,52,59
1611654753,38,53
1611656710,43,35
1611659592,36,41
1611662554,29,36
1611664636,37,30
1611666498,40,39
1611668480,44,43
1611670377,51,44
1611674189,40,48
1611676140,36,38
1611679019,40,36
1611680908,32,31
1611682828,39,46
1611685703,35,37
1611687674,42,32
1611690548,39,42
1611694394,47,41
1611696323,38,43
1611701048,47,43
1611702992,32,42
1611704932,39,33
1611706860,37,40
1611710021,49,39
1611711868,44,46
1611713797,43,39
1611715736,40,42
1611717635,44,47
1611719577,55,49
1611721473,42,51
1611723390,45,39
1611726512,53,50
1611729388,47,54
1611731298,49,45
1611733269,47,50
1611735142,41,43
1611737087,46,44
1611739044,43,47
1611740902,33,38
1611743066,28,37
1611745940,42,28
1611747859,41,42
1611749810,50,43
1611751699,40,49
1611753636,50,40
1611755569,42,50
1611757487,35,41
1611759434,44,35
1611761359,45,44
1611765173,41,46
1611767065,39,36
1611768986,40,44
1611770942,43,39
1611772866,49,44
1611774724,38,40
1611776730,40,41
1611778606,31,40
1611780520,40,35
1611782478,46,40
1611784345,38,45
1611786263,34,33
1611791112,41,34
1611792978,43,34
1611794905,33,46
1611796866,43,38
1611798746,53,47
1611800675,36,48
1611802597,40,40
1611804510,39,32
1611806445,32,44
1611808370,51,35
1611810285,36,42
1611812217,48,46
1611814376,45,51
1611816248,45,41
1611818173,39,44
1611820137,47,40
1611822022,39,48
1611823938,30,39
1611827778,33,32
1611831647,33,34
1611833527,44,34
1611835453,35,44
1611837674,42,34
1611839552,36,44
1611841460,41,34
1611843413,43,42
1611845300,34,37
1611848195,40,37
1611851097,49,42
1611853014,48,49
1611854900,36,49
1611857792,38,35
1611859721,42,34
1611861661,26,41
1611863606,31,28
1611865469,36,28
1611867450,38,39
1611869305,35,38
1611871268,35,33
1611873202,44,35
1611875087,25,42
1611877925,27,25
1611879866,33,25
1611881855,40,37
1611883702,37,34
1611885640,46,42
1611887624,38,46
1611891373,42,40
1611893390,30,41
1611896245,37,32
1611898104,48,39
1611900067,44,44
1611902029,51,48
1611903853,52,49
1611905827,41,53
1611907769,43,39
1611909650,37,48
1611911535,41,33
1611915407,37,39
1611919470,32,40
1611921377,31,33
1611923555,35,32
1611926692,29,37
1611928613,46,30
1611930508,40,45
1611932494,48,38
1611934416,41,49
1611936273,36,35
1611938199,43,41
1611940171,32,40
1611943061,44,37
1611944914,33,40
1611947835,39,36
1611949721,25,37
1611952825,32,24
1611954744,37,31
1611956744,29,39
1611958565,28,28
1611962672,30,23
1611964653,34,30
1611966510,24,38
1611968432,28,25
1611970342,31,29
1611973471,42,31
1611975388,32,40
1611977365,41,33
1611980244,46,42
1611982173,43,44
1611984094,46,40
1611985951,52,51
1611987868,45,54
1611991745,40,40
1611993648,46,41
1611995617,47,49
1611997475,49,47
1612000436,44,48
1612002277,34,39
1612004182,36,37
1612006202,40,36
1612008028,35,37
1612009951,39,35
1612013821,40,43
1612015999,30,38
1612017958,32,31
1612019830,30,31
1612021775,38,28
1612023726,29,42
1612025544,44,32
1612027450,38,41
1612029476,44,37
1612032402,40,45
1612034501,39,39
1612036340,42,34
1612042364,36,48
1612044270,34,33
1612046182,37,38
1612050026,38,35
1612051950,30,33
1612053962,40,40
1612055787,48,39
1612057719,36,40
1612059632,37,37
1612061602,43,35
1612063477,26,46
1612065445,41,30
1612067317,41,35
1612069238,40,45
1612071242,40,40
1612074980,55,40
1612076966,51,52
1612078863,45,53
1612080739,41,49
1612082656,45,41
1612084642,34,43
1612086499,34,35
1612090329,27,33
1612092266,40,27
