DateTime,AddedIPs,RemovedIPs
1606478641,668,668
1606489441,540,540
1606500241,603,603
1606511041,566,566
1606521841,523,523
1606532642,2173,2173
1606543441,713,713
1606554241,655,655
1606565041,632,632
1606575841,595,595
1606586641,529,529
1606597441,439,439
1606608242,479,479
1606619041,1772,1772
1606629841,592,592
1606640641,604,604
1606651441,517,517
1606662241,479,479
1606673041,478,478
1606683841,435,435
1606694641,431,431
1606705441,1149,1149
1606716241,534,534
1606727041,579,579
1606737841,569,569
1606748641,549,549
1606759441,529,529
1606770241,454,454
1606781041,416,416
1606791842,1338,1338
1606802641,606,606
1606813441,630,630
1606824241,1041,1041
1606835041,471,471
1606845841,491,491
1606856641,411,411
1606867441,415,415
1606878241,1153,1153
1606889041,916,916
1606899841,811,811
1606910641,599,599
1606921441,493,493
1606932241,489,489
1606943041,477,477
1606953842,459,459
1606964641,1280,1280
1606975441,525,525
1606986241,598,598
1606997041,463,463
1607007841,465,465
1607018641,390,390
1607029441,379,379
1607040241,393,393
1607051041,802,802
1607061841,404,404
1607072641,378,378
1607083441,507,507
1607094241,471,471
1607105041,372,372
1607115841,363,363
1607126641,319,319
1607137441,685,685
1607148241,361,361
1607159041,376,376
1607169841,343,343
1607180641,347,347
1607191441,375,375
1607202241,342,342
1607213041,352,352
1607223841,688,688
1607234641,385,385
1607245441,361,361
1607256241,334,334
1607267041,350,350
1607277841,446,446
1607364241,1841,1841
1607375041,607,607
1607385841,370,370
1607396641,711,711
1607407441,466,466
1607418241,389,389
1607429041,431,431
1607439841,383,383
1607450641,385,385
1607461441,356,356
1607472241,334,334
1607483041,686,686
1607493841,431,431
1607504641,405,405
1607515441,458,458
1607526241,383,383
1607537041,359,359
1607547841,370,370
1607558641,337,337
1607569441,774,774
1607580241,398,398
1607591041,402,402
1607601841,376,376
1607612641,389,389
1607623441,362,362
1607634241,342,342
1607645041,387,387
1607655841,700,700
1607666641,396,396
1607677441,360,360
1607688241,354,354
1607699041,304,304
1607709841,335,335
1607720641,333,333
1607731441,317,317
1607742241,653,653
1607753041,438,438
1607763841,378,378
1607774641,309,309
1607785441,351,351
1607796241,357,357
1607807041,304,304
1607817841,333,333
1607828641,633,633
1607839441,381,381
1607850241,358,358
1607861041,835,835
1607871841,322,322
1607882641,344,344
1607893441,321,321
1607904241,360,360
1607915041,668,668
1607925841,369,369
1607936641,384,384
1607947441,348,348
1607958241,445,445
1607969041,376,376
1607979841,261,261
1607990641,475,475
1608001441,722,722
1608012241,380,380
1608023041,367,367
1608033841,391,391
1608044641,388,388
1608055441,398,398
1608066241,360,360
1608077041,366,366
1608087841,676,676
1608098641,388,388
1608109441,362,362
1608120241,383,383
1608131041,392,392
1608141841,385,385
1608152642,352,352
1608163441,394,394
1608174241,701,701
1608185041,410,410
1608195841,337,337
1608206641,380,380
1608217441,364,364
1608228241,327,327
1608239041,337,337
1608249841,316,316
1608260641,829,829
1608271441,374,374
1608282241,341,341
1608293041,362,362
1608303841,474,474
1608314641,358,358
1608325441,348,348
1608336241,297,297
1608347041,696,696
1608357841,421,421
1608368641,691,691
1608379441,545,545
1608390241,532,532
1608401041,374,374
1608411841,349,349
1608422641,315,315
1608433441,721,721
1608444241,534,534
1608455041,381,381
1608465841,344,344
1608476641,358,358
1608487441,874,874
1608498241,383,383
1608509041,283,283
1608519841,717,717
1608530641,377,377
1608541441,390,390
1608552241,461,461
1608563041,444,444
1608573841,366,366
1608584641,390,390
1608595441,380,380
1608606241,719,719
1608617041,416,416
1608627841,430,430
1608638641,434,434
1608649441,404,404
1608660241,405,405
1608671041,345,345
1608681841,324,324
1608692641,695,695
1608703441,418,418
1608714241,394,394
1608725041,460,460
1608735841,455,455
1608746641,378,378
1608757441,369,369
1608768241,382,382
1608779041,837,837
1608789841,433,433
1608800641,468,468
1608811441,344,344
1608822241,360,360
1608833041,316,316
1608843841,375,375
1608854641,451,451
1608865441,979,979
1608876241,588,588
1608887041,483,483
1608897841,483,483
1608908641,353,353
1608919441,337,337
1608930241,343,343
1608941041,295,295
1608951841,696,696
1609016641,1705,1705
1609027441,329,329
1609038242,611,611
1609049041,878,878
1609059841,356,356
1609070641,346,346
1609081441,358,358
1609092241,316,316
1609103041,368,368
1609113841,304,304
1609124641,683,683
1609135441,390,390
1609146241,377,377
1609157041,432,432
1609167841,356,356
1609178641,374,374
1609189441,388,388
1609200241,345,345
1609211041,745,745
1609221841,426,426
1609232641,357,357
1609243441,340,340
1609254241,379,379
1609265041,361,361
1609275841,326,326
1609286641,343,343
1609297441,628,628
1609308241,437,437
1609319041,353,353
1609329841,427,427
1609340642,366,366
1609351441,332,332
1609362241,344,344
1609373041,315,315
1609383841,651,651
1609394641,406,406
1609405441,343,343
1609416241,331,331
1609427041,325,325
1609437841,345,345
1609448641,348,348
1609459441,346,346
1609470241,663,663
1609481041,441,441
1609491841,392,392
1609502641,299,299
1609513441,333,333
1609524241,351,351
1609535041,381,381
1609545841,309,309
1609556641,824,824
1609567441,456,456
1609578241,400,400
1609589041,325,325
1609599841,297,297
1609610641,322,322
1609621441,297,297
1609718641,429,429
1609729441,2231,2231
1609740241,383,383
1609751041,411,411
1609761841,354,354
1609772641,355,355
1609783441,344,344
1609794241,358,358
1609805041,359,359
1609815841,667,667
1609826641,467,467
1609837441,381,381
1609848241,360,360
1609859041,394,394
1609869841,368,368
1609880641,317,317
1609891441,315,315
1609902241,664,664
1609913041,434,434
1609923841,362,362
1609934641,367,367
1609945441,372,372
1609956241,350,350
1609967041,334,334
1609977841,320,320
1609988641,688,688
1609999441,419,419
1610010241,339,339
1610021041,382,382
1610031841,387,387
1610042641,386,386
1610053441,371,371
1610064241,353,353
1610075041,781,781
1610085841,388,388
1610096641,386,386
1610107441,364,364
1610118241,402,402
1610129041,427,427
1610139841,308,308
1610150641,304,304
1610161441,742,742
1610172241,398,398
1610183041,346,346
1610193841,337,337
1610204641,349,349
1610215441,316,316
1610226241,289,289
1610237041,311,311
1610247841,589,589
1610258641,685,685
1610269441,571,571
1610280241,332,332
1610291041,286,286
1610301841,314,314
1610312641,303,303
1610323441,273,273
1610334241,599,599
1610345041,366,366
1610355841,367,367
1610366641,331,331
1610377441,362,362
1610388241,225,225
1610402641,503,503
1610413441,500,500
1610424241,450,450
1610435041,366,366
1610445841,308,308
1610456641,325,325
1610467441,334,334
1610478241,403,403
1610489041,323,323
1610499841,566,566
1610510641,432,432
1610521441,321,321
1610532241,342,342
1610543041,320,320
1610553841,324,324
1610564641,368,368
1610575441,335,335
1610586241,560,560
1610597041,408,408
1610607841,362,362
1610618641,333,333
1610629441,332,332
1610640241,352,352
1610651041,326,326
1610661841,328,328
1610672641,542,542
1610683441,443,443
1610694241,342,342
1610705041,352,352
1610715841,303,303
1610726641,297,297
1610737441,423,423
1610748242,310,310
1610759041,776,776
1610769841,435,435
1610780641,437,437
1610791441,332,332
1610802241,294,294
1610813041,306,306
1610823841,260,260
1610834641,248,248
1610845441,465,465
1610856241,443,443
1610867041,783,783
1610877841,374,374
1610888641,295,295
1610899441,300,300
1610910241,265,265
1610921041,274,274
1610931841,471,471
1610942641,376,376
1610957041,449,449
1610967841,340,340
1610978641,281,281
1610989441,298,298
1611000241,289,289
1611011041,325,325
1611021841,539,539
1611032641,409,409
1611043441,381,381
1611054241,326,326
1611065041,330,330
1611075841,280,280
1611086641,329,329
1611097441,352,352
1611108241,540,540
1611119041,428,428
1611129841,370,370
1611140641,367,367
1611151441,344,344
1611162241,323,323
1611173041,327,327
1611183841,289,289
1611194641,620,620
1611205441,389,389
1611216241,367,367
1611227041,308,308
1611237841,320,320
1611248641,285,285
1611259441,327,327
1611270241,266,266
1611281041,531,531
1611291841,376,376
1611302641,346,346
1611313441,316,316
1611324241,277,277
1611335041,295,295
1611345841,394,394
1611356641,380,380
1611367441,792,792
1611378241,378,378
1611389041,456,456
1611399841,342,342
1611410641,311,311
1611421441,317,317
1611432241,333,333
1611443041,310,310
1611453841,488,488
1611464641,521,521
1611475441,724,724
1611486241,371,371
1611497041,297,297
1611507841,264,264
1611518641,277,277
1611529441,292,292
1611540241,523,523
1611551041,388,388
1611561841,370,370
1611572641,321,321
1611583441,320,320
1611594241,351,351
1611605041,321,321
1611615841,330,330
1611626641,545,545
1611637441,425,425
1611648241,355,355
1611659041,330,330
1611669841,339,339
1611680641,281,281
1611691441,325,325
1611702241,304,304
1611713041,535,535
1611723841,409,409
1611734641,353,353
1611745441,330,330
1611756241,321,321
1611767041,361,361
1611777841,312,312
1611788641,319,319
1611799441,525,525
1611810241,373,373
1611821041,363,363
1611831841,334,334
1611842641,286,286
1611853441,292,292
1611864241,287,287
1611875041,309,309
1611885841,552,552
1611896641,376,376
1611907441,328,328
1611918241,371,371
1611929041,282,282
1611939841,308,308
1611950641,298,298
1611961441,391,391
1611972241,664,664
1611983041,366,366
1611993841,380,380
1612004641,387,387
1612015441,272,272
1612026241,281,281
1612037041,240,240
1612047841,240,240
1612058641,444,444
1612069441,490,490
1612080241,639,639
1612091041,289,289
