DateTime,AddedIPs,RemovedIPs
1552538193,5632,38912
1552624579,0,20480
1552711004,0,30720
1552970236,1792,21504
1553056635,16,23552
1553142996,0,18432
1553229419,0,43008
1553315805,0,22528
1553488595,0,3072
1553575037,1024,33792
1553661509,256,23552
1553747836,2048,9472
1553834204,0,29696
1553920612,0,24832
1554179785,4864,30720
1554266259,3584,32768
1554352587,512,13312
1554438926,2816,21504
1554525439,1024,19456
1554784538,8448,23552
1554870944,5120,22528
1554957413,4096,29696
1555043813,768,25600
1555130220,0,2048
1555389399,256,5120
1555475832,1536,0
1555648603,512,0
1556080538,5376,4096
1556253377,768,0
1556339821,512,0
1556599009,0,1024
1556685441,768,0
1556771847,256,4096
1556858247,768,0
1556944830,256,0
1557203839,512,3072
1557290143,1280,0
1557462944,256,0
1557549446,0,256
1557808662,256,0
1557894962,1280,3072
1557981293,5888,4096
1558067751,2560,1024
1558154181,15872,0
1558411483,1536,0
1558497875,4352,0
1558584270,1536,0
1558757089,2048,8192
1559016287,0,1024
1559102656,1024,0
1559189141,0,16640
1559621084,0,3072
1559793869,8704,256
1559880284,2048,3072
1560312252,1024,2304
1560398674,512,0
1560485096,1056,2048
1560830690,0,2048
1560917075,1536,1024
1561003465,0,3072
1561089877,1280,0
1561176294,8192,0
1561435466,1280,1024
1561521880,520,0
1561608257,1024,1024
1561694691,256,5632
1561781062,512,0
1562040286,1024,1024
1562126703,9216,7168
1562213061,1024,0
1562299459,0,1024
1562385870,1024,0
1562645079,7680,1024
1562731514,2304,0
1562817850,768,0
1562990690,2304,0
1563249885,3328,87808
1563422697,256,0
1563509116,1024,1280
1563854683,13312,0
1563941065,0,3072
1564027489,1280,1024
1564459481,640,1024
1564545851,256,1024
1564632288,0,2048
1564718660,19456,0
1564805067,3328,0
1565064293,23040,1024
1565150682,19712,0
1565237076,31744,0
1565323464,3056,0
1565409882,16,0
1565669054,29440,0
1565755512,1792,0
1565841880,74752,0
1565928248,4096,1024
1566014695,8192,0
1566273880,5632,2048
1566360278,0,256
1566446692,768,3072
1566533060,256,0
1566878717,75776,4352
1566965224,1024,0
1567051499,0,9216
1567137902,512,7168
1567484011,7936,1024
1567656295,0,4096
1567742712,1280,256
1567829112,0,1024
1568088313,768,2048
1568174695,1280,20736
1568261085,256,2048
1568433875,0,256
1568693081,1024,3072
1568779526,2560,0
1568865904,256,0
1568952292,1024,0
1569038838,0,1024
1569297880,2560,0
1569384259,2816,0
1569470709,256,256
1569557091,4608,256
1569729882,1024,0
1569902684,1024,0
1569989110,1280,0
1570075491,1280,0
1570161958,256,50176
1570248292,256,35840
1570507472,2560,29696
1570593901,3072,15360
1570680271,256,23552
1570766678,16384,30720
1570853076,0,19456
1571112279,0,21504
1571198668,512,16384
1571285068,2304,16384
1571371532,0,22528
1571457890,0,21504
1571717010,0,20480
1571803486,512,16896
1571889887,256,16384
1571976282,3072,8192
1572062677,0,13312
1572321884,4352,18432
1572408291,512,14592
1572494697,7936,21504
1572581091,1024,30720
1572667463,0,29696
1572926698,145408,21504
