DateTime,AddedIPs,RemovedIPs
1581165608,674,771
1581257547,687,683
1581325958,728,679
1581417608,501,882
1581417863,275,589
1581509304,772,695
1581601453,498,361
1581601932,280,349
1581692906,500,1213
1581693377,313,868
1581784091,816,689
1581875066,815,712
1581954735,732,741
1581972514,729,26
1581975633,724,7
1582017372,728,34
1582018810,657,13
1582060102,662,775
1582108329,754,11
1582150116,662,750
1582218972,687,762
1582311126,733,756
1582402570,736,789
1582494730,691,767
1582562890,650,695
1582621945,704,1409
1582629862,710,1418
1582721544,737,1436
1582742889,739,15
1582834112,745,1362
1582867943,773,18
1582894853,682,17
1582986729,841,720
1583078430,702,754
1583147300,726,708
1583226497,731,646
1583248587,798,1364
1583254812,692,13
1583345302,763,718
1583394016,834,750
1583421374,686,15
1583422819,688,8
1583428333,734,13
1583519285,670,2163
1583609556,787,829
1583700496,731,689
1583759533,702,717
1583850297,500,433
1583850731,271,283
1583941208,688,1460
1584031950,497,1794
1584032415,331,1146
1584122895,498,477
1584124088,287,482
1584181687,500,500
1584182410,257,32
1584186727,681,20
1584191538,703,9
1584197054,641,11
1584288524,701,804
1584380172,780,1440
1584471625,712,780
1584563546,786,691
1584655217,700,774
1584746653,755,735
1584780493,661,12
1584871933,785,2814
1584963618,695,729
1585042809,763,781
1585053141,755,16
1585121772,620,696
1585162573,700,9
1585221864,766,777
1585263633,711,696
1585321727,726,21
1585412884,500,937
1585413151,314,495
1585505317,774,753
1585563612,722,4
1585643536,778,688
1585677381,725,1522
1585726808,775,615
1585740732,739,7
1585831699,500,862
1585831928,300,578
1585923129,751,721
1586013850,724,744
1586105290,706,802
1586197685,721,1506
1586255655,719,770
1586325126,733,684
1586326359,532,24
1586348662,730,1535
1586417061,728,16
1586509017,707,792
1586522182,722,21
1586613369,737,742
1586705047,733,711
1586784263,500,442
1586784732,269,267
1586875467,500,873
1586876178,345,505
1586877130,339,9
1586877369,500,0
1586936902,819,1237
1586978178,819,736
1587036733,768,728
1587042502,998,1
1587111370,796,15
1587152891,831,1430
1587187933,752,19
1587279366,783,747
1587371294,711,746
1587442570,802,784
1587456025,767,7
1587466575,821,11
1587483863,775,1653
1587489158,713,20
