DateTime,Entries,UniqueIPs
1577680361,28904,29000
1577691132,29404,29500
1577694747,29903,30000
1577701955,30402,30500
1577793862,29901,30000
1577801312,30400,30500
1577806362,30900,31000
1577809697,31400,31500
1577818092,31400,31500
1577825060,31899,32000
1577830128,32398,32500
1577833940,32898,33000
1577838258,33398,33500
1577846184,33897,34000
1577850248,34397,34500
1577858920,34890,35000
1577876444,35388,35500
1577878825,35888,36000
1577882649,36386,36500
1577888197,36884,37000
1577894916,36882,37000
1577902824,37381,37500
1577910026,37877,38000
1577933300,38375,38500
1577955862,38866,39000
1577959479,39366,39500
1577963073,39365,39500
1577972431,39853,40000
1577978658,40353,40500
1578020190,40848,41000
1578048012,41348,41500
1578058587,41348,41500
1578061475,41848,42000
1578064598,42346,42500
1578086909,42846,43000
1578166809,42346,42500
1578236166,42345,42500
1578316105,42345,42500
1578323309,42845,43000
1578329307,43345,43500
1578332676,43844,44000
1578354504,43842,44000
1578395556,44341,44500
1578486990,44341,44500
1578497290,44340,44500
1578576771,44840,45000
1578668925,44342,44500
1578671886,44842,45000
1578765629,44340,44500
1578834755,43839,44000
1578846505,44331,44500
1578938654,44328,44500
1579018835,44328,44500
1579088412,44827,45000
1579092265,45327,45500
1579096830,45328,45500
1579100916,45827,46000
1579104510,46327,46500
1579108115,46826,47000
1579175302,46787,47000
1579267015,46292,46500
1579358674,45790,46000
1579450572,43294,43500
1579541539,41304,41500
1579632728,41302,41500
1579723738,40300,40500
1579814892,38800,39000
1579906107,38795,39000
1579964428,39295,39500
1579973284,39793,40000
1580052736,39293,39500
1580111060,39790,40000
1580118262,40288,40500
1580124489,40784,41000
1580135545,40785,41000
1580145133,41285,41500
1580236354,39284,39500
1580315782,36847,37000
1580406965,35349,35500
1580465768,31856,32000
1580557449,26883,27000
1580649157,25400,25500
1580662569,24398,24500
1580742771,24392,24500
1580812448,24390,24500
1580839945,24389,24500
1580930651,22890,23000
1581022106,22392,22500
1581063606,22889,23000
1581074664,23387,23500
1581165608,22885,23000
1581257546,22885,23000
1581325957,22385,22500
1581417608,22386,22500
1581509303,21893,22000
1581601453,21896,22000
1581692906,20397,20500
1581784089,18938,19000
1581875065,18939,19000
1581954733,18940,19000
1581972513,19436,19500
1581975633,19935,20000
1582017371,20434,20500
1582018809,20929,21000
1582060102,20929,21000
1582108328,21429,21500
1582150115,21426,21500
1582218971,21924,22000
1582311125,21928,22000
1582402569,21929,22000
1582494729,21930,22000
1582562889,21435,21500
1582621944,21435,21500
1582629861,21934,22000
1582721543,20444,20500
1582742889,19943,19999
1582834111,19946,19999
1582867941,20443,20499
1582894852,20942,20999
1582986728,20942,20999
1583078429,20443,20499
1583147300,20943,20999
1583226496,20942,20999
1583248586,20940,20999
1583254811,20943,20999
1583345301,20947,20999
1583394015,21446,21499
1583421373,21450,21499
1583422817,21949,21999
1583428332,22446,22499
1583519284,22447,22499
1583609554,22448,22499
1583700495,21453,21499
1583759533,21457,21499
1583850297,21457,21499
1583941207,21457,21499
1584031950,21455,21499
1584122895,21455,21499
1584181687,21955,21999
1584186726,22453,22498
1584191537,22953,22998
1584197053,22951,22998
1584288523,22950,22998
1584380171,22950,22998
1584471624,22949,22998
1584563545,22949,22998
1584655216,20959,20999
1584746652,20465,20499
1584780493,20965,20999
1584871932,20966,20999
1584963617,20966,20999
1585042808,20967,20999
1585053140,21466,21499
1585121771,21465,21499
1585162572,21463,21499
1585221863,20966,20999
1585263632,21464,21499
1585321727,21464,21499
1585412884,21464,21499
1585505316,20467,20499
1585563611,20967,20999
1585643535,20962,20999
1585677380,20963,20999
1585726807,21462,21499
1585740732,21463,21500
1585831699,21464,21500
1585923128,20968,21000
1586013849,19974,20000
1586105289,19477,19500
1586197685,19477,19500
1586255654,19477,19500
1586325125,19478,19500
1586326357,19787,19809
1586348661,20287,20309
1586417060,20287,20309
1586509016,20287,20309
1586522181,20787,20809
1586613368,20787,20809
1586705047,20789,20809
1586784263,19291,19309
1586875467,19292,19309
1586877369,19791,19809
1586936901,19792,19809
1586978177,19793,19809
1587036732,20293,20309
1587042502,20793,20809
1587111369,20794,20809
1587152890,21294,21309
1587187932,21293,21309
1587279365,21293,21309
1587371293,21293,21309
1587442569,21293,21309
1587456024,21793,21809
1587466574,21793,21809
1587483862,22293,22309
1587489157,22793,22809
1587507374,23292,23309
1587513629,23792,23809
1587514590,24292,24309
1587525619,24782,24809
1587534489,25282,25309
1587537640,25782,25809
1587538840,26275,26309
1587551537,26775,26809
1587553735,27275,27309
1587554656,27775,27809
1587560038,27775,27809
1587561143,28275,28309
1587630020,28775,28809
1587720738,27775,27809
1587812167,27775,27809
1587903857,27277,27309
1587995568,27275,27308
1588087225,27275,27308
1588178650,26775,26808
