DateTime,AddedIPs,RemovedIPs
1577680361,500,0
1577691132,500,0
1577694747,500,0
1577701955,500,500
1577793862,500,2000
1577801312,500,500
1577806362,500,500
1577809697,500,0
1577818092,500,0
1577825060,500,0
1577830128,500,0
1577833940,500,0
1577838258,500,0
1577846184,500,0
1577850248,500,0
1577858920,500,0
1577876444,500,0
1577878825,500,0
1577882649,500,0
1577888197,500,0
1577894916,500,0
1577902824,500,500
1577910026,500,0
1577933300,500,0
1577955862,500,0
1577959479,500,0
1577963073,500,0
1577972431,500,0
1577978658,500,0
1578020190,500,500
1578048012,500,500
1578058587,500,0
1578061475,500,0
1578064598,500,0
1578086909,500,0
1578166809,500,500
1578236166,500,2000
1578316105,500,3500
1578323309,500,0
1578329307,500,0
1578332676,500,0
1578354504,500,0
1578395556,500,0
1578486990,500,7000
1578497290,500,1000
1578576771,500,3500
1578668925,500,3000
1578671886,500,500
1578765629,500,500
1578834755,500,500
1578846505,500,500
1578938654,500,2000
1579018835,500,1000
1579088412,500,0
1579092265,500,500
1579096830,500,0
1579100916,500,0
1579104510,500,500
1579108115,500,0
1579175302,500,0
1579267015,500,500
1579358674,500,1000
1579450572,500,1000
1579541539,500,500
1579632728,500,1000
1579723738,500,3000
1579814892,500,500
1579906107,500,500
1579964428,500,500
1579973284,500,0
1580052736,500,0
1580111060,500,500
1580118262,500,0
1580124489,500,0
1580135545,500,0
1580145133,500,0
1580236354,500,500
1580315782,500,500
1580406965,500,500
1580465768,500,500
1580557449,500,500
1580649157,500,1000
1580662569,500,500
1580742771,500,2000
1580812448,500,500
1580839945,500,0
1580930651,500,1000
1581022106,500,500
1581063606,500,0
1581074664,500,500
1581165608,500,500
1581257546,500,500
1581325957,500,500
1581417608,500,1000
1581509303,500,500
1581601453,500,500
1581692906,500,1500
1581784089,500,500
1581875065,500,500
1581954733,500,500
1581972513,500,0
1581975633,500,0
1582017371,500,0
1582018809,500,0
1582060102,500,500
1582108328,500,0
1582150115,500,500
1582218971,500,500
1582311125,500,500
1582402569,500,500
1582494729,500,500
1582562889,500,500
1582621944,500,1000
1582629861,500,1000
1582721543,500,1000
1582742889,500,0
1582834111,500,1000
1582867941,500,0
1582894852,500,0
1582986728,500,500
1583078429,500,500
1583147300,500,500
1583226496,500,500
1583248586,500,1000
1583254811,500,0
1583345301,500,500
1583394015,500,500
1583421373,500,0
1583422817,500,0
1583428332,500,0
1583519284,500,1500
1583609554,500,500
1583700495,500,500
1583759533,500,500
1583850297,500,500
1583941207,500,1000
1584031950,500,2000
1584122895,500,500
