DateTime,AddedIPs,RemovedIPs
1577818093,427,0
1577825061,438,0
1577830129,432,0
1577833941,410,0
1577838259,420,0
1577846185,443,0
1577850249,404,0
1577858921,378,0
1577876445,389,0
1577878826,348,0
1577882650,354,401
1577888198,325,401
1577894917,386,349
1577902825,348,403
1577910027,384,330
1577933301,367,1931
1577955863,403,800
1577959480,371,0
1577963074,424,381
1577972433,353,758
1577978659,419,346
1578020191,386,1657
1578048013,431,864
1578058588,468,452
1578061476,427,408
1578064599,469,0
1578086910,448,435
1578166810,435,2302
1578236167,485,483
1578316106,482,491
1578323310,486,482
1578329308,464,0
1578332678,450,0
1578354505,454,0
1578395557,438,0
1578486992,444,2741
1578497291,474,0
1578576772,478,464
1578668926,487,975
1578671888,467,0
1578765630,488,955
1578834756,491,0
1578846506,473,0
1578938655,454,1418
1579018836,481,0
1579088415,495,480
1579092266,488,0
1579096831,472,0
1579100917,477,0
1579104511,457,0
1579108116,475,456
1579175304,475,490
1579267016,473,2867
1579358675,495,495
1579450573,493,493
1579541540,496,496
1579632729,497,497
1579723739,496,496
1579814892,449,449
1579906108,439,439
1579964429,426,0
1579973285,371,0
1580052738,382,743
1580111062,423,409
1580118264,419,0
1580124490,410,0
1580135546,366,0
1580145134,350,364
1580236355,359,1990
1580316011,440,0
1580406966,405,845
1580465769,432,0
1580557450,391,823
1580649158,421,421
1580662570,420,0
1580742772,387,387
1580812449,392,369
1580839946,385,410
1580930651,400,818
1581022107,438,438
1581063607,433,0
1581074664,381,0
1581165608,395,1209
1581257547,446,446
1581325958,426,0
1581417863,365,791
1581509304,431,431
1581601932,443,443
1581693377,415,415
1581784091,434,434
1581875066,446,446
1581954735,441,0
1581972514,371,388
1581975633,393,0
1582017372,354,0
1582018810,282,0
1582060102,280,623
1582108329,330,1032
1582150116,375,353
1582218972,379,381
1582311126,373,801
1582402570,408,408
1582494730,398,398
1582562890,429,0
1582621945,396,387
1582629862,385,0
1582721544,385,1208
1582742889,429,0
1582834112,413,842
1582867943,436,0
1582894853,408,0
1582986729,407,1251
1583078430,425,425
1583147300,419,0
1583226497,384,371
1583248587,382,390
1583254812,379,0
1583345302,349,1152
1583394016,427,0
1583421374,397,0
1583422819,372,0
1583428333,335,0
1583519285,292,1823
1583609556,417,417
1583700496,445,445
1583759533,427,0
1583850731,410,837
1583941208,426,426
1584032415,425,425
1584124088,401,401
1584182410,405,0
1584186727,347,0
1584191538,351,0
1584197054,325,0
1584288524,316,1744
1584380172,411,411
1584471625,421,421
1584563546,410,410
1584655217,413,413
1584746653,406,406
1584780493,388,0
1584871933,373,761
1584963618,419,419
1585042809,413,0
1585053141,376,382
1585121772,500,0
1585162573,399,806
1585221864,419,500
1585263633,357,387
1585321727,395,365
1585413151,378,797
1585505317,424,424
1585563612,438,0
1585643536,401,402
1585677381,408,410
1585726808,390,0
1585740732,375,381
1585831928,376,1195
1585923129,415,415
1586013850,412,412
1586105290,403,403
1586197685,403,403
1586255655,401,0
1586325126,373,362
1586326359,366,0
1586348662,329,347
1586417061,342,693
1586509017,370,779
1586522182,425,0
1586613369,392,817
1586705047,439,439
1586784732,445,0
1586876178,410,855
1586877130,438,0
1586936902,416,0
1586978178,407,808
1587036733,414,412
1587042502,500,0
1587111370,414,422
1587152891,413,917
1587187933,417,0
1587279366,372,1232
1587371294,445,445
1587442570,464,0
1587456025,403,0
1587466575,406,409
1587483863,426,0
1587489158,359,0
1587507375,355,0
1587513630,332,0
1587514591,323,0
1587525620,327,0
1587534489,289,316
1587537641,299,0
1587538841,284,0
1587551538,304,303
1587553736,303,348
1587554657,287,0
1587560039,312,0
1587561144,271,0
1587630021,300,2719
1587720739,366,2315
1587812168,448,448
1587904335,435,435
1587995569,447,447
1588087226,482,482
1588178652,492,492
1588270109,475,475
1588361590,481,481
1588452501,462,462
1588543940,456,456
1588635608,461,461
1588727302,429,429
1588818491,439,439
1588909686,442,442
1589001140,447,447
1589092810,435,435
1589183530,500,500
1589276421,500,500
1589367862,499,499
1589459070,482,482
1589550737,463,463
1589642179,498,498
1589734567,500,500
1589825315,477,477
1589916735,477,477
1590009153,470,470
1590102255,469,469
1590193469,463,463
1590284904,441,441
1590377353,410,410
1590468490,425,425
1590559706,480,480
1590651145,491,491
1590744021,497,497
1590835692,483,483
1590925693,456,456
1591017130,451,451
1591108333,433,433
1591199290,461,461
1591290731,459,459
1591382169,443,443
1591473370,450,450
1591564575,477,477
1591655532,483,483
1591746985,475,475
1591837928,470,470
1591928886,432,432
1591969933,468,0
1592061387,488,956
1592152338,490,490
1592244511,445,445
1592335450,449,449
1592427131,434,434
1592518448,479,479
1592609546,494,494
1592699770,476,476
1592790511,465,465
1592881964,462,462
1592973873,446,446
1593064335,459,459
1593155526,467,467
1593246488,452,452
1593337450,458,458
1593428167,487,487
1593519370,488,488
1593610114,500,500
1593689556,500,0
1593711611,482,500
1593761053,445,0
1593802120,419,891
1593893777,474,929
1593985210,488,488
1594013051,470,0
1594104492,437,907
1594196174,500,500
1594287616,498,498
1594356727,401,0
1594373538,406,0
1594376918,358,361
1594468565,370,1174
1594560256,416,416
1594651718,429,429
1594743615,463,463
1594824251,479,0
1594916443,468,947
1595008330,476,476
1595099536,461,461
1595191222,483,483
1595282648,480,480
1595373854,491,491
1595423556,1,0
1595481163,471,471
1595572601,454,455
1595664038,500,500
1595755930,500,500
1595848102,423,423
1595939801,441,441
1596032171,1,500
1596033137,500,0
1596120742,460,460
1596211965,461,462
1596229696,1,0
1596298841,465,465
1596389770,468,469
1596480490,474,474
1596572005,428,428
1596581294,1,0
1596659292,446,446
1596750011,435,436
1596758194,1,0
1596844327,488,488
1596935051,486,487
1596941319,1,0
1597032760,413,414
1597034917,1,0
1597126123,433,434
1597217290,455,455
1597308492,500,500
1597314034,1,0
1597405452,500,501
1597409794,1,0
1597492599,492,492
1597580199,416,416
1597669240,437,437
1597760176,435,436
1597770039,421,0
1597777953,1,0
1597857606,402,823
1597950038,440,441
1598041933,479,479
1598133366,486,486
1598192172,465,0
1598283611,432,897
1598375300,469,469
1598467710,451,451
1598559634,478,478
1598651666,475,475
1598672161,1,0
1598744409,471,471
1598760729,462,1
1598773473,413,0
1598790967,421,0
1598812807,426,0
1598905003,413,2135
1598997887,455,455
1599039366,1,0
1599089077,498,498
1599181453,499,500
1599249613,500,0
1599271724,1,500
1599282758,499,0
1599374196,500,1000
1599465618,500,500
1599479530,500,0
1599548170,469,0
1599575797,426,955
1599655480,483,433
1599656427,434,0
1599669421,453,487
1599761357,434,1324
1599802808,474,0
1599894755,452,926
1599985935,500,500
1600077642,500,500
1600168811,500,500
1600260967,500,500
1600352201,462,462
1600442889,484,484
1600534350,468,468
1600625834,447,447
1600717689,455,455
1600808446,427,427
1600899612,485,485
1600991315,489,489
1601082491,494,494
1601174197,458,458
1601266114,475,475
1601293717,489,0
1601386085,463,952
1601477527,455,455
1601568519,458,458
1601637126,471,0
1601728327,409,880
1601820040,476,476
1601911217,481,481
1602002413,499,499
1602093874,498,498
1602184805,405,405
1602276728,460,460
1602367958,469,469
1602458887,494,494
1602549612,495,495
1602577451,489,0
1602668408,487,976
1602759852,485,485
1602850841,473,473
1602941532,473,473
1603032730,480,480
1603124170,495,495
1603215610,495,495
1603306333,496,496
1603398036,489,489
1603489447,493,493
1603580500,487,487
1603671610,489,489
1603762358,485,485
1603853527,473,473
1603944729,459,459
1604035953,433,433
1604127161,448,448
1604218355,492,492
1604309287,494,494
1604400249,461,461
1604491216,481,481
1604582408,477,477
1604674115,450,450
1604764570,442,442
1604855799,499,499
1604946258,497,497
1605037210,478,478
1605129397,475,475
1605219876,458,458
1605311557,480,480
1605402756,470,470
1605492971,497,497
1605584408,496,496
1605675370,487,487
1605766357,474,474
1605858249,468,468
1605949237,467,467
1606039930,499,499
1606130912,499,499
1606222330,494,494
1606314294,497,497
1606405703,403,403
1606496482,452,452
1606587373,496,496
1606678401,499,499
1606769290,495,495
1606848488,471,0
1606882355,487,467
1606973291,497,988
1606975452,494,0
1607065956,470,964
1607157366,495,495
1607248334,499,499
1607339053,479,479
1607429559,500,500
1607520966,499,499
1607611928,495,495
1607703612,496,496
1607794573,450,450
1607885804,479,479
1607976786,479,479
1608068194,500,500
1608160098,498,498
1608250568,444,444
1608341289,469,469
1608432516,473,473
1608523238,450,450
1608614444,471,471
1608705853,477,477
1608797290,500,500
1608888492,500,500
1608979691,489,489
1609070695,480,480
1609161399,494,494
1609252331,491,491
1609343808,460,460
1609435225,383,383
1609526413,398,398
1609617365,433,433
1609708339,429,429
1609798651,495,495
1609889770,485,485
1609980731,443,443
1610071695,424,424
1610163129,392,392
1610253416,429,429
1610345334,474,474
1610436732,463,463
