DateTime,Entries,UniqueIPs
1577663312,20748,21783
1577680362,21093,22168
1577691133,21444,22522
1577694748,21787,22877
1577701956,22117,23217
1577793862,21742,22822
1577801312,22047,23144
1577806363,22309,23430
1577809698,22622,23759
1577818093,22521,23659
1577825061,22794,23949
1577830129,23065,24231
1577833941,23358,24532
1577838259,23667,24853
1577846185,24031,25224
1577850249,24328,25532
1577858921,24600,25812
1577876445,24880,26104
1577878826,25138,26370
1577882650,25385,26632
1577888198,25600,26853
1577894917,25541,26793
1577902825,25815,27074
1577910027,26152,27421
1577933301,26406,27690
1577955863,26701,27992
1577959480,26942,28242
1577963074,27240,28562
1577972433,27159,28481
1577978659,27479,28809
1578020191,27731,29073
1578048013,28047,29396
1578058588,28449,29803
1578061476,28713,30071
1578064599,28732,30085
1578086910,28999,30363
1578166810,28688,30048
1578236167,28626,29991
1578316106,28617,29982
1578323310,28941,30312
1578329308,29257,30636
1578332678,29524,30909
1578354505,29563,30949
1578395557,29870,31261
1578486992,29505,30883
1578497291,29789,31185
1578576772,30132,31542
1578668926,29753,31151
1578671888,30076,31484
1578765630,29814,31215
1578834756,29499,30887
1578846506,29726,31125
1578938655,29660,31060
1579018836,29645,31045
1579088415,30082,31487
1579092266,30422,31831
1579096831,30473,31878
1579100917,30833,32248
1579104511,31186,32608
1579108116,31561,32988
1579175304,31598,33031
1579267016,31300,32727
1579358675,31062,32486
1579450573,29625,30978
1579541540,28355,29637
1579632729,28483,29755
1579723739,27924,29164
1579814892,27000,28190
1579906108,26949,28137
1579964429,27183,28379
1579973285,27407,28619
1580052738,27076,28267
1580111062,27358,28552
1580118264,27656,28856
1580124490,27921,29133
1580135546,27851,29053
1580145134,28094,29301
1580236355,26995,28168
1580316011,25291,26386
1580406966,24348,25404
1580465769,22246,23199
1580557450,19212,20075
1580649158,18187,19025
1580662570,17270,18097
1580742772,17215,18035
1580812449,17019,17848
1580839946,16921,17745
1580930651,15869,16667
1581022107,15363,16150
1581063607,15610,16404
1581074664,15835,16632
1581165608,15451,16221
1581257547,15302,16075
1581325958,14813,15579
1581417863,14640,15396
1581509304,14263,15005
1581601932,14206,14953
1581693377,12467,13199
1581784091,11517,12228
1581875066,11398,12111
1581954735,11248,11961
1581972514,11441,12174
1581975633,11739,12479
1582017372,11941,12690
1582018810,12122,12877
1582060102,11891,12647
1582108329,12114,12875
1582150116,11923,12689
1582218972,12153,12932
1582311126,11960,12740
1582402570,11928,12711
1582494730,11864,12652
1582562890,11650,12440
1582621945,11692,12481
1582629862,11926,12730
1582721544,11020,11808
1582742889,10698,11482
1582834112,10733,11513
1582867943,10983,11764
1582894853,11244,12031
1582986729,11299,12090
1583078430,10991,11779
1583147300,11224,12019
1583226497,11250,12038
1583248587,11279,12066
1583254812,11314,12094
1583345302,11260,12037
1583394016,11558,12339
1583421374,11563,12337
1583422819,11822,12604
1583428333,12054,12840
1583519285,11992,12778
1583609556,11940,12722
1583700496,11487,12257
1583759533,11444,12205
1583850731,11444,12195
1583941208,11477,12223
1584032415,11497,12239
1584124088,11411,12155
1584182410,11632,12386
1584186727,11828,12589
1584191538,12110,12876
1584197054,12130,12897
1584288524,12132,12899
1584380172,12093,12853
1584471625,12085,12844
1584563546,12088,12852
1584655217,11259,11992
1584746653,10993,11709
1584780493,11186,11906
1584871933,11177,11901
1584963618,11202,11923
1585042809,11214,11931
1585053141,11444,12165
1585121772,11728,12461
1585162573,11732,12474
1585221864,11446,12178
1585263633,11654,12395
1585321727,11641,12382
1585413151,11657,12394
1585505317,11061,11786
1585563612,11362,12099
1585643536,11321,12061
1585677381,11386,12125
1585726808,11619,12367
1585740732,11666,12414
1585831928,11684,12437
1585923129,11419,12165
1586013850,10918,11655
1586105290,10603,11337
1586197685,10634,11359
1586255655,10611,11331
1586325126,10554,11271
1586326359,10772,11492
1586348662,10987,11715
1586417061,10933,11666
1586509017,10918,11654
1586522182,11146,11895
1586613369,11149,11899
1586705047,11188,11934
1586784732,10516,11241
1586876178,10559,11286
1586877130,10883,11612
1586936902,10908,11641
1586978178,10938,11670
1587036733,11225,11959
1587042502,11720,12455
1587111370,11740,12484
1587152891,12003,12756
1587187933,12014,12770
1587279366,12033,12789
1587371294,12158,12913
1587442570,12264,13008
1587456025,12545,13302
1587466575,12609,13358
1587483863,12932,13685
1587489158,13163,13927
1587507375,13411,14180
1587513630,13647,14421
1587514591,13874,14659
1587525620,14125,14914
1587534489,14346,15147
1587537641,14584,15393
1587538841,14816,15630
1587551538,15053,15875
1587553736,15293,16127
1587554657,15510,16354
1587560039,15513,16368
1587561144,15736,16599
1587630021,15992,16865
1587720739,15304,16163
1587812168,15288,16159
1587904335,15082,15946
1587995569,15132,16001
1588087226,15258,16127
1588178652,14984,15841
1588270109,14841,15692
1588361590,14636,15479
1588452501,14631,15475
1588543940,14725,15574
1588635608,14760,15610
1588727302,14812,15660
1588818491,14830,15688
1588909686,14900,15762
1589001140,14538,15365
1589092810,14537,15354
1589183530,14591,15392
1589276421,14803,15600
1589367862,14941,15736
1589459070,15051,15850
1589550737,14554,15345
1589642179,14017,14786
1589734567,14106,14890
1589825315,13914,14680
1589916735,14028,14790
1590009153,14035,14801
1590102255,12823,13513
1590193469,10466,10984
1590284904,10462,10954
1590377353,10479,10956
1590468490,10463,10930
1590559706,10651,11090
1590651145,10764,11193
1590744021,10821,11237
1590835692,10868,11281
1590925693,10824,11238
1591017130,10818,11216
1591108333,10873,11239
1591199290,10919,11270
1591290731,10958,11296
1591382169,11034,11350
1591473370,11071,11371
1591564575,11160,11441
1591655532,11266,11527
1591746985,11394,11617
1591837928,11182,11412
1591928886,11017,11253
1591969933,10984,11219
1592061387,11078,11315
1592152338,11052,11288
1592244511,10866,11107
1592335450,10878,11101
1592427131,10842,11041
1592518448,10866,11071
1592609546,10986,11180
1592699770,11007,11205
1592790511,11050,11254
1592881964,11144,11347
1592973873,11215,11414
1593064335,11306,11497
1593155526,11249,11450
1593246488,11140,11339
1593337450,11093,11291
1593428167,11187,11384
1593519370,11205,11400
1593610114,11388,11577
1593689556,11809,12009
1593711611,11863,12058
1593761053,12216,12422
1593802120,12183,12393
1593893777,12292,12493
1593985210,12305,12503
1594013051,12685,12891
1594104492,12711,12912
1594196174,12808,13008
1594287616,12741,12946
1594356727,12630,12844
1594373538,12952,13169
1594376918,13230,13453
1594468565,13219,13443
1594560256,13154,13373
1594651718,13080,13305
1594743615,12976,13208
1594824251,13023,13264
1594916443,13069,13305
1595008330,13088,13329
1595099536,13028,13276
1595191222,13034,13282
1595282648,12983,13247
1595373854,12948,13217
1595423556,12564,12831
1595481163,12567,12837
1595572601,12510,12791
1595664038,12627,12907
1595755930,12583,12869
1595848102,12530,12822
1595939801,12483,12781
1596032171,12086,12373
1596033137,12447,12743
1596120742,12449,12741
1596211965,12282,12585
1596298841,12218,12537
1596389770,11857,12197
1596480490,11815,12175
1596572005,11694,12061
1596581294,11351,11712
1596659292,11301,11660
1596750011,11241,11613
1596844327,11193,11565
1596935051,11210,11580
1597032760,10621,10973
1597126123,10678,11030
1597217290,10788,11127
1597308492,10961,11293
1597405452,11097,11419
1597492599,11017,11348
1597580199,10916,11253
1597669240,10841,11188
1597760176,10855,11200
1597770039,11147,11504
1597857606,11073,11437
1597950038,10999,11354
1598041933,11052,11403
1598133366,11064,11410
1598192172,11113,11454
1598283611,10958,11303
1598375300,11010,11359
1598467710,11015,11361
1598559634,11075,11416
1598651666,11026,11366
1598744409,11006,11348
1598760729,11283,11646
1598773473,11623,11997
1598790967,11946,12331
1598812807,11929,12316
1598905003,11943,12320
1598997887,11884,12255
1599089077,12077,12419
1599181453,12084,12425
1599249613,12567,12912
1599271724,12226,12563
1599282758,12656,13002
1599374196,12884,13210
1599465618,12941,13264
1599479530,13299,13644
1599548170,13280,13639
1599575797,13605,13979
1599655480,13734,14116
1599656427,14106,14498
1599669421,14522,14920
1599761357,14626,15016
1599802808,15037,15436
1599894755,15071,15468
1599985935,15068,15466
1600077642,14963,15360
1600168811,15179,15559
1600260967,15261,15651
1600352201,15036,15388
1600442889,15119,15458
1600534350,15129,15464
1600625834,15122,15453
1600717689,15057,15393
1600808446,14671,14994
1600899612,14744,15067
1600991315,14849,15163
1601082491,14943,15246
1601174197,14902,15209
1601266114,15013,15308
1601293717,15468,15769
1601386085,14501,14748
1601477527,14439,14697
1601568519,14442,14700
1601637126,14438,14711
1601728327,14240,14529
1601820040,14334,14619
1601911217,13715,13999
1602002413,13688,13976
1602093874,13092,13372
1602184805,12758,13033
1602276728,11937,12200
1602367958,11855,12134
1602458887,11858,12137
1602549612,11872,12144
1602577451,12300,12582
1602668408,12181,12473
1602759852,12220,12518
1602850841,12074,12383
1602941532,12103,12417
1603032730,12160,12469
1603124170,12191,12501
1603215610,12364,12665
1603306333,12438,12739
1603398036,12538,12832
1603489447,12682,12974
1603580500,12707,12997
1603671610,12656,12940
1603762358,12625,12917
1603853527,12650,12944
1603944729,12101,12393
1604035953,12044,12335
1604127161,12058,12346
1604218355,12161,12443
1604309287,12266,12526
1604400249,12298,12545
1604491216,12311,12555
1604582408,12285,12540
1604674115,12127,12393
1604764570,12213,12478
1604855799,12398,12649
1604946258,12439,12690
1605037210,12481,12724
1605129397,12377,12634
1605219876,11865,12119
1605311557,11835,12096
1605402756,11790,12056
1605492971,11864,12131
1605584408,11758,12032
1605675370,11739,12023
1605766357,11683,11980
1605858249,11531,11840
1605949237,11529,11825
1606039930,11586,11871
1606130912,11616,11895
1606222330,11642,11919
1606314294,11536,11824
1606405703,11467,11750
1606496482,11475,11749
1606587373,11608,11878
1606678401,11763,12029
1606769290,11748,12017
1606848488,11631,11910
1606882355,12095,12381
1606973291,12164,12456
1606975452,12570,12868
1607065956,12594,12882
1607157366,12676,12955
1607248334,12755,13087
1607339053,12736,13056
1607429559,12887,13186
1607520966,12824,13132
1607611928,12925,13226
1607703612,12886,13181
1607794573,12891,13181
1607885804,12928,13208
1607976786,12900,13188
1608068194,13047,13322
1608160098,12941,13212
1608250568,12987,13242
1608341289,13005,13257
1608432516,12961,13211
1608523238,12981,13230
1608614444,12946,13198
1608705853,12800,13068
1608797290,12833,13102
1608888492,12809,13078
1608979691,12925,13185
1609070695,13004,13257
1609161399,13090,13335
1609252331,13015,13258
1609343808,12830,13073
1609435225,12699,12930
1609526413,12181,12408
1609617365,11694,11914
1609708339,11564,11792
1609798651,11563,11789
1609889770,11470,11633
1609980731,11434,11600
1610071695,11223,11395
1610163129,11087,11256
1610253416,11013,11181
1610345334,11060,11234
1610436732,11092,11271
1610527953,11129,11307
1610619369,11157,11330
1610711768,10911,11095
1610802972,11057,11234
1610894410,11133,11308
1610986334,11196,11366
1611078046,11232,11401
1611169030,11267,11438
1611260410,11225,11393
1611351918,11151,11312
1611443528,11055,11217
1611534735,10914,11076
1611627166,10774,10942
1611719054,10793,10966
1611810972,10581,10756
