DateTime,AddedIPs,RemovedIPs
1586456889,2,0
1586500579,9,0
1586544247,2,0
1586587927,15,0
1586631618,3,0
1586675295,9,0
1586718983,5,0
1586762647,2,0
1586806341,7,0
1586850010,6,0
1586893691,5,0
1586937368,5,0
1586981052,6,0
1587024732,11,0
1587068406,5,0
1587112085,5,0
1587155777,9,0
1587199454,4,0
1587243129,9,0
1587286814,9,0
1587330498,8,0
1587374413,5,0
1587418088,4,0
1587461770,5,0
1587505451,6,0
1587549131,4,0
1587592818,6,0
1587636509,3,0
1587680175,9,0
1587723849,9,0
1587767550,7,1
1587811217,5,0
1587854893,3,0
1587898565,11,0
1587942264,8,0
1587985931,4,0
1588029605,6,0
1588073538,9,0
1588117210,5,0
1588160885,6,0
1588204621,8,0
1588248506,4,0
1588292166,6,0
1588335860,3,0
1588379532,8,0
1588423209,4,0
1588466888,4,0
1588510576,4,0
1588554509,10,0
1588598169,4,0
1588641857,7,0
1588685532,7,0
1588729233,5,0
1588772886,11,0
1588816565,13,0
1588860498,8,0
1588904167,8,0
1588947849,6,0
1588991534,6,0
1589035208,7,0
1589078886,9,0
1589122568,7,0
1589166499,8,0
1589210175,11,0
1589253857,13,0
1589297543,11,0
1589341212,5,0
1589384890,4,0
1589428576,2,0
1589472502,2,0
1589516170,8,0
1589559860,7,0
1589603545,4,0
1589647208,8,0
1589690898,4,0
1589734566,2,0
1589778503,4,0
1589822182,7,0
1589865868,1,0
1589909544,4,0
1589953216,4,0
1589997389,3,0
1590041302,2,0
1590085215,5,0
1590172573,4,0
1590216247,4,0
1590259927,6,0
1590414020,0,1
1590457689,1,0
1590545067,2,0
1590588727,5,0
1590632409,2,0
1590676096,6,0
1590719776,2,0
1590763451,4,0
1590807129,6,0
1590850810,3,0
1590894492,1,0
1590938168,3,0
1590981858,2,0
1591025540,2,0
1591156566,7,0
1591200262,1,0
1591243939,3,0
1591287616,5,0
1591331290,3,0
1591374971,2,0
1591418960,1,0
1591462827,2,0
1591506498,7,0
1591550175,3,0
1591593861,2,0
1591637546,4,0
1591681222,2,0
1591724903,2,0
1591855934,1,0
1591899605,2,0
1591943289,9,0
1591986966,4,0
1592074326,4,0
1592161700,1,0
1592205366,1,0
1592249047,4,0
1592292732,1,0
1592336412,4,0
1592380088,5,0
1592423773,3,0
1592467451,2,0
1592511143,4,0
1592554824,2,0
1592598484,2,0
1592642169,2,0
1592685867,2,0
1592729528,3,0
1592773231,3,0
1592817142,2,0
1592860827,5,0
1592904486,3,0
1592948166,2,0
1592991868,4,0
1593035531,2,0
1593079220,4,0
1593166572,1,0
1593210248,3,0
1593253933,5,0
1593297605,4,0
1593384965,2,0
1593472572,4,0
1593516270,1,0
1593559954,3,0
1593603634,2,0
1593647291,2,0
1593690989,1,0
1593734892,3,0
1593778570,3,0
1593822271,4,0
1593865954,4,0
1593953528,6,0
1593997245,4,0
1594040892,1,0
1594084589,3,0
1594128251,3,0
1594171941,6,0
1594215609,5,0
1594259560,5,0
1594303232,3,0
1594390567,3,0
1594434276,1,0
1594521613,3,0
1594565539,3,0
1594609207,3,0
1594652899,2,0
1594740488,5,0
1594784198,4,0
1594827877,2,0
1594871531,2,0
1594915479,2,0
1594959372,3,0
1595003113,2,0
1595046755,3,0
1595090408,1,0
1595134330,1,0
1595178011,4,0
1595221691,5,0
1595265394,6,0
1595352732,8,0
1595396411,1,0
1595440090,4,0
1595483767,6,0
1595527699,1,0
1595571371,2,0
1595615157,3,0
1595658995,3,0
1595702650,2,0
1595746328,1,0
1595790012,2,0
1595833694,4,0
1595877371,3,0
1595921080,2,0
1596008412,6,0
1596052089,2,0
1596095799,3,0
1597581365,89,0
