DateTime,AddedIPs,RemovedIPs
1609801256,1,1
1609804856,1,2
1609808457,1,1
1609819250,2,1
1609822857,2,1
1609826455,2,2
1609830050,0,1
1609833650,1,1
1609837250,2,0
1609840856,1,2
1609844457,1,2
1609848050,0,2
1609851657,2,2
1609858856,1,3
1609862455,0,20
1609869655,1,1
1609873250,20,0
1609876849,2,1
1609880456,1,0
1609884051,2,0
1609887657,1,0
1609891250,0,1
1609894856,2,0
1609898456,1,2
1609902056,1,0
1609905650,4,4
1609909249,1,2
1609912850,0,2
1609916457,1,1
1609923650,8,4
1609927250,8,1
1609930857,1,3
1609934449,0,1
1609945256,2,1
1609948856,1,0
1609952450,1,0
1609956050,1,19
1609963249,16,1
1609966850,3,0
1609970457,1,1
1609974057,0,1
1609977657,0,1
1609981257,2,2
1609984856,2,0
1609988450,1,0
1609992050,1,1
1609995650,2,1
1610002850,15,2
1610006449,2,0
1610013651,4,2
1610017257,0,1
1610020857,2,0
1610024458,2,0
1610028050,5,0
1610031657,5,1
1610035250,5,1
1610038850,13,0
1610042451,9,2
1610046058,2,11
1610049658,8,6
1610053250,9,1
1610056858,1,3
1610060458,1,3
1610064058,8,1
1610067659,22,3
1610071251,2,0
1610074851,1,0
1610078458,5,4
1610085651,1,1
1610089258,2,0
1610092851,0,1
1610096451,0,2
1610100058,2,5
1610103659,1,1
1610107250,2,1
1610110858,1,2
1610114450,0,1
1610118050,2,1
1610121658,1,1
1610125251,0,1
1610128858,0,1
1610132458,2,1
1610136058,0,1
1610139650,0,1
1610143259,2,1
1610146858,0,3
1610150451,1,2
1610154051,2,1
1610157651,1,4
1610161259,0,1
1610164858,2,0
1610168450,0,1
1610172050,1,0
1610175651,1,3
1610179250,2,1
1610182858,0,2
1610186451,2,0
1610190058,2,1
1610193650,3,1
1610197250,23,22
1610200858,4,1
1610204458,0,4
1610208050,1,2
1610211658,2,1
1610215258,0,2
1610222450,4,5
1610226050,1,3
1610229651,0,6
1610233258,3,8
1610236857,0,6
1610240451,1,3
1610244051,0,4
1610247658,0,1
1610251251,0,1
1610254857,0,3
1610262050,0,1
1610269258,0,1
1610272850,1,2
1610276458,0,1
1610283657,0,21
1610287250,0,2
1610290850,1,0
1610294457,19,3
1610298058,2,0
1610301658,1,1
1610312451,1,0
1610319658,1,1
1610323251,0,1
1610326857,1,2
1610337650,2,1
1610341257,1,20
1610344851,0,14
1610348451,1,1
1610359257,3,0
1610362851,1,0
1610366451,1,0
1610370051,3,3
1610373650,1,0
1610377250,1,0
1610380858,3,1
1610384438,0,18
1610388057,4,0
1610391650,16,1
1610395251,4,0
1610398851,2,0
1610402458,0,1
1610406051,6,0
1610409658,1,1
1610413251,2,2
1610416857,2,0
1610420450,0,1
1610424051,4,2
1610427658,1,1
1610431251,0,1
1610434850,0,1
1610438451,0,2
1610442050,1,2
1610445650,2,0
1610449257,1,0
1610452857,0,1
1610456458,1,0
1610463658,0,1
1610470857,0,3
1610474458,0,2
1610478057,0,20
1610481657,19,2
1610485251,0,1
1610488851,1,2
1610492451,0,1
1610496058,2,0
1610499651,0,1
1610503257,2,1
1610506858,0,1
1610510458,1,3
1610514050,0,2
1610517657,0,1
1610521251,1,1
1610524858,1,1
1610528450,0,1
1610532051,1,10
1610535651,0,2
1610542857,0,2
1610546457,2,0
1610553650,1,0
1610557251,0,1
1610560850,0,1
1610564450,1,1
1610568051,2,15
1610571651,0,5
1610575250,0,1
1610578857,13,0
1610582450,5,0
1610586051,1,2
