DateTime,AddedIPs,RemovedIPs
1607648426,1,0
1607652025,2,0
1607655625,0,1
1607673628,0,1
1607691627,1,0
1607695225,1,0
1607706028,1,0
1607709628,1,0
1607716828,2,1
1607727627,1,0
1607731226,0,1
1607749228,0,2
1607770826,1,1
1607788827,0,1
1607806828,0,1
1607810426,0,1
1607817626,0,1
1607821228,0,2
1607828425,0,1
1607842826,0,1
1607846428,1,1
1607850026,0,1
1607857228,1,0
1607864428,1,0
1607875225,1,0
1607878827,0,1
1607882427,1,0
1607893228,0,1
1607900428,0,1
1607918425,1,0
1607922026,1,0
1607925625,0,2
1607932826,1,0
1607936425,0,2
1607943624,0,1
1607947226,0,1
1607961628,0,1
1607979627,2,0
1607994028,0,1
1607997628,1,0
1608012028,0,1
1608030028,1,0
1608040828,1,0
1608044428,1,1
1608048026,0,2
1608055228,1,0
1608062427,1,2
1608066028,2,3
1608069626,0,1
1608073227,0,1
1608076829,0,1
1608087629,2,0
1608102026,0,1
1608123628,1,0
1608141626,1,0
1608145227,0,1
1608148828,2,0
1608156028,1,0
1608159627,0,1
1608163226,1,0
1608170426,0,1
1608174026,0,1
1608177628,1,0
1608181228,0,1
1608206428,0,2
1608213628,0,1
1608217228,0,1
1608228027,1,2
1608235228,2,1
1608238828,1,0
1608242426,1,0
1608249626,0,2
1608253228,1,1
1608256827,0,2
1608285628,0,1
1608307226,0,1
1608321628,0,1
1608332426,1,1
1608343228,1,0
1608346826,0,1
1608354026,2,0
1608357625,2,0
1608361227,1,0
1608375628,0,1
1608386426,1,0
1608390030,1,0
1608411628,1,0
1608415227,2,1
1608418829,1,1
1608422429,1,0
1608426026,0,1
1608436826,1,0
1608465627,1,0
1608472826,1,2
1608501627,0,1
1608508827,1,0
1608512430,1,0
1608516042,1,0
1608523226,1,1
1608526826,1,0
1608530426,0,1
1608534028,1,0
1608541231,0,1
1608552039,0,1
1608570032,2,0
1608580826,0,1
1608598826,1,0
1608602428,2,0
1608606026,3,0
1608609626,1,0
1608613226,2,0
1608620431,1,1
1608642030,1,0
1608645629,1,0
1608649229,0,1
1608660029,1,3
1608667234,0,1
1608670826,0,2
1608674428,0,1
1608681635,0,1
1608696032,0,1
1608710435,2,0
1608724826,2,0
1608732031,1,0
1608739228,0,1
1608750026,0,1
1608760826,1,0
1608768031,1,0
1608775227,2,0
1608778829,1,0
1608786027,0,1
1608789627,1,0
1608811226,0,1
1608818426,0,1
1608847227,1,0
1608850827,0,1
1608858026,1,0
1608861629,0,1
1608872427,1,0
1608883227,1,0
1608904827,0,1
1608908430,0,1
1608915627,0,1
1608926430,1,0
1608940827,1,1
1608948027,0,1
1608955229,1,0
1608962429,1,0
1608984027,1,0
1608987627,1,0
1608998427,0,1
1609002029,0,1
1609005629,1,0
1609009229,1,0
1609020029,1,2
1609038027,0,1
1609041630,0,1
1609056027,1,0
1609063227,1,0
1609077627,0,1
1609084827,0,1
1609088429,0,1
1609102829,0,1
1609106429,0,2
1609110029,2,1
1609124427,0,1
1609138827,0,2
1609146027,1,0
1609149629,0,1
1609153227,1,0
1609156827,0,1
1609167629,0,1
1609174830,0,1
1609182027,0,1
1609185629,2,2
1609203628,2,0
1609210830,1,0
1609214429,0,1
1609218027,0,1
1609221629,0,3
1609225227,0,3
1609232428,0,1
1609246828,0,2
1609250429,0,1
1609254028,1,0
1609293629,0,1
1609304428,0,1
1609318827,1,0
1609326027,1,0
1609329629,1,1
1609333227,2,0
1609336829,2,1
1609344030,1,0
1609351228,0,1
1609354830,1,0
1609358429,1,0
1609362029,1,0
1609372829,2,0
1609376429,0,1
1609390827,0,1
1609405229,0,1
1609412427,0,1
1609419627,0,1
1609430428,0,1
1609434027,0,1
1609441227,0,1
1609448430,0,1
1609462827,0,1
1609466428,1,0
1609470027,1,0
1609473630,0,1
1609477228,0,1
1609480830,1,0
1609502427,1,1
1609506028,1,0
1609513227,1,0
1609516828,2,0
1609527630,1,0
1609556429,0,2
1609563629,0,1
1609567230,0,1
1609574427,1,0
1609585228,0,1
1609588828,1,0
1609603229,1,0
1609614028,0,1
1609632029,3,0
1609635629,0,1
1609642829,0,1
1609675227,0,1
1609682429,0,1
1609686027,2,0
1609718429,1,0
1609725629,1,0
1609729230,0,3
1609736429,0,1
1609750828,0,2
1609758029,0,2
1609765228,1,0
1609772428,0,1
1609779629,1,0
1609783229,0,1
1609794027,1,0
1609797627,0,1
1609801229,1,0
1609804828,0,1
1609833629,0,1
1609837227,0,1
1609848027,0,1
1609851628,0,2
1609855229,0,1
1609858829,0,1
1609869629,1,0
1609887628,0,1
1609891228,1,0
1609952430,3,0
1609956027,1,1
1609959628,0,2
1609984829,1,1
1609992029,0,2
1609995629,1,0
1610002828,0,1
1610024429,2,0
1610028029,0,1
1610042429,0,1
1610046030,1,0
1610056830,0,1
1610060429,1,0
1610064030,1,0
1610067630,1,0
1610071230,0,1
1610082029,0,1
1610096429,1,0
1610103630,1,0
1610125230,1,0
1610132429,2,0
1610136027,1,1
1610157628,0,2
1610168430,0,1
1610175628,0,1
1610179228,0,1
1610204428,1,0
1610208029,1,0
1610211628,1,0
1610229629,0,1
1610244029,0,2
1610254827,7,0
1610258428,8,0
1610262027,5,0
1610265629,3,0
1610269228,1,0
1610272828,2,0
1610276429,1,0
1610280030,3,0
1610287227,1,0
1610290828,2,0
1610301627,1,0
1610308828,1,0
1610323230,1,0
1610334030,0,1
1610341228,1,0
1610355628,0,1
1610359227,1,0
1610362828,1,1
1610377227,0,2
1610388028,0,1
1610395230,0,1
1610406030,0,1
1610409628,0,1
1610449228,0,1
1610456428,0,1
1610460028,1,0
1610474428,2,0
1610488828,1,0
1610492428,2,0
1610496028,0,1
1610499630,0,1
1610532028,0,1
1610553630,1,0
1610564427,1,1
1610575230,1,0
1610578828,0,1
1610582428,2,0
1610586028,2,0
1610596828,1,0
1610600428,0,1
1610607627,1,0
1610622030,0,2
1610625628,1,0
1610629228,0,1
1610632830,0,1
1610636428,0,1
1610643630,1,0
1610661628,0,1
1610665230,1,0
1610668830,1,1
1610672428,1,1
1610683230,1,0
1610686828,0,1
1610690428,2,0
1610701230,0,1
1610719227,0,1
1610722831,1,1
1610726427,1,0
1610730028,0,1
1610740827,1,1
1610751627,0,1
1610755229,0,1
1610758830,0,1
1610769629,1,0
1610773230,1,0
1610776830,0,1
1610794828,0,1
1610809228,0,1
1610812831,1,1
1610816430,0,1
1610823630,0,1
1610827229,0,4
1610841627,1,0
1610845227,1,1
1610848830,2,0
1610856027,1,1
1610859630,0,1
1610870430,1,0
1610874027,0,1
1610892028,2,0
1610895629,0,1
1610910030,0,2
1610913630,0,2
1610917227,1,0
1610920829,0,1
1610938829,0,1
1610942427,1,0
1610946030,0,2
1610956827,0,2
1610964029,1,0
1610978430,1,1
1610992829,0,1
1610996428,1,0
1611014429,1,0
1611018028,1,1
1611028830,1,0
1611039627,0,1
1611046827,1,0
1611061230,0,1
1611064828,0,1
1611090030,1,1
1611093627,0,1
1611097229,0,1
1611100831,0,1
1611104428,0,1
1611115228,0,1
1611133230,1,0
1611136831,0,1
1611140428,1,0
1611162028,0,1
1611172828,2,1
1611176428,0,2
1611180031,1,0
1611187228,1,1
1611198028,1,0
1611201631,2,0
1611208828,1,0
1611212430,0,1
1611219629,0,1
1611226828,0,1
1611241228,0,1
1611248431,0,2
1611255630,1,0
1611280828,2,0
1611284428,1,1
1611313230,0,2
1611320428,1,0
1611324027,0,1
