DateTime,AddedIPs,RemovedIPs
1610285245,242,68
1610288851,320,74
1610292471,258,34
1610296076,232,111
1610299682,359,74
1610303306,407,53
1610306928,438,70
1610310542,433,88
1610314152,409,79
1610317770,321,97
1610321379,367,93
1610325089,274,67
1610328597,286,77
1610332213,304,86
1610335821,264,72
1610339426,228,84
1610343038,279,68
1610346649,282,61
1610350260,327,57
1610353872,379,78
1610357490,342,59
1610361102,312,57
1610364703,315,54
1610368328,289,52
1610371940,305,58
1610375559,288,54
1610379165,290,56
1610382781,262,38
1610386390,260,49
1610390007,263,46
1610393625,308,43
1610397233,310,38
1610400854,286,62
1610404452,255,67
1610408050,282,58
1610411781,225,40
1610415279,222,55
1610418887,215,72
1610422495,190,63
1610426086,211,70
1610429691,193,53
1610433291,169,59
1610436896,230,51
1610440513,230,72
1610444128,201,101
1610447744,168,58
1610451338,200,56
1610454952,168,54
1610458586,159,38
1610462189,182,37
1610465788,138,40
1610469380,147,40
1610472995,162,44
1610476527,172,58
1610480189,152,51
1610483794,171,56
1610487394,160,38
1610490996,151,70
1610494619,182,56
1610498302,159,64
1610501810,151,52
1610505417,167,56
1610509017,146,82
1610512625,136,54
1610516228,157,60
1610519822,140,54
1610523432,144,49
1610527031,108,61
1610530636,131,78
1610534243,159,65
1610537846,113,61
1610541456,126,57
1610545058,126,42
1610548667,130,53
1610552255,102,44
1610555869,97,46
1610559468,116,51
1610563070,92,56
1610566677,98,48
1610570286,97,42
1610573882,95,45
1610577485,111,46
1610581087,116,57
1610584783,85,115
1610588281,83,81
1610591881,110,106
1610595489,131,62
1610599086,110,60
1610602688,90,61
1610606289,100,78
1610609877,111,49
1610613491,103,65
1610617096,90,61
1610620694,72,46
1610624305,93,51
1610627907,98,55
1610631503,94,101
1610635102,82,87
1610638703,92,73
1610642301,99,81
1610645916,80,91
1610649512,94,85
1610653116,67,87
1610656719,105,83
1610660307,64,118
1610663907,65,83
1610667501,85,99
1610671206,82,93
1610674708,78,118
1610678302,92,136
1610681895,143,99
1610685493,76,102
1610689091,63,141
1610692689,81,132
1610696284,79,137
1610699887,56,143
1610703475,67,149
1610707080,63,162
1610710673,70,102
1610714273,66,107
1610717863,66,150
1610721466,130,153
1610725069,73,123
1610728669,49,114
1610732269,89,160
1610735854,78,159
1610739456,91,168
1610743051,85,200
1610746638,83,107
1610750234,66,96
1610753841,144,94
1610757541,78,99
1610761048,74,75
1610764644,83,111
1610768247,78,84
1610771831,84,112
1610775437,73,75
1610779036,52,89
1610782624,61,125
