DateTime,AddedIPs,RemovedIPs
1610281398,136,58
1610285008,202,62
1610288627,278,65
1610292226,206,24
1610295834,188,70
1610299446,304,54
1610303070,348,45
1610306680,381,68
1610310290,342,83
1610313904,339,70
1610317515,282,93
1610321122,325,83
1610324833,255,64
1610328342,271,66
1610331958,275,64
1610335565,245,56
1610339172,202,76
1610342780,249,60
1610346382,252,45
1610350002,288,42
1610353612,337,62
1610357224,298,55
1610360841,277,49
1610364449,275,48
1610368057,255,40
1610371667,258,53
1610375279,252,40
1610378897,244,45
1610382506,235,35
1610386124,227,46
1610389729,222,36
1610393334,266,28
1610396952,253,32
1610400564,236,45
1610404166,224,43
1610407771,258,44
1610411490,199,28
1610415000,184,47
1610418610,189,47
1610422207,163,44
1610425808,200,54
1610429408,175,44
1610433017,174,45
1610436618,199,45
1610440223,208,54
1610443850,180,72
1610447462,161,44
1610451060,191,47
1610454664,163,48
1610458292,155,31
1610461905,162,23
1610465495,138,35
1610469096,126,25
1610472709,149,37
1610476244,168,53
1610479906,139,32
1610483511,166,35
1610487115,128,33
1610490715,143,35
1610494329,141,51
1610498026,154,59
1610501525,136,42
1610505133,139,50
1610508736,134,58
1610512341,116,42
1610515935,145,52
1610519540,136,47
1610523143,130,42
1610526752,98,58
1610530346,127,63
1610533961,142,60
1610537563,106,48
1610541167,112,51
1610544770,100,35
1610548377,112,41
1610551976,94,37
1610555576,92,39
1610559182,106,41
1610562782,78,44
1610566383,87,33
1610569988,89,35
1610573587,94,38
1610577188,102,33
1610580799,101,42
1610584497,79,80
1610588000,80,74
1610591594,78,77
1610595205,90,52
1610598799,92,51
1610602392,85,46
1610605999,100,69
1610609595,105,41
1610613200,107,53
1610616801,70,53
1610620409,64,36
1610624013,88,46
1610627611,81,53
1610631209,84,82
1610634812,70,70
1610638415,61,54
1610642015,73,70
1610645614,64,69
1610649214,74,56
1610652819,56,61
1610656418,93,71
1610660012,69,97
1610663620,48,62
1610667218,79,87
1610670925,69,76
1610674415,65,91
1610678019,74,98
1610681623,102,76
1610685217,57,89
1610688807,55,97
1610692409,69,105
1610696006,69,103
1610699603,50,117
1610703199,52,109
1610706794,59,125
1610710397,49,85
1610713989,53,85
1610717588,55,115
1610721197,127,114
1610724793,66,88
1610728405,44,86
1610731987,75,121
1610735585,76,118
1610739196,81,107
1610742779,58,130
1610746375,63,75
1610749979,47,65
1610753570,91,84
1610757275,48,84
1610760782,53,60
1610764371,39,75
1610767972,65,63
1610771567,71,89
1610775170,62,60
1610778763,43,74
1610782364,40,107
1610785961,65,155
1610789548,39,167
1610793146,65,143
1610796740,38,138
1610800341,60,176
1610803930,55,139
1610807530,35,124
1610811125,54,123
1610814723,43,131
1610818318,38,218
1610821919,53,165
1610825590,46,104
1610829118,44,104
1610832710,47,130
1610836299,42,136
1610839897,50,130
1610847076,84,218
1610850680,46,101
1610854278,36,118
1610857866,33,97
1610861465,34,104
1610865054,38,111
1610868650,46,118
1610872252,51,119
1610875844,47,98
1610879452,47,109
1610883046,61,103
1610886645,45,111
1610890233,35,159
1610893837,46,251
1610897438,44,154
1610901014,41,137
1610904622,41,144
1610908215,38,204
1610911802,49,205
1610915392,41,194
1610918990,48,189
1610922578,45,186
1610926173,64,174
1610929862,34,194
1610933358,45,164
1610936952,41,185
1610940552,57,166
1610944134,42,164
1610947733,55,181
1610951318,50,169
1610954910,45,230
1610958500,36,274
1610962096,42,232
1610965690,47,215
1610969279,48,200
1610972877,40,173
1610976468,42,223
1610980061,35,214
1610983653,34,206
1610987240,27,195
1610990843,40,165
1610994432,32,198
1610998023,33,236
1611001629,42,211
1611005217,34,185
1611008795,42,167
1611012396,31,212
1611016087,28,180
1611019580,35,168
1611023175,81,150
1611026771,45,151
1611030361,38,161
1611033959,47,145
1611037547,41,167
1611041143,37,139
1611044734,41,183
1611048337,43,139
1611051928,27,156
1611055517,39,165
1611059123,263,135
1611062731,146,138
1611066332,92,133
1611069955,146,141
1611073537,99,146
1611077128,105,132
1611080730,136,118
1611084333,88,136
1611087931,128,138
1611091535,127,121
1611095126,96,121
1611098736,110,129
1611102418,83,123
1611105921,78,134
1611109518,81,123
1611113111,63,123
1611116705,76,122
1611120300,78,150
1611123904,77,124
1611127504,51,140
1611131099,79,115
1611134694,58,135
1611138285,67,136
1611141889,48,120
1611145478,45,153
1611149078,44,139
1611152676,52,123
1611156270,41,126
1611159870,37,116
1611163473,40,115
1611167069,46,89
1611170665,35,95
1611174255,32,89
1611177865,46,109
1611181454,50,122
1611185036,52,83
1611188740,51,114
1611192242,64,97
1611195836,45,97
1611199444,56,107
1611203031,56,104
1611206626,47,125
1611210223,48,107
1611213816,50,117
1611217420,61,119
1611221019,43,103
1611224613,45,87
1611228211,44,99
1611231808,43,110
1611235405,34,93
1611239004,51,122
1611242601,26,87
1611246205,28,96
1611249794,50,114
1611253391,27,81
1611256989,35,85
1611260589,54,101
1611264188,47,83
1611267790,48,77
1611271384,36,92
1611278584,102,168
1611282175,59,100
1611285773,54,125
1611289374,69,101
1611292968,54,88
1611296569,65,93
1611300154,43,111
1611303761,53,101
1611307358,61,90
1611310956,35,83
1611314550,39,80
1611318153,49,77
1611321752,33,101
1611325347,40,156
1611328946,39,97
1611332541,33,74
1611336142,37,93
1611339740,34,100
1611343326,35,93
1611346929,44,106
1611350527,54,83
1611354135,37,80
1611357720,57,104
1611361422,39,67
1611364918,30,75
1611368514,23,72
1611372150,30,84
1611375713,38,87
1611379306,31,73
1611382902,48,68
1611386504,44,80
1611390101,45,75
1611393703,37,73
1611397292,23,83
1611400896,38,74
1611404496,45,78
1611408095,22,78
1611411689,23,79
1611415291,44,89
1611418888,31,61
1611422489,19,66
1611426082,30,81
1611429684,23,62
1611433274,21,60
1611436871,28,92
1611440475,34,69
1611444067,40,51
1611447765,33,81
1611451270,28,94
1611454865,33,57
1611458463,21,57
1611462054,30,66
1611465651,24,62
1611469249,29,76
1611472847,30,80
1611476449,31,91
1611480042,32,83
1611483641,31,74
1611487238,39,83
1611490841,30,67
1611494443,31,81
1611498037,23,83
1611501636,20,64
1611505232,57,76
1611508836,98,68
1611512438,70,75
1611516033,93,63
1611519638,110,68
1611523243,88,76
1611526840,73,77
1611530445,85,96
1611534133,45,67
