DateTime,AddedIPs,RemovedIPs
1610373676,56,26
1610380884,22,20
1610382682,27,75
1610388078,58,63
1610411493,130,532
1610415068,532,130
1610416904,154,265
1610418683,265,154
1610420500,154,265
1610422269,35,326
1610424066,532,130
1610427749,205,633
1610429506,633,205
1610431274,205,633
1610433083,420,103
1610436677,265,154
1610438481,272,683
1610440293,116,133
1610442112,427,128
1610443867,37,283
1610447468,417,31
1610449298,241,654
1610451076,532,130
1610452994,320,324
1610454665,324,320
1610456472,321,333
1610461902,45,164
1610465496,178,55
1610469091,46,42
1610472665,31,67
1610474469,103,194
1610476273,212,108
1610481694,60,43
1610483492,29,86
1610487084,61,50
1610488891,50,61
1610494275,105,103
1610499669,121,72
1610505066,45,48
1610508674,68,87
1610512273,69,81
1610515871,66,81
1610519472,69,49
1610524872,41,56
1610526673,48,48
1610530273,47,63
1610532077,63,47
1610533867,62,63
1610537491,43,52
1610542888,42,62
1610546576,48,50
1610548302,61,57
1610551955,43,57
1610557296,63,56
1610559071,50,55
1610560891,57,60
1610566278,57,50
1610568089,52,80
1610573466,60,60
1610577074,52,47
1610580676,42,68
1610584275,86,46
1610586098,102,46
1610591478,47,56
1610593297,56,83
1610596900,83,56
1610598673,93,148
1610602303,88,71
1610605869,65,59
1610609466,44,63
1610613107,62,47
1610618469,45,51
1610620279,47,47
1610625683,44,52
1610627492,41,36
1610631069,44,49
1610634670,45,56
1610640074,49,57
1610641873,46,38
1610645491,42,61
1610649087,57,48
1610654467,49,44
1610656277,44,42
1610658068,165,143
1610661677,138,187
1610663482,61,34
1610667091,38,53
1610670674,64,47
1610676071,89,55
1610679678,78,96
1610686950,81,85
1610688674,67,78
1610692290,69,55
1610694064,55,69
1610695890,85,66
1610699474,48,48
1610703073,39,46
1610706673,47,45
1610712110,50,55
1610713867,53,41
1610719270,40,33
1610721071,26,47
1610724672,41,55
1610728272,53,45
1610733677,46,61
1610735479,66,48
1610739064,47,37
1610742669,29,52
1610746293,47,46
1610749874,46,44
1610751691,36,48
1610757069,69,44
1610758955,80,48
1610760663,48,80
1610762505,80,48
1610764264,46,46
1610767883,59,67
1610771492,73,78
1610775069,70,79
1610780467,62,57
1610782266,43,44
1610785868,40,64
1610789472,53,35
1610793091,34,31
1610796678,46,52
1610800282,47,45
1610803869,47,31
1610809270,32,58
1610812869,49,34
1610814666,34,53
1610816535,53,34
1610818288,48,74
1610823685,44,40
1610827284,48,66
1610830913,65,51
1610834529,36,48
1610836327,43,42
1610839869,85,28
1610843468,61,17
1610847093,60,31
1610848865,18,27
1610850670,27,18
1610852473,18,27
1610856109,42,47
1610857866,59,66
1610859681,37,55
1610865068,45,47
1610866930,29,26
1610868729,26,29
1610870512,29,26
1610872273,31,30
1610875875,28,24
1610879477,22,21
1610883092,31,28
1610884872,36,27
1610890265,23,37
1610893878,29,41
1610899289,32,44
1610901103,39,52
1610906486,45,39
1610908280,47,53
1610910089,48,38
1610915504,36,39
1610919076,29,60
1610922674,60,60
1610926291,49,55
1610929882,77,47
1610933481,94,53
1610937090,50,42
1610940665,61,88
1610944291,79,79
1610947880,61,71
1610949675,65,47
1610955087,44,55
1610956884,0,7
1610958664,66,41
1610962280,52,54
1610964141,72,37
1610965866,37,72
1610967701,72,37
1610969500,34,43
1610973094,46,66
1610976734,45,49
1610980282,39,52
1610982088,52,39
1610983877,44,76
1610987477,70,51
1610991076,69,68
1610994677,64,84
1610998305,91,62
1611000071,53,60
1611005477,55,67
1611009081,62,82
1611012669,64,40
1611016301,60,41
1611018078,258,274
1611019874,283,232
1611023466,43,54
1611027077,54,64
1611030679,70,124
1611034283,67,63
1611037869,59,44
1611041472,48,50
1611045106,74,47
1611050472,52,41
1611052276,43,40
1611055919,35,89
1611059490,79,33
1611063067,43,230
1611068476,54,55
1611070286,61,45
1611073902,43,53
1611077468,41,49
1611081076,60,48
1611084678,32,79
1611086507,78,46
1611090070,132,126
1611091885,134,141
1611095484,44,43
1611097282,65,109
1611100898,81,53
1611102669,73,68
1611104480,111,35
1611109880,47,49
1611113468,48,73
1611129703,140,150
1611133268,74,80
1611135068,45,34
1611145884,75,86
1611153072,86,75
1611154871,75,86
1611160276,75,110
1611163884,85,68
1611165714,83,68
1611169351,24,56
1611171070,80,47
1611176491,45,69
1611180076,46,52
1611187370,80,41
1611189068,49,45
1611190959,45,49
1611192675,219,64
1611196269,35,33
1611201670,43,56
1611203481,56,67
1611207074,43,52
1611208879,238,362
1611210679,362,238
1611212467,46,52
1611214274,27,29
1611217877,28,22
1611221478,30,27
1611225076,25,35
1611228690,25,28
1611232278,32,30
1611235895,36,30
1611239468,32,24
1611243075,25,27
1611246697,23,37
1611250263,30,150
1611253874,33,31
1611257464,24,29
1611259273,26,55
1611264692,49,31
1611266496,57,46
1611268266,65,63
1611271874,25,36
1611275480,47,69
1611279072,78,31
1611284544,57,44
1611286292,54,62
1611289879,71,87
1611293469,52,62
1611297077,62,48
1611298884,48,62
1611300675,86,82
1611304291,40,38
1611309689,39,33
1611311492,47,52
1611315069,37,50
1611318695,40,37
1611322266,47,43
1611327740,38,41
1611329488,35,33
1611334878,68,101
1611340275,62,32
1611343885,54,30
1611347474,25,43
1611352914,26,45
1611354675,30,78
1611358352,62,39
1611363684,83,44
1611367269,72,39
1611369087,43,51
1611372690,45,66
1611378078,81,81
1611379973,57,56
1611383471,55,55
1611387102,44,50
1611390677,37,46
1611394268,49,36
1611399672,52,44
1611403274,44,39
1611405088,25,44
1611408669,30,59
1611414078,179,22
1611415876,40,34
1611419479,22,46
1611423085,43,63
1611426681,45,40
1611430269,49,40
1611433870,31,37
1611439285,28,57
1611441075,42,45
1611444664,48,47
1611448284,68,66
1611450076,96,83
1611451869,81,50
1611457275,94,91
1611462666,78,99
1611466264,59,59
1611469900,59,50
1611473472,55,27
1611477094,29,27
1611480679,26,19
1611484283,24,22
1611489684,23,30
1611491489,21,23
1611495074,25,27
1611500525,19,21
1611502270,23,32
1611505869,19,23
1611507672,22,158
1611514879,39,22
1611516672,20,29
1611522069,21,24
1611523899,23,32
1611525714,20,27
1611531079,27,30
1611536478,55,26
1611538278,65,39
1611543707,31,27
1611545495,53,53
1611549069,57,77
1611552675,49,50
1611556279,43,43
1611559868,23,27
1611565266,32,15
1611567071,30,34
1611570669,29,25
1611576069,26,29
1611579686,24,24
1611581475,30,23
1611586892,17,28
1611588673,39,41
1611592277,28,24
1611597677,20,53
1611599473,42,34
1611604878,30,28
1611606668,41,27
1611610272,26,35
1611613868,31,36
1611617476,26,26
1611621093,55,31
1611626477,65,36
1611628279,27,29
1611631874,52,52
1611637309,62,77
1611639070,52,56
1611640866,41,38
1611648074,30,35
1611649872,34,25
1611653476,30,21
1611658933,21,35
1611660708,31,24
1611664269,35,23
1611666084,23,35
1611667900,53,64
1611671476,17,32
1611675096,27,41
1611676874,36,32
1611682305,28,46
1611685873,52,30
1611689480,32,38
1611693078,22,32
1611696670,40,38
1611700272,28,28
1611705755,29,34
1611707469,48,24
1611711077,63,30
1611714678,30,32
1611718274,45,55
1611721869,64,78
1611725492,52,50
1611729077,39,40
1611732695,32,34
1611736276,22,25
1611739874,31,29
1611743476,33,32
1611747076,26,35
1611750862,25,33
1611754286,27,26
1611757879,22,34
1611761468,30,28
1611765073,31,36
1611768675,27,41
1611772329,40,30
1611777722,41,28
1611779484,26,30
1611783103,30,38
1611799271,159,107
1611801087,107,159
1611802875,205,112
1611804700,25,60
1611806478,149,207
1611811869,305,227
1611815466,57,70
1611820899,48,66
1611822669,286,333
1611824469,352,297
1611826304,33,68
1611831671,40,75
1611833473,52,38
1611837085,345,344
1611838876,342,355
1611840675,80,32
1611846080,37,70
1611847864,66,30
1611851471,65,63
1611855075,31,80
1611858677,66,36
1611862278,49,54
1611865919,45,28
1611869505,41,37
1611873071,38,38
1611876671,37,57
1611878489,73,40
1611880285,40,73
1611882066,73,40
1611883890,84,42
1611889267,27,38
1611892886,48,61
1611894670,65,77
1611898269,61,66
1611900101,52,52
1611905474,43,40
1611909067,44,39
1611914507,38,33
1611916270,43,36
1611919891,26,22
1611923502,41,43
1611927105,35,45
1611930668,43,42
1611932550,30,32
1611936072,38,44
1611941466,30,46
1611945084,42,42
1611950476,62,25
1611952270,25,62
1611954096,79,59
1611955882,34,37
1611959469,34,41
1611963084,50,34
1611966672,63,41
1611970278,65,47
1611973893,42,36
1611977474,59,58
1611982864,75,79
1611984668,49,68
1611988269,65,44
1611991871,36,35
1611997276,23,41
1611999090,33,39
1612002692,39,33
1612008064,45,33
1612009899,25,40
1612011721,40,25
1612015264,49,63
1612017066,28,45
1612018959,45,28
1612026096,27,32
1612027950,35,40
1612031628,23,41
1612035071,41,23
1612036869,54,67
1612042284,43,38
1612047674,28,37
1612049490,36,53
1612051265,70,43
1612058474,85,46
1612060291,37,42
1612063900,56,59
1612067475,68,80
1612072914,53,50
1612076468,52,51
1612078268,39,39
