DateTime,Entries,UniqueIPs
1567798186,92,92
1567884466,90,90
1567970802,89,89
1568058080,90,90
1568143665,93,93
1568230099,92,92
1568316433,90,90
1568402845,88,88
1568489232,89,89
1568575657,91,91
1568662058,88,88
1568748640,88,88
1568835327,84,84
1568921310,89,89
1569007765,87,87
1569094059,85,85
1569180459,85,85
1569266958,86,86
1569353302,87,87
1569439680,85,85
1569526074,85,85
1569612607,83,83
1569698877,87,87
1569785290,83,83
1569872007,84,84
1569958163,86,86
1570044580,84,84
1570131043,86,86
1570217413,83,83
1570303674,88,88
1570390061,88,88
1570476564,86,86
1570563043,86,86
1570649307,87,87
1570735713,86,86
1570822148,88,88
1570908487,85,85
1570994863,89,89
1571081321,86,86
1571167695,88,88
1571254084,86,86
1571340495,88,88
1571427027,87,87
1571513302,86,86
1571599660,85,85
1571686114,88,88
1571772557,86,86
1571858960,85,85
1571945467,86,86
1572031996,85,85
1572118112,88,88
1572204508,87,87
1572291091,86,86
1572377305,86,86
1572463754,86,86
1572550331,84,84
1572636616,86,86
1572722953,85,85
1572812948,85,85
1572899304,87,87
1572985728,85,85
1573072190,82,82
1573158458,85,85
1573245607,88,88
1573331291,88,88
1573417670,86,86
1573504129,87,87
1573590783,85,85
1573676875,85,85
1573763375,86,86
1573849983,86,86
1573936095,86,86
1574022465,87,87
1574108941,86,86
1574195446,86,86
1574281857,86,86
1574368131,88,88
1574454660,84,84
1574540907,85,85
1574627298,86,86
1574713743,84,84
1574800155,85,85
1574886428,87,87
1574972828,85,85
1575059340,87,87
1575145678,86,86
1575232064,87,87
1575318445,86,86
1575404856,86,86
1575491369,89,89
1575577741,85,85
1575664124,89,89
1575750497,87,87
1575836859,87,87
1575923296,83,83
1576009668,84,84
1576096164,87,87
1576182486,85,85
1576268892,87,87
1576355274,85,85
1576441633,85,85
1576528218,85,85
1576614580,82,82
1576700933,85,85
1576787350,84,84
1576873797,83,83
1576960076,85,85
1577046481,84,84
1577132916,85,85
1577219229,83,83
1577305684,85,85
1577392177,80,80
1577478569,83,83
1577564894,84,84
1577651308,81,81
1577737684,83,83
1577824068,85,85
1577910477,81,81
1577996884,82,82
1578083557,83,83
1578169686,85,85
1578256041,82,82
1578342485,82,82
1578428952,80,80
1578515322,83,83
1578601793,82,82
1578688304,82,82
1578774506,81,81
1578860868,83,83
1578947331,82,82
1579033747,81,81
1579120051,78,78
1579206521,79,79
1579293112,81,81
1579379327,81,81
1579465705,80,80
1579552119,80,80
