DateTime,Entries,UniqueIPs
1549862994,6259,6259
1549949395,6283,6283
1550035796,6359,6359
1550122196,6314,6314
1550208593,6303,6303
1550467796,6162,6162
1550554197,6145,6145
1550640596,6258,6258
1550726996,6268,6268
1550813396,6312,6312
1551072598,6332,6332
1551158995,6150,6150
1551245396,6175,6175
1551331793,6284,6284
1551418195,6381,6381
1551677394,6420,6420
1551763797,6407,6407
1551850195,6424,6424
1551936597,6334,6334
1552022999,6339,6339
1552278596,6338,6338
1552364999,6437,6437
1552451394,6427,6427
1552537797,6415,6415
1552624196,6334,6334
1552883395,6455,6455
1552969795,6483,6483
1553056196,6343,6343
1553142596,6413,6413
1553228996,6386,6386
1553488197,6256,6256
1553574597,6402,6402
1553660993,6218,6218
1553747394,6301,6301
1553833869,6290,6290
1554092993,6439,6439
1554179393,6361,6361
1554265791,6443,6443
1554352193,6543,6543
1554438594,6363,6363
1554697792,6356,6356
1554784195,6361,6361
1554870592,6348,6348
1554956991,6462,6462
1555043392,6360,6360
1555302593,6448,6448
1555388992,6508,6508
1555475393,6344,6344
1555561791,6366,6366
1555648191,6387,6387
1555907393,6340,6340
1555993793,6360,6360
1556080194,6384,6384
1556166593,6314,6314
1556252992,6281,6281
1556512190,6265,6265
1556598592,6269,6269
1556684992,6456,6456
1556771394,6504,6504
1556857794,6448,6448
1557116994,6452,6452
1557203394,6337,6337
1557289793,6422,6422
1557376192,6434,6434
1557462594,6445,6445
1557808193,6351,6351
1557894591,6325,6325
1557980993,6314,6314
1558067393,6283,6283
1558326593,6262,6262
1558412990,6258,6258
1558499391,6256,6256
1558585793,6231,6231
1558672194,6293,6293
1559017790,6329,6329
1559104191,6225,6225
1559190592,6246,6246
1559276992,6217,6217
1559536192,6305,6305
1559622592,6520,6520
1559708991,6314,6314
1559795392,6419,6419
1559881794,6321,6321
1560140992,6314,6314
1560227395,6391,6391
1560313972,6251,6251
1560400239,6262,6262
1560486651,6352,6352
1560745794,6229,6229
1560832192,6199,6199
1560918593,6171,6171
1561004992,6193,6193
1561091392,6184,6184
1561350591,6145,6145
1561436992,6157,6157
1561523393,6196,6196
1561609793,6197,6197
1561696191,6078,6078
1561955390,6234,6234
1562041791,6278,6278
1562128193,6262,6262
1562214591,6254,6254
1562300992,6292,6292
1562560191,6258,6258
1562646593,6251,6251
1562732990,6349,6349
1562819391,6257,6257
1562905793,6267,6267
1563164989,6248,6248
1563251389,6327,6327
1563337792,6153,6153
1563424191,6202,6202
1563510590,6244,6244
1563769790,6234,6234
1563856190,6139,6139
1563942590,6260,6260
1564028989,6184,6184
1564115391,6166,6166
1564374591,6224,6224
1564460989,6164,6164
1564547389,6159,6159
1564633789,6218,6218
1564720188,6233,6233
1564979389,6356,6356
1565065789,6345,6345
1565152188,6370,6370
1565238590,6337,6337
1565324988,6228,6228
1565584188,6216,6216
1565670588,6282,6282
1565756988,6372,6372
1565843388,6337,6337
1565929788,6231,6231
1566102587,6393,6393
1566188990,6309,6309
1566275389,6350,6350
1566361787,6308,6308
1566448188,6282,6282
1566534585,6368,6368
1566793782,6212,6212
1566880186,6295,6295
1566966585,6205,6205
1567052983,6216,6216
1567139385,6227,6227
1567398584,6398,6398
1567484982,6416,6416
1567571385,6313,6313
1567657783,6456,6456
1567744182,6258,6258
1568003380,6175,6175
1568089782,6159,6159
1568176182,6212,6212
1568262580,6254,6254
1568348981,6647,6647
1568608179,6292,6292
1568694580,6301,6301
1568780980,6160,6160
1568929624,6378,6378
1568953779,6140,6140
1569212978,6220,6220
1569299378,6128,6128
1569385782,6086,6086
1569472179,6113,6113
1569558577,6111,6111
1569904175,6199,6199
1569990576,6315,6315
1570076974,6196,6196
1570163371,6141,6141
1570422573,6274,6274
1570508972,6036,6036
1570595371,5396,5396
1570681772,5358,5358
1570768171,5363,5363
1571027371,5564,5564
1571113769,5470,5470
1571200169,5481,5481
1571286567,5586,5586
1571372967,5512,5512
1571632170,5711,5711
1571718567,5644,5644
1571804985,5671,5671
1571891367,5724,5724
