DateTime,AddedIPs,RemovedIPs
1611718381,3,0
1611718924,6,0
1611720723,5,0
1611721324,3,0
1611721924,61,72
1611722525,1,0
1611723124,1,0
1611724324,4,0
1611724923,1,0
1611725524,47,46
1611725581,1,0
1611726124,11,0
1611726724,1,0
1611727324,4,0
1611727924,2,0
1611728524,1,1
1611729077,33,37
1611729181,2,0
1611729724,3,0
1611730923,1,1
1611732123,1,0
1611732695,28,27
1611733324,1,1
1611734524,3,0
1611735724,1,0
1611736276,20,18
1611736924,1,0
1611737523,3,0
1611738124,5,0
1611738724,1,0
1611739324,2,0
1611739874,25,26
1611739981,1,0
1611740524,2,0
1611741724,5,0
1611742324,1,0
1611743476,29,30
1611743581,5,1
1611744124,3,0
1611744724,3,0
1611747076,25,33
1611747182,7,0
1611747724,3,0
1611748925,1,1
1611749524,1,0
1611750124,3,0
1611750862,24,25
1611751924,2,0
1611752524,2,0
1611753724,4,0
1611754286,23,21
1611754381,5,0
1611754924,3,0
1611756124,6,0
1611757324,1,0
1611757925,19,30
1611758524,4,0
1611759724,16,0
1611760324,2,0
1611760924,3,0
1611761468,23,25
1611761581,3,0
1611762124,4,0
1611763324,1,0
1611763924,2,0
1611764525,1,0
1611765073,29,31
1611765725,3,0
1611766324,2,0
1611766924,2,0
1611767524,6,0
1611768675,25,31
1611768782,4,0
1611769324,1,0
1611770524,5,0
1611771124,2,0
1611771724,2,0
1611772381,36,29
1611772925,5,0
1611773524,1,0
1611774124,3,0
1611774725,1,0
1611775324,1,0
1611776524,2,0
1611777722,35,27
1611777724,3,0
1611779524,25,20
1611780725,1,0
1611781324,1,0
1611781924,2,0
1611782524,3,0
1611783103,23,34
1611783725,2,0
1611784324,1,0
1611784924,4,0
1611786124,9,0
1611787324,3,0
1611788524,9,0
1611789124,3,0
1611789724,3,0
1611790381,1,0
1611790924,5,0
1611792124,4,0
1611793324,3,1
1611793981,1,0
1611794524,5,0
1611795124,2,0
1611795724,4,0
1611796923,5,0
1611798124,4,0
1611799324,148,87
1611800524,1,0
1611801087,86,147
1611801724,5,0
1611802324,0,1
1611802924,189,89
1611804124,5,0
1611804700,24,55
1611805324,3,0
1611806524,130,189
1611807724,3,0
1611808924,3,0
1611809695,2,0
1611810124,3,0
1611811324,2,0
1611811869,286,187
1611812524,2,0
1611813724,2,0
1611814331,2,0
1611814924,1,0
1611815466,44,42
1611815581,4,0
1611816124,1,0
1611816724,1,0
1611817923,2,0
1611818524,3,0
1611819724,3,0
1611820324,2,0
1611820923,32,28
1611822124,1,0
1611822669,206,309
1611823324,5,0
1611823748,2,0
1611824523,325,212
1611825724,2,0
1611826304,26,52
1611826923,2,0
1611828724,4,0
1611829324,5,0
1611829982,2,0
1611830524,2,0
1611831123,3,0
1611831723,32,40
1611833473,38,26
1611833581,4,0
1611834124,5,0
1611835324,1,0
1611836524,2,0
1611837125,231,317
1611837181,1,0
1611838324,2,0
1611838924,316,230
1611839524,3,0
1611840123,5,0
1611840675,52,17
1611841324,5,0
1611842524,2,0
1611843124,4,0
1611843724,2,0
1611844381,3,0
1611844924,7,1
1611846124,28,54
1611847324,7,0
1611847864,48,19
1611848524,1,0
1611849723,2,0
1611850324,1,0
1611850924,10,0
1611851581,42,51
1611852724,1,0
1611853323,2,0
1611853924,1,0
1611854524,4,0
1611855075,21,57
1611855724,6,0
1611856324,2,0
1611856923,3,0
1611857524,3,0
1611858123,3,0
1611858677,35,33
1611860524,3,0
1611861124,1,0
1611861724,1,0
1611862278,29,43
1611862924,3,0
1611864124,2,0
1611865323,2,0
1611865982,39,22
1611866371,2,0
1611866524,8,0
1611867724,9,0
1611868924,2,0
1611869505,31,31
1611870124,4,0
1611870724,2,0
1611871324,3,0
1611872524,8,0
1611873071,27,34
1611873724,4,0
1611874924,4,0
1611876124,5,0
1611876671,31,51
1611876781,2,0
1611877324,5,0
1611877924,6,0
1611878525,62,33
1611879123,3,0
1611879724,4,0
1611880285,32,60
1611880381,3,1
1611882124,64,32
1611883324,4,0
1611883890,70,30
1611883982,1,0
1611884524,7,0
1611885724,2,0
1611886924,4,0
1611887525,1,0
1611887581,1,0
1611888124,1,0
1611888724,2,0
1611889324,25,35
1611889924,2,0
1611890524,3,0
1611891181,3,0
1611891724,3,0
1611892924,50,55
1611893577,1,0
1611894670,58,69
1611895324,3,0
1611896524,2,0
1611897724,2,0
1611898269,58,58
1611898381,22,0
1611898924,2,0
1611900124,46,46
1611901981,6,0
1611902530,2,0
1611903724,2,0
1611904324,3,0
1611904924,2,0
1611905581,39,37
1611906124,1,0
1611907324,6,0
1611907924,2,0
1611908524,1,0
1611909067,37,28
1611909724,3,0
1611910924,1,0
1611911706,3,0
1611912124,1,0
1611913324,7,0
1611914524,48,26
1611915724,4,0
1611916291,38,32
1611916382,1,1
1611916924,4,0
1611918123,1,0
1611919323,4,0
1611919924,24,21
1611920383,1,0
1611920524,2,0
1611921124,7,0
1611921724,2,0
1611922924,7,0
1611923524,38,35
1611923581,1,0
1611924123,5,0
1611925324,4,0
1611925924,3,0
1611926524,5,0
1611927105,32,33
1611927724,3,0
1611928924,3,0
1611929524,1,0
1611930668,37,35
1611930781,4,0
1611931324,1,0
1611932550,30,26
1611933123,1,0
1611933724,6,0
1611934324,3,0
1611935524,5,0
1611936123,29,33
1611936724,12,0
1611937324,2,0
1611938523,8,0
1611939724,5,0
1611940924,4,0
1611941525,26,38
1611942124,7,0
1611943324,4,0
1611944524,1,0
1611945182,37,38
1611945724,1,0
1611946324,8,0
1611946924,1,0
1611948124,5,0
1611949324,1,0
1611950524,56,17
1611951724,1,0
1611952270,17,55
1611952382,1,0
1611952924,1,0
1611953173,1,0
1611954124,71,44
1611954724,2,0
1611955323,1,0
1611955882,26,32
1611955981,1,0
1611956524,4,0
1611957123,3,0
1611957750,4,0
1611958924,3,0
1611959469,29,32
1611960124,1,0
1611961324,11,0
1611961924,2,0
1611962524,4,0
1611963084,43,28
1611964324,1,0
1611966124,4,0
1611966672,54,30
1611966782,1,0
1611967324,3,0
1611968524,1,0
1611969723,3,0
1611970381,53,41
1611970924,2,2
1611972124,2,0
1611972724,1,0
1611973323,3,0
1611973893,36,31
1611974525,3,0
1611975124,2,1
1611975724,4,0
1611976923,2,0
1611977474,55,52
1611978124,1,0
1611979324,2,0
1611980524,4,0
1611981723,2,0
1611982324,1,0
1611982924,69,74
1611983524,1,0
1611984124,9,0
1611984668,44,62
1611984782,3,0
1611985324,4,0
1611986524,2,0
1611987724,1,1
1611988269,57,41
1611988381,1,0
1611988924,1,0
1611990124,4,0
1611990724,2,0
1611991324,1,0
1611991871,31,32
1611992524,1,0
1611993723,3,0
1611994324,1,0
1611994924,2,0
1611996123,5,0
1611997324,25,32
1611997924,3,0
1611999090,26,32
1611999724,1,0
1612000924,1,0
1612001524,2,0
1612002124,2,0
1612002692,33,26
1612003323,21,0
1612004524,2,0
1612005124,1,1
1612005724,4,0
1612006458,4,0
1612006924,3,0
1612007524,2,1
1612008123,43,25
1612008724,3,1
1612009324,1,0
1612009924,24,36
1612010523,1,0
1612011724,37,22
1612012924,5,3
1612013582,6,0
1612014124,2,0
