DateTime,AddedIPs,RemovedIPs
1611611404,68,140
1611613201,15,12
1611613880,61,75
1611614043,54,121
1611615122,17,7
1611615762,75,159
1611617082,15,17
1611617644,75,113
1611618965,18,19
1611620197,97,116
1611621127,221,0
1611621245,52,97
1611623052,8,20
1611623803,109,111
1611624997,9,9
1611625503,0,255
1611625804,102,129
1611626894,9,5
1611628806,64,82
1611629403,91,128
1611630756,9,10
1611632648,103,63
1611633004,81,137
1611634806,4,8
1611634910,68,84
1611635643,68,88
1611636757,9,12
1611637961,154,99
1611638647,3,8
1611639244,71,121
1611640601,10,12
1611640908,60,36
1611642486,9,12
1611642843,141,201
1611644419,10,18
1611644569,102,153
1611646358,7,6
1611647202,68,0
1611648250,12,6
1611649902,191,283
1611650200,17,11
1611651028,89,182
1611652086,11,6
1611652741,92,95
1611653644,43,201
1611654004,14,8
1611655515,119,192
1611655959,11,15
1611657246,100,126
1611657847,6,8
1611659763,20,587
1611659803,110,170
1611661723,80,171
1611661805,57,76
1611663603,257,0
1611664203,58,111
1611664445,55,161
1611665524,11,9
1611666628,1269,0
1611667484,3,15
1611667862,129,155
1611669365,11,8
1611669666,81,196
1611670700,93,87
1611671539,18,8
1611671644,54,145
1611673448,9,4
1611673586,80,180
1611675405,10,6
1611675971,83,158
1611677287,76,60
1611677950,68,108
1611678844,44,181
1611679219,14,8
1611680696,83,182
1611681160,3,8
1611682449,84,243
1611683066,5,17
1611685207,85,76
1611686044,142,252
1611687124,12,9
1611687686,75,47
1611689093,12,12
1611689104,93,109
1611690965,11,11
1611691579,121,534
1611692885,12,12
1611693533,85,143
1611694007,0,766
1611694855,11,16
1611696728,9,19
1611696844,172,302
1611698654,10,14
1611699676,155,140
1611700600,11,12
1611700990,67,205
1611702490,11,6
1611703029,78,95
1611703503,62,0
1611704406,8,14
1611704825,255,0
1611706369,292,137
1611706638,80,92
1611708246,19,12
1611709626,142,287
1611710170,13,13
1611712123,11,9
1611712204,118,209
1611714009,13,7
1611714230,99,108
1611715927,7,7
1611716546,77,181
1611717887,79,107
1611718447,90,151
1611720017,7,11
1611721931,110,159
1611722045,80,122
1611723885,6,8
1611724637,115,44
1611725105,97,87
1611725764,8,16
1611726428,90,222
1611727931,11,16
1611729244,170,323
1611729846,8,9
1611731797,12,12
1611732746,147,220
1611732843,141,211
1611733687,11,11
1611734550,97,78
1611735604,6,12
1611735906,106,124
1611737556,17,15
1611738146,79,249
1611739451,103,135
1611740045,59,223
1611741364,8,22
1611742710,176,194
1611743318,6,13
1611744213,82,272
1611745213,12,589
1611745668,84,213
1611747127,19,17
1611747243,78,200
1611749085,241,0
1611750969,17,8
1611751647,211,172
1611751716,87,237
1611753127,19,756
1611754444,141,302
1611755045,11,4
1611756995,15,18
1611757504,172,222
1611758044,25,186
1611759130,11,10
1611761050,12,516
1611761644,164,291
1611762995,13,8
1611763348,0,18643
1611764889,131,42
1611765244,18516,0
1611767064,17,5
1611767330,100,199
1611768984,9,9
1611769645,85,141
1611770940,68,62
1611771904,111,86
1611772865,14,11
1611773403,92,167
1611774722,8,11
1611774970,512,0
1611775914,74,384
1611776728,111,160
1611777675,76,52
1611778604,10,13
1611779505,80,91
1611779645,24,99
1611780518,8,14
1611782476,12,12
1611783122,363,107
1611783245,66,94
1611784343,16,9
1611784892,66,92
1611786261,17,13
1611786304,64,1
1611786843,19,79
1611788226,20,8
1611789131,89,85
1611790088,6,16
1611790445,58,79
1611792016,234,0
1611792988,168,95
1611793958,6,7
1611794044,328,114
1611795853,6,8
1611797766,7,15
1611798303,350,203
1611799721,5,9
1611799801,83,95
1611801606,5,16
1611801991,49,85
1611803525,8,7
1611804691,80,99
1611805483,85,105
1611807364,6,5
1611808290,109,139
1611809286,12,9
1611810091,68,125
1611811207,4,5
1611811329,88,87
