DateTime,AddedIPs,RemovedIPs
1611663124,5,0
1611663724,6,1
1611664324,2,0
1611664381,4,0
1611664924,3,0
1611666125,4,0
1611666724,1,0
1611667324,8,0
1611668524,13,0
1611669125,2,0
1611669724,7,0
1611670324,6,0
1611670924,1,0
1611671525,2,0
1611672124,2,0
1611672724,2,0
1611673924,11,0
1611675181,1,0
1611675724,1,0
1611676324,4,0
1611676924,5,0
1611677524,2,0
1611679324,7,0
1611680524,3,0
1611681724,2,0
1611682924,1,0
1611684124,3,0
1611684724,2,1
1611685324,2,0
1611685982,3,0
1611686524,1,0
1611688324,3,0
1611688924,1,0
1611690124,2,0
1611690724,3,0
1611691325,1,0
1611692524,4,0
1611693724,7,0
1611694324,4,0
1611694924,4,0
1611695525,3,0
1611696124,2,0
1611697324,1,0
1611699724,4,0
1611700381,2,0
1611700924,5,0
1611701524,3,0
1611702124,1,0
1611703324,2,0
1611704524,11,0
1611705124,4,0
1611706324,5,0
1611706924,2,0
1611707582,2,0
1611708124,7,0
1611708724,2,0
1611709323,3,0
1611710525,3,1
1611711724,2,2
1611712324,2,0
1611712924,2,0
1611713524,1,0
1611714124,1,0
1611715324,7,0
1611715924,2,0
1611716524,3,0
1611717724,3,0
1611718381,3,0
1611718924,6,0
1611720723,5,0
1611721324,3,0
1611722525,1,0
1611723124,1,0
1611724324,4,0
1611724923,1,0
1611725524,2,0
1611725581,1,0
1611726124,11,0
1611726724,1,0
1611727324,4,0
1611727924,2,0
1611728524,1,1
1611729181,2,0
1611729724,3,0
1611730923,1,1
1611732123,1,0
1611733324,1,1
1611734524,3,0
1611735724,1,0
1611736924,1,0
1611737523,3,0
1611738124,5,0
1611738724,1,0
1611739324,2,0
1611739981,1,0
1611740524,2,0
1611741724,5,0
1611742324,1,0
1611743581,5,1
1611744124,3,0
1611744724,3,0
1611747182,7,0
1611747724,3,0
1611748925,1,1
1611749524,1,0
1611750124,3,0
1611750782,1,1
1611751924,2,0
1611752524,2,0
1611753724,4,0
1611754381,5,0
1611754924,3,0
1611756124,6,0
1611757324,1,0
1611757925,3,0
1611758524,4,0
1611759724,16,0
1611760324,2,0
1611760924,3,0
1611761581,3,0
1611762124,4,0
1611763324,1,0
1611763924,2,0
1611764525,1,0
1611765725,3,0
1611766324,2,0
1611766924,2,0
1611767524,6,0
1611768782,4,0
1611769324,1,0
1611770524,5,0
1611771124,2,0
1611771724,2,0
1611772381,1,0
1611772925,5,0
1611773524,1,0
1611774124,3,0
1611774725,1,0
1611775324,1,0
1611776524,2,0
1611777724,3,0
1611780725,1,0
1611781324,1,0
1611781924,2,0
1611782524,3,0
1611783725,2,0
1611784324,1,0
1611784924,4,0
1611786124,9,0
1611787324,3,0
1611788524,9,0
1611789124,3,0
1611789724,3,0
1611790381,1,0
1611790924,5,0
1611792124,4,0
1611793324,3,1
1611793981,1,0
1611794524,5,0
1611795124,2,0
1611795724,4,0
1611796923,5,0
1611798124,4,0
1611799324,1,1
1611800524,1,0
1611801724,5,0
1611802324,0,1
1611802924,3,0
1611804124,5,0
1611805324,3,0
1611806524,6,0
1611807724,3,0
1611808924,3,0
1611809524,2,0
1611810124,3,0
1611811324,2,0
1611812524,2,0
1611813724,2,0
1611814324,2,0
1611814924,1,0
1611815581,4,0
1611816124,1,0
1611816724,1,0
1611817923,2,0
1611818524,3,0
1611819724,3,0
1611820324,2,0
1611822124,1,0
1611823324,5,0
1611825724,2,0
1611826923,2,0
1611828724,4,0
1611829324,5,0
1611829982,2,0
1611830524,2,0
1611831123,3,0
1611831723,1,0
1611833581,4,0
1611834124,5,0
1611835324,1,0
1611836524,2,0
1611837125,1,0
1611837181,1,0
1611838324,2,0
1611838924,1,0
1611839524,3,0
1611840123,5,0
1611841324,5,0
1611842524,2,0
1611843124,4,0
1611843724,2,0
1611844381,3,0
1611844924,7,1
1611846124,4,0
1611847324,7,0
1611848524,1,0
1611849723,2,0
1611850324,1,0
1611850924,10,0
1611851581,2,0
1611852724,1,0
1611853323,2,0
1611853924,1,0
1611854524,4,0
1611855724,6,0
1611856324,2,0
1611856923,3,0
1611857524,3,0
1611858123,3,0
1611860524,3,0
1611861124,1,0
1611861724,1,0
1611862924,3,0
1611864124,2,0
1611865323,2,0
1611866524,8,0
1611867724,9,0
1611868924,2,0
1611870124,4,0
1611870724,2,0
1611871324,3,0
1611872524,8,0
1611873724,4,0
1611874924,4,0
1611876124,5,0
1611876781,2,0
1611877324,5,0
1611877924,6,0
1611878525,1,1
1611879123,3,0
1611879724,4,0
1611880381,3,1
1611882124,4,0
1611883324,4,0
1611883982,1,0
1611884524,7,0
1611885724,2,0
1611886924,4,0
1611887525,1,0
1611887581,1,0
1611888124,1,0
1611888724,2,0
1611889324,2,0
1611889924,2,0
1611890524,3,0
1611891181,3,0
1611891724,3,0
1611892924,6,0
1611893577,1,0
1611895324,3,0
1611896524,2,0
1611897724,2,0
1611898381,22,0
1611898924,2,0
1611900124,4,0
1611901981,6,0
1611902524,1,0
1611903724,2,0
1611904324,3,0
1611904924,2,0
1611906124,1,0
1611907324,6,0
1611907924,2,0
1611908524,1,0
1611909724,3,0
1611910924,1,0
1611911524,3,0
1611912124,1,0
1611913324,7,0
1611914524,17,0
1611915724,4,0
1611916382,1,1
1611916924,4,0
1611918123,1,0
1611919323,4,0
1611919924,4,0
1611919981,1,0
1611920524,2,0
1611921124,7,0
1611921724,2,0
1611922924,7,0
1611923524,3,0
1611923581,1,0
1611924123,5,0
1611925324,4,0
1611925924,3,0
1611926524,5,0
1611927724,3,0
1611928924,3,0
1611929524,1,0
1611930781,4,0
1611931324,1,0
1611932524,4,0
1611933123,1,0
1611933724,6,0
1611934324,3,0
1611935524,5,0
1611936123,2,0
1611936724,12,0
1611937324,2,0
1611938523,8,0
1611939724,5,0
1611940924,4,0
1611942124,7,0
1611943324,4,0
1611944524,1,0
1611945182,1,0
1611945724,1,0
1611946324,8,0
1611946924,1,0
1611948124,5,0
1611949324,1,0
1611950524,1,0
1611951724,1,0
1611952382,1,0
1611952924,1,0
1611954124,1,0
1611954724,2,0
1611955323,1,0
1611955981,1,0
1611956524,4,0
1611957123,3,0
1611957724,4,0
1611958924,3,0
1611960124,1,0
1611961324,11,0
1611961924,2,0
1611962524,4,0
1611964324,1,0
1611966124,4,0
1611966782,1,0
1611967324,3,0
1611968524,1,0
1611969723,3,0
1611970924,2,2
1611972124,2,0
1611972724,1,0
1611973323,3,0
1611974525,3,0
1611975124,2,1
1611975724,4,0
1611976923,2,0
1611978124,1,0
1611979324,2,0
1611980524,4,0
1611981723,2,0
1611982324,1,0
1611982924,2,0
1611983524,1,0
1611984124,9,0
1611984782,3,0
1611985324,4,0
1611986524,2,0
1611987724,1,1
1611988381,1,0
1611988924,1,0
1611990124,4,0
1611990724,2,0
1611991324,1,0
1611992524,1,0
1611993723,3,0
1611994324,1,0
1611994924,2,0
1611996123,5,0
1611997324,4,0
1611997924,3,0
1611999724,1,0
1612000924,1,0
1612001524,2,0
1612002124,2,0
1612003323,21,0
1612004524,2,0
1612005124,1,1
1612005724,4,0
1612006382,4,0
1612006924,3,0
1612007524,2,1
1612008123,7,0
1612008724,3,1
1612009324,1,0
1612009924,2,1
1612010523,1,0
1612011724,2,0
1612012924,5,3
1612013582,6,0
1612014124,2,0
1612015324,2,1
1612015924,9,0
1612016524,5,1
1612017181,3,9
1612017724,4,0
1612018924,3,1
1612019523,3,3
1612020124,1,2
1612020781,1,0
1612021324,1,0
1612022524,5,3
1612023723,1,0
1612024382,1,0
1612024923,4,3
1612026124,5,0
1612027323,1,0
1612027982,1,0
1612028523,4,0
1612029124,5,0
1612030324,3,2
1612030924,4,0
1612032124,5,1
1612033324,2,1
1612034524,0,4
1612035724,1,1
1612036924,2,1
1612037524,4,0
1612038123,2,1
1612038901,0,5
1612039324,12,3
1612040524,9,0
1612041723,1,1
1612042324,2,5
1612042924,3,0
1612043523,0,1
1612044123,3,0
1612044724,2,4
1612045924,8,0
1612046524,3,0
1612047124,1,0
1612047724,1,1
1612048324,1,0
1612049524,3,0
1612050124,1,1
1612050724,4,0
1612051324,2,10
1612051924,1,1
1612052524,3,1
1612053124,1,0
1612053724,2,1
1612054324,9,0
1612054924,1,2
1612056124,2,4
1612056725,1,0
1612057324,1,1
1612058524,3,0
1612060924,5,1
1612062124,3,0
1612062724,1,2
1612063324,1,3
1612064524,0,5
1612065124,2,0
1612066323,4,0
1612066924,2,0
1612068123,4,0
1612068723,1,0
1612069324,4,2
1612069924,1,1
1612070524,5,0
1612071724,2,3
1612072324,0,1
1612072924,1,3
1612074124,3,0
1612074725,2,1
1612075324,2,0
1612075924,1,0
1612076524,2,1
1612077724,2,2
1612078325,3,0
1612078924,2,0
1612080124,1,0
1612081924,1,0
1612082523,9,0
1612083123,0,3
1612083724,2,0
1612084924,3,8
1612086124,6,1
1612086724,3,4
1612087924,2,0
1612088524,6,0
1612089124,1,1
1612090324,4,0
1612091524,4,1
1612092124,1,2
