DateTime,AddedIPs,RemovedIPs
1566305404,0,114944
1566391804,2560,42240
1566478204,3840,44032
1566564604,4608,58112
1566651004,4608,48640
1566737404,8960,8192
1566823805,1024,1024
1566910204,0,39680
1566996603,12800,601600
1567083005,7424,56064
1567169405,1280,45824
1567255804,0,63744
1567342204,2560,4608
1567428604,256,0
1567515005,2064,44544
1567601406,6144,56320
1567687805,1536,46848
1567774205,3072,49408
1567860605,2048,46592
1567947004,5120,3328
1568033404,1024,0
1568119805,21504,52224
1568206204,4608,71168
1568292605,2560,54016
1568379004,5376,41728
1568465404,2560,59136
1568551804,512,26368
1568638204,0,512
1568724604,1024,54528
1568811004,2560,57344
1568897404,5120,47360
1568983804,512,30720
1569070204,2048,47872
1569156606,256,9472
1569329404,256,552704
1569415804,7168,39424
1569502207,2048,37632
1569588605,1024,39680
1569675005,4864,53504
1569761406,3584,14848
1569934212,1280,38144
1570020604,1024,38656
1570107004,4608,27648
1570193404,0,59392
1570279804,3584,50176
1570366204,3328,29952
1570539004,202752,33280
1570625404,1280,18688
1570711804,4096,29184
1570798205,2560,35840
1570884605,3584,38456
1570971004,2560,3584
1571143804,1024,24576
1571230204,2048,28672
1571316603,3072,25600
1571403004,7168,45568
1571489404,768,36352
1571575804,1280,10240
1571748603,2304,20224
1571835004,0,37120
1571921404,1280,31488
1572007805,0,23296
1572094204,5120,27904
1572180603,3584,14592
1572353404,1024,20736
1572439804,4352,22272
1572526205,2048,34048
1572612603,1024,49408
1572699004,2048,3141888
1572785404,3072,10496
1572958204,2681344,23040
1573044616,6400,40704
1573131005,0,39424
1573217403,3072,47360
1573303804,1536,35840
1573390204,4352,12032
1573563006,1024,57088
1573649404,5120,35328
1573735804,3840,48128
1573822204,2304,44288
1573908628,0,48384
1573995012,2048,0
1574167804,2304,585472
1574254217,4096,30464
1574340606,4352,35584
1574427004,1792,26880
1574513404,2560,101888
1574599804,3584,5632
1574772605,0,301056
1574859004,0,16384
1574945404,0,3584
1575031821,0,16128
1575118203,1792,14080
1575204605,0,3328
1575291004,0,17408
1575377404,256,9216
1575463804,4864,9472
1575550204,19456,16128
1575636604,768,18432
1575723004,2816,13312
1575809404,0,14336
1575895804,512,0
1575982204,1024,11520
1576068604,6144,13056
1576155005,0,13824
1576241404,2304,6656
1576327814,256,12544
1576414204,1024,8960
1576587004,2048,5376
1576673404,512,55552
1576759804,61440,11264
1576846205,3328,76032
1576932605,0,21504
1577105404,1024,4096
1577191806,4096,18432
1577278204,256,12032
1577364622,6656,768
1577451004,2560,2048
1577537404,4864,13056
1577623804,4096,0
1577710204,9216,0
1577796605,51456,24576
1577883003,1024,6912
1577969404,5376,0
1578055804,4608,4608
1578142206,7936,15104
1578228604,0,13056
1578315004,13312,0
1578401405,768,14848
1578487804,1280,9984
1578574204,2048,9472
1578660605,4608,12288
1578747004,3328,16384
1578833404,512,8192
1578919804,3840,0
1579006204,23296,550144
1579092604,2048,15872
1579179004,80896,6656
1579265404,2816,17920
1579351804,14592,11520
1579438204,5120,18176
1579524604,14592,0
1579611005,1280,11776
1579697404,2048,12032
1579783804,0,3840
1579870203,10240,24576
1579956604,1792,16640
1580043004,512,6400
1580129404,256,1024
1580215804,0,2304
1580302204,25600,13824
1580388604,2048,10240
1580475004,1024,17664
1580561404,192512,11008
1580647803,27392,17920
1580734203,18176,0
1580820604,29696,10496
