DateTime,AddedIPs,RemovedIPs
1567874651,25,0
1567961787,22,2
1568049162,21,3
1568136250,21,4
1568223576,20,4
1568310928,4,27
1568398306,3,2
1568485905,4,0
1568573099,4,1
1568660434,3,7
1568747541,8,0
1568834656,3,4
1568922029,4,1
1569009160,2,0
1569096293,4,3
1569183386,2,2
1569270494,3,4
1569357611,2,1
1569444746,1,2
1569532106,8,3
1569619219,4,1
1569706337,15,3
1569793454,10,4
1569880588,8,3
1569967694,1,5
1570141936,9,3
1570229059,2,0
1570316180,3,2
1570403323,2,2
1570490422,4,0
1570577550,6,26
1570664656,7,4
1570751769,11,2
1570839044,4,3
1570926215,3,2
1571013389,18,2
1571100744,4,3
1571187854,3,0
1571274979,18,0
1571362115,8,2
1571449234,2,2
1571536333,4,2
1571623465,2,1
1571710574,7,2
1571797703,2,0
1571884812,2,2
1571971939,5,1
1572059076,6,3
1572146172,5,1
1572233544,0,1
1572320675,0,1
1572407785,8,2
1572494917,0,1
1572582278,3,3
1572756727,1,3
1572844377,2,3
1572931469,3,28
1573018576,16,0
1573105714,3,1
1573192822,16,2
1573279958,5,3
1573367065,2,2
1573454170,4,3
1573541297,1,2
1573628422,3,2
1573715546,3,0
1573802654,3,4
1573889791,0,3
1573976904,4,1
1574064024,2,3
1574151402,4,6
1574238511,4,3
1574325858,6,2
1574412982,2,0
1574500133,1,3
1574587483,5,14
1574674833,4,4
1574761935,1,1
1574849313,24,4
1574936434,2,2
1575023804,10,1
1575110917,8,0
1575198020,4,1
1575285141,7,3
1575372254,0,4
1575459642,3,4
1575546983,2,6
1575634105,4,7
1575721241,1,5
1575808361,1,6
1575895458,1,9
1575982695,1,7
1576069729,2,13
1576156812,1,8
1576243952,1,12
1576331052,2,3
1576418186,0,1
1576505320,1,5
1576592418,1,1
1576679548,1,2
1576766672,1,1
1576854026,5,1
1576941160,2,2
1577028250,3,12
1577115615,33,3
1577202732,19,3
1577290121,23,2
1577377223,1,1
1577464369,4,2
1577551456,4,1
1577638591,1,1
1577725734,0,3
1577812833,5,2
1577899959,1,3
1577987066,1,5
1578161573,7,3
1578248681,3,0
1578336022,1,2
1578423146,5,7
1578510510,0,4
1578597620,3,6
1578684759,2,6
1578771857,0,4
1578858974,3,22
1578946350,1,3
1579033460,2,2
1579120593,1,7
1579207720,8,2
1579294822,4,0
1579382193,0,5
1579469303,3,4
1579643541,2,24
1579730666,0,1
1579817780,1,3
1579905143,5,4
1579992274,0,1
1580079397,0,6
1580166746,1,6
1580253862,1,2
1580340988,1,5
1580428103,0,5
1580515221,3,6
1580602359,3,5
1580689457,4,5
1580776593,3,6
1580863712,2,9
1580950846,2,4
1581037951,1,3
1581125070,10,9
1581212187,0,2
1581299314,1,1
1581386429,5,7
1581473546,1,5
1581560657,3,5
1581647779,2,3
1581734896,4,12
1581822036,3,0
1581909386,26,13
1581996494,93,5
1582083617,9,8
1582170767,16,26
1582258111,4,8
1582345215,3,13
1582432339,2,6
1582519454,7,13
1582606576,0,8
1582693699,5,3
1582780815,29,36
1582867945,37,4
1582955073,40,8
1583042190,8,20
1583129299,1,7
1583216413,2,5
1583303537,9,6
1583390655,4,4
1583477774,3,1
1583564896,1,3
1583652036,4,15
1583739165,4,17
1583826286,1,4
1583913379,9,27
1584000506,22,53
1584087628,7,108
1584174742,3,276
1584261875,3,1
1584348988,4,291
1584436111,33,61
1584610356,1,104
1584871709,2,2609
1584958826,3,841
1585045953,11,677
1585133073,2,279
1585220182,0,477
1585307318,0,662
1585394419,3,590
1585481559,2,148
1585568666,1,53
1585742897,2,503
1585830016,1,488
1585917153,0,168
1586004267,2,72
1586091409,1,12
1586178495,1,34
1586265615,0,13
1586352737,1,26
1586439877,24,20
1586526971,23,18
1586614112,2,15
1586701231,3,8
1586788337,2,8
1586875470,3,27
1586962584,5,36
1587049722,2,65
1587137065,1,453
1587224185,3,189
1587311300,4,105
1587398435,1,29
1587485827,3,20
1587572885,3,25
1587660025,9,91
1587747138,5,70
1587834504,4,69
1587921826,12,31
1588008983,19,35
1588096087,14,43
1588183209,5,40
1588270584,3,67
1588357688,16,49
1588444812,12,32
1588531930,8,40
1588619051,5,51
1588706166,6,28
1588793285,3,24
1588880413,8,35
1588967527,6,47
1589054658,3,65
1589141775,9,48
1589228887,7,33
1589316008,4,53
1589403128,3,46
1589490500,4,19
1589577625,6,50
1589664733,4,5
1589751862,4,14
1589838978,12,19
1589926101,24,16
1590013452,34,21
1590100589,32,9
1590187703,35,12
1590274822,23,10
1590361945,3,6
1590449305,6,6
1590536421,4,4
1590623540,14,8
1590710897,11,2
1590798007,3,0
1590885191,6,17
1590972260,3,4
1591059381,7,131
1591146492,7,28
1591233609,10,9
1591320746,15,32
1591407869,14,9
1591494968,4,17
1591582353,3,21
1591669461,2,4
1591756572,2,33
1591843687,2,30
1591930831,14,1
1592018194,4,7
1592105536,22,4
1592192648,2,12
1592279785,7,1
1592366898,2,24
1592454024,22,24
1592541158,14,23
1592628248,8,0
1592715366,2,10
1592802504,12,3
1592889609,4,108
1592976748,17,19
1593063851,11,497
1593151006,5,73
1593238117,15,10
1593325228,21,41
1593412352,16,10
1593499455,24,44
1593586569,21,3
1593673715,13,1
1593760832,20,74
1593847929,7,0
1593935048,9,20
1594022198,1,0
1594109325,8,76
1594196446,11,4
1594283555,25,11
1594370649,17,10
1594457781,20,2
1594544921,24,6
1594632005,23,16
1594719135,6,20
1594806249,5,5
1594893371,21,10
1594980518,9,10
1595067606,8,8
1595154728,2,4
1595241848,5,5
1595328969,14,7
1595416100,23,8
1595503219,14,23
1595590330,22,4
1595677448,18,4
1595764574,1,4
1595851729,7,16
1595938819,17,12
1596025932,3,5
1596113097,19,40
1596200202,6,66
1596287291,6,23
1596374440,18,65
1596461560,14,22
1596548651,13,10
1596635766,19,1
1596722887,21,9
1596810034,10,28
1596897130,13,8
1596984254,1,5
1597071368,12,1
1597158493,8,3
1597245636,10,3
1597332755,6,12
1597419847,10,5
1597507002,5,12
1597594181,5,114
1597681212,6,22
1597768332,20,58
1597855449,20,10
1597942567,18,2
1598029689,2,50
1598116805,3,0
1598203924,8,16
1598291060,7,2
1598378166,2,6
1598465290,22,2
1598552435,16,10
1598639558,20,15
1598726681,5,11
1598814045,8,4
1598901684,6,0
1598989001,5,21
1599076113,5,16
1599163243,5,27
1599250573,5,10
1599337713,2,3
1599424807,1,17
1599511926,7,24
