DateTime,Entries,UniqueIPs
1567874651,14004,14004
1567961787,14024,14024
1568049162,14042,14042
1568136250,14059,14059
1568223576,14075,14075
1568310928,14052,14052
1568398306,14053,14053
1568485905,14057,14057
1568573099,14060,14060
1568660434,14056,14056
1568747541,14064,14064
1568834656,14063,14063
1568922029,14066,14066
1569009160,14068,14068
1569096293,14069,14069
1569183386,14069,14069
1569270494,14068,14068
1569357611,14069,14069
1569444746,14068,14068
1569532106,14073,14073
1569619219,14076,14076
1569706337,14088,14088
1569793454,14094,14094
1569880588,14099,14099
1569967694,14095,14095
1570141936,14101,14101
1570229059,14103,14103
1570316180,14104,14104
1570403323,14104,14104
1570490422,14108,14108
1570577550,14088,14088
1570664656,14091,14091
1570751769,14100,14100
1570839044,14101,14101
1570926215,14102,14102
1571013389,14118,14118
1571100744,14119,14119
1571187854,14122,14122
1571274979,14140,14140
1571362115,14146,14146
1571449234,14146,14146
1571536333,14148,14148
1571623465,14149,14149
1571710574,14154,14154
1571797703,14156,14156
1571884812,14156,14156
1571971939,14160,14160
1572059076,14163,14163
1572146172,14167,14167
1572233544,14166,14166
1572320675,14165,14165
1572407785,14171,14171
1572494917,14170,14170
1572582278,14170,14170
1572756727,14168,14168
1572844377,14167,14167
1572931469,14142,14142
1573018576,14158,14158
1573105714,14160,14160
1573192822,14174,14174
1573279958,14176,14176
1573367065,14176,14176
1573454170,14177,14177
1573541297,14176,14176
1573628422,14177,14177
1573715546,14180,14180
1573802654,14179,14179
1573889791,14176,14176
1573976904,14179,14179
1574064024,14178,14178
1574151402,14176,14176
1574238511,14177,14177
1574325858,14181,14181
1574412982,14183,14183
1574500133,14181,14181
1574587483,14172,14172
1574674833,14172,14172
1574761935,14172,14172
1574849313,14192,14192
1574936434,14192,14192
1575023804,14201,14201
1575110917,14209,14209
1575198020,14212,14212
1575285141,14216,14216
1575372254,14212,14212
1575459642,14211,14211
1575546983,14207,14207
1575634105,14204,14204
1575721241,14200,14200
1575808361,14195,14195
1575895458,14187,14187
1575982695,14181,14181
1576069729,14170,14170
1576156812,14163,14163
1576243952,14152,14152
1576331052,14151,14151
1576418186,14150,14150
1576505320,14146,14146
1576592418,14146,14146
1576679548,14145,14145
1576766672,14145,14145
1576854026,14149,14149
1576941160,14149,14149
1577028250,14140,14140
1577115615,14170,14170
1577202732,14186,14186
1577290121,14207,14207
1577377223,14207,14207
1577464369,14209,14209
1577551456,14212,14212
1577638591,14212,14212
1577725734,14209,14209
1577812833,14212,14212
1577899959,14210,14210
1577987066,14206,14206
1578161573,14210,14210
1578248681,14213,14213
1578336022,14212,14212
1578423146,14210,14210
1578510510,14206,14206
1578597620,14203,14203
1578684759,14199,14199
1578771857,14195,14195
1578858974,14176,14176
1578946350,14174,14174
1579033460,14174,14174
1579120593,14168,14168
1579207720,14174,14174
1579294822,14178,14178
1579382193,14173,14173
1579469303,14172,14172
1579643541,14150,14150
1579730666,14149,14149
1579817780,14147,14147
1579905143,14148,14148
1579992274,14147,14147
1580079397,14141,14141
1580166746,14136,14136
1580253862,14135,14135
1580340988,14131,14131
1580428103,14126,14126
1580515221,14123,14123
1580602359,14121,14121
1580689457,14120,14120
1580776593,14117,14117
1580863712,14110,14110
1580950846,14108,14108
1581037951,14106,14106
1581125070,14107,14107
1581212187,14105,14105
1581299314,14105,14105
1581386429,14103,14103
1581473546,14099,14099
1581560657,14097,14097
1581647779,14096,14096
1581734896,14088,14088
1581822036,14091,14091
1581909386,14104,14104
1581996494,14192,14192
1582083617,14193,14193
1582170767,14183,14183
1582258111,14179,14179
1582345215,14169,14169
1582432339,14165,14165
1582519454,14159,14159
1582606576,14151,14151
1582693699,14153,14153
1582780815,14146,14146
1582867945,14179,14179
1582955073,14211,14211
1583042190,14199,14199
1583129299,14193,14193
1583216413,14190,14190
1583303537,14193,14193
1583390655,14193,14193
1583477774,14195,14195
1583564896,14193,14193
1583652036,14182,14182
1583739165,14169,14169
1583826286,14166,14166
1583913379,14148,14148
1584000506,14117,14117
1584087628,14016,14016
1584174742,13743,13743
1584261875,13745,13745
1584348988,13458,13458
1584436111,13430,13430
1584610356,13327,13327
1584871709,10720,10720
1584958826,9882,9882
1585045953,9216,9216
1585133073,8939,8939
1585220182,8462,8462
1585307318,7800,7800
1585394419,7213,7213
1585481559,7067,7067
1585568666,7015,7015
1585742897,6514,6514
1585830016,6027,6027
1585917153,5859,5859
1586004267,5789,5789
1586091409,5778,5778
1586178495,5745,5745
1586265615,5732,5732
1586352737,5707,5707
1586439877,5711,5711
1586526971,5716,5716
1586614112,5703,5703
1586701231,5698,5698
1586788337,5692,5692
1586875470,5668,5668
1586962584,5637,5637
1587049722,5574,5574
1587137065,5122,5122
1587224185,4936,4936
1587311300,4835,4835
1587398435,4807,4807
1587485827,4790,4790
1587572885,4768,4768
1587660025,4686,4686
1587747138,4621,4621
1587834504,4556,4556
1587921826,4537,4537
1588008983,4521,4521
1588096087,4492,4492
1588183209,4457,4457
1588270584,4393,4393
1588357688,4360,4360
1588444812,4340,4340
1588531930,4308,4308
1588619051,4262,4262
1588706166,4240,4240
1588793285,4219,4219
1588880413,4192,4192
1588967527,4151,4151
1589054658,4089,4089
1589141775,4050,4050
1589228887,4024,4024
1589316008,3975,3975
1589403128,3932,3932
1589490500,3917,3917
1589577625,3873,3873
1589664733,3872,3872
1589751862,3862,3862
1589838978,3855,3855
1589926101,3863,3863
1590013452,3876,3876
1590100589,3899,3899
1590187703,3922,3922
1590274822,3935,3935
1590361945,3932,3932
1590449305,3932,3932
1590536421,3932,3932
1590623540,3938,3938
1590710897,3947,3947
1590798007,3950,3950
1590885191,3939,3939
1590972260,3938,3938
1591059381,3814,3814
1591146492,3793,3793
1591233609,3794,3794
1591320746,3777,3777
1591407869,3782,3782
1591494968,3769,3769
1591582353,3751,3751
1591669461,3749,3749
1591756572,3718,3718
1591843687,3690,3690
1591930831,3703,3703
1592018194,3700,3700
1592105536,3718,3718
1592192648,3708,3708
1592279785,3714,3714
1592366898,3692,3692
1592454024,3690,3690
1592541158,3681,3681
1592628248,3689,3689
1592715366,3681,3681
1592802504,3690,3690
1592889609,3586,3586
1592976748,3584,3584
1593063851,3098,3098
1593151006,3030,3030
1593238117,3035,3035
1593325228,3015,3015
1593412352,3021,3021
1593499455,3001,3001
1593586569,3019,3019
1593673715,3031,3031
1593760832,2977,2977
1593847929,2984,2984
1593935048,2973,2973
1594022198,2974,2974
1594109325,2906,2906
1594196446,2913,2913
1594283555,2927,2927
1594370649,2934,2934
1594457781,2952,2952
1594544921,2970,2970
1594632005,2977,2977
1594719135,2963,2963
1594806249,2963,2963
1594893371,2974,2974
1594980518,2973,2973
1595067606,2973,2973
1595154728,2971,2971
1595241848,2971,2971
1595328969,2978,2978
1595416100,2993,2993
1595503219,2984,2984
1595590330,3002,3002
1595677448,3016,3016
1595764574,3013,3013
1595851729,3004,3004
1595938819,3009,3009
1596025932,3007,3007
1596113097,2986,2986
1596200202,2926,2926
1596287291,2909,2909
1596374440,2862,2862
1596461560,2854,2854
