DateTime,AddedIPs,RemovedIPs
1611125046,84,58
1611127236,124,64
1611129123,78,44
1611131046,92,54
1611133001,107,60
1611134886,83,58
1611136828,74,59
1611138764,79,55
1611140651,48,3868
1611142564,100,119
1611144520,1650,0
1611146403,109,101
1611148322,142,88
1611150283,103,71
1611152163,87,74
1611154122,72,60
1611156003,71,77
1611157922,94,74
1611159879,83,75
1611162050,116,64
1611163932,94,101
1611165848,89,86
1611167801,90,75
1611169924,126,75
1611171876,105,56
1611173799,104,93
1611175684,108,60
1611177603,109,43
1611179523,128,65
1611181446,105,34
1611183399,126,34
1611185284,95,48
1611187219,1355,0
1611189196,73,77
1611191309,75,68
1611193261,83,63
1611195140,94,53
1611197066,76,49
1611199022,74,62
1611200915,51,52
1611202855,82,68
1611204761,66,37
1611206693,54,72
1611208629,78,85
1611210523,67,59
1611212460,73,73
1611214387,54,37
1611216250,59,72
1611218162,97,77
1611220113,70,37
1611222003,69,42
1611223923,89,49
1611225876,41,25
1611227767,80,5226
1611229682,119,73
1611231633,2292,0
1611233525,87,118
1611235451,91,124
1611237393,114,132
1611239285,81,98
1611241271,81,99
1611243134,69,110
1611245081,74,100
1611247240,171,111
1611249121,109,94
1611251042,102,75
1611252993,104,93
1611254881,108,87
1611256801,123,105
1611258753,137,95
1611260646,100,97
1611262560,138,124
1611264521,125,101
1611266412,121,85
1611268353,102,88
1611270563,96,68
1611272437,148,81
1611274361,1921,0
1611276276,131,90
1611278173,133,113
1611280089,88,84
1611282040,95,99
1611283945,76,66
1611285872,79,89
1611287808,94,93
1611289720,55,71
1611291722,84,77
1611293547,72,70
1611295458,71,64
1611297427,97,90
1611299293,82,84
1611301238,78,86
1611303190,75,75
1611305060,83,96
1611306978,93,103
1611308934,58,73
1611310830,70,91
1611312751,81,49
1611314692,78,4023
1611316602,109,127
1611318750,1823,0
1611320697,89,69
1611322597,97,83
1611324725,107,111
1611326648,101,89
1611328596,102,88
1611330482,80,60
1611332645,106,70
1611334564,120,71
1611336524,96,58
1611338416,115,82
1611340324,98,81
1611342284,120,58
1611344162,125,63
1611346153,93,78
1611348071,124,99
1611349981,100,82
1611351913,107,91
1611353785,114,64
1611355745,106,51
1611357660,119,80
1611359545,112,100
1611361513,1490,0
1611363364,72,56
1611365292,83,49
1611367206,53,58
1611369372,95,101
1611371283,59,57
1611373210,90,58
1611375165,71,40
1611377049,77,54
1611379248,80,61
1611381140,56,51
1611383102,56,63
1611384992,76,57
1611387231,77,58
1611389049,55,62
1611391000,70,90
1611392887,54,74
1611394803,47,63
1611396756,85,84
1611398645,68,43
1611400564,75,4539
1611402551,83,83
1611404434,2097,0
1611406342,94,176
1611408339,98,116
1611410194,68,96
1611412086,122,86
1611414055,87,94
1611415933,104,97
1611417887,74,69
1611419767,84,71
1611421931,136,76
1611423913,137,78
1611425798,103,84
1611427683,84,85
1611429602,92,87
1611431557,157,87
1611433449,118,82
1611435396,108,106
1611437286,104,77
1611439216,140,58
1611441122,117,79
1611443079,93,65
1611444968,118,103
1611446884,1720,0
1611448835,97,120
1611450725,79,91
1611452647,62,69
1611454597,207,77
1611456485,65,55
1611458405,79,71
1611460358,82,67
1611462250,78,43
1611464168,76,64
1611466118,53,50
1611468024,79,67
1611469926,72,70
1611471883,62,68
1611473765,82,73
1611475717,55,72
1611477606,63,79
1611479525,83,81
1611481477,72,57
1611483364,65,60
1611485285,70,66
1611487235,77,4255
1611489124,100,80
1611491048,1826,0
1611492966,95,101
1611494918,68,87
1611496814,70,69
1611498725,49,77
1611500684,34,66
1611502569,37,97
1611504730,138,90
1611506651,209,97
1611508594,121,78
1611510487,106,60
1611512529,117,80
1611514383,79,76
1611516247,125,73
1611518193,110,88
1611520085,100,58
1611522034,106,64
1611523938,81,53
1611525884,73,70
1611527797,184,89
1611529705,78,66
1611531643,134,86
1611533588,1545,2
1611535479,109,51
1611537396,70,93
1611539286,103,49
1611541293,75,65
1611543156,36,52
1611545065,56,50
1611547010,69,74
1611548909,70,83
1611550827,89,80
1611552773,62,43
1611554694,67,68
1611556614,84,61
1611558520,64,63
1611560436,85,81
1611562611,75,65
1611564482,75,47
1611566403,67,54
1611568355,101,45
1611570246,74,83
1611572427,93,4401
1611574323,76,80
1611576284,1918,0
1611578163,100,141
1611580327,110,123
1611582245,75,73
1611584192,88,84
1611586080,105,76
1611588248,105,85
1611590164,125,88
1611592118,97,90
1611594082,63,75
1611595963,95,64
1611597850,93,59
1611599765,126,89
1611601715,93,68
1611603603,101,85
1611605569,85,70
1611607445,111,71
1611609363,128,72
1611611313,119,88
1611613201,114,70
1611615122,107,70
1611617082,99,78
1611618965,104,127
1611621127,1562,0
1611623052,48,90
1611624997,86,69
1611626894,61,52
1611628806,64,54
1611630756,75,72
1611632648,63,62
1611634806,49,71
1611636757,62,65
1611638647,70,53
1611640601,72,59
1611642486,57,63
1611644419,45,78
1611646358,35,61
1611648250,54,56
1611650200,71,71
1611652086,55,64
1611654004,58,57
1611655959,71,91
1611657847,62,61
1611659763,87,4301
1611661723,80,98
1611663603,1833,0
1611665524,91,107
1611667484,66,87
1611669365,74,111
1611671539,72,78
1611673448,70,59
1611675405,66,59
1611677287,68,59
1611679219,84,105
1611681160,69,62
1611683066,91,74
1611685207,77,84
1611687124,102,71
1611689093,82,71
1611690965,102,81
1611692885,79,70
1611694855,106,82
1611696728,100,89
1611698654,100,76
1611700600,85,97
1611702490,96,75
1611704406,114,84
1611706369,1609,0
1611708246,77,95
1611710170,80,69
1611712123,71,93
1611714009,89,62
1611715927,57,40
1611717887,57,44
1611720017,75,67
1611721931,59,71
1611723885,61,58
1611725764,64,78
1611727931,59,66
1611729846,45,63
1611731797,73,67
1611733687,55,57
1611735604,53,56
1611737556,66,73
1611739451,62,82
1611741364,75,84
1611743318,78,87
1611745213,77,3887
1611747127,71,91
1611749085,1561,0
1611750969,111,81
1611753127,124,80
1611755045,96,65
1611756995,97,92
1611759130,99,68
1611761050,85,62
1611762995,80,77
1611764889,131,42
1611767064,126,68
1611768984,86,85
1611770940,70,59
1611772865,87,67
1611774722,106,39
1611776728,152,59
1611778604,66,61
1611780518,84,77
1611782476,86,55
1611784343,92,62
1611786261,94,65
1611788226,133,79
1611790088,70,82
1611792016,1340,0
1611793958,58,47
1611795853,88,49
1611797766,49,72
1611799721,64,45
1611801606,75,59
1611803525,43,49
1611805483,72,62
1611807364,66,49
1611809286,61,42
1611811207,51,47
1611813124,69,74
1611815083,51,54
1611816966,84,47
1611819131,57,37
1611821052,63,57
1611822998,59,71
1611824888,48,58
1611826804,51,52
1611828756,65,67
1611830646,51,61
1611832563,50,3559
1611834518,75,65
1611836404,1569,0
1611838364,83,75
1611840251,44,68
1611842165,81,98
1611844121,52,74
1611846076,80,70
1611847925,47,65
1611849888,72,60
1611851767,88,63
1611853719,69,64
1611855605,65,65
1611857528,128,58
1611859495,57,44
1611861364,110,75
1611863605,106,72
1611865467,81,54
1611867448,103,67
1611869303,94,62
1611871266,86,78
1611873200,79,75
1611875085,71,63
1611877045,104,65
1611878938,1366,0
1611880812,93,66
1611882724,63,61
1611884708,82,56
1611886566,39,79
1611888730,64,56
1611890649,43,50
1611892625,77,58
1611894490,68,51
1611896419,74,59
1611898396,61,50
1611900251,37,47
1611902413,74,51
1611904569,66,68
1611906485,56,56
1611908475,63,58
1611910327,60,52
1611912248,93,59
1611914234,91,69
1611916088,64,72
1611918015,64,3729
1611920000,77,43
1611921853,1466,0
1611924078,97,105
1611925933,57,69
1611927847,96,44
1611930012,111,98
1611931927,72,73
1611933848,82,34
1611935767,67,83
1611937689,69,58
1611939617,85,67
1611941601,81,55
1611943451,78,60
1611945365,111,75
1611947357,78,56
1611949203,93,52
1611951126,92,78
1611953114,101,60
1611954969,86,54
1611957434,114,73
1611959285,113,65
1611961217,95,62
1611963202,85,40
1611965055,1261,0
1611966966,73,71
1611969128,78,61
1611971047,50,37
1611973035,81,59
1611974885,62,67
1611976808,62,32
1611978796,66,65
1611980649,65,50
1611982567,79,52
1611984488,62,39
1611986417,85,60
1611988402,69,55
1611990252,80,57
1611992168,52,54
1611994166,52,59
1611996006,58,51
1611997963,76,58
1611999917,56,54
1612001837,65,62
1612003686,45,52
1612005605,42,3447
1612007600,66,92
1612009520,1571,0
1612011365,72,86
1612013290,76,60
1612015216,101,67
1612017203,62,39
1612019050,64,52
1612021043,85,67
1612022965,59,60
1612024804,85,78
1612026725,98,64
1612028728,95,66
1612030565,74,58
1612032400,84,48
1612034499,102,58
1612036338,169,66
1612038290,76,67
1612040193,94,75
1612042361,94,103
1612044268,94,67
1612046179,122,84
1612048175,101,70
1612050027,127,83
1612051950,1328,0
1612053962,100,74
1612055788,56,53
1612057719,53,50
1612059633,118,27
1612061602,52,45
1612063477,72,34
1612065445,113,60
1612067317,50,46
1612069237,70,65
1612071242,64,54
1612073085,51,34
1612074980,77,54
1612076965,77,45
1612078862,62,66
1612080738,40,63
1612082656,61,39
1612084641,44,94
1612086498,49,58
1612088470,47,81
1612090328,28,72
1612092266,7,3556
