DateTime,AddedIPs,RemovedIPs
1604778965,15,6
1604793646,3,6
1604808250,16,13
1604822890,6,4
1604837553,12,7
1604852169,5,7
1604866831,21,24
1604881447,32,19
1604896084,29,6
1604910753,20,15
1604925372,20,6
1604940011,22,12
1604954673,22,5
1604969311,17,15
1604983927,13,4
1604998565,27,14
1605013209,15,11
1605027882,22,13
1605042754,15,7
1605057364,18,17
1605072011,20,4
1605086677,11,2
1605101315,22,12
1605115925,22,17
1605130568,15,14
1605145232,17,12
1605159848,27,8
1605174485,20,7
1605189156,18,8
1605203766,20,8
1605218649,25,14
1605233316,25,21
1605247925,17,5
1605262564,24,6
1605277206,18,11
1605291872,14,4
1605306491,20,3
1605321126,20,9
1605335769,18,10
1605350431,21,6
1605365049,11,9
1605379712,22,7
1605394332,16,3
1605408965,19,4
1605423634,10,6
1605438247,28,4
1605452888,14,2
1605467551,14,3
1605482166,13,3
1605496807,16,2
1605511449,10,2
1605526212,14,1
1605540968,24,18
1605555607,12,6
1605570250,19,8
1605584914,19,13
1605599553,15,8
1605614191,13,7
1605628804,17,12
1605643450,20,7
1605658087,10,7
1605672750,75,8
1605687366,47,11
1605702006,36,17
1605716671,8,4
1605731284,16,3
1605745930,19,5
1605760591,13,4
1605775208,17,16
1605789852,15,25
1605804508,19,18
1605819125,14,41
1605833765,6,33
1605848428,13,41
1605863069,17,36
1605877686,6,39
1605892357,17,33
1605906965,21,18
1605921614,8,7
1605936247,21,7
1605950886,11,7
1605965531,9,5
1605980167,35,18
1605994835,21,12
1606009447,14,6
1606024084,22,7
1606038751,9,6
1606053365,30,8
1606068043,8,9
1606082670,10,3
1606097293,8,8
1606111926,21,10
1606126591,23,7
1606141450,8,6
1606156112,13,10
1606170750,8,11
1606185327,9,3
1606200086,16,6
1606214649,6,3
1606229284,7,9
1606243927,20,12
1606258567,15,8
1606273235,10,11
1606287847,16,11
1606302490,13,5
1606317150,9,4
1606331794,3,35
1606346651,14,37
1606361531,20,54
1606376189,9,39
1606390808,12,35
1606405695,5,43
1606420327,14,46
1606434988,5,38
1606449605,10,52
1606464248,9,47
1606478911,10,49
1606493534,14,92
1606508165,21,68
1606522805,9,66
1606537447,18,75
1606552111,3,965
1606566726,18,41
1606581395,9,111
1606596006,13,56
1606610680,10,90
1606625309,9,60
1606639926,10,94
1606654564,7,50
1606669213,7,60
1606683847,28,54
1606698485,19,55
1606713150,17,34
1606727768,18,42
1606742405,18,32
1606757075,16,41
1606771712,17,67
1606786326,20,42
1606800968,25,37
1606815631,18,34
1606830273,32,29
1606845129,15,36
1606859789,13,51
1606874424,20,53
1606889075,6,35
1606903687,8,41
1606918325,9,24
1606932997,19,62
1606947629,13,29
1606962272,11,14
1606976889,15,20
1606991532,9,20
1607006193,17,21
1607020809,19,11
1607035448,12,1048
1607050110,13,19
1607064727,14,15
1607079367,12,14
1607094014,20,17
1607108655,11,22
1607123316,13,20
1607137926,12,23
1607152564,13,31
1607167234,21,12
1607181849,12,10
1607196490,21,16
1607211126,26,15
1607225791,17,19
1607240411,14,14
1607255055,8,15
1607269684,33,12
1607284352,10,6
1607298993,13,3
1607313638,22,4
1607328249,23,3
1607342891,15,4
1607357549,14,4
1607372193,36,2
1607386829,15,3
1607401452,40,1
1607416327,26,4
1607431236,37,6
1607445869,8,3
1607460487,24,7
1607475126,14,4
1607489795,14,2
1607504426,18,2
1607519048,47,5
1607533689,22,4
1607548324,12,4
1607562967,7,6
1607577605,4,707
1607592246,12,113
1607606885,4,1
1607621547,5,4
1607636189,17,6
1607650829,19,1
1607665445,9,4
1607680086,18,0
1607694749,29,2
1607709369,13,6
1607724016,3,5
1607738915,11,4
1607753525,14,5
1607768190,7,1
1607782804,26,2
1607797450,9,5
1607812087,26,2
1607826749,11,2
1607841387,20,4
1607856009,8,3
1607870653,6,8
1607885307,20,21
1607899925,16,23
1607914565,21,12
1607929220,14,14
1607943848,18,14
1607958530,17,16
1607973128,8,15
1607987766,20,9
1608002407,19,13
1608017060,10,19
1608031687,8,19
1608046326,13,755
1608060966,16,1072
1608075854,11,24
1608090486,8,24
1608105127,18,18
1608119770,20,18
1608134427,16,13
1608149049,14,29
1608163690,7,11
1608178326,22,15
1608192965,15,9
1608207616,22,16
1608222247,17,17
1608236888,15,20
1608251537,25,23
1608266164,27,21
1608280833,9,14
1608295449,25,22
1608310335,9,16
1608324990,7,22
1608339616,19,17
1608354247,20,16
1608368895,21,10
1608383529,18,3
1608398171,7,5
1608412806,12,4
1608427470,17,3
1608442334,26,3
1608456964,4,2
1608471607,14,3
1608486273,10,7
1608501128,21,8
1608515791,20,3
