DateTime,AddedIPs,RemovedIPs
1568606015,8797,2315
1568692442,2315,321
1568778903,321,276
1568865422,276,1236
1568951926,1236,1123
1569038345,1123,235
1569124802,235,1115
1569211321,1115,1344
1569297783,1344,1117
1569384250,1117,1650
1569470706,1650,2439
1569557164,2439,10854
1569643625,10854,5058
1569730142,5058,275
1569816621,275,6226
1569903081,6226,97
1569989570,97,1572
1570076055,1572,283
1570162502,283,1619
1570248962,1619,1116
1570335424,1116,1058
1570421949,1058,908
1570508405,908,1751
1570594863,1751,849
1570681513,849,18926
1570768142,18926,1566
1570854604,1566,543
1570941075,543,608
1571027555,608,614
1571114042,614,825
1571200569,825,1377
1571287042,1377,2417
1571373524,2417,1328
1571460010,1328,48
1571546481,48,4818
1571632968,4786,302
1571719502,334,284
1571806032,284,1042
1571892484,1042,312
1571978943,312,65930
1572065487,65930,578
1572151990,578,2390
1572238509,2390,2088
1572324974,2088,1034
1572411458,1034,1399
1572497899,1399,5459
1572584367,5459,1721
1572670803,1721,1400
1572757263,1400,285
1572843725,285,65746
1572930184,65746,1687
1573016662,1687,58622
1573103106,58622,73769
1573189682,73769,65868
1573276150,65868,3158
1573362677,3158,468
1573449199,468,548
1573535702,548,521
1573622167,521,91
1573708627,91,9099
1573795096,9099,939
1573881553,939,777
1573968006,777,65594
1574054481,65594,269
1574140951,269,539
1574227457,538,623
1574313913,624,138
1574400422,138,584
1574486900,584,2955
1574573361,2955,36
1574659803,36,16696
1574746265,16696,343
1574832728,343,1575
1574919229,1575,3645
1575005643,3645,940
1575092115,940,4254
1575178564,4254,1683
1575265031,1683,4909
1575351580,4909,776
1575524483,776,328
1575610966,328,1716
1575697426,1716,5447
1575783848,5446,352
1575870303,353,272
1575956796,272,832
1576043227,832,4488
1576129685,4488,4210
1576216166,4210,847
1576302633,847,1033
1576389082,1032,283
1576475702,284,300
1576562183,299,331
1576648622,332,92
1576735090,92,1279
1576821566,1279,32988
1576908002,32988,1408
1576994466,1408,54824
1577080923,54824,1626
1577167383,1626,4058
1577253858,4058,739
1577340303,739,2170
