DateTime,Entries,UniqueIPs
1568606015,3389,886686
1568692442,3390,888680
1568778903,3390,888725
1568865422,3382,887765
1568951926,3389,887878
1569038345,3391,888766
1569124802,3381,887886
1569211321,3385,887657
1569297783,3385,887884
1569384250,3389,887351
1569470706,3383,886562
1569557164,3389,878147
1569643625,3376,883943
1569730142,3390,888726
1569816621,3382,882775
1569903081,3388,888904
1569989570,3385,887429
1570076055,3390,888718
1570162502,3386,887382
1570248962,3388,887885
1570335424,3390,887943
1570421949,3386,888093
1570508405,3384,887250
1570594863,3378,888152
1570681513,3384,870075
1570768142,3393,887435
1570854604,3383,888458
1570941075,3390,888393
1571027555,3387,888387
1571114042,3383,888176
1571200569,3389,887624
1571287042,3389,886584
1571373524,3391,887673
1571460010,3390,888953
1571546481,3385,884183
1571632968,3393,888667
1571719502,3390,888717
1571806032,3391,887959
1571892484,3383,888689
1571978943,3393,823071
1572065487,3383,888423
1572151990,3386,886611
1572238509,3386,886913
1572324974,3390,887967
1572411458,3388,887602
1572497899,3382,883542
1572584367,3389,887280
1572670803,3390,887601
1572757263,3383,888716
1572843725,3382,823255
1572930184,3394,887314
1573016662,3375,830379
1573103106,3390,815232
1573189682,3383,823133
1573276150,3390,885843
1573362677,3388,888533
1573449199,3387,888453
1573535702,3393,888480
1573622167,3382,888910
1573708627,3388,879902
1573795096,3388,888062
1573881553,3392,888224
1573968006,3389,823407
1574054481,3391,888732
1574140951,3385,888462
1574227457,3389,888377
1574313913,3384,888863
1574400422,3389,888417
1574486900,3386,886046
1574573361,3384,888965
1574659803,3384,872305
1574746265,3392,888658
1574832728,3393,887426
1574919229,3384,885356
1575005643,3383,888061
1575092115,3384,884747
1575178564,3388,887318
1575265031,3385,884092
1575351580,3392,888225
1575524483,3392,888673
1575610966,3391,887285
1575697426,3385,883554
1575783848,3384,888648
1575870303,3393,888729
1575956796,3384,888169
1576043227,3388,884513
1576129685,3391,884791
1576216166,3390,888154
1576302633,3391,887968
1576389082,3381,888717
1576475702,3383,888701
1576562183,3385,888669
1576648622,3389,888909
1576735090,3383,887722
1576821566,3392,856013
1576908002,3387,887593
1576994466,3374,834177
1577080923,3388,887375
1577167383,3384,884943
1577253858,3384,888262
1577340303,3388,886831
1577426765,3392,887187
1577513230,3387,887965
1577599686,3382,886635
1577686159,3388,887518
1577772604,3385,888245
1577859080,3392,886689
1577945702,3381,823033
1578032222,3390,888987
1578118748,3386,888883
1578205204,3386,888414
1578291675,3392,888955
1578378193,3382,887954
1578464685,3392,888942
1578551107,3384,886149
1578637711,3390,888909
1578724202,3391,888507
1578810788,3389,888216
1578897301,3401,868661
1578983946,3392,888351
1579070405,3388,884595
1579156875,3388,880134
1579243383,3384,879406
1579329909,3388,887886
1579416393,3392,888672
1579502883,3390,888409
1579589367,3393,888609
1579675862,3378,888833
1579762337,3382,873629
1579848818,3387,880358
1579935283,3386,888255
1580021709,3385,887395
1580108246,3385,888912
1580194689,3384,888812
1580281189,3394,888736
1580367602,3390,888903
1580454065,3385,888329
1580540523,3385,886430
1580626990,3383,887770
1580713446,3389,888901
1580799910,3392,879771
1580886368,3390,887406
1580972829,3388,884125
1581059287,3387,888428
1581145747,3384,888367
1581232208,3392,888983
1581318666,3393,880539
1581405127,3391,888537
1581491587,3389,884865
1581578047,3387,888583
1581664503,3390,886672
1581750967,3385,888887
1581837427,3385,888935
1581923887,3385,879751
