DateTime,AddedIPs,RemovedIPs
1555033997,4096,29696
1555120520,768,25600
1555206990,0,2048
1555466971,256,5120
1555553632,1536,0
1555726969,512,0
1556160749,5376,4096
1556334018,768,0
1556420534,512,0
1556680602,0,1024
1556767037,768,0
1556853690,256,4096
1556940494,768,0
1557027021,256,0
1557286512,512,3072
1557373295,1280,0
1557459887,25819648,0
1557546307,256,25819648
1557632981,0,256
1557892810,256,0
1558065901,7168,7168
1558152783,2560,1024
1558239434,15872,0
1558499162,1536,0
1558585639,4352,0
1558672208,1536,0
1558758721,2048,8192
1559106003,0,1024
1559192674,1024,0
1559279653,0,16640
1559712825,0,3072
1559886040,8704,256
1559972721,2048,3072
1560405674,1024,2304
1560492133,512,0
1560578642,1056,2048
1560924483,0,2048
1561010956,1536,1024
1561097412,0,3072
1561183874,9472,0
1561443252,1280,1024
1561529718,520,0
1561616180,1024,1024
1561702634,256,5632
1561789096,512,0
1562048474,1024,1024
1562134933,9216,7168
1562221394,1024,0
1562307855,0,1024
1562480772,1024,0
1562740155,7680,1024
1562826611,2304,0
1562913073,768,0
1563085992,2304,0
1563345372,3328,87808
1563518292,256,0
1563604753,1024,1280
1563950594,13312,0
1564037054,0,3072
1564123514,1280,1024
1564555812,640,1024
1564642272,256,1024
1564728781,0,2048
1564815193,19456,0
1564901658,3328,0
1565161039,23040,1024
1565247497,19712,0
1565333968,31744,0
1565420407,3056,0
1565506868,16,0
1565766413,29440,0
1565853122,1792,0
1565939776,74752,0
1566026235,4096,1024
1566112809,8192,0
1566373133,5632,2048
1566459917,0,256
1566546367,768,3072
1566632882,256,0
1566979151,75776,4352
1567065616,1024,0
1567152087,0,9216
1567238582,512,7168
1567585095,7936,1024
1567758173,0,4096
1567844605,1280,256
1567931119,0,1024
1568190812,768,2048
1568277288,1280,20736
1568363738,256,2048
1568536975,0,256
1568796922,1024,3072
1568883536,2560,0
1568970016,256,0
1569056516,1024,0
1569143057,0,1024
1569403025,2560,0
1569490061,2816,0
1569576530,256,256
1569663244,4608,256
1569837064,1024,0
1570010118,1024,0
1570096729,1280,0
1570183210,1280,0
1570269680,256,50176
1570356723,256,35840
1570616297,2560,29696
1570702762,3072,15360
1570789278,256,23552
1570875917,16384,30720
1570962502,0,19456
1571222245,0,21504
1571308808,512,16384
1571395668,2304,16384
1571482347,0,22528
1571568917,0,21504
1571828971,0,20480
1571915733,512,16896
1572002329,256,16384
1572088992,3072,8192
1572175448,0,13312
1572434985,4352,18432
1572521413,512,14592
1572608196,7936,21504
1572694638,1024,30720
1572781149,0,29696
1573040705,145408,21504
1573127499,2560,22528
1573214067,3072,21504
1573300518,1280,38912
1573387101,0,18432
1573647907,18588928,27648
1573734448,2304,18658816
1573821014,3072,35840
1573908491,256,34816
1574168117,768,53248
1574254695,256,23040
1574341217,18116096,25856
1574427678,2304,27392
1574514195,512,91392
1574600956,0,2048
1574774900,1280,87552
1574862183,256,11264
1574948789,512,19456
1575035353,256,527872
1575121853,1792,27136
1575381493,0,74496
1575468007,4096,7168
1575554487,256,12032
1575640926,768,3840
1575727576,0,3328
1575986979,1024,4608
1576073601,768,7424
1576160058,9984,3072
1576246518,512,3584
1576332978,0,5120
1576419439,0,1024
1576592359,1280,9728
1576678818,2432,6912
1576765322,1792,25088
1576851919,8704,35584
1576938618,0,26880
1577025433,0,5120
1577198531,5376,8960
1577285717,1568,16384
1577372272,0,512
1577458750,0,2048
1577545205,1024,13312
1577631922,0,15872
1577804895,3840,10752
1577891702,67584,7936
1577978296,351984,3648
1578065301,9728,3328
1578152191,768,6912
1578239189,0,19968
1578412665,4096,318976
1578499142,6144,25088
1578585616,1024,9216
1578672087,1280,12544
1578758591,459776,27136
1578845238,0,11520
1579018306,5888,17152
1579104915,1792,11776
1579191416,1536,11264
1579278734,7680,18432
1579365442,278016,22528
1579451965,0,69888
1579625373,768,15104
1579711921,1024,15104
1579798516,364800,12288
1579885032,0,17152
1579971500,0,17664
1580058017,1024,12032
1580231225,0,12544
1580318312,235520,22016
1580404815,0,8192
1580491813,0,9472
1580579296,3584,13312
1580839055,1024,14848
1581012021,33536,19456
1581098574,6912,12032
1581185086,0,19712
1581271622,0,48640
1581531293,2816,40192
1581617718,1792,19456
1581704275,4352,8448
1581791055,2560,15872
1581877570,1280,12288
1581964362,0,512
1582137737,1024,14080
1582224564,512,14592
1582311036,2560,83456
1582397493,256,18176
1582484119,512,10752
1582570647,0,2560
1582743769,768,4096
1582830339,512,3584
1582916788,1280,5376
1583003239,2048,25344
1583089702,768,517632
1583176195,0,768
1583349186,512,9472
1583435732,3328,12032
1583522210,2048,9984
1583608695,3329,11520
1583695519,1023,23808
1583782061,0,1280
1583955212,9728,15104
1584041670,256,12800
1584128493,90880,16128
1584214967,1536,15616
1584301399,5120,21504
1584388107,0,512
1584561174,6144,11776
1584647597,4176,16128
1584734093,1280,9728
1584820518,4352,21504
1584907011,1024,18944
1584993833,0,3840
1585167122,768,8448
1585253759,512,12544
1585340353,0,6912
1585513826,3072,49664
1585600308,0,18944
1585773423,25856,12800
1585860730,71168,37376
1585947352,1024,81408
1586034009,256,7168
1586120704,0,16640
1586207444,0,3584
1586380794,4864,14336
1586553801,41472,11520
1586640304,6656,10496
1586813486,0,4096
1586899930,0,3328
1586986478,7680,15616
1587072953,1024,14080
1587159468,2816,7680
1587245986,512,14080
1587332518,2048,0
1587505612,2560,3072
1587592167,9472,10240
1587678701,1280,12544
1587765491,1792,4608
1587852029,0,13312
1587938478,1024,0
1588111389,256,4209416
1588197871,1024,9728
1588284427,512,12032
1588370926,512,16640
1588457724,1024,1536
1588544297,256,512
1588717395,0,7680
1588803971,0,8960
1588890618,10752,6144
1588977091,512,11008
1589063658,768,12800
1589323349,10496,11264
1589410006,768,13056
1589497237,203264,10496
1589583817,9472,8960
1589670343,3840,14336
1589757241,0,512
1589930658,0,11776
1590017289,1792,8960
1590103832,1280,18944
1590190523,1536,15616
1590277527,2048,14592
1590364805,0,768
1590537971,1536,5120
1590624436,0,11776
1590711150,0,11008
1590797613,768,9984
1590884162,0,14848
1590970646,0,1024
1591143624,0,9472
1591230159,7424,13056
1591316665,0,12288
1591403420,1024,9728
1591489888,1536,8704
1591576552,0,1024
1591749778,512,18432
1591836283,1280,10240
1591922762,11520,10752
1592009680,287232,14592
1592096421,4352,6400
1592182866,512,512
1592355883,1280,8192
1592442324,5376,11520
1592528829,3072,15360
1592615284,0,10752
1592701763,256,8704
1592788229,0,132608
1592961308,7424,16640
1593048263,1280,17152
1593134943,0,10752
1593222179,1536,35584
1593308606,1280,35584
1593395726,0,35072
1593482420,0,512
1593568992,3244,9216
1593655803,2560,32768
1593742400,3072,184320
1593828931,3584,28160
1593915533,1024,11264
1594175846,3584,12288
1594262859,14080,10240
1594349345,25600,26112
1594435834,2304,11008
1594522533,0,28672
1594609110,0,3328
1594782081,9216,15616
1594868695,3328,30464
1594955104,14848,19712
1595041821,10496,15104
1595128390,1024,12032
1595214910,0,1024
1595388153,0,11520
1595474687,0,14592
1595561232,0,19968
1595647821,4096,40960
1595734266,1536,19200
1595820913,0,256
1595994002,66304,14080
1596080564,2304,14336
1596167174,1024,17408
1596254114,3072,13568
1596340565,0,16640
1596427073,0,1024
1596600119,8448,23552
1596686529,1536,34048
1596773095,12032,36608
1596859609,44288,32512
1596946026,0,28416
1597206261,3072,24064
1597292809,512,31488
1597379230,8960,19712
1597465726,3840,17152
1597552437,256,16896
1597638862,0,3840
1597812193,5632,18176
1597898813,2560,25088
1597985407,49920,14080
1598072067,3072,22784
1598158540,0,19456
1598245094,0,1792
1598418118,1280,13312
1598504748,2304,11776
1598591257,1536,10752
1598677812,1024,6400
1598764347,0,7424
1599023813,21248,5632
1599110497,1536,9216
1599197006,3072,3584
1599283533,3584,74240
1599370124,768,9216
1599456606,0,571917444
1599543535,571917444,0
1599630008,1792,7424
1599716728,512,9728
1599803195,19968,8192
1599889869,20224,9728
1599976398,1536,79616
1600236018,8704,7936
1600322471,2304,5632
1600408930,1024,8960
1600495390,8192,12288
1600581850,7168,19712
1600668310,3072,0
1600841231,1024,14848
1600927689,1280,4096
1601014150,37120,8192
1601100612,0,6656
1601187070,512,7936
1601273530,0,1280
1601446442,256,8192
1601532911,11776,38400
1601619370,256,49664
1601705830,30720,16640
1601792289,0,15360
1601878749,0,4352
1602051672,15872,8704
1602138129,40960,8960
1602224590,44032,15360
1602311048,7168,7936
1602397511,0,16896
1602657493,4096,6400
1602743954,3328,11520
1602830412,4096,3840
1602916872,2304,7424
1603003389,7424,11264
1603089855,0,768
1603262774,1536,8192
1603349232,24064,5376
1603435693,1152,18944
1603522235,3840,137728
1603608809,512,6912
1603695271,0,3840
1603868178,256,6400
1603954693,0,7680
1604041207,512,5376
1604127672,4352,12032
1604214133,768,6144
1604300583,0,256
1604473513,3072,2304
1604559970,0,5376
1604646431,1280,7680
1604732892,6656,6400
1604819352,256,16384
1605078735,1536,4864
1605165193,2304,3840
1605251653,82432,13568
1605338112,0,5120
1605424572,0,6912
1605683952,12800,3072
1605770412,17920,7680
1605856874,20224,8704
1605943336,37376,8192
1606029793,4096,2560
1606116253,0,2304
1606289172,18688,9728
1606375634,18432,11008
1606462092,3840,20736
1606548552,2048,5120
1606635012,0,7168
1606894393,1280,4864
1606980856,340,29184
1607067317,768,8960
1607153789,15360,4096
1607240234,768,6400
1607499613,0,9728
1607586073,34816,2816
1607672590,139264,8704
1607759054,0,11776
1607845510,2304,72192
1607931973,0,256
1608104894,6656,9728
1608191352,6912,13312
1608277812,0,15616
1608364272,9216,9984
1608450732,6656,5120
1608537194,2048,512
1608710113,5120,16128
1608796573,9728,7168
1608883024,26112,8704
1608969494,0,3072
1609055953,0,1024
1609142419,0,1536
1609228927,0,2560
1609315841,2816,2560
1609402264,5888,11776
1609488797,12544,11008
1609575246,1280,12288
1609661760,0,8960
1609748327,0,3072
1609834828,0,3584
1609921476,4608,11776
1610008412,3072,25856
1610095113,48128,37888
1610181578,1024,23296
1610268755,256,28672
1610355304,8192,5376
1610528521,2560,6144
1610614924,4096,21760
1610701414,3072,97792
1610788092,256,17152
1610874758,3072,69632
1610961660,0,2304
1611048177,262144,0
1611134655,512,7680
1611221418,2304,2816
1611308347,1536,8960
1611395046,256,10496
1611481640,512,6912
1611655204,1280,5632
1611741724,512,9984
1611828205,256,38656
1611914682,4608,4096
1612001653,0,8960
1612088893,66560,1024
