DateTime,Entries,UniqueIPs
1555033997,3147,594629528
1555120520,3145,594604696
1555206990,3144,594602648
1555466971,3142,594597784
1555553632,3144,594599320
1555726969,3145,594599832
1556160749,3144,594601112
1556334018,3146,594601880
1556420534,3148,594602392
1556680602,3147,594601368
1556767037,3149,594602136
1556853690,3150,594598296
1556940494,3152,594599064
1557027021,3153,594599320
1557286512,3150,594596760
1557373295,3152,594598040
1557459887,3252,620417688
1557546307,3153,594598296
1557632981,3152,594598040
1557892810,3153,594598296
1558065901,3159,594598296
1558152783,3161,594599832
1558239434,3166,594615704
1558499162,3171,594617240
1558585639,3175,594621592
1558672208,3178,594623128
1558758721,3174,594616984
1559106003,3173,594615960
1559192674,3175,594616984
1559279653,3162,594600344
1559712825,3159,594597272
1559886040,3160,594605720
1559972721,3159,594604696
1560405674,3150,594603416
1560492133,3151,594603928
1560578642,3152,594602936
1560924483,3150,594600888
1561010956,3151,594601400
1561097412,3148,594598328
1561183874,3151,594607800
1561443252,3152,594608056
1561529718,3154,594608576
1561616180,3154,594608576
1561702634,3158,594603200
1561789096,3159,594603712
1562048474,3161,594603712
1562134933,3159,594605760
1562221394,3160,594606784
1562307855,3159,594605760
1562480772,3160,594606784
1562740155,3164,594613440
1562826611,3167,594615744
1562913073,3168,594616512
1563085992,3172,594618816
1563345372,3118,594534336
1563518292,3119,594534592
1563604753,3120,594534336
1563950594,3124,594547648
1564037054,3121,594544576
1564123514,3122,594544832
1564555812,3123,594544448
1564642272,3123,594543680
1564728781,3122,594541632
1564815193,3140,594561088
1564901658,3140,594564416
1565161039,3159,594586432
1565247497,3174,594606144
1565333968,3187,594637888
1565420407,3195,594640944
1565506868,3190,594640960
1565766413,3220,594670400
1565853122,3220,594672192
1565939776,3246,594746944
1566026235,3249,594750016
1566112809,3250,594758208
1566373133,3251,594761792
1566459917,3252,594761536
1566546367,3251,594759232
1566632882,3252,594759488
1566979151,3258,594830912
1567065616,3261,594831936
1567152087,3258,594822720
1567238582,3253,594816064
1567585095,3257,594822976
1567758173,3254,594818880
1567844605,3258,594819904
1567931119,3257,594818880
1568190812,3257,594817600
1568277288,3245,594798144
1568363738,3244,594796352
1568536975,3247,594796096
1568796922,3247,594794048
1568883536,3250,594796608
1568970016,3250,594796864
1569056516,3251,594797888
1569143057,3252,594796864
1569403025,3256,594799424
1569490061,3260,594802240
1569576530,3260,594802240
1569663244,3265,594806592
1569837064,3266,594807616
1570010118,3265,594808640
1570096729,3267,594809920
1570183210,3269,594811200
1570269680,3174,594761280
1570356723,3105,594725696
1570616297,3049,594698560
1570702762,3025,594686272
1570789278,2980,594662976
1570875917,2924,594648640
1570962502,2886,594629184
1571222245,2844,594607680
1571308808,2814,594591808
1571395668,2785,594577728
1571482347,2741,594555200
1571568917,2699,594533696
1571828971,2663,594513216
1571915733,2632,594496832
1572002329,2601,594480704
1572088992,2589,594475584
1572175448,2563,594462272
1572434985,2531,594448192
1572521413,2503,594434112
1572608196,2470,594420544
1572694638,2412,594390848
1572781149,2357,594361152
1573040705,2444,594485056
1573127499,2401,594465088
1573214067,2364,594446656
1573300518,2234,594409024
1573387101,2163,594390592
1573647907,6994,612951872
1573734448,1792,594295360
1573821014,1671,594262592
1573908491,1536,594228032
1574168117,1330,594175552
1574254695,1247,594152768
1574341217,6111,612243008
1574427678,6016,612217920
1574514195,5687,612127040
1574600956,5690,612124992
1574774900,5564,612038720
1574862183,5563,612027712
1574948789,5563,612008768
1575035353,5564,611481152
1575121853,5565,611455808
1575381493,5568,611381312
1575468007,5568,611378240
1575554487,5573,611366464
1575640926,5572,611363392
1575727576,5574,611360064
1575986979,5577,611356480
1576073601,5576,611349824
1576160058,5582,611356736
1576246518,5584,611353664
1576332978,5589,611348544
1576419439,5598,611347520
1576592359,5598,611339072
1576678818,5599,611334592
1576765322,5605,611311296
1576851919,5628,611284416
1576938618,5622,611257536
1577025433,5626,611252416
1577198531,5625,611248832
1577285717,5620,611234016
1577372272,5619,611233504
1577458750,5618,611231456
1577545205,5618,611219168
1577631922,5619,611203296
1577804895,5619,611196384
1577891702,5623,611256032
