DateTime,AddedIPs,RemovedIPs
1568608487,1944,1624
1568694923,1624,449
1568781368,449,1105
1568867895,1105,198452
1568954406,198452,1233
1569041027,1233,66886
1569127549,66886,2186
1569214385,2186,71088
1569300870,71088,1752
1569387309,1752,134728
1569473885,134728,692
1569560407,692,66089
1569646872,66089,1364
1569733385,1364,201460
1569819857,201460,873
1569906336,873,2596
1569992805,2596,37581
1570079257,37581,3172
1570165792,3172,5097
1570252217,5097,2660
1570338726,2660,8940
1570425187,8940,8800
1570511719,8800,1165109
1570598226,1165109,133521
1570684805,133521,78504
1570771444,78504,933
1570857966,933,3572
1570944509,3572,857
1571030953,857,959
1571117407,959,9910
1571203895,9910,6037
1571290542,6037,66660
1571377030,66660,1089
1571463606,1089,1436
1571550126,1436,68888
1571636720,68888,5084
1571723285,5084,132388
1571809769,132388,1509
1571896236,1509,74770
1571982709,74770,869
1572069309,869,5601
1572155825,5601,67714
1572242406,67714,33029
1572328865,33029,5391
1572415378,5391,68736
1572501788,68736,438
1572588305,438,34428
1572674777,34428,71976
1572761235,71976,84416
1572847783,84416,4112
1572934217,4112,132249
1573020672,132249,15336
1573107312,15336,4678
1573193831,4678,8617
1573280325,8617,67040
1573366774,67040,800
1573453206,800,68180
1573539706,68180,1141
1573626156,1141,66805
1573712707,66805,133256
1573799188,133256,4204
1573885651,4204,2872
1573972205,2872,4304
1574059206,4304,972
1574145856,972,1432
1574232317,1432,985
1574318838,985,1180
1574405487,1180,131984
1574492109,131984,198929
1574578685,198929,1923
1574665213,1923,67483
1574751669,67483,4481
1574838126,4481,6641
1574924587,6641,2616
1575011051,2616,16777565
1575097508,16777565,660
1575183969,660,6300
1575270434,6300,924
1575356889,924,66977
1575443348,66977,132025
1575529809,132025,66888
1575616268,66888,1181
1575702728,1181,1641
1575789189,1641,66196
1575875649,66196,37465
1575962110,37465,70473
1576048571,70473,93416
1576135029,93416,197360
1576221490,197360,196797
1576394409,196797,2260
1576480870,2260,67188
1576567328,67188,1140
1576653789,1140,17609
1576740250,17609,7089
