DateTime,Entries,UniqueIPs
1568607126,78375,338110919
1568693706,78366,338114060
1568780226,78377,338114379
1568866689,78372,338114658
1568953151,78369,338112734
1569039608,78374,338048222
1569126104,78375,338111167
1569212545,78378,338082045
1569299127,78372,338048891
1569385577,78364,338047882
1569472065,78370,337917958
1569558546,78374,338049010
1569645007,78372,338109685
1569731467,78379,338113895
1569817960,78372,338112598
1569904397,78374,338115027
1569990991,78370,338114114
1570077437,78377,338108087
1570163897,78365,337976647
1570250467,78372,338114654
1570336933,78373,338106880
1570423506,78373,338112015
1570509971,78377,338113815
1570596860,78370,338114171
1570683310,78375,337912862
1570769770,78376,338115055
1570856229,78367,338106206
1570942696,78376,338114707
1571029162,78374,338105746
1571115611,78376,338114035
1571202073,78369,338089531
1571288543,78374,338113963
1571374996,78376,338039599
1571461472,78374,338113278
1571547940,78369,338109619
1571634419,78371,338112790
1571720840,78378,338112443
1571807293,78381,338081843
1571893786,78365,337977041
1571980207,78374,338098654
1572066787,78371,338110618
1572153308,78369,337720622
1572239832,78379,338113535
1572326297,78373,338113609
1572412808,78376,338111974
1572499548,78374,338060727
1572586028,78377,338113951
1572672534,78409,338102799
1572758950,78365,338114586
1572845409,78376,338114279
1573018435,78372,338114230
1573104866,78367,338113058
1573191360,78403,338029527
1573277776,78371,338113939
1573364316,78366,338044372
1573450780,78374,338081487
1573537209,78373,338113437
1573623787,78367,338112645
1573710290,78376,338112555
1573796828,78378,338114755
1573883322,78373,338048478
1573969752,78373,338114030
1574056229,78365,338113776
1574142672,78371,338048530
1574229179,78371,338111714
1574315594,78372,338106205
1574402109,78369,338114074
1574488569,78367,338044558
1574575040,78375,338114053
1574661541,78365,338048007
1574748009,78373,338114715
1574834469,78369,337966714
1574920938,78371,338105949
1575007399,78381,338113303
1575093917,78375,338114826
1575180426,78373,338114318
1575266890,78372,338113411
1575353355,78373,338046703
1575439815,78373,338114731
1575526371,78374,338114518
1575612796,78371,338112523
1575699263,78372,338114347
1575785712,78376,338112934
1575872186,78371,338114090
1575958628,78377,338114846
1576045090,78372,338076567
1576131597,78370,338044442
1576218009,78369,338040750
1576304528,78368,338114342
1576391039,78378,338097407
1576477508,78380,338048763
1576563988,78376,338114503
1576650429,78376,338113687
1576737010,78377,338114338
1576823485,78367,337942341
1576909992,78362,338107486
1576996449,78366,338113863
1577082916,78373,338114650
1577169453,78380,338114658
1577255951,78374,338039955
1577342409,78370,338081959
1577429053,78367,338046799
1577515519,78379,338109871
1577602012,78365,338047719
1577688608,78371,338113429
1577775309,78378,338113571
1577861827,78379,338106935
1577948353,78375,338047983
1578034815,78370,338111867
1578121328,78379,338048427
1578207791,78374,338114226
1578294251,78384,338073791
1578380710,78370,338112407
1578467169,78373,338110302
1578553629,78371,338113630
1578640091,78372,338113203
1578726628,78376,338114546
1578813069,78371,338113447
1578899531,78371,338113547
1578985989,78367,337999215
1579072472,78371,338109022
1579158908,78377,338049039
1579245370,78375,338114759
1579331828,78372,338114053
1579418292,78374,338114435
1579504750,78376,338113262
1579591209,78375,338113407
1579677669,78370,337973443
1579764132,78378,338112771
1579850590,78370,338048299
1579937051,78371,338112787
1580023509,78378,338049562
1580109969,78372,338112422
1580196429,78374,338113514
1580282889,78373,338114490
1580369349,78369,338111115
1580455808,78372,321204718
1580542270,78371,338044599
1580628732,78378,338114731
1580715191,78378,338110423
1580801651,78372,338108107
1580888110,78371,338113453
1580974568,78370,338114692
1581061029,78376,338109683
1581147491,78382,338114854
1581233949,78384,338110507
1581320410,78371,338111303
1581406870,78375,338112483
1581493330,78369,338110019
1581579848,78376,337064058
1581666309,78371,338046942
1581752769,78377,338112707
1581839230,78377,337915899
1581925690,78367,338114136
1582012149,78376,338048746
1582098609,78376,338047263
1582185071,78374,338114698
1582271529,78376,338114309
1582357993,78374,338102485
1582444450,78376,338114815
1582530910,78374,338046453
1582617371,78372,338081082
1582703827,78375,338114919
1582790290,78374,338114334
1582876749,78375,338040527
