DateTime,AddedIPs,RemovedIPs
1568607902,132900,3216
1568694423,3216,71533
1568780942,71533,21923
1568867404,21923,467865
1568953924,467865,5072
1569040387,5072,66680
1569126940,66680,265588
1569213423,265588,328156
1569299993,328156,1024
1569386405,1024,9628
1569473137,9628,76168
1569559676,76168,4210977
1569646374,4210977,524744
1569732876,524744,1406
1569819308,1406,9500
1569905764,9500,2920
1569992224,2920,569
1570078692,569,164
1570165205,164,1716
1570251682,1716,53726
1570338153,53726,12841
1570424622,12841,2936
1570511269,2936,17885
1570597708,17885,2244
1570684263,2244,279476
1570770739,279476,12934
1570857212,12934,1824
1570943671,1824,69240
1571030119,69240,66280
1571116625,66280,149461
1571203154,149461,41384
1571289605,41384,65940
1571376219,65940,66110
1571462757,66110,166463
1571549173,166463,401
1571635627,401,792968
1571722090,792968,67484
1571808589,67484,107844
1571895004,107844,15792
1571981493,15792,5504
1572067990,5504,2168
1572154626,2168,18808
1572241119,18808,19827
1572327560,19827,17504
1572414006,17504,26592
1572500544,26592,16520
1572587129,16512,22700
1572673668,22708,4806
1572760135,4806,49560
1572846565,49560,9296
1572933111,9296,11693
1573019552,11693,8548
1573106025,8548,68176
1573192508,68176,174452
1573278964,174452,86920
1573365491,86920,67977
1573451963,67977,8052
1573538409,8052,192
1573624875,192,414
1573711383,414,22781
1573797915,22781,319867
1573884478,319867,17828
1573970907,17828,124
1574057359,124,29092
1574143812,29092,78492
1574230424,78492,8328
1574316904,8328,327976
1574403424,327976,66847
1574576347,66847,132493
1574662804,132493,20345
1574749267,20345,6920
1574835905,5896,1664
1574922380,2688,3024
1575008835,3024,17528
1575095301,17528,116165
1575181774,116165,817
1575268204,817,314520
1575354783,314520,3056
1575441364,3056,1396
1575527861,1396,33656
1575614337,33656,1728
1575700810,1728,99632
1575787264,99632,17273
1575873896,17273,34152
1575960317,34152,1066786
1576047065,1066786,305302
1576133706,305302,444
1576220186,444,66048
1576306668,66048,264833
1576393101,264833,2440
1576479566,2440,17560
1576566008,17560,73229
1576652466,73229,66022
1576738927,66022,616
1576825383,616,83168
1576911847,83168,264965
1576998306,264965,9704
1577084766,9704,70616
1577171227,70616,67088
1577257687,67088,68932
1577344147,68932,132110
1577430607,132110,8363
1577517067,8363,96696
1577603527,96696,10452
1577689986,10452,295553
1577776444,295553,76072
1577862908,76072,2960
1577949367,2960,542832
1578035824,542832,328871
1578122286,328871,49885
1578208747,49885,50554
1578295207,50554,20036
1578381783,20036,42140
1578468248,42140,820
1578554707,820,50685
1578641167,50685,142064
1578727784,142064,3472
1578814208,3472,33826
1578900666,33826,4161
1578987125,4161,139164
1579073680,139164,66361
