DateTime,Entries,UniqueIPs
1568688064,3356,339272
1568774525,3361,339306
1568860986,3352,326593
1568947449,3354,339299
1569033903,3362,330846
1569120363,3356,339010
1569206825,3358,330979
1569293284,3343,337564
1569379745,3355,339274
1569466203,3358,339290
1569552670,3352,339019
1569639125,3353,339252
1569725586,3353,331079
1569812044,3360,339306
1569898503,3392,338821
1569984963,3350,338775
1570071431,3362,331114
1570157890,3344,339140
1570244346,3353,339298
1570330804,3362,338253
1570417263,3358,330603
1570503723,3356,339007
1570590184,3357,339265
1570676644,3354,339293
1570763103,3358,339042
1570849570,3361,338790
1570936025,3353,338519
1571022483,3353,322622
1571108943,3352,338658
1571195407,3360,339299
1571281862,3356,339280
1571368323,3354,338242
1571454783,3353,339292
1571541243,3355,339036
1571627704,3357,339299
1571714164,3355,328948
1571800623,3352,338018
1571887083,3362,339308
1571973544,3358,339035
1572060003,3360,339036
1572146523,3360,335501
1572232983,3352,339026
1572319443,3362,339306
1572405904,3350,328764
1572492366,3354,339293
1572578823,3361,339300
1572665284,3355,339046
1572751745,3360,339305
1572838203,3354,338388
1572924663,3351,338882
1573011122,3356,339032
1573097584,3356,339015
1573184043,3357,338983
1573270503,3348,339139
1573356970,3362,338285
1573443423,3360,338751
1573529885,3356,339036
1573616344,3360,339051
1573702803,3354,339127
1573789263,3349,338248
1573875725,3356,338266
1573962183,3358,339030
1574048645,3358,339304
1574135103,3352,339235
1574221563,3351,338880
1574308025,3346,332994
1574394483,3353,339282
1574567404,3359,339305
1574653873,3357,339271
1574740323,3354,338012
1574826783,3356,338707
1574913249,3349,330823
1574999703,3372,334676
1575086163,3359,339304
1575172624,3349,338784
1575259086,3358,338768
1575345542,3351,339291
1575432003,3356,339037
1575518464,3357,339271
1575604926,3357,339302
1575691383,3362,339308
1575777843,3355,339156
1575864303,3358,339018
1575950770,3357,339040
1576037228,3355,339045
1576123687,3355,339285
1576210150,3352,339051
1576296663,3355,339023
1576383123,3360,339014
1576469586,3361,339284
1576556050,3350,338755
1576642504,3364,339301
1576728973,3359,338525
1576815425,3358,339049
1576901884,3374,337996
1576988349,3363,339309
1577074804,3361,339305
1577161275,3357,338694
1577247727,3344,336929
1577334190,3361,339037
1577420652,3350,338444
1577507104,3355,339292
1577593563,3348,339005
1577680024,3363,339278
1577766483,3362,339306
1577852948,3361,338893
1577939403,3353,339142
1578025870,3355,338166
1578112330,3354,338775
1578198786,3352,339016
1578285247,3359,339050
1578371704,3352,338981
1578458170,3359,339290
1578544628,3395,334705
1578631085,3357,339272
1578717545,3352,339259
1578804003,3363,339046
1578890467,3344,338452
1578976924,3355,339296
1579063388,3358,339215
1579149845,3359,339305
1579236303,3361,339051
1579322768,3360,339051
1579409226,3361,339052
1579495690,3357,339303
1579582148,3351,335192
1579668604,3375,338295
1579755067,3358,339265
1579841524,3359,339304
1579927982,3359,339289
1580014442,3356,330781
1580100903,3354,339269
