DateTime,AddedIPs,RemovedIPs
1568199618,145,56
1568286018,134,51
1568372417,124,106
1568458822,92,71
1568545220,79,85
1568631616,73,58
1568718021,65,41
1568804418,57,45
1568890821,73,54
1568977216,78,49
1569063616,61,139
1569150016,23,128
1569236421,47,121
1569322818,32,81
1569409217,36,77
1569495617,40,79
1569582016,88,70
1569668418,56,85
1569754817,22,71
1569841215,46,68
1569927617,49,61
1570014024,73,22
1570100416,63,35
1570186817,34,38
1570273216,24,35
1570359617,26,40
1570446019,22,93
1570532418,64,75
1570618819,77,35
1570705217,40,55
1570791617,173,48
1570878018,32,72
1570964417,95,60
1571050819,77,33
1571137217,51,25
1571223616,25,22
1571310016,19,20
1571396417,18,48
1571482816,59,78
1571569217,70,37
1571655617,72,169
1571742016,31,51
1571828417,23,94
1571914817,19,71
1572001216,22,49
1572087617,17,21
1572174017,25,24
1572260416,28,30
1572346820,27,59
1572433221,38,67
1572519627,11,82
1572606024,28,36
1572692416,26,27
1572778816,37,22
1572865217,21,27
1572951616,17,17
1573038017,34,30
1573124417,20,25
1573210816,29,24
1573297217,16,43
1573383617,16,14
1573470017,20,25
1573556418,26,27
1573642818,20,35
1573729219,22,23
1573815617,28,17
1573902017,23,24
1573988416,41,22
1574074817,20,14
1574161217,70,13
1574247616,23,21
1574334018,32,20
1574420418,25,22
1574506818,30,23
1574593219,16,24
1574679618,22,28
1574766018,22,25
1574852418,37,42
1574938818,19,24
1575025217,66,40
1575111618,53,23
1575198017,51,30
1575284418,50,23
1575370819,32,64
1575457217,37,13
1575543619,27,18
1575630017,31,17
1575716419,19,31
1575802818,25,16
1575889218,40,55
1575975618,78,57
1576062020,144,52
1576148418,231,48
1576234823,40,32
1576321222,76,35
1576407618,43,23
1576494019,31,28
1576580418,35,16
1576666818,149,22
1576753217,37,42
1576839617,59,79
1576926018,84,143
1577012419,100,236
1577098818,56,40
1577185219,94,75
1577271618,129,48
1577358017,111,33
1577444418,166,32
1577530818,49,152
1577617223,33,35
1577703623,134,55
1577790017,71,80
1577876418,70,98
1577962822,37,50
1578049219,91,100
1578135617,68,129
1578222018,93,111
1578308417,124,168
1578394818,50,52
1578481219,44,39
1578567619,157,142
1578654018,122,70
1578740418,120,67
1578826818,114,39
1578913219,57,96
1578999619,52,66
1579086018,56,92
1579172420,39,122
1579258819,32,51
1579345218,34,39
1579431618,38,155
1579518018,29,123
1579604420,48,112
1579690819,122,115
1579777220,114,64
1579863620,133,54
1579950020,157,55
1580036418,81,41
1580122820,47,33
1580209220,94,36
1580295619,93,39
1580382019,111,32
1580468424,62,46
1580554819,43,78
1580641219,34,110
1580727623,72,128
1580814019,46,111
1580900420,68,74
1580986819,53,45
1581073219,55,93
1581159619,23,95
1581246019,52,103
1581332419,76,54
1581418819,47,50
1581505219,40,37
1581591620,33,74
1581678020,33,53
1581764421,26,55
1581850819,79,47
1581937219,75,55
1582023619,96,22
1582110019,81,52
1582196466,65,78
1582283046,141,47
1582369219,84,32
1582455619,106,33
1582542019,105,32
1582628420,180,27
1582714820,75,79
1582801219,82,65
1582887619,48,59
1582974024,119,73
1583060419,82,78
1583146821,84,146
1583233219,67,138
1583319628,45,116
1583406019,43,86
1583492419,299,108
1583578819,74,87
1583665219,71,85
1583751619,46,54
1583838020,61,66
1583924420,69,73
1584010820,36,96
1584097221,50,71
1584183619,46,50
1584270019,31,41
1584356420,38,298
1584442819,57,46
1584529225,40,74
1584615619,35,33
1584702019,42,53
1584788420,56,91
1584874820,62,76
1584961219,70,79
1585047622,56,54
1585134021,61,49
1585220426,36,52
1585306822,45,52
1585393221,41,32
1585479620,57,50
1585566020,30,57
1585652422,73,61
1585738820,48,59
1585825220,53,83
1585911623,43,64
1585998024,35,65
1586084420,59,38
1586170820,58,51
1586257220,74,42
1586343620,85,50
1586430023,97,29
1586516420,56,87
1586602820,84,48
1586689220,55,52
1586775624,50,41
1586862021,107,39
1586948421,31,54
1587034821,63,57
1587121220,52,60
1587207620,40,71
1587294020,42,54
1587380422,47,56
1587466821,84,79
1587553220,75,54
1587639620,57,62
1587726021,60,96
1587812421,74,28
1587898820,70,42
1587985221,65,40
1588071620,59,31
1588158022,65,34
1588244440,49,58
1588330820,44,103
1588417221,40,114
1588503620,42,80
1588590020,25,86
1588676420,59,84
1588762820,45,87
1588849221,300,66
1588935620,145,57
1589022020,81,76
1589108421,59,71
1589194821,65,39
1589281225,283,41
1589367620,139,37
1589454021,52,23
1589540422,38,59
1589626820,55,47
1589713222,65,292
1589799621,50,150
1589886022,106,86
1589972421,38,59
1590058821,45,75
1590145221,44,260
1590231622,64,142
1590318022,49,58
1590404421,45,38
1590490821,49,56
1590577221,48,67
1590663621,29,52
1590750021,39,60
1590834622,38,39
1591270221,256,270
1591356622,72,67
1591443021,55,49
1591529421,49,33
1591615824,38,45
1591702220,25,38
1591788621,35,32
1591875021,36,71
1591961421,53,78
1592047821,40,42
1592134222,36,41
1592220621,28,53
1592307022,33,44
1592393424,45,55
1592479822,81,40
1592566222,59,23
1592652624,63,33
1592739022,67,33
1592825422,51,52
1592911822,55,41
1592998222,26,48
1593084621,36,33
1593171022,31,37
1593257421,31,47
1593343821,43,90
1593430234,41,54
1593559823,164,88
1593646224,57,75
1593732621,75,47
1593819021,50,35
1593905421,68,27
1593991822,59,32
1594078221,42,33
1594164621,43,28
1594251021,57,30
1594337422,51,47
1594423822,42,133
1594510220,51,50
1594596620,32,48
1594683021,39,40
1594769421,50,70
1594855821,111,69
1594942220,77,61
1595028621,21,54
1595115020,4,78
1595201421,26,62
1595287821,32,48
1595374221,27,53
1595460621,33,33
1595547021,56,45
1595633421,49,93
1595719821,86,73
1595806222,70,63
1595892621,43,23
1595979021,38,3
1596065422,39,22
1596151823,48,28
1596238222,48,42
1596324621,36,37
1596411030,30,50
1596497421,47,47
1596583823,54,49
1596670221,116,62
1596756622,70,44
1596843022,40,39
1596929421,41,37
1597015822,39,39
1597102221,49,39
1597188622,39,34
1597275022,41,25
1597361421,35,46
1597447821,55,44
1597534222,62,106
1597620622,55,61
1597707022,57,40
1597793422,52,40
1597879822,57,41
1597966221,30,47
1598052621,37,92
1598139021,46,42
1598225423,63,32
1598311822,51,60
1598398221,33,62
1598484622,38,58
1598571022,45,59
1598657422,40,35
1598743824,54,48
1598830223,52,33
1598916623,38,35
1599003023,68,46
1599089422,79,40
1599175822,100,46
1599262222,41,34
1599348622,57,50
