DateTime,AddedIPs,RemovedIPs
1610744404,571,673
1610747103,421,757
1610749802,429,629
1610752503,749,900
1610755203,845,1275
1610757903,429,750
1610760603,277,1127
1610763303,391,773
1610766003,671,643
1610768703,604,1066
1610771403,510,752
1610774103,882,861
1610776803,866,688
1610779504,534,871
1610782203,491,670
1610784903,727,594
1610787603,579,775
1610790303,569,446
1610793003,501,457
1610795703,468,605
1610798404,863,677
1610801104,816,653
1610803804,949,375
1610806504,690,375
1610809204,785,526
1610811903,553,681
1610814603,510,512
1610817303,854,769
1610820004,649,931
1610822703,686,541
1610825403,418,642
1610828103,533,627
1610830804,558,653
1610833504,766,532
1610836203,855,552
1610838903,520,403
1610841603,356,810
1610844303,438,737
1610847003,461,921
1610849703,731,937
1610852403,677,672
1610855103,499,707
1610857803,549,442
1610860503,656,636
1610863202,589,871
1610865903,612,510
1610868602,654,596
1610871303,513,507
1610874003,563,469
1610876703,780,750
1610879402,679,772
1610882102,640,616
1610884802,456,389
1610887503,864,476
1610890202,761,429
1610892902,640,707
1610895602,544,684
1610898302,870,562
1610901002,881,601
1610903702,606,532
1610906403,570,708
1610909102,742,429
1610911802,506,879
1610914502,605,580
1610917202,315,407
1610919902,489,865
1610922602,593,568
1610925302,560,833
1610928002,524,482
1610930702,711,861
1610933402,672,787
1610936102,474,908
1610938802,439,619
1610941502,370,721
1610944202,372,797
1610946902,764,647
1610949602,552,616
1610952301,625,757
1610955002,794,532
1610957702,702,643
1610960403,555,313
1610963102,702,501
1610965803,618,520
1610968502,592,562
1610971202,409,612
1610973902,853,619
1610976602,555,785
1610979302,811,514
1610982002,835,357
1610984702,584,480
1610987402,453,305
1610990102,524,719
1610992802,580,635
1610995503,562,683
1610998204,768,675
1611000904,511,2656
1611003604,540,3242
1611006304,514,3103
1611009004,441,345
1611011704,620,403
1611014405,445,436
1611017105,564,655
1611019806,550,470
1611022506,661,657
1611025206,474,589
1611027906,393,382
1611030607,652,704
1611033307,517,299
1611036007,527,571
1611038710,954,575
1611041407,1000,760
1611044108,804,697
1611046807,765,1052
1611049507,527,791
1611052208,593,1392
1611054907,490,887
1611057607,844,830
1611060308,560,518
1611063009,804,365
1611065708,772,459
1611068409,742,256
1611071110,851,716
1611073809,715,528
1611076509,592,431
1611079209,705,777
1611081909,481,683
1611084609,781,765
1611087309,594,565
1611090008,400,445
1611092708,403,480
1611095408,688,446
1611098108,502,468
1611100807,442,607
1611103507,386,344
1611106208,383,599
1611108906,730,532
1611111606,713,552
1611114308,549,340
1611117007,429,746
1611119707,481,568
1611122408,459,493
1611125107,609,430
1611127807,508,446
1611130506,1084,802
1611133207,1231,687
1611135906,828,695
1611138606,589,469
1611141308,580,447
1611144007,642,771
1611146707,550,686
1611149406,888,1782
1611152106,851,970
1611154806,649,778
1611157506,586,705
1611160207,665,893
1611162906,801,428
1611165607,632,371
1611168307,658,267
1611171007,555,536
1611173707,900,214
1611176406,730,170
1611179107,508,98
1611181807,527,100
1611184505,443,231
1611187206,456,123
1611189905,472,155
1611192605,698,181
1611195305,533,86
1611198005,543,203
1611200704,412,45
1611203404,705,473
1611206104,408,780
1611208803,623,604
1611211503,358,684
1611214202,652,548
1611216903,710,711
1611219602,546,825
1611222302,482,553
1611225003,1270,468
1611227702,900,387
1611230403,281,421
1611233102,440,481
1611235803,555,689
1611238502,513,509
1611241203,589,584
1611243902,631,390
1611246602,771,615
1611249301,648,478
1611252002,484,463
1611254703,338,462
1611257403,133,671
1611260103,83,649
1611262802,64,736
1611265502,96,449
1611268201,61,1064
1611270902,94,1125
1611273601,107,442
1611276301,918,343
1611279001,1128,547
1611281701,685,455
1611284402,905,658
1611287102,424,512
1611289802,599,740
1611292503,439,651
1611295201,400,555
1611297902,515,333
1611300602,342,244
1611303302,488,107
1611306002,775,67
1611308703,537,89
1611311403,251,73
1611314103,276,83
1611316803,438,115
1611319503,645,497
1611322203,887,1262
1611324903,396,609
1611327602,337,1119
1611330303,739,358
1611333003,448,769
1611335702,765,335
1611338402,462,532
1611341102,480,493
1611343802,529,314
1611346502,374,540
1611349201,388,517
1611351901,461,776
1611354601,585,254
1611357302,400,232
1611360002,369,430
1611362702,410,598
1611365401,458,824
1611368101,521,547
1611370802,404,392
1611373502,490,672
1611376202,378,487
1611378902,305,557
1611381602,429,718
1611384301,263,347
1611387006,540,554
1611389702,347,388
1611392402,458,413
1611395103,915,420
1611397803,636,504
1611400503,630,443
1611403202,702,394
1611405902,503,392
1611408602,955,478
1611411302,688,407
1611414002,539,500
1611416702,556,487
1611419402,836,347
1611422102,414,379
1611424802,461,340
1611427502,711,355
1611430202,483,467
1611432903,708,403
1611435602,344,333
1611438302,521,807
1611441002,262,789
1611443702,264,511
1611446402,411,745
1611449102,484,374
1611451802,452,852
1611454502,264,746
1611457203,514,574
1611459902,517,585
1611462602,577,767
1611465302,645,433
1611468002,342,449
1611470702,515,697
1611473402,2260,495
1611476102,2783,680
1611478802,2120,401
1611481503,1818,531
1611484203,1613,311
1611486903,1494,220
1611489602,1555,445
1611492302,1558,235
1611495003,1814,633
1611497703,1560,504
1611500404,1657,539
1611503104,1562,534
