DateTime,Entries,UniqueIPs
1610744404,14438,14438
1610747103,14102,14102
1610749802,13902,13902
1610752503,13751,13751
1610755203,13321,13321
1610757903,13000,13000
1610760603,12150,12150
1610763303,11768,11768
1610766003,11796,11796
1610768703,11334,11334
1610771403,11092,11092
1610774103,11113,11113
1610776803,11291,11291
1610779504,10954,10954
1610782203,10775,10775
1610784903,10908,10908
1610787603,10712,10712
1610790303,10835,10835
1610793003,10879,10879
1610795703,10742,10742
1610798404,10928,10928
1610801104,11091,11091
1610803804,11665,11665
1610806504,11980,11980
1610809204,12239,12239
1610811903,12111,12111
1610814603,12109,12109
1610817303,12194,12194
1610820004,11912,11912
1610822703,12057,12057
1610825403,11833,11833
1610828103,11739,11739
1610830804,11644,11644
1610833504,11878,11878
1610836203,12181,12181
1610838903,12298,12298
1610841603,11844,11844
1610844303,11545,11545
1610847003,11085,11085
1610849703,10879,10879
1610852403,10884,10884
1610855103,10676,10676
1610857803,10783,10783
1610860503,10803,10803
1610863202,10521,10521
1610865903,10623,10623
1610868602,10681,10681
1610871303,10687,10687
1610874003,10781,10781
1610876703,10811,10811
1610879402,10718,10718
1610882102,10742,10742
1610884802,10809,10809
1610887503,11197,11197
1610890202,11529,11529
1610892902,11462,11462
1610895602,11322,11322
1610898302,11630,11630
1610901002,11910,11910
1610903702,11984,11984
1610906403,11846,11846
1610909102,12159,12159
1610911802,11786,11786
1610914502,11811,11811
1610917202,11719,11719
1610919902,11343,11343
1610922602,11368,11368
1610925302,11095,11095
1610928002,11137,11137
1610930702,10987,10987
1610933402,10872,10872
1610936102,10438,10438
1610938802,10258,10258
1610941502,9907,9907
1610944202,9482,9482
1610946902,9599,9599
1610949602,9535,9535
1610952301,9403,9403
1610955002,9665,9665
1610957702,9724,9724
1610960403,9966,9966
1610963102,10167,10167
1610965803,10265,10265
1610968502,10295,10295
1610971202,10092,10092
1610973902,10326,10326
1610976602,10096,10096
1610979302,10393,10393
1610982002,10871,10871
1610984702,10975,10975
1610987402,11123,11123
1610990102,10928,10928
1610992802,10873,10873
1610995503,10752,10752
1610998204,10845,10845
1611000904,8700,8700
1611003604,5998,5998
1611006304,3409,3409
1611009004,3505,3505
1611011704,3722,3722
1611014405,3731,3731
1611017105,3640,3640
1611019806,3720,3720
1611022506,3724,3724
1611025206,3609,3609
1611027906,3620,3620
1611030607,3568,3568
1611033307,3786,3786
1611036007,3742,3742
1611038710,4121,4121
1611041407,4361,4361
1611044108,4468,4468
1611046807,4181,4181
1611049507,3917,3917
1611052208,3118,3118
1611054907,2721,2721
1611057607,2735,2735
1611060308,2777,2777
1611063009,3216,3216
1611065708,3529,3529
1611068409,4015,4015
1611071110,4150,4150
1611073809,4337,4337
1611076509,4498,4498
1611079209,4426,4426
1611081909,4224,4224
1611084609,4240,4240
1611087309,4269,4269
1611090008,4224,4224
1611092708,4147,4147
1611095408,4389,4389
1611098108,4423,4423
1611100807,4258,4258
1611103507,4300,4300
1611106208,4084,4084
1611108906,4282,4282
1611111606,4443,4443
1611114308,4652,4652
1611117007,4335,4335
1611119707,4248,4248
1611122408,4214,4214
1611125107,4393,4393
1611127807,4455,4455
1611130506,4737,4737
1611133207,5281,5281
1611135906,5414,5414
1611138606,5534,5534
1611141308,5667,5667
1611144007,5538,5538
1611146707,5402,5402
1611149406,4508,4508
1611152106,4389,4389
1611154806,4260,4260
1611157506,4141,4141
1611160207,3913,3913
1611162906,4286,4286
1611165607,4547,4547
1611168307,4938,4938
1611171007,4957,4957
1611173707,5643,5643
1611176406,6203,6203
1611179107,6613,6613
1611181807,7040,7040
1611184505,7252,7252
1611187206,7585,7585
1611189905,7902,7902
1611192605,8419,8419
1611195305,8866,8866
1611198005,9206,9206
1611200704,9573,9573
1611203404,9805,9805
1611206104,9433,9433
1611208803,9452,9452
1611211503,9126,9126
1611214202,9230,9230
1611216903,9229,9229
1611219602,8950,8950
1611222302,8879,8879
1611225003,9681,9681
1611227702,10194,10194
1611230403,10054,10054
1611233102,10013,10013
1611235803,9879,9879
1611238502,9883,9883
1611241203,9888,9888
1611243902,10129,10129
1611246602,10285,10285
1611249301,10455,10455
1611252002,10476,10476
1611254703,10352,10352
1611257403,9814,9814
1611260103,9248,9248
1611262802,8576,8576
1611265502,8223,8223
1611268201,7220,7220
1611270902,6189,6189
1611273601,5854,5854
1611276301,6429,6429
1611279001,7010,7010
1611281701,7240,7240
1611284402,7487,7487
1611287102,7399,7399
1611289802,7258,7258
1611292503,7046,7046
1611295201,6891,6891
1611297902,7073,7073
1611300602,7171,7171
1611303302,7552,7552
1611306002,8260,8260
1611308703,8708,8708
1611311403,8886,8886
1611314103,9079,9079
1611316803,9402,9402
1611319503,9550,9550
1611322203,9175,9175
1611324903,8962,8962
1611327602,8180,8180
1611330303,8561,8561
1611333003,8240,8240
1611335702,8670,8670
1611338402,8600,8600
1611341102,8587,8587
1611343802,8802,8802
1611346502,8636,8636
1611349201,8507,8507
1611351901,8192,8192
1611354601,8523,8523
1611357302,8691,8691
1611360002,8630,8630
1611362702,8442,8442
1611365401,8076,8076
1611368101,8050,8050
1611370802,8062,8062
1611373502,7880,7880
1611376202,7771,7771
1611378902,7519,7519
1611381602,7230,7230
1611384301,7146,7146
1611387006,7132,7132
1611389702,7091,7091
1611392402,7136,7136
1611395103,7631,7631
1611397803,7763,7763
1611400503,7950,7950
1611403202,8258,8258
1611405902,8369,8369
1611408602,8846,8846
1611411302,9127,9127
1611414002,9166,9166
1611416702,9235,9235
1611419402,9724,9724
1611422102,9759,9759
1611424802,9880,9880
1611427502,10236,10236
1611430202,10252,10252
1611432903,10557,10557
1611435602,10568,10568
1611438302,10282,10282
1611441002,9755,9755
1611443702,9508,9508
1611446402,9174,9174
1611449102,9284,9284
1611451802,8884,8884
1611454502,8402,8402
1611457203,8342,8342
1611459902,8274,8274
1611462602,8084,8084
1611465302,8296,8296
1611468002,8189,8189
1611470702,8007,8007
1611473402,9772,9772
1611476102,11875,11875
1611478802,13594,13594
1611481503,14881,14881
1611484203,16183,16183
1611486903,17457,17457
1611489602,18567,18567
1611492302,19890,19890
1611495003,21071,21071
1611497703,22127,22127
1611500404,23245,23245
1611503104,24273,24273
1611505803,25133,25133
1611508504,25497,25497
1611511203,26386,26386
1611513903,26947,26947
1611516604,26963,26963
1611519304,25973,25973
1611522004,25259,25259
1611524703,25588,25588
1611527403,25139,25139
1611530103,24827,24827
1611532803,24365,24365
1611535503,23924,23924
1611538204,23604,23604
1611540903,22889,22889
1611543603,22673,22673
1611546303,21946,21946
1611549003,22154,22154
1611551702,22106,22106
1611554403,22316,22316
1611557103,22678,22678
1611559803,22856,22856
1611562503,23227,23227
1611565203,23351,23351
1611567903,23552,23552
1611570603,24214,24214
1611573303,24802,24802
1611576002,25427,25427
1611578703,26291,26291
1611581403,26828,26828
1611584102,27579,27579
1611586804,28332,28332
1611589504,29192,29192
1611592203,29406,29406
1611594903,29995,29995
1611597603,30046,30046
1611600304,30140,30140
1611603004,29828,29828
1611605703,29611,29611
1611608404,29058,29058
1611611102,28362,28362
1611613803,26494,26494
1611616503,25358,25358
1611619202,24157,24157
1611621903,22598,22598
1611624603,21353,21353
1611627302,19992,19992
1611630002,18833,18833
1611632702,17419,17419
1611635403,16060,16060
1611638103,14953,14953
1611640802,13898,13898
1611643502,13247,13247
1611646203,12368,12368
1611648902,11608,11608
1611651602,11037,11037
1611654302,10283,10283
1611657002,10220,10220
1611659703,10583,10583
1611662403,11114,11114
1611665103,11497,11497
1611667804,11629,11629
1611670503,11540,11540
1611673204,11052,11052
1611675904,10722,10722
1611678604,10814,10814
1611681303,10689,10689
1611684004,11328,11328
1611686704,11945,11945
1611689404,12321,12321
1611692104,12586,12586
1611694804,12922,12922
1611697504,13380,13380
1611700204,13505,13505
1611702904,13501,13501
1611705603,12956,12956
1611708303,12398,12398
1611711002,12369,12369
1611713703,12133,12133
1611716402,12036,12036
1611719102,11617,11617
1611721803,11435,11435
1611724503,11557,11557
1611727204,11588,11588
1611729904,5835,5835
1611732604,2797,2797
1611735305,1762,1762
1611738006,1673,1673
1611740709,1020,1020
1611743409,977,977
1611746112,963,963
1611748812,1142,1142
1611751514,1379,1379
1611754214,1977,1977
1611756914,2894,2894
1611759616,3662,3662
1611762315,3922,3922
1611765013,4118,4118
1611767713,4408,4408
1611770413,4890,4890
1611773113,5379,5379
1611775813,6047,6047
1611778512,6566,6566
1611781211,7187,7187
1611783909,7542,7542
1611786609,7974,7974
1611789305,8308,8308
1611792004,9079,9079
1611794703,9148,9148
1611797403,8799,8799
1611800103,8266,8266
1611802802,7650,7650
1611805502,7436,7436
1611808202,7492,7492
1611810902,7612,7612
1611813602,7601,7601
1611816302,7457,7457
1611819002,7086,7086
1611821703,6978,6978
1611824403,6920,6920
1611827102,7106,7106
1611829803,7237,7237
1611832503,7543,7543
1611835203,7217,7217
1611837902,6935,6935
1611840603,7187,7187
1611843303,7411,7411
1611846002,7658,7658
1611848702,7859,7859
1611851402,8164,8164
1611854103,8449,8449
1611856802,8919,8919
1611859503,9146,9146
1611862203,9404,9404
1611864903,9654,9654
1611867603,9367,9367
1611870304,9257,9257
1611873004,9152,9152
1611875703,8827,8827
1611878403,8830,8830
1611881104,8884,8884
1611883803,8591,8591
1611886504,7567,7567
1611889204,6987,6987
1611891904,5730,5730
1611894604,5503,5503
1611897304,5933,5933
1611900005,6093,6093
1611902704,6300,6300
1611905404,6380,6380
1611908105,6512,6512
1611910805,7045,7045
1611913504,7471,7471
1611916204,7671,7671
1611918903,7950,7950
1611921604,8036,8036
1611924303,8246,8246
1611927003,8640,8640
1611929703,8727,8727
1611932403,8587,8587
1611935103,8567,8567
1611937803,8543,8543
1611940503,8391,8391
1611943203,8633,8633
1611945904,8865,8865
1611948604,8985,8985
1611951304,9208,9208
1611954004,8894,8894
1611956704,8843,8843
1611959404,8768,8768
1611962103,8528,8528
1611964804,8887,8887
1611967504,8737,8737
1611970204,8400,8400
1611972903,8281,8281
1611975604,8424,8424
1611978304,8533,8533
