DateTime,AddedIPs,RemovedIPs
1569026409,40,41
1569115689,40,83
1569201130,45,0
1569288011,40,85
1569374410,42,0
1569460335,44,40
1569545531,41,44
1569631455,47,42
1569720966,48,96
1569805931,50,0
1569891130,44,48
1569976812,43,42
1570066568,46,93
1570152248,48,0
1570237692,47,48
1570322773,47,47
1570412183,47,94
1570497871,47,0
1570583772,43,44
1570669693,48,46
1570755131,46,46
1570843933,49,97
1570929670,49,0
1571015056,47,49
1571100735,41,46
1571190490,40,82
1571275931,43,0
1571361633,39,40
1571446570,40,38
1571535850,37,81
1571621532,42,0
1571707449,39,37
1571793848,40,43
1571878832,45,39
1571968091,40,87
1572054251,49,0
1572139938,39,49
1572226815,46,85
1572313936,47,47
1572398899,50,0
1572484098,44,46
1572570008,45,47
1572659530,44,90
1572744731,48,0
1572830420,44,45
1572917769,47,94
1573003450,50,0
1573088657,41,48
1573177208,46,89
1573262893,48,0
1573349054,48,48
1573434255,46,46
1573523304,48,96
1573608980,46,0
1573693692,47,44
1573783467,46,95
1573868407,48,0
1573953851,45,48
1574039291,47,44
1574128810,48,96
1574214011,46,0
1574299215,48,45
1574388019,48,97
1574473933,49,0
1574558888,43,48
1574647692,42,86
1574733847,44,0
1574819289,41,42
1574904966,46,43
1574990684,41,44
1575076818,35,37
1575165847,43,84
1575251769,44,0
1575337455,42,44
1575423611,44,42
1575509534,39,41
1575594971,39,39
1575683530,38,80
1575769688,43,0
1575855139,39,39
1575940572,44,41
1576027213,42,88
1576115769,41,41
1576201217,49,0
1576286647,44,48
1576376167,39,84
1576461126,44,0
1576547047,46,43
1576632246,45,44
1576720817,46,94
1576806251,48,0
1576892406,46,47
1576981446,48,95
1577066647,45,0
1577151367,40,43
1577240653,39,81
1577325851,44,0
1577410568,41,42
1577499849,40,83
1577585293,43,0
1577671452,43,41
1577756407,44,43
1577845688,37,83
1577931369,41,0
1578016328,40,39
1578102007,38,37
1578191538,41,84
1578276485,41,0
1578361697,46,41
1578447127,46,46
1578536165,44,90
1578621372,44,0
1578706805,42,39
1578795848,46,93
1578882008,47,0
1578968167,46,47
1579053611,44,45
1579139292,48,44
1579225448,47,49
1579314966,49,96
1579399925,49,0
1579484648,49,49
1579573687,45,94
