DateTime,Entries,UniqueIPs
1568940486,1113,1175
1569026409,1106,1169
1569115689,1099,1161
1569201130,1091,1153
1569288011,1084,1147
1569374410,1090,1151
1569460335,1094,1154
1569545531,1096,1155
1569631455,1101,1161
1569720966,1108,1169
1569805931,1103,1171
1569891130,1137,1206
1569976812,1140,1209
1570066568,1101,1170
1570152248,1097,1168
1570237692,1137,1208
1570322773,1134,1206
1570412183,1091,1158
1570497871,1097,1164
1570583772,1101,1168
1570669693,1141,1208
1570755131,1147,1210
1570843933,1116,1178
1570929670,1111,1174
1571015056,1099,1163
1571100735,1125,1191
1571190490,1084,1149
1571275931,1073,1140
1571361633,1106,1176
1571446570,1107,1179
1571535850,1071,1144
1571621532,1088,1153
1571707449,1114,1180
1571793848,1073,1141
1571878832,1106,1175
1571968091,1082,1151
1572054251,1080,1153
1572139938,1071,1149
1572226815,1075,1152
1572313936,1081,1156
1572398899,1095,1164
1572484098,1093,1164
1572570008,1095,1166
1572659530,1094,1163
1572744731,1092,1160
1572830420,1090,1155
1572917769,1083,1150
1573003450,1109,1178
1573088657,1102,1168
1573177208,1056,1121
1573262893,1054,1118
1573349054,1052,1114
1573434255,1081,1144
1573523304,1045,1111
1573608980,1048,1119
1573693692,1064,1132
1573783467,1071,1141
1573868407,1077,1146
1573953851,1080,1153
1574039291,1085,1161
1574128810,1094,1167
1574214011,1095,1168
1574299215,1128,1203
1574388019,1107,1183
1574473933,1110,1187
1574558888,1138,1217
1574647692,1112,1188
1574733847,1117,1192
1574819289,1119,1193
1574904966,1151,1226
1574990684,1134,1213
1575076818,1078,1149
1575165847,1081,1152
1575251769,1077,1149
1575337455,1077,1148
1575423611,1066,1137
1575509534,1093,1165
1575594971,1087,1159
1575683530,1065,1132
1575769688,1052,1119
1575855139,1051,1113
1575940572,1089,1153
1576027213,1047,1105
1576115769,1042,1100
1576201217,1031,1091
1576286647,1028,1088
1576376167,1018,1078
1576461126,1014,1072
1576547047,1014,1073
1576632246,1006,1071
1576720817,1012,1074
1576806251,1009,1074
1576892406,1017,1079
1576981446,1008,1069
1577066647,1003,1068
1577151367,1000,1066
1577240653,989,1058
1577325851,992,1058
1577410568,1019,1086
1577499849,991,1055
1577585293,1005,1065
1577671452,1012,1070
1577756407,1042,1101
1577845688,1016,1073
1577931369,1015,1071
1578016328,1018,1074
1578102007,1019,1076
1578191538,1013,1067
1578276485,1014,1070
1578361697,1014,1074
1578447127,1046,1107
1578536165,1008,1071
1578621372,1014,1076
1578706805,1038,1101
1578795848,1025,1080
1578882008,1024,1078
1578968167,1026,1079
1579053611,1026,1074
1579139292,1025,1077
1579225448,1015,1071
1579314966,1016,1075
1579399925,1010,1074
1579484648,1012,1077
1579573687,1006,1080
1579658169,1042,1119
1579746729,1039,1104
1579831689,1077,1142
1579920007,1062,1127
1580004970,1063,1128
1580089686,1102,1170
1580178248,1076,1144
1580263212,1109,1177
1580352004,1081,1150
1580436729,1114,1185
1580525288,1095,1166
1580610486,1092,1163
1580695211,1090,1162
1580784016,1089,1160
1580868732,1083,1158
1580957548,1086,1160
1581042246,1080,1154
1581126968,1110,1184
1581215287,1082,1152
1581300008,1088,1159
1581389051,1069,1139
1581474010,1066,1135
1581562810,1067,1135
1581648005,1057,1123
1581732966,1054,1119
1581821525,1065,1130
1581906728,1101,1166
1581991449,1082,1147
1582080248,1045,1112
1582165448,1078,1146
1582254014,1046,1113
1582338966,1035,1107
1582423931,1024,1096
1582512251,1011,1083
1582596968,1033,1107
1582685526,989,1061
1582770486,994,1061
1582855215,991,1062
1582944007,987,1058
1583028970,980,1055
