DateTime,AddedIPs,RemovedIPs
1568851219,48,48
1568936650,49,49
1569022569,46,46
1569108011,49,49
1569193456,49,49
1569280101,49,49
1569366495,45,45
1569452671,48,48
1569541695,48,48
1569627611,45,45
1569713287,47,47
1569798036,49,49
1569887289,48,48
1569972968,47,47
1570058648,49,49
1570144566,47,47
1570233608,46,46
1570319052,45,45
1570404490,50,50
1570489931,47,47
1570576088,49,49
1570665610,47,47
1570751291,49,49
1570835771,46,46
1570921699,48,48
1571011216,49,49
1571096889,48,48
1571182807,50,50
1571268251,47,47
1571353943,48,48
1571442729,48,48
1571528180,47,47
1571613849,48,48
1571699773,48,48
1571786176,47,47
1571874969,47,47
1571960410,48,48
1572046571,47,47
1572132253,49,49
1572218891,48,48
1572306013,49,49
1572391217,48,48
1572480028,47,47
1572566166,46,46
1572651850,49,49
1572737052,48,48
1572824652,49,49
1572910332,49,49
1572995770,44,44
1573084822,48,48
1573169533,48,48
1573255208,47,47
1573341375,50,50
1573430417,48,48
1573515606,50,50
1573601290,46,46
1573686023,48,48
1573775767,47,47
1573860731,49,49
1573946169,49,49
1574031631,50,50
1574121133,50,50
1574206331,49,49
1574291531,47,47
1574380330,49,49
1574466263,50,50
1574551224,50,50
1574640017,47,47
1574726179,47,47
1574811609,49,49
1574897288,50,50
1574982974,47,47
1575068898,44,44
1575158168,50,50
1575244091,45,45
1575329768,47,47
1575415689,49,49
1575501850,49,49
1575587057,45,45
1575675848,46,46
1575762009,47,47
1575847453,47,47
1575932652,45,45
1576019295,47,47
1576108086,46,46
1576193537,48,48
1576278730,48,48
1576364417,45,45
1576453447,49,49
1576539365,49,49
1576624331,48,48
1576713131,49,49
1576798566,50,50
1576884730,48,48
1576969946,48,48
1577058968,48,48
1577143697,50,50
1577228895,49,49
1577318168,47,47
1577402888,49,49
1577488332,47,47
1577577618,46,46
1577663772,47,47
1577748733,49,49
1577833929,48,48
1577919629,47,47
1578008650,49,49
1578094097,48,48
1578179530,48,48
1578268823,49,49
1578353766,47,47
1578439453,48,48
1578524416,49,49
1578613690,48,48
1578699134,47,47
1578784101,48,48
1578870254,49,49
1578960028,47,47
1579045689,48,48
1579131606,49,49
1579217766,48,48
1579303207,47,47
1579388412,49,49
1579476967,49,49
1579562167,48,48
1579650488,50,50
1579735207,49,49
1579821853,48,48
1579908488,50,50
1579997294,45,45
1580082007,49,49
1580166730,50,50
1580255530,50,50
1580340505,49,49
1580428808,50,50
1580513767,48,48
1580598728,47,47
1580687528,47,47
1580772489,49,49
1580861050,48,48
1580946006,47,47
1581030725,48,48
1581119288,49,49
1581203767,49,49
1581292328,48,48
1581377529,47,47
1581462491,46,46
1581551290,49,49
1581636485,48,48
1581725293,50,50
1581810007,48,48
1581895208,50,50
1581983766,50,50
1582068731,48,48
1582153931,48,48
1582242488,50,50
1582327448,49,49
1582416254,49,49
1582500730,49,49
1582585453,50,50
1582674007,44,44
1582758729,48,48
1582847529,47,47
1582932250,48,48
1583021291,49,49
1583106007,48,48
1583190727,48,48
1583279287,48,48
1583364007,50,50
1583452567,49,49
1583537529,49,49
1583622251,50,50
1583710567,50,50
1583795528,50,50
1583883850,49,49
1583968331,48,48
1584056659,48,48
1584141366,47,47
1584229929,50,50
1584314651,48,48
1584400330,48,48
1584488651,49,49
1584573368,44,44
1584661930,49,49
1584746650,49,49
1584835451,49,49
1584919930,47,47
1585004650,47,47
1585092969,49,49
1585177929,48,48
1585266491,48,48
1585350967,47,47
1585439528,49,49
1585524490,50,50
1585613293,48,48
1585698007,46,46
1585782967,45,45
1585871528,47,47
1585956246,50,50
1586045049,47,47
1586130258,49,49
1586215209,48,48
1586303772,49,49
1586388250,48,48
1586476813,48,48
1586561767,48,48
1586646488,50,50
1586734807,48,48
1586819770,48,48
1586908326,48,48
1586993527,49,49
1587082091,48,48
1587166807,47,47
1587251289,47,47
1587339614,45,45
1587426006,47,47
1587511208,48,48
1587600011,48,48
1587683049,49,49
1587771368,48,48
1587856089,46,46
1587944648,49,49
1588029127,50,50
1588117928,50,50
1588202886,47,47
1588291214,47,47
1588376167,49,49
1588460894,47,47
1588549448,47,47
1588634408,48,48
1588723218,47,47
1588808167,46,46
1588893127,47,47
1588981686,41,41
1589066167,45,45
1589154488,43,43
1589238970,46,46
1589327292,46,46
1589412253,47,47
1589501293,48,48
1589586009,44,44
1589671696,50,50
1589757607,49,49
1589846410,47,47
1589931367,48,48
1590016092,47,47
1590103206,48,48
1590192007,47,47
1590276965,45,45
1590361927,46,46
1590450964,46,46
1590535930,48,48
1590620890,48,48
1590709928,49,49
1590795365,49,49
1590880324,47,47
1590969125,49,49
1591054325,49,49
1591142647,48,48
1591227605,49,49
1591312086,49,49
1591400409,48,48
1591485125,49,49
1591573448,48,48
1591658164,46,46
1591746484,49,49
1591831446,47,47
1591916889,44,44
1592005204,46,46
1592090164,46,46
1592179213,46,46
1592264645,46,46
1592349365,47,47
1592437927,49,49
1592522882,45,45
1592607850,49,49
1592696408,49,49
1592781366,48,48
1592869924,48,48
1592954883,47,47
1593040087,43,43
1593128644,43,43
1593213609,45,45
1593301929,45,45
1593386652,45,45
1593475210,46,46
1593560167,44,44
1593645369,46,46
1593733686,45,45
1593818167,45,45
1593906730,48,48
1593991450,49,49
1594080248,47,47
1594165204,47,47
1594250167,46,46
1594338968,48,49
1594423687,50,49
1594512023,47,47
1594596250,47,47
1594684567,49,49
1594770009,46,46
1594855689,45,45
1594940988,46,46
1595029450,48,48
1595113930,47,47
1595202726,47,47
1595287685,48,48
1595376248,46,46
1595461208,46,46
1595546168,47,47
1595634726,47,47
1595719450,48,48
1595804657,49,49
1595893686,44,44
1595978648,47,47
1596066967,46,46
1596151448,46,46
1596240017,49,49
1596325209,48,48
1596410165,43,43
1596498732,47,47
1596583448,47,47
1596672019,48,48
1596756725,48,48
1596841450,45,45
1596930007,48,48
1597014488,50,50
1597103048,49,49
1597187767,47,47
1597276330,48,48
1597361050,48,48
1597449368,49,49
1597534088,50,50
1597621684,49,49
1597706168,48,48
1597794725,48,48
1597879204,46,46
1597965847,47,47
1598054419,47,47
1598139367,45,45
1598224087,46,46
1598313131,49,49
1598397848,49,49
1598484011,46,46
1598572329,48,48
1598656215,47,47
1598743688,45,45
1598832293,45,45
1598917209,40,40
1599002167,43,43
1599091215,45,45
1599175927,48,48
1599260889,49,49
1599349449,48,48
1599434409,48,48
1599522967,48,48
1599607928,47,47
1599696251,48,48
1599780972,50,50
1599865694,46,46
1599954487,45,45
1600039690,46,46
1600128250,46,46
1600213208,48,48
1600297933,46,46
1600386730,48,48
1600471929,46,46
1600556890,46,46
1600645686,50,50
1600730651,50,50
1600819448,46,46
1600903928,44,44
1600989127,45,45
1601077687,43,43
1601165045,37,37
1601309287,37,37
1601336165,37,37
1601420891,42,42
1601507765,42,42
1601596817,41,41
1601682255,40,40
1601766966,38,38
1601855285,44,44
1601940251,45,45
1602028816,41,41
1602113768,42,42
1602198491,40,40
1602287049,45,45
1602371529,46,46
1602460324,43,43
1602545048,39,39
1602633363,42,42
1602717848,41,41
1602806420,43,43
1602891130,39,39
1602975849,39,39
1603064169,39,39
1603148890,44,44
1603237687,47,47
1603322649,40,40
1603411211,44,44
1603496167,43,43
1603580900,45,45
1603669451,44,44
1603753928,45,45
1603842247,40,40
1603926731,43,43
1604015049,45,45
1604099525,47,47
1604187847,44,44
1604272325,46,46
1604360885,46,46
1604445366,43,43
1604533686,44,44
1604618166,42,42
1604706486,44,44
1604790967,45,45
1604879284,40,40
1604963765,45,45
1605050405,49,49
1605138966,47,47
1605223448,49,49
1605312018,48,48
1605396727,47,47
1605481446,47,47
1605570247,48,48
1605654966,49,49
1605743532,46,46
1605828247,46,46
1605916822,48,48
1606001286,49,49
1606089615,48,48
1606174084,46,46
1606262420,48,49
1606347130,49,48
1606435448,49,49
1606519931,47,48
1606608248,48,48
1606692967,48,47
1606777685,47,47
1606866245,49,49
1606950964,49,49
1607039526,49,49
1607124004,48,48
1607212326,45,45
1607297051,49,49
1607382248,48,48
1607470566,46,46
1607555529,46,46
1607644091,46,46
1607728567,49,49
1607817127,48,48
1607901610,47,47
1607990430,50,50
1608075368,50,50
1608160086,50,50
1608248411,49,49
1608333369,48,48
1608421927,41,41
1608506650,44,44
1608595217,43,43
1608679929,43,43
1608768250,41,41
1608852732,40,40
1608937450,43,43
1609025767,41,41
1609110249,43,43
1609199051,39,39
1609283766,42,42
1609372568,41,41
1609457532,47,47
1609545854,45,45
1609630566,3,3
1609715288,2,2
1609803608,3,3
1609888568,6,6
1609977129,4,4
1610062087,5,5
1610150423,3,3
1610235369,5,5
1610320088,3,3
1610408409,2,2
1610492889,1,1
1610581207,4,4
1610665928,3,3
1610754487,2,2
1610839208,2,2
1611012489,2,2
1611101050,4,4
1611185769,1,1
1611270491,1,1
1611358807,6,6
1611444252,1,1
1611532888,2,2
1611617773,1,1
1611702488,2,2
1611790806,4,4
1611877686,3,3
1611962652,4,4
1612048093,2,2
