DateTime,Entries,UniqueIPs
1568430029,69,70
1568516426,67,68
1568606183,49,50
1568692567,73,75
1568777767,72,73
1568862743,73,75
1568948164,77,78
1569037926,49,49
1569123610,73,73
1569208812,72,72
1569295932,49,50
1569382088,74,76
1569468010,69,73
1569553209,71,73
1569642971,50,50
1569728655,68,69
1569813620,65,67
1569898810,73,75
1569988327,50,50
1570074246,64,65
1570160287,68,70
1570245370,63,66
1570334231,50,50
1570419848,66,66
1570505530,76,78
1570591574,79,79
1570677254,77,78
1570766650,49,49
1570851605,74,75
1570937289,62,62
1571022731,68,68
1571112494,50,50
1571198166,77,77
1571283848,74,74
1571369289,75,76
1571454497,69,73
1571543764,49,50
1571629208,70,72
1571715373,67,70
1571801533,76,78
1571886729,72,73
1571975773,49,50
1572061934,83,84
1572147609,62,62
1572234971,46,50
1572321617,46,48
1572406810,74,76
1572492010,75,77
1572577930,67,69
1572667692,50,50
1572752410,71,72
1572838086,64,68
1572925940,49,50
1573011127,75,78
1573096333,72,75
1573185130,50,50
1573270564,71,73
1573356731,70,75
1573444329,48,50
1573529767,75,77
1573615207,75,76
1573704492,50,50
1573790171,71,74
1573875619,70,73
1573960586,65,67
1574049854,49,50
1574135531,71,76
1574221207,67,72
1574306885,74,77
1574395933,47,49
1574481609,72,76
1574566564,64,68
1574651774,72,79
1574737693,75,79
1574826964,50,50
1574912647,76,78
1574998573,76,78
1575084732,70,71
1575169932,73,75
1575259691,48,50
1575345370,68,70
1575431287,73,73
1575517454,69,69
1575604568,50,50
1575690249,71,71
1575775445,57,58
1575864247,49,50
1575950893,49,50
1576036329,77,80
1576122247,70,72
1576207445,65,67
1576293130,70,72
1576382888,50,50
1576468326,66,66
1576554005,70,71
1576639444,71,74
1576728729,48,50
1576814175,70,73
1576900084,73,74
1576985283,63,64
1577074332,49,50
1577159048,64,65
1577244484,65,66
1577333529,49,50
1577418250,69,70
1577503686,70,72
1577592973,50,50
1577679372,61,61
1577764329,74,75
1577849526,62,66
1577857204,46,50
1577935209,62,66
1578024012,49,50
1578109691,69,73
1578195367,63,67
1578284409,48,50
1578369367,79,81
1578454805,80,83
1578543845,49,49
1578629291,76,76
