DateTime,AddedIPs,RemovedIPs
1569030251,40,29
1569115688,34,30
1569201128,34,0
1569288010,36,34
1569374409,30,33
1569460334,29,71
1569549368,24,27
1569635293,29,44
1569720965,32,38
1569805930,26,0
1569894970,37,64
1569980650,39,40
1570066567,34,0
1570152247,29,37
1570237691,39,44
1570326497,40,39
1570412182,24,37
1570497870,29,24
1570583771,37,30
1570669692,37,29
1570758968,33,21
1570843932,32,31
1570929669,35,34
1571015055,29,36
1571104569,33,32
1571190489,31,67
1571275930,30,0
1571361632,27,39
1571450420,27,71
1571535848,26,0
1571621531,32,32
1571707448,28,35
1571793847,36,72
1571882891,44,35
1571968090,28,27
1572054250,25,27
1572139937,30,0
1572226814,29,24
1572313935,20,66
1572398898,39,29
1572484097,16,0
1572573851,35,57
1572659529,41,31
1572744730,34,32
1572830418,37,30
1572917767,40,0
1573003449,26,33
1573088655,29,27
1573177207,39,58
1573262892,39,27
1573349053,37,0
1573434254,30,21
1573523303,43,56
1573608979,34,28
1573693691,40,0
1573783466,40,60
1573868406,41,32
1573953850,35,30
1574039290,41,0
1574128809,34,66
1574214010,38,36
1574299214,37,0
1574388018,32,75
1574473932,25,0
1574558887,31,40
1574643848,32,30
1574733846,34,54
1574819288,41,32
1574904965,37,0
1574990682,28,35
1575076817,29,91
1575165846,27,0
1575251768,34,66
1575337454,43,37
1575423610,37,39
1575509533,38,0
1575594970,36,39
1575683529,28,54
1575769687,33,35
1575855138,26,41
1575940571,35,0
1576027212,33,73
1576115768,35,32
1576201215,35,33
1576286646,28,41
1576372331,34,0
1576461125,26,69
1576547046,40,33
1576632245,30,36
1576720816,36,37
1576806250,39,42
1576892405,33,37
1576977604,34,0
1577066646,32,64
1577151366,20,37
1577236807,36,37
1577325850,32,31
1577410567,34,0
1577496008,37,43
1577581446,30,29
1577671451,38,56
1577756406,27,0
1577841845,32,25
1577857205,0,36
1577927532,24,0
1578016327,34,77
1578102006,29,38
1578187447,23,38
1578272649,23,0
1578361696,40,55
1578447126,30,0
1578532325,30,28
1578621371,37,62
1578706804,29,0
1578792010,29,28
1578878165,39,27
1578964335,30,60
1579053610,36,24
1579139291,25,36
1579225447,30,31
1579311134,35,0
1579396090,35,31
1579484647,40,73
1579569848,34,35
1579658168,40,0
1579742886,35,34
1579831688,40,60
1579916168,34,0
1580001127,32,32
1580089685,26,75
1580174406,37,35
1580263210,38,0
1580348165,34,37
1580432890,32,29
1580521448,22,63
1580606650,38,0
1580695210,30,67
1580780165,39,26
1580868731,26,26
1580953685,30,0
1581038405,32,39
1581126967,35,58
1581211448,28,0
1581300007,30,57
1581385206,21,34
1581470165,32,0
1581558966,29,72
1581644166,26,0
1581732965,23,58
1581817686,30,23
1581902888,21,0
1581991448,34,68
1582076404,28,0
1582161606,23,40
1582250166,30,34
1582335128,21,73
1582423930,24,38
1582508407,22,36
1582596967,26,38
1582681686,37,27
1582766648,38,42
1582855213,35,34
1582940170,43,36
1583028969,32,37
1583113689,40,20
1583198406,37,0
1583286965,38,30
1583371686,39,30
1583460489,34,31
1583545206,33,26
1583633767,35,68
1583718251,40,0
1583807051,36,73
1583891526,33,0
1583979847,38,55
1584064331,35,31
1584149050,33,0
1584237613,33,55
1584322331,32,0
1584411847,35,54
1584496329,32,22
1584584886,36,36
1584669612,34,26
1584754330,34,21
1584843130,31,36
1584927606,33,25
1585016169,29,28
1585100651,28,30
1585189448,35,34
1585274169,28,37
1585362486,30,29
1585447209,38,0
1585532168,27,36
1585620969,28,35
1585705685,27,36
1585794489,25,68
1585879216,24,32
1585963926,22,35
1586052726,32,32
1586137928,31,34
1586226729,32,35
1586311450,25,42
1586395927,30,0
1586484490,33,58
1586569447,30,0
1586658006,37,68
1586742485,38,31
1586831289,39,29
1586916014,31,29
1587001211,35,0
1587089765,43,70
1587174485,32,0
1587262806,30,69
1587347287,35,30
1587433687,26,0
1587522731,34,63
1587607692,34,0
1587694566,31,60
1587779046,34,0
1587867610,32,57
1587952329,41,0
1588040886,37,63
1588125611,34,31
1588210569,32,0
1588299129,35,52
1588383851,37,0
1588472408,33,66
1588557125,42,29
1588646170,38,34
1588728968,34,0
1588817529,38,39
1588902247,29,37
1588991047,35,67
1589075765,33,0
1589160965,37,35
1589249768,37,32
1589334486,32,69
1589423766,38,30
1589508969,40,32
1589593692,36,38
1589680092,45,0
1589769127,40,70
1589854331,38,0
1589939050,39,33
1590027606,40,72
1590112809,33,0
1590201606,39,72
1590286332,33,0
1590371294,33,71
1590460329,35,34
1590545049,32,42
1590633855,38,36
1590719052,33,37
1590803766,32,37
1590892566,32,41
1590977532,37,32
1591062486,30,0
1591150807,35,75
1591236007,40,0
1591324565,36,74
1591409287,33,0
1591497848,39,66
1591582810,36,0
1591667765,30,68
1591756330,37,37
1591841526,30,0
1591930086,36,66
1592015285,33,0
1592099768,27,38
1592188566,35,78
1592273290,28,39
1592361609,31,35
1592446808,27,37
1592531526,35,33
1592620092,34,42
1592704815,32,33
1592793367,31,0
1592878569,29,65
1592963287,36,0
1593052086,37,27
1593136566,38,33
1593225126,32,23
1593309610,32,35
1593398167,25,59
1593483128,31,0
1593571697,34,69
1593656886,32,32
1593741365,32,0
1593829685,32,67
1593914407,32,0
1594002968,39,57
1594088166,33,0
1594173129,28,37
1594261684,36,62
1594346646,36,0
1594435205,43,62
1594519684,31,0
1594607765,33,68
1594692247,33,32
1594777685,29,0
1594867210,32,72
1594952406,32,0
1595037125,31,42
1595125451,31,73
1595210420,31,0
1595299205,36,71
1595383932,31,0
1595472729,30,66
1595557689,39,37
1595642421,31,0
1595731210,31,77
1595816409,29,0
1595901366,29,30
1595990166,34,34
1596074650,29,30
1596162968,38,33
1596247929,38,34
1596336725,41,65
1596421685,41,0
1596506406,39,34
1596594965,37,29
1596682084,33,73
1596767046,38,33
1596851764,35,0
1596940808,36,75
1597025527,38,0
1597113847,29,72
1597198323,39,0
1597287365,40,61
1597372566,37,31
1597457047,35,0
1597545608,37,60
1597632966,32,33
1597717688,29,32
1597802417,37,0
1597890724,30,34
1597977365,36,71
1598062084,35,0
1598150886,36,64
1598235603,33,29
1598320810,28,0
1598409366,32,69
1598495529,27,33
1598580007,38,0
1598670731,34,59
1598755204,29,31
1598839926,33,0
1598928724,38,31
1599013685,33,34
1599098887,34,59
1599187448,35,33
1599272648,27,0
1599360965,26,72
1599446170,29,33
1599530646,27,0
1599619454,34,70
1599704166,31,0
1599792487,31,71
1599877204,26,0
1599966015,30,73
1600051207,37,32
1600135926,26,0
1600224966,34,39
1600309446,28,31
1600394652,30,75
1600483447,37,40
1600568405,39,0
1600656976,37,65
1600742406,36,0
1600827125,37,36
1600915452,38,67
1601000646,36,0
1601089210,34,63
1601174713,38,31
1601307130,40,32
1601346005,40,0
1601434805,36,61
1601520004,34,0
1601605444,32,30
1601694252,36,69
1601778967,33,0
1601863454,41,37
1601952247,35,28
1602036726,36,35
1602125285,36,70
1602210006,38,0
1602298566,36,73
1602383051,31,0
1602469926,35,66
1602554655,38,0
1602642964,34,39
1602728168,35,79
1602816485,33,0
1602901206,30,39
1602989765,26,75
1603074250,39,0
1603162807,39,86
1603247529,37,0
1603332249,35,44
1603420806,35,73
1603506006,38,0
1603594325,38,75
1603679050,39,0
1603767617,33,71
1603852085,36,0
1603940651,37,76
1604025126,44,0
1604109848,36,37
1604198166,40,62
1604282648,34,0
1604370967,37,31
1604457369,41,69
1604541849,32,0
1604630167,34,71
1604714652,37,0
1604802964,40,70
1604887686,43,0
1604976007,44,68
1605062406,41,34
1605146885,38,35
1605235206,41,30
1605319927,36,0
1605408248,37,37
1605494647,42,58
1605579365,37,0
1605667924,35,71
1605752405,36,0
1605840965,33,75
1605925451,35,43
1606013765,31,38
1606098486,37,36
1606187117,37,38
1606271767,35,38
1606356246,37,0
1606444566,32,66
1606529047,35,0
1606617366,38,78
1606702185,35,37
1606790404,38,40
1606875364,43,34
1606963690,35,37
1607048163,41,0
1607136723,37,74
1607221205,38,0
1607309528,37,77
1607394004,34,0
1607482324,33,83
1607567286,44,0
1607655641,38,74
1607739846,37,35
1607828646,34,36
1607913123,39,34
1607998086,37,0
1608086886,29,74
1608171605,38,36
1608259927,33,37
1608345127,34,35
1608433448,29,35
1608518164,31,31
1608602888,29,0
1608691452,28,65
1608775926,28,0
1608864249,33,65
1608948965,24,36
1609037285,31,34
1609121767,20,37
1609210565,30,37
1609295286,26,38
1609380247,29,0
1609469048,28,81
1609553527,40,0
1609642086,1,67
1609726807,3,0
1609815125,4,77
1609900089,7,0
1609988648,6,70
1610073608,5,0
1610158327,1,30
1610246885,3,42
1610331606,2,39
1610419927,1,43
1610504407,2,37
1610592731,9,79
1610677689,2,0
1610766023,2,72
1610850725,2,0
1610935447,1,40
1611024029,6,32
1611108725,5,38
1611197284,2,60
1611282006,1,0
1611370567,4,63
1611455767,4,0
1611540729,6,40
1611629287,1,62
1611714006,5,33
1611802327,3,0
1611889218,6,74
1611974166,3,39
1612059608,2,0
