DateTime,Entries,UniqueIPs
1569030251,1072,1162
1569115688,1073,1166
1569201128,1104,1200
1569288010,1105,1202
1569374409,1104,1199
1569460334,1064,1157
1569549368,1059,1154
1569635293,1048,1139
1569720965,1043,1133
1569805930,1068,1159
1569894970,1041,1132
1569980650,1036,1131
1570066567,1070,1165
1570152247,1061,1157
1570237691,1056,1152
1570326497,1055,1153
1570412182,1040,1140
1570497870,1044,1145
1570583771,1047,1152
1570669692,1051,1160
1570758968,1060,1172
1570843932,1051,1173
1570929669,1044,1174
1571015055,1030,1167
1571104569,1027,1168
1571190489,984,1132
1571275930,1009,1162
1571361632,982,1150
1571450420,928,1106
1571535848,946,1132
1571621531,944,1132
1571707448,935,1125
1571793847,910,1089
1571882891,922,1098
1571968090,923,1099
1572054250,920,1097
1572139937,943,1127
1572226814,952,1132
1572313935,911,1086
1572398898,922,1096
1572484097,925,1112
1572573851,910,1090
1572659529,921,1100
1572744730,933,1102
1572830418,950,1109
1572917767,988,1149
1573003449,983,1142
1573088655,992,1144
1573177207,981,1125
1573262892,989,1137
1573349053,1025,1174
1573434254,1045,1183
1573523303,1043,1170
1573608979,1053,1176
1573693691,1093,1216
1573783466,1080,1196
1573868406,1091,1205
1573953850,1103,1210
1574039290,1140,1251
1574128809,1122,1219
1574214010,1128,1221
1574299214,1163,1258
1574388018,1125,1215
1574473932,1149,1240
1574558887,1136,1231
1574643848,1132,1233
1574733846,1118,1213
1574819288,1129,1222
1574904965,1165,1259
1574990682,1163,1252
1575076817,1109,1190
1575165846,1130,1217
1575251768,1100,1185
1575337454,1106,1191
1575423610,1105,1189
1575509533,1141,1227
1575594970,1137,1224
1575683529,1109,1198
1575769687,1109,1196
1575855138,1099,1181
1575940571,1132,1216
1576027212,1095,1176
1576115768,1098,1179
1576201215,1099,1181
1576286646,1089,1168
1576372331,1123,1202
1576461125,1081,1159
1576547046,1082,1166
1576632245,1076,1160
1576720816,1066,1159
1576806250,1056,1156
1576892405,1049,1152
1576977604,1082,1186
1577066646,1048,1154
1577151366,1034,1137
1577236807,1035,1136
1577325850,1035,1137
1577410567,1062,1171
1577496008,1058,1165
1577581446,1061,1166
1577671451,1044,1148
1577756406,1070,1175
1577841845,1081,1182
1577857205,1046,1146
1577927532,1069,1170
1578016327,1028,1127
1578102006,1018,1118
1578187447,1007,1103
1578272649,1026,1126
1578361696,1009,1111
1578447126,1039,1141
1578532325,1045,1143
1578621371,1022,1118
1578706804,1043,1147
1578792010,1046,1148
1578878165,1053,1160
1578964335,1029,1130
1579053610,1043,1142
1579139291,1032,1131
1579225447,1029,1130
1579311134,1063,1165
1579396090,1070,1169
1579484647,1046,1136
1579569848,1048,1135
1579658168,1085,1175
1579742886,1085,1176
1579831688,1064,1156
1579916168,1097,1190
1580001127,1096,1190
1580089685,1052,1141
1580174406,1058,1143
1580263210,1096,1181
1580348165,1092,1178
1580432890,1097,1181
1580521448,1059,1140
1580606650,1097,1178
1580695210,1062,1141
1580780165,1073,1154
1580868731,1074,1154
1580953685,1103,1184
1581038405,1089,1177
1581126967,1068,1154
1581211448,1095,1182
1581300007,1074,1155
1581385206,1062,1142
1581470165,1093,1174
1581558966,1050,1131
1581644166,1076,1157
1581732965,1044,1122
1581817686,1054,1129
1581902888,1074,1150
1581991448,1046,1116
1582076404,1074,1144
1582161606,1057,1127
1582250166,1050,1123
1582335128,998,1071
1582423930,983,1057
1582508407,970,1043
1582596967,962,1031
1582681686,971,1041
1582766648,968,1037
1582855213,969,1038
1582940170,973,1045
1583028969,963,1040
1583113689,983,1060
1583198406,1020,1097
1583286965,1027,1105
1583371686,1034,1114
1583460489,1035,1117
1583545206,1042,1124
1583633767,1010,1091
1583718251,1048,1131
1583807051,1016,1094
1583891526,1047,1127
1583979847,1032,1110
1584064331,1033,1114
1584149050,1063,1147
1584237613,1040,1125
1584322331,1067,1157
1584411847,1049,1138
1584496329,1058,1148
1584584886,1057,1148
1584669612,1065,1156
1584754330,1076,1169
1584843130,1080,1164
1584927606,1098,1172
1585016169,1106,1173
1585100651,1108,1171
1585189448,1116,1172
1585274169,1103,1163
1585362486,1105,1164
1585447209,1143,1202
1585532168,1138,1193
1585620969,1123,1186
1585705685,1113,1177
1585794489,1070,1134
1585879216,1064,1126
1585963926,1050,1113
1586052726,1049,1113
1586137928,1041,1110
1586226729,1036,1107
1586311450,1021,1090
1586395927,1049,1120
1586484490,1024,1095
1586569447,1053,1125
1586658006,1020,1094
1586742485,1028,1101
1586831289,1036,1111
1586916014,1039,1113
1587001211,1074,1148
1587089765,1049,1121
1587174485,1077,1153
1587262806,1041,1114
1587347287,1048,1119
1587433687,1074,1145
1587522731,1043,1116
1587607692,1076,1150
1587694566,1044,1121
1587779046,1072,1155
1587867610,1050,1130
1587952329,1090,1171
1588040886,1059,1145
1588125611,1063,1148
1588210569,1086,1180
1588299129,1085,1163
1588383851,1120,1200
1588472408,1098,1167
1588557125,1113,1180
1588646170,1117,1184
1588728968,1150,1218
1588817529,1154,1217
1588902247,1145,1209
1588991047,1117,1177
1589075765,1148,1210
1589160965,1151,1212
1589249768,1155,1217
1589334486,1117,1180
1589423766,1126,1188
1589508969,1129,1196
1589593692,1125,1194
1589680092,1164,1239
1589769127,1135,1209
1589854331,1172,1247
1589939050,1179,1253
1590027606,1146,1221
1590112809,1179,1254
1590201606,1153,1221
1590286332,1184,1254
1590371294,1145,1216
1590460329,1147,1217
1590545049,1138,1207
1590633855,1146,1209
1590719052,1145,1205
1590803766,1148,1200
1590892566,1138,1191
1590977532,1144,1196
1591062486,1173,1226
1591150807,1140,1186
1591236007,1178,1226
1591324565,1139,1188
1591409287,1172,1221
1591497848,1149,1194
1591582810,1185,1230
1591667765,1153,1192
1591756330,1158,1192
1591841526,1188,1222
1591930086,1163,1192
1592015285,1195,1225
1592099768,1186,1214
1592188566,1146,1171
1592273290,1139,1160
1592361609,1134,1156
1592446808,1123,1146
1592531526,1125,1148
1592620092,1116,1140
1592704815,1112,1139
1592793367,1141,1170
1592878569,1105,1134
1592963287,1138,1170
1593052086,1146,1180
1593136566,1152,1185
1593225126,1155,1194
1593309610,1151,1191
1593398167,1114,1157
1593483128,1144,1188
1593571697,1108,1153
1593656886,1106,1153
1593741365,1138,1185
1593829685,1104,1150
1593914407,1134,1182
1594002968,1118,1164
1594088166,1151,1197
1594173129,1142,1188
1594261684,1121,1162
1594346646,1157,1198
1594435205,1138,1179
1594519684,1169,1210
1594607765,1135,1175
1594692247,1135,1176
1594777685,1164,1205
1594867210,1125,1165
1594952406,1156,1197
1595037125,1146,1186
1595125451,1109,1144
1595210420,1139,1175
1595299205,1109,1140
1595383932,1139,1171
1595472729,1102,1135
1595557689,1104,1137
1595642421,1132,1168
1595731210,1085,1122
1595816409,1113,1151
1595901366,1118,1150
1595990166,1118,1150
1596074650,1118,1149
1596162968,1123,1154
1596247929,1126,1158
1596336725,1098,1134
1596421685,1136,1175
1596506406,1142,1180
1596594965,1147,1188
1596682084,1107,1148
1596767046,1117,1153
1596851764,1145,1188
1596940808,1099,1149
1597025527,1133,1187
1597113847,1085,1144
1597198323,1121,1183
1597287365,1096,1162
1597372566,1105,1168
1597457047,1137,1203
1597545608,1111,1180
1597632966,1106,1179
1597717688,1101,1176
1597802417,1134,1213
1597890724,1126,1209
1597977365,1086,1174
1598062084,1111,1209
1598150886,1087,1181
1598235603,1085,1185
1598320810,1107,1213
1598409366,1067,1176
1598495529,1053,1170
1598580007,1086,1208
1598670731,1068,1183
1598755204,1070,1181
1598839926,1102,1214
1598928724,1111,1221
1599013685,1117,1220
1599098887,1103,1195
1599187448,1111,1197
1599272648,1138,1224
1599360965,1096,1178
1599446170,1100,1174
1599530646,1125,1201
1599619454,1096,1165
1599704166,1126,1196
1599792487,1085,1156
1599877204,1107,1182
1599966015,1067,1139
1600051207,1071,1144
1600135926,1089,1170
1600224966,1090,1165
1600309446,1086,1162
1600394652,1045,1117
1600483447,1043,1114
1600568405,1074,1153
1600656976,1045,1125
1600742406,1077,1161
1600827125,1078,1162
1600915452,1056,1133
1601000646,1090,1169
1601089210,1064,1140
1601174713,1071,1147
1601307130,1082,1155
1601346005,1121,1195
1601434805,1100,1170
1601520004,1130,1204
1601605444,1135,1206
1601694252,1106,1173
1601778967,1138,1206
1601863454,1140,1210
1601952247,1149,1217
1602036726,1148,1218
1602125285,1117,1184
1602210006,1154,1222
1602298566,1126,1185
1602383051,1157,1216
1602469926,1126,1185
1602554655,1164,1223
1602642964,1157,1218
1602728168,1117,1174
1602816485,1149,1207
1602901206,1141,1198
1602989765,1097,1149
1603074250,1134,1188
1603162807,1086,1141
1603247529,1120,1178
1603332249,1114,1169
1603420806,1076,1131
1603506006,1111,1169
1603594325,1083,1132
1603679050,1120,1171
1603767617,1085,1133
1603852085,1120,1169
1603940651,1083,1130
1604025126,1124,1174
1604109848,1123,1173
1604198166,1105,1151
1604282648,1136,1185
1604370967,1145,1191
1604457369,1120,1163
1604541849,1151,1195
1604630167,1115,1158
1604714652,1148,1195
1604802964,1115,1165
1604887686,1155,1208
1604976007,1134,1184
1605062406,1141,1191
1605146885,1144,1194
1605235206,1152,1205
1605319927,1183,1241
1605408248,1180,1241
1605494647,1164,1225
1605579365,1198,1262
1605667924,1164,1226
1605752405,1197,1262
1605840965,1158,1220
1605925451,1148,1212
1606013765,1140,1205
1606098486,1142,1206
1606187117,1140,1205
1606271767,1133,1202
1606356246,1168,1239
1606444566,1136,1205
1606529047,1168,1240
1606617366,1131,1200
1606702185,1130,1198
1606790404,1129,1196
1606875364,1134,1205
1606963690,1131,1203
1607048163,1168,1244
1607136723,1135,1207
1607221205,1169,1245
1607309528,1137,1205
1607394004,1168,1239
1607482324,1122,1189
1607567286,1165,1233
1607655641,1127,1197
1607739846,1127,1199
1607828646,1126,1197
1607913123,1132,1202
1607998086,1168,1239
1608086886,1125,1194
1608171605,1130,1196
1608259927,1126,1192
1608345127,1122,1191
1608433448,1117,1185
1608518164,1115,1185
1608602888,1140,1214
1608691452,1102,1177
1608775926,1130,1205
1608864249,1104,1173
1608948965,1091,1161
1609037285,1086,1158
1609121767,1069,1141
1609210565,1062,1134
1609295286,1052,1122
1609380247,1080,1151
1609469048,1031,1098
1609553527,1069,1138
1609642086,1006,1072
1609726807,1009,1075
1609815125,942,1002
1609900089,949,1009
1609988648,890,945
1610073608,895,950
1610158327,867,921
1610246885,829,882
1610331606,793,845
1610419927,754,803
1610504407,719,768
1610592731,653,698
1610677689,655,700
1610766023,590,630
1610850725,592,632
1610935447,556,593
1611024029,530,567
1611108725,498,534
1611197284,441,476
1611282006,442,477
1611370567,388,418
1611455767,392,422
1611540729,361,388
1611629287,312,327
1611714006,288,299
1611802327,291,302
1611889218,226,234
1611974166,192,198
1612059608,194,200
