DateTime,Entries,UniqueIPs
1611670924,6374,6916
1611671525,6374,6917
1611672124,6376,6919
1611672724,6375,6914
1611673924,6368,6907
1611674524,6359,6900
1611675724,6331,6877
1611676924,6322,6867
1611677524,6320,6860
1611678724,6332,6872
1611679324,6329,6862
1611680524,6341,6877
1611681724,6325,6856
1611682924,6329,6859
1611684124,6323,6856
1611684724,6334,6870
1611685324,6330,6868
1611685925,6342,6879
1611686524,6355,6895
1611688324,6365,6891
1611690124,6370,6900
1611690724,6368,6900
1611691325,6386,6921
1611691924,6354,6886
1611692524,6373,6908
1611693724,6374,6911
1611694324,6385,6927
1611694924,6397,6938
1611695525,6398,6938
1611696124,6393,6934
1611697324,6360,6900
1611698524,6349,6884
1611699724,6329,6860
1611700325,6322,6850
1611700924,6347,6878
1611701524,6358,6889
1611702124,6375,6908
1611702724,6382,6909
1611703924,6339,6866
1611704524,6363,6894
1611705124,6361,6888
1611705724,6341,6870
1611706324,6359,6892
1611706924,6363,6893
1611708124,6351,6874
1611708724,6365,6889
1611709323,6384,6908
1611709924,6369,6891
1611711724,6343,6865
1611712324,6355,6881
1611712924,6369,6896
1611713524,6360,6888
1611714124,6371,6899
1611715324,6358,6874
1611715924,6368,6884
1611716524,6382,6903
1611717724,6370,6891
1611718325,6385,6901
1611718924,6389,6906
1611720124,6389,6905
1611720723,6369,6886
1611721324,6378,6897
1611721924,6365,6884
1611722525,6356,6872
1611723124,6354,6874
1611723724,6366,6886
1611724324,6373,6892
1611724923,6395,6915
1611725524,6400,6916
1611726124,6435,6960
1611726724,6451,6979
1611727324,6452,6980
1611727924,6435,6958
1611728524,6429,6950
1611729124,6423,6946
1611729724,6426,6949
1611730324,6427,6946
1611730924,6428,6946
1611732123,6437,6952
1611733324,6459,6977
1611734524,6427,6943
1611735124,6409,6919
1611735724,6416,6928
1611736924,6421,6934
1611738124,6432,6948
1611738724,6424,6942
1611739324,6403,6921
1611740524,6407,6920
1611741724,6363,6875
1611742924,6372,6883
1611744124,6382,6893
1611744724,6398,6909
1611745324,6397,6901
1611746524,6393,6895
1611747125,6385,6888
1611747724,6394,6897
1611748925,6374,6878
1611749524,6347,6847
1611750124,6350,6851
1611750725,6332,6836
1611751324,6352,6856
1611751924,6354,6856
1611752524,6362,6865
1611753124,6360,6862
1611753724,6378,6879
1611754924,6367,6873
1611756124,6359,6872
1611757324,6366,6878
1611757925,6383,6900
1611758524,6392,6912
1611759724,6391,6915
1611760324,6385,6911
1611760924,6367,6893
1611761524,6389,6915
1611762124,6372,6901
1611763324,6382,6914
1611764525,6339,6868
1611765725,6323,6846
1611766324,6334,6864
1611766924,6333,6863
1611767524,6365,6897
1611768124,6391,6924
1611768724,6411,6945
1611769324,6429,6965
1611770524,6408,6944
1611771124,6412,6948
1611771724,6429,6969
1611772324,6436,6975
1611772925,6416,6953
1611773524,6407,6945
1611774124,6429,6969
1611774725,6448,6989
1611775324,6440,6982
1611776524,6446,6991
1611777124,6432,6968
1611777724,6450,6992
1611778324,6456,6993
1611778924,6463,7001
1611779524,6463,7001
1611780725,6445,6977
1611781324,6446,6978
1611781924,6438,6968
1611782524,6422,6945
1611783725,6411,6935
1611784924,6446,6972
1611786124,6462,6991
1611787324,6446,6971
1611788524,6401,6926
1611789124,6421,6948
1611789724,6420,6950
1611790324,6436,6968
1611790924,6387,6921
1611792124,6404,6939
1611793324,6379,6913
1611794524,6393,6929
1611795124,6406,6940
1611795724,6411,6944
1611796923,6380,6919
1611798124,6409,6949
1611799324,6406,6947
1611799924,6405,6946
1611800524,6393,6930
1611801724,6421,6961
1611802924,6385,6925
1611804124,6395,6940
1611805324,6396,6938
1611806524,6380,6923
1611807724,6360,6907
1611808924,6354,6900
1611809524,6334,6877
1611810124,6325,6867
1611811324,6293,6832
1611812524,6235,6771
1611813724,6212,6745
1611814324,6187,6715
1611814924,6179,6711
1611816124,6187,6715
1611816724,6162,6688
1611817323,6160,6687
1611818524,6127,6650
1611819724,6154,6688
1611820324,6155,6692
1611820923,6160,6694
1611822124,6149,6679
1611823324,6161,6696
1611824523,6157,6686
1611825724,6161,6690
1611826923,6151,6680
1611827524,6140,6670
1611828724,6157,6691
1611829324,6171,6708
1611830524,6158,6684
1611831123,6164,6694
1611831723,6172,6702
1611832324,6166,6697
1611832924,6174,6708
1611833524,6146,6679
1611834124,6176,6707
1611835324,6186,6716
1611836524,6188,6713
1611837125,6195,6717
1611838324,6191,6709
1611838924,6200,6724
1611839524,6196,6721
1611840123,6193,6718
1611841324,6228,6757
1611841924,6250,6771
1611842524,6276,6798
1611843124,6259,6782
1611843724,6267,6791
1611844324,6248,6774
1611844924,6259,6780
1611846124,6292,6814
1611847324,6297,6817
1611848524,6273,6787
1611849123,6260,6771
1611849723,6274,6782
1611850924,6296,6807
1611851524,6295,6810
1611852123,6301,6817
1611852724,6297,6812
1611853323,6307,6824
1611853924,6304,6816
1611855124,6288,6797
1611855724,6317,6830
1611856324,6308,6821
1611856923,6339,6853
