DateTime,AddedIPs,RemovedIPs
1611666724,2,0
1611667324,4,5
1611668524,8,2
1611669125,3,0
1611669724,1,0
1611670324,8,20
1611670924,2,0
1611671525,1,1
1611672124,4,2
1611672724,7,5
1611673924,12,13
1611674524,0,7
1611675724,2,0
1611676924,4,1
1611677524,4,0
1611678724,8,0
1611679324,2,0
1611680524,5,3
1611681724,3,20
1611682924,4,0
1611684124,7,18
1611684724,3,3
1611685324,3,1
1611685925,3,1
1611686524,1,0
1611688324,5,5
1611690124,0,1
1611690724,4,2
1611691325,4,3
1611692524,5,3
1611693724,7,2
1611694324,6,0
1611694924,5,5
1611695525,6,0
1611696124,3,1
1611697324,3,0
1611698524,4,5
1611699724,6,1
1611700325,2,12
1611700924,5,0
1611701524,3,26
1611702124,3,0
1611702724,3,5
1611703924,8,2
1611704524,7,28
1611705124,4,0
1611705724,2,0
1611706324,5,1
1611706924,3,0
1611708124,7,2
1611708724,3,0
1611709323,6,2
1611709924,4,18
1611711724,3,21
1611712324,5,0
1611712924,4,1
1611713524,1,0
1611714124,1,0
1611715324,8,7
1611715924,2,0
1611716524,5,2
1611717724,5,0
1611718325,3,0
1611718924,8,4
1611720124,2,16
1611720723,2,0
1611721324,3,0
1611721924,1,2
1611722525,1,0
1611723124,1,11
1611724324,3,7
1611724923,3,0
1611725524,2,8
1611726124,18,5
1611726724,2,1
1611727324,4,1
1611727924,3,0
1611728524,4,4
1611729124,3,0
1611729724,4,0
1611730324,4,3
1611732123,3,0
1611733324,3,0
1611734524,8,15
1611735124,0,5
1611735724,2,0
1611736924,2,2
1611738124,10,0
1611738724,4,8
1611739324,2,1
1611740524,4,0
1611741724,5,3
1611742924,8,5
1611744124,2,0
1611744724,4,3
1611745324,2,0
1611746524,3,14
1611747125,1,0
1611747724,1,0
1611748925,2,4
1611749524,3,6
1611750124,6,2
1611750725,2,2
1611751324,5,0
1611751924,2,8
1611752524,3,0
1611753124,2,4
1611753724,7,4
1611754924,6,4
1611756124,7,17
1611757324,2,0
1611757925,3,2
1611758524,9,6
1611759724,4,5
1611760324,4,0
1611760924,8,14
1611761524,3,0
1611762124,7,3
1611763324,2,7
1611764525,2,5
1611765725,4,2
1611766324,4,0
1611766924,2,0
1611767524,8,13
1611768124,3,0
1611768724,5,0
1611769324,5,1
1611770524,7,2
1611771124,3,6
1611771724,3,4
1611772324,3,0
1611772925,7,0
1611773524,4,1
1611774124,3,10
1611774725,4,9
1611775324,3,1
1611776524,6,4
1611777124,0,2
1611777724,4,0
1611778324,3,1
1611778924,1,0
1611779524,3,1
1611780725,1,1
1611781324,4,8
1611781924,3,8
1611782524,4,5
1611783725,3,1
1611784924,11,4
1611786124,10,1
1611787324,2,18
1611788524,14,0
1611789124,5,0
1611789724,4,0
1611790324,4,3
1611790924,3,3
1611792124,6,5
1611793324,6,8
1611794524,5,5
1611795124,5,0
1611795724,5,0
1611796923,7,14
1611798124,8,0
