DateTime,AddedIPs,RemovedIPs
1611632524,7,0
1611633124,2,0
1611633724,3,1
1611634924,8,3
1611635525,2,0
1611636124,4,1
1611637324,5,1
1611638524,4,4
1611639724,9,6
1611640324,6,6
1611640924,0,1
1611641524,2,1
1611642124,2,2
1611643325,5,0
1611643924,1,0
1611644524,3,1
1611645724,47,5
1611646324,3,3
1611647524,4,1
1611648124,0,2
1611648724,3,8
1611649324,1,0
1611650525,5,5
1611651124,3,0
1611651724,5,1
1611652324,0,3
1611653525,9,0
1611654125,2,11
1611655324,2,0
1611656524,8,5
1611657724,0,1
1611658324,3,7
1611658924,6,0
1611660124,26,0
1611661324,3,0
1611662524,6,6
1611663124,8,3
1611664324,6,2
1611666124,1,7
1611667324,7,1
1611668524,12,8
1611669124,1,3
1611669724,9,0
1611671525,10,6
1611672124,3,6
1611672724,0,3
1611673923,9,2
1611675125,4,12
1611676324,8,9
1611676924,3,0
1611677524,1,2
1611678724,2,3
1611679924,10,1
1611680523,0,1
1611681724,5,8
1611682924,6,5
1611684124,6,0
1611684724,1,0
1611685324,5,5
1611685924,1,1
1611686523,1,0
1611687724,0,5
1611688924,2,3
1611690124,7,13
1611690724,1,0
1611691325,0,6
1611691924,2,9
1611692524,0,4
1611693724,4,0
1611694324,0,5
1611694924,4,1
1611695524,2,4
1611696124,10,2
1611697324,4,16
1611698524,17,17
1611699724,12,0
1611700325,7,10
1611700924,4,0
1611701524,3,2
1611702124,2,0
1611703324,3,6
1611704524,4,5
1611705124,0,8
1611705724,3,5
1611706924,9,9
1611708124,1,25
1611709323,3,21
1611710525,11,0
1611711124,3,20
1611712324,5,0
1611712924,8,0
1611713523,0,8
1611714124,6,0
1611715324,6,32
1611715924,1,0
1611717123,2,7
1611717724,4,7
1611718325,6,13
1611718924,1,4
1611720124,3,4
1611720723,5,10
1611721924,0,11
1611723124,1,9
1611723724,1,0
1611724324,2,6
1611724923,5,0
1611726124,3,18
1611727924,4,3
1611728524,1,4
1611729124,1,0
1611729724,0,2
1611731524,0,13
1611732724,2,29
1611733324,0,15
1611734524,1,3
1611735124,0,11
1611735724,1,5
1611736924,8,3
1611738123,2,7
1611739324,2,6
1611740524,4,1
1611741724,7,24
1611742324,4,0
1611742924,1,0
1611744124,8,3
1611744724,0,5
1611745324,0,1
1611745924,3,14
1611746524,4,0
1611747125,8,16
1611747724,2,0
1611748925,2,19
1611749524,0,6
1611750124,4,0
1611750725,2,1
1611752524,3,9
1611753724,13,7
1611754924,9,1
1611756124,7,16
1611757925,1,0
1611758524,0,7
1611759124,2,0
1611759724,61,17
1611760324,2,6
1611760924,3,0
1611761524,3,0
1611762124,0,11
1611763324,10,5
1611764525,0,4
1611765725,2,15
1611766924,10,7
1611767524,1,0
1611768724,1,8
1611770524,4,5
1611771124,0,11
1611772324,4,5
1611772924,3,1
1611773524,3,7
1611774124,2,0
1611774725,1,5
1611775324,1,5
1611775924,6,0
1611777724,6,8
1611778924,4,1
1611781324,18,11
1611781924,8,0
1611782524,6,16
1611783725,15,16
1611784324,4,0
1611784924,5,0
1611786124,2,17
1611787324,4,9
1611788524,9,11
1611789124,3,13
1611790924,11,0
1611792124,13,8
1611793324,3,16
1611794524,3,0
1611795124,3,9
1611795724,2,0
1611796923,3,24
1611798124,3,0
1611798724,3,19
1611799924,1,6
1611800524,1,1
1611801125,1,1
1611802324,2,3
1611802924,4,0
1611804124,1,14
1611805324,0,2
1611806524,6,0
1611807124,7,2
1611808324,19,2
1611808924,9,0
1611809524,11,7
1611810124,0,3
1611810724,12,9
1611811924,4,6
1611812524,3,0
1611813724,17,4
1611814324,0,1
1611815525,6,3
1611816724,1,1
1611817923,4,0
1611818524,2,0
1611819724,6,3
1611820324,2,1
1611820923,0,1
1611821524,2,2
1611823324,12,6
1611823924,0,11
1611825123,7,0
1611825724,1,0
1611826324,0,4
1611826923,4,4
1611828124,3,3
1611828724,6,1
1611829324,3,0
1611830524,13,7
1611831123,4,0
1611831723,3,0
1611832324,0,5
1611832924,0,7
1611834124,6,4
1611835324,7,3
1611836524,11,1
1611837125,1,2
1611838324,0,8
1611839524,1,17
1611840123,4,0
1611841324,0,6
1611842524,3,10
1611843124,1,0
1611843724,3,0
1611844324,0,1
1611844924,4,1
1611846124,3,16
