DateTime,AddedIPs,RemovedIPs
1611655324,31,31
1611656524,40,40
1611657724,15,15
1611658324,14,14
1611658924,23,23
1611660124,68,68
1611661324,29,29
1611662524,45,45
1611663124,24,24
1611664324,31,31
1611664924,6,6
1611666124,21,21
1611667324,21,21
1611668524,25,25
1611669124,13,13
1611669724,11,11
1611671525,32,32
1611672124,12,12
1611672724,8,8
1611673923,38,39
1611675125,14,14
1611676324,34,34
1611676924,16,15
1611677524,4,4
1611678724,24,24
1611679924,44,44
1611680523,4,4
1611681724,28,28
1611682924,45,45
1611684124,33,33
1611684724,21,21
1611685324,27,27
1611685924,20,20
1611686523,9,9
1611687724,29,29
1611688924,17,17
1611690124,33,33
1611690724,9,9
1611691325,4,4
1611691924,21,21
1611692524,5,5
1611693724,18,18
1611694324,9,9
1611694924,23,23
1611695524,15,15
1611696124,31,31
1611697324,33,33
1611698524,68,68
1611699724,63,63
1611700325,19,19
1611700924,18,18
1611701524,22,22
1611702124,18,18
1611703324,15,15
1611704524,27,27
1611705124,5,5
1611705724,23,23
1611706924,43,43
1611708124,25,25
1611709323,31,31
1611710525,67,67
1611711124,22,22
1611712324,26,26
1611712924,36,36
1611713523,6,6
1611714124,14,14
1611715324,16,16
1611715924,6,6
1611717123,17,17
1611717724,23,23
1611718325,24,24
1611718924,8,8
1611720124,21,21
1611720723,12,12
1611721924,21,21
1611722525,8,8
1611723124,9,9
1611723724,11,11
1611724324,23,23
1611724923,19,19
1611726124,21,21
1611727924,27,27
1611728524,10,10
1611729124,16,16
1611729724,4,4
1611730923,14,14
1611731524,4,4
1611732724,16,16
1611733324,7,7
1611734524,17,17
1611735124,9,9
1611735724,9,9
1611736924,32,32
1611737523,10,10
1611738123,11,11
1611739324,21,21
1611740524,25,25
1611741724,25,25
1611742324,19,19
1611742924,10,10
1611744124,31,31
1611744724,6,6
1611745324,8,8
1611745924,13,13
1611746524,20,20
1611747125,23,23
1611747724,8,8
1611748925,19,19
1611749524,4,4
1611750124,15,15
1611750725,10,10
1611751324,12,12
1611752524,20,20
1611753724,37,37
1611754924,25,25
1611756124,31,31
1611756724,10,10
1611757925,12,12
1611758524,6,6
1611759124,10,10
1611759724,75,76
1611760324,8,8
1611760924,32,32
1611761524,19,19
1611762124,13,13
1611763324,41,40
1611763924,9,9
1611764525,5,5
1611765725,17,17
1611766924,36,36
1611767524,4,4
1611768724,13,13
1611769324,8,8
1611770524,21,21
1611771124,11,11
1611772324,15,15
1611772924,17,17
1611773524,10,10
1611774124,9,9
1611774725,10,10
1611775324,4,4
1611775924,26,26
1611777724,28,28
1611778924,28,28
1611781324,61,61
1611781924,27,27
1611782524,21,21
1611783725,45,45
1611784324,21,21
1611784924,21,21
1611786124,19,19
1611787324,21,21
1611788524,37,37
1611789124,19,19
1611790924,30,30
1611792124,39,39
1611793324,36,36
1611794524,24,24
1611795124,11,11
1611795724,12,12
1611796923,11,11
1611798124,13,13
1611798724,14,14
1611799924,25,25
1611800524,7,7
1611801125,11,11
1611802324,9,9
1611802924,7,7
1611804124,14,14
1611805324,3,3
1611806524,19,19
1611807124,16,16
1611808324,52,52
1611808924,18,18
1611809524,38,38
1611810124,5,5
1611810724,37,37
1611811924,18,18
1611812524,12,12
1611813724,50,50
1611814324,5,5
1611815525,31,31
1611816124,4,4
1611816724,10,10
1611817923,23,23
1611818524,10,10
1611819724,16,16
1611820324,5,5
1611820923,11,11
1611821524,8,8
1611823324,46,46
1611823924,4,4
1611825123,32,32
1611825724,8,8
1611826324,10,10
1611826923,11,11
1611828124,11,11
1611828724,8,8
1611829324,10,10
1611830524,33,33
1611831123,10,10
1611831723,11,11
1611832324,8,8
1611832924,8,8
1611833524,6,6
1611834124,22,22
1611835324,19,19
1611836524,20,20
1611837125,4,4
1611838324,14,14
1611838924,10,10
1611839524,7,7
1611840123,12,12
1611841324,11,11
1611842524,11,11
1611843124,7,7
1611843724,20,20
1611844324,9,9
1611844924,10,10
1611846124,14,14
1611846724,9,9
1611847324,16,16
1611848524,10,10
1611849123,7,7
1611849723,15,15
1611850324,9,9
1611850924,20,20
1611851524,10,10
1611852123,6,6
1611852724,15,15
1611853924,19,19
1611854524,17,17
1611855724,28,28
1611856923,18,18
1611857524,5,5
1611858724,16,16
1611859323,3,3
1611859924,18,18
1611860524,15,15
1611862324,18,18
1611862924,15,15
1611864124,38,38
1611864724,8,8
1611865323,18,18
1611865924,4,4
1611867124,21,21
1611867724,11,11
1611868324,11,11
1611868924,6,6
1611869524,4,4
1611870124,11,11
1611870724,18,18
1611871924,30,30
1611872524,13,13
1611873724,16,16
1611874924,13,13
1611875524,20,20
1611876124,4,4
1611876724,29,29
1611877924,22,22
1611879123,26,26
1611880324,38,38
1611880924,7,7
1611881524,6,6
1611882724,14,14
1611883324,23,23
1611883925,10,10
1611884524,18,18
1611885124,16,16
1611885724,17,17
1611886324,22,22
1611887524,36,36
1611888124,17,17
1611889324,19,19
1611890524,35,35
1611891724,17,17
1611892924,28,28
1611893524,12,12
1611893910,10,10
1611895324,24,24
1611896524,26,26
1611897124,5,5
1611898325,85,85
1611898924,26,26
1611899524,18,18
1611900724,43,43
1611901324,5,5
1611901924,9,9
1611902524,19,19
1611903124,11,11
1611903724,13,13
1611904324,17,17
1611905524,16,16
1611906724,20,20
1611907924,12,12
1611908524,14,14
1611909724,8,8
1611910324,9,9
1611911524,15,15
1611912124,9,9
1611913323,11,11
1611914524,85,85
1611915124,16,16
1611916324,26,26
1611916924,29,29
1611918123,27,27
1611919323,19,19
1611919924,5,5
1611921124,20,20
1611921724,8,8
1611922924,23,23
1611923524,9,9
1611924123,19,19
1611925324,18,18
1611925924,11,11
1611927124,21,21
1611927724,8,8
1611928923,12,12
1611929524,6,6
1611930124,11,11
1611930724,8,8
1611931324,16,16
1611931924,15,15
1611933123,38,38
1611933724,13,13
1611934324,4,4
1611935524,15,16
1611936724,67,67
1611937324,25,24
1611938523,31,32
1611939124,5,5
1611939723,21,21
1611940324,18,18
1611940924,4,4
1611942124,30,29
1611942723,40,40
1611943924,38,38
1611944524,16,16
1611945124,25,25
1611945724,8,8
1611946324,9,9
1611947524,51,51
1611948724,35,35
1611949924,41,41
1611951124,55,55
1611952324,14,14
1611953524,50,50
1611954124,43,43
1611954724,29,29
1611956524,78,78
1611957123,36,36
1611957724,27,27
1611958924,40,40
1611959524,14,14
1611960724,31,31
1611961924,57,57
1611962524,28,28
1611963124,7,7
1611964924,72,72
1611965525,9,9
1611966124,39,39
1611967323,57,57
1611968524,23,23
1611969723,41,41
1611970325,26,26
1611972124,59,59
1611972724,36,36
1611973323,25,25
1611974525,36,36
1611975124,17,17
1611975724,30,30
1611976923,30,30
1611977524,19,19
1611978124,27,27
1611979324,29,29
1611980524,51,51
1611981723,27,27
1611982324,22,22
1611983524,43,43
1611984124,22,22
1611984724,13,13
1611985324,13,13
1611986524,41,41
1611987724,22,22
1611988324,4,4
1611990124,66,66
1611990724,17,17
1611991324,10,10
1611992524,10,10
1611993723,43,43
1611994924,42,42
1611996123,36,36
1611997324,38,38
1611997924,14,14
1611998525,8,8
1611999124,10,10
1612000924,57,57
1612002124,24,25
1612003323,74,73
1612003924,30,30
1612005124,48,48
1612005724,10,10
1612006324,32,32
1612006924,8,8
1612007524,22,22
1612008123,6,6
1612009324,31,31
1612009924,11,11
1612011123,20,20
1612011724,12,12
1612012924,31,31
1612013524,21,21
1612014124,7,7
1612015324,21,21
1612015924,12,12
1612016523,13,13
1612018324,27,27
1612019523,15,15
1612021324,18,18
1612022523,43,43
1612023124,6,6
1612024324,30,30
1612024923,17,17
1612026124,30,30
1612027323,36,36
1612027924,24,24
1612029124,30,30
1612029724,8,8
1612030324,10,10
1612030924,17,17
1612032124,41,41
1612033324,30,30
1612034524,15,15
1612035125,13,13
1612036924,64,64
1612037524,3,3
1612039324,76,76
1612040524,79,79
1612041723,57,57
1612042324,9,9
1612043523,34,34
1612044724,31,31
1612045324,25,25
1612045924,9,9
1612046524,26,26
1612047124,16,16
1612047724,8,8
1612048324,15,15
1612049524,28,28
1612050124,24,24
1612051324,33,33
1612051924,25,25
1612052524,32,32
1612053724,31,31
1612054324,7,7
1612054924,13,13
1612056124,68,68
1612056725,37,37
1612057324,44,44
1612058524,42,42
1612059124,26,26
1612059724,18,18
1612060924,30,30
1612061524,6,6
1612062124,33,33
1612062724,9,9
1612063924,27,27
1612065124,35,35
1612065724,18,18
1612066323,40,40
1612066924,33,33
1612068123,23,23
1612068723,9,9
1612069324,26,26
1612069924,11,11
1612071124,45,45
1612072324,49,49
1612072924,34,34
1612073524,20,20
1612074124,16,16
1612074725,31,31
1612075924,49,49
1612077724,50,50
1612078325,14,14
1612078924,26,26
1612080124,40,40
1612080724,9,9
1612081924,21,21
1612082523,21,21
1612083123,29,29
1612083724,7,7
1612084324,20,20
1612086124,40,40
1612086724,10,10
1612087924,18,18
1612088524,20,20
1612089124,9,9
1612089724,17,17
1612090924,21,21
1612091524,25,25
