DateTime,Entries,UniqueIPs
1569081002,60154,60154
1569167402,60120,60120
1569253802,60344,60344
1569336603,60792,60792
1569419402,61385,61385
1569505802,61340,61340
1569592202,61359,61359
1569678603,61260,61260
1569765003,60890,60890
1569851402,61011,61011
1569937803,61839,61839
1570024203,62096,62096
1570110602,62185,62185
1570197003,62205,62205
1570283402,62175,62175
1570369803,61750,61750
1570456202,61831,61831
1570542603,62187,62187
1570629002,63291,63291
1570715403,63780,63780
1570801803,63814,63814
1570888203,63807,63807
1570974602,63781,63781
1571061003,64188,64188
1571147403,64339,64339
1571233803,64987,64987
1571320203,65101,65101
1571406603,65558,65558
1571493003,65819,65819
1571579403,65549,65549
1571665803,65424,65424
1571752203,65583,65583
1571838603,65765,65765
1571925003,65689,65689
1572011403,65811,65811
1572097803,66012,66012
1572184203,65882,65882
1572270603,65810,65810
1572357002,65915,65915
1572443402,66136,66136
1572529803,65841,65841
1572616202,65931,65931
1572702602,66019,66019
1572789003,65607,65607
1572871803,65698,65698
1572958202,66073,66073
1573041003,65996,65996
1573127402,66618,66618
1573213803,66640,66640
1573300203,66863,66863
1573386603,66683,66683
1573473003,66974,66974
1573559402,67901,67901
1573645803,68668,68668
1573732203,68134,68134
1573818603,67899,67899
1573905003,67960,67960
1573991403,67812,67812
1574077803,67830,67830
1574164203,68215,68215
1574247003,69657,69657
1574333402,70270,70270
1574419803,70775,70775
1574502603,70986,70986
1574589003,71023,71023
1574675404,71074,71074
1574761803,72153,72153
1574848203,73114,73114
1574934603,74425,74425
1575021003,76185,76185
1575107403,76939,76939
1575193803,77000,77000
1575280203,76781,76781
1575366603,76739,76739
1575453003,77147,77147
1575539403,77239,77239
1575625803,77731,77731
1575712203,77894,77894
1575798603,77362,77362
1575885003,77185,77185
1575971403,76992,76992
1576057803,77378,77378
1576144203,77153,77153
1576230603,76670,76670
1576317003,76810,76810
1576403403,76397,76397
1576489803,75754,75754
1576576203,75897,75897
1576662603,76387,76387
1576749003,76800,76800
1576835403,76554,76554
1576921803,76894,76894
1577008203,76111,76111
1577091003,75546,75546
1577177403,75184,75184
1577263803,74972,74972
1577350203,73560,73560
1577433003,73184,73184
1577519402,73214,73214
1577602203,71128,71128
1577688603,70365,70365
1577775003,69755,69755
1577861403,69671,69671
1577947803,69214,69214
1578034203,69473,69473
1578120603,69758,69758
1578207003,69448,69448
1578293402,69045,69045
1578379803,69407,69407
1578466203,69770,69770
1578552602,69537,69537
1578639002,69222,69222
1578725403,69210,69210
1578811803,68958,68958
1578898203,69067,69067
1578984603,69529,69529
1579071003,70630,70630
1579153803,70598,70598
1579236603,70457,70457
1579323003,70252,70252
1579409403,69891,69891
1579495803,69195,69195
1579582203,69407,69407
1579668602,70179,70179
1579755003,70547,70547
1579841402,70794,70794
1579927802,70586,70586
1580014202,70391,70391
1580100603,70050,70050
1580187003,70227,70227
1580273403,70772,70772
1580359803,70820,70820
1580446202,70836,70836
1580532603,70974,70974
1580619002,70203,70203
1580705403,69083,69083
1580791802,69119,69119
1580878203,68978,68978
1580964603,68426,68426
1581051002,68142,68142
1581137402,67778,67778
1581223803,67257,67257
1581310203,66243,66243
1581396603,65432,65432
1581483003,65218,65218
1581569403,64905,64905
1581655803,64246,64246
1581742202,63435,63435
1581828602,62852,62852
1581915003,61841,61841
1582001402,62166,62166
1582087803,62060,62060
1582174203,61969,61969
1582260602,62029,62029
1582347003,61993,61993
1582433403,61517,61517
1582519803,61356,61356
1582606202,61846,61846
1582692603,62134,62134
1582779002,62129,62129
1582865403,62137,62137
1582951802,62200,62200
1583038202,61708,61708
1583124603,61206,61206
1583211002,61545,61545
1583297403,62605,62605
1583383802,62876,62876
1583470203,64045,64045
1583556603,64720,64720
1583639402,64715,64715
1583722202,64321,64321
1583808603,64684,64684
1583895003,65015,65015
1583981404,65050,65050
1584064203,64962,64962
1584150603,64745,64745
1584237003,64562,64562
1584323403,64336,64336
1584409802,64598,64598
1584496202,65409,65409
1584582603,65502,65502
1584669003,65475,65475
1584755403,65368,65368
1584841802,64893,64893
1584928202,64612,64612
1585014603,64825,64825
1585101003,65143,65143
1585187403,65203,65203
1585273803,65101,65101
1585360202,65210,65210
1585446602,64400,64400
1585533003,63657,63657
1585619402,63949,63949
1585705802,64362,64362
1585792203,64242,64242
1585878603,63683,63683
1585961403,62822,62822
1586044203,64068,64068
1586127002,62273,62273
1586213403,61869,61869
1586299803,62333,62333
1586386203,62894,62894
1586472603,63402,63402
1586555403,63634,63634
1586638202,63276,63276
1586724603,63302,63302
1586811002,63587,63587
1586893803,64260,64260
1586980203,64835,64835
1587066602,64991,64991
1587153002,64630,64630
1587239403,64276,64276
1587325803,63876,63876
1587412202,63675,63675
1587495003,63691,63691
1587577802,64452,64452
1587664203,64722,64722
1587750602,65192,65192
1587837002,65058,65058
1587923402,64891,64891
1588009802,64542,64542
1588096203,65291,65291
1588182602,65758,65758
1588269003,65880,65880
1588355402,65733,65733
1588441803,65452,65452
1588528202,65498,65498
1588614602,66003,66003
1588701002,66427,66427
1588787402,66864,66864
1588873802,66899,66899
1588960202,66187,66187
1589046602,65562,65562
1589133002,64553,64553
1589219402,64297,64297
1589305803,64614,64614
1589392202,64924,64924
1589478602,64780,64780
1589565002,64334,64334
1589651403,64154,64154
1589737802,63779,63779
1589824203,64263,64263
1589910603,64992,64992
1589997002,65675,65675
1590083402,65673,65673
1590169803,66006,66006
1590256202,65819,65819
1590342602,65742,65742
1590429002,65560,65560
1590515402,66778,66778
1590601803,66940,66940
1590688203,66905,66905
1590774602,66129,66129
1590861003,65769,65769
1590947402,65085,65085
1591033802,64975,64975
1591120202,65242,65242
1591206602,65094,65094
1591293003,64939,64939
1591379402,64397,64397
1591465803,63841,63841
1591552202,63141,63141
1591638602,62884,62884
1591725002,62783,62783
1591807803,63214,63214
1591894202,62937,62937
1591980602,62644,62644
1592067003,62114,62114
1592153403,61382,61382
1592239803,61045,61045
1592326203,60969,60969
1592412603,60721,60721
1592499002,59869,59869
1592585403,59068,59068
1592671802,58235,58235
1592758202,57099,57099
1592844603,56206,56206
1592931003,55972,55972
1593017403,56009,56009
1593103802,55853,55853
1593190203,54801,54801
1593276602,54353,54353
1593363002,53786,53786
1593449403,53770,53770
1593535802,54281,54281
1593622203,54701,54701
1593708603,54826,54826
1593795002,54370,54370
1593881403,53625,53625
1593967802,52783,52783
1594054202,52791,52791
1594140602,52718,52718
1594227002,53153,53153
1594313403,52876,52876
1594399802,52557,52557
1594486202,52001,52001
1594572603,51316,51316
1594655403,51134,51134
1594738203,51223,51223
1594824602,51381,51381
1594911002,51347,51347
1594997403,52716,52716
1595083803,53326,53326
1595170202,53549,53549
1595256603,54570,54570
1595343002,55262,55262
1595429402,56420,56420
1595515803,57031,57031
1595602203,57360,57360
1595688603,57945,57945
1595775003,58176,58176
1595861403,58291,58291
1595947802,58685,58685
1596030603,59311,59311
1596117002,59145,59145
1596203403,59307,59307
1596289802,58970,58970
1596376202,58697,58697
1596462603,58588,58588
1596549003,58885,58885
1596635402,59159,59159
1596721803,59082,59082
1596808202,59479,59479
1596894603,59396,59396
1596981003,59194,59194
1597067403,59368,59368
1597153803,59807,59807
1597240203,60401,60401
1597326603,60480,60480
1597413003,60639,60639
1597499402,60582,60582
1597585803,60262,60262
1597672202,60199,60199
1597755002,60002,60002
1597837802,60167,60167
1597924202,60397,60397
1598010603,60849,60849
1598097002,60769,60769
1598183403,60103,60103
1598269802,60221,60221
1598356203,55084,55084
1598442602,56055,56055
1598529002,56397,56397
1598615403,56301,56301
1598701803,55995,55995
1598788203,55747,55747
1598874603,55531,55531
1598961002,54790,54790
1599047402,55298,55298
1599133802,58640,58640
1599220203,59852,59852
1599306603,60657,60657
1599393003,61410,61410
1599479403,61629,61629
1599565803,61967,61967
1599652202,62810,62810
1599738603,62707,62707
1599825003,62465,62465
1599911402,62265,62265
1599994202,61692,61692
1600077002,60974,60974
1600159803,60939,60939
1600242603,61090,61090
1600325403,60962,60962
1600408203,60697,60697
1600494603,60417,60417
1600581002,60360,60360
1600667402,59820,59820
1600753802,60211,60211
1600840202,60403,60403
1600926602,60216,60216
1601013003,60040,60040
1601099403,59899,59899
1601185802,59603,59603
1601272203,59074,59074
1601358603,59613,59613
1601445003,60054,60054
1601531402,59977,59977
1601617803,60236,60236
1601704202,60213,60213
1601790603,57514,57514
1601873402,56181,56181
1601959802,55482,55482
1602042603,53800,53800
1602129003,53137,53137
1602215402,52892,52892
1602298202,52524,52524
1602384603,52608,52608
1602471002,52698,52698
1602557402,53455,53455
1602643803,54233,54233
1602730203,54661,54661
1602816603,55038,55038
1602903002,55274,55274
1602989402,55292,55292
1603075803,55424,55424
1603162202,55780,55780
1603248602,56853,56853
1603335002,57349,57349
1603421402,57839,57839
1603507803,58379,58379
1603594202,58557,58557
1603680603,58391,58391
1603767003,58928,58928
1603853403,59805,59805
1603936203,59986,59986
1604022602,60372,60372
1604109002,60776,60776
1604191803,60751,60751
1604278202,60471,60471
1604364602,61166,61166
1604451003,61959,61959
1604537402,62161,62161
1604623803,62536,62536
1604710203,62940,62940
1604796603,62915,62915
1604883004,62858,62858
1604969403,63420,63420
1605055803,63789,63789
1605142202,64354,64354
1605228603,64525,64525
1605315002,64237,64237
1605401403,63669,63669
1605487803,63194,63194
1605567003,64999,64999
1605653404,66527,66527
1605739803,66988,66988
1605826203,67365,67365
1605909003,67281,67281
1605995403,66784,66784
1606081803,65889,65889
1606168203,65613,65613
1606254603,65878,65878
1606341003,66719,66719
1606427403,66752,66752
1606513802,68558,68558
1606600203,68278,68278
1606686604,67864,67864
1606769403,67874,67874
1606855803,68328,68328
1606942202,68472,68472
1607028602,68493,68493
1607115004,68461,68461
1607201403,68318,68318
1607287803,68051,68051
1607374203,68281,68281
1607460602,68856,68856
1607547003,69319,69319
1607633404,69374,69374
1607719802,69484,69484
1607806204,68889,68889
1607892603,67618,67618
1607979002,67638,67638
1608065403,68352,68352
1608151803,69120,69120
1608238203,69485,69485
1608324602,67613,67613
1608411003,67611,67611
1608497402,66798,66798
1608583803,66949,66949
1608670204,67682,67682
1608756603,68390,68390
1608843003,68715,68715
1608929403,68538,68538
1609015803,68361,68361
1609102203,68068,68068
1609181403,65716,65716
1609267803,66007,66007
1609354203,66425,66425
1609440602,66406,66406
1609527003,65651,65651
1609613403,65409,65409
1609699802,65113,65113
1609786202,65556,65556
1609872602,66347,66347
1609959003,66775,66775
1610045403,66552,66552
1610131803,66917,66917
1610218203,66560,66560
1610304603,65974,65974
1610391003,65853,65853
1610477403,66066,66066
1610563802,66428,66428
1610650203,66934,66934
1610736602,66893,66893
1610823003,66513,66513
1610909403,65691,65691
1610995803,65771,65771
1611082202,66248,66248
1611168603,66917,66917
1611255004,67000,67000
1611341402,68023,68023
1611427803,68128,68128
1611514203,67922,67922
1611600603,68888,68888
1611687003,69457,69457
1611773403,70166,70166
1611859803,70469,70469
1611946203,71347,71347
1612032603,71490,71490
