DateTime,Entries,UniqueIPs
1606993884,2130,2130
1607002475,2131,2131
1607015317,2132,2132
1607019506,2133,2133
1607023718,2134,2134
1607027927,2136,2136
1607036395,2138,2138
1607044872,2139,2139
1607053326,2140,2140
1607061791,2143,2143
1607066175,2144,2144
1607070395,2145,2145
1607078886,2162,2162
1607083148,2163,2163
1607095889,2164,2164
1607104357,2165,2165
1607112815,2166,2166
1607121311,2167,2167
1607129752,2168,2168
1607140545,2169,2169
1607148943,2170,2170
1607157378,2172,2172
1607162105,2173,2173
1607187971,2174,2174
1607192183,2175,2175
1607196472,2179,2179
1607213609,2182,2182
1607222082,2183,2183
1607239348,2185,2185
1607243579,2186,2186
1607258685,2187,2187
1607275898,2189,2189
1607284336,2190,2190
1607296480,2191,2191
1607324306,2194,2194
1607332662,2195,2195
1607341233,2196,2196
1607366522,2197,2197
1607370709,2198,2198
1607374919,2199,2199
1607383324,2200,2200
1607415204,2202,2202
1607419499,2203,2203
1607436178,2204,2204
1607442755,2205,2205
1607448183,2163,2163
1607452490,1238,1238
1607456639,1239,1239
1607477226,1240,1240
1607485627,1242,1242
1607493631,1244,1244
1607513966,1247,1247
1607524514,1250,1250
1607532912,1252,1252
1607541108,1255,1255
1607549525,1257,1257
1607582406,1261,1261
1607598846,1262,1262
1607607024,1265,1265
1607615267,1266,1266
1607623504,1272,1272
1607631790,1273,1273
1607640041,1274,1274
1607667437,1276,1276
1607675802,1277,1277
1607684156,1279,1279
1607711647,1281,1281
1607720152,1282,1282
1607726727,1219,1219
1607733220,1223,1223
1607741579,1225,1225
1607745762,1226,1226
1607758439,1228,1228
1607766815,1230,1230
1607792307,1231,1231
1607800753,1238,1238
1607809189,1239,1239
1607817613,1242,1242
1607826107,1243,1243
1607834660,1245,1245
1607843141,1248,1248
1607851890,1249,1249
1607860387,1252,1252
1607879958,1253,1253
1607884199,1255,1255
1607888354,1256,1256
1607901117,1257,1257
1607909565,1258,1258
1607917918,1259,1259
1607930696,1261,1261
1607939194,1262,1262
1607960377,1263,1263
1607964450,1264,1264
1607973300,1265,1265
1607981631,1266,1266
1607985833,1267,1267
1608002775,1269,1269
1608011217,1270,1270
1608015403,1271,1271
1608023965,1272,1272
1608053397,1273,1273
1608057523,1274,1274
1608061683,1276,1276
1608070058,1279,1279
1608078441,1280,1280
1608091657,1291,1291
1608100109,1294,1294
1608108618,1297,1297
1608117407,1298,1298
1608125361,1300,1300
1608146042,1301,1301
1608150143,1302,1302
1608154365,1306,1306
1608170958,1313,1313
1608183417,1314,1314
1608189961,1316,1316
1608194399,1317,1317
1608200655,1320,1320
1608217243,1325,1325
1608221385,1326,1326
1608227947,1331,1331
1608236281,1333,1333
1608240450,1334,1334
1608266583,1335,1335
1608275357,1337,1337
1608284134,1338,1338
1608300840,1339,1339
1608304930,1340,1340
1608311326,1341,1341
1608320179,1351,1351
1608328826,1355,1355
1608337530,1360,1360
1608357429,1361,1361
1608361770,1362,1362
1608368500,1364,1364
1608372835,1365,1365
1608384908,1366,1366
1608402316,1367,1367
1608413594,1369,1369
1608425590,1370,1370
1608433799,1371,1371
1608441931,1372,1372
1608450237,1374,1374
1608491935,1376,1376
1608499902,1377,1377
1608504091,1383,1383
1608508277,1384,1384
1608512472,1385,1385
1608516667,1386,1386
1608520980,1387,1387
1608529562,1388,1388
1608538164,1390,1390
1608542433,1391,1391
1608546633,1393,1393
1608567794,1394,1394
1608578281,1397,1397
1608593057,1400,1400
1608597366,1401,1401
1608610328,1402,1402
1608618962,1405,1405
1608627576,1406,1406
1608636656,1439,1439
1608641039,1440,1440
1608645435,1445,1445
1608663268,1448,1448
1608672349,1449,1449
1608681497,1471,1471
1608690463,1476,1476
1608695243,1477,1477
1608704259,1478,1478
1608713188,1491,1491
1608721326,1523,1523
1608725953,1525,1525
1608730578,1526,1526
1608739817,1527,1527
1608748884,1529,1529
1608753607,1530,1530
1608762005,1531,1531
1608773209,1533,1533
1608782050,1538,1538
1608786461,1539,1539
1608790973,1541,1541
1608800108,1543,1543
1608818511,1544,1544
1608827629,1545,1545
1608836882,1548,1548
1608846021,1549,1549
1608855213,1554,1554
1608864537,1555,1555
1608873768,1557,1557
1608883044,1558,1558
1608892370,1560,1560
1608901669,1561,1561
1608906320,1562,1562
1608910890,1564,1564
1608920379,1565,1565
1608925057,1566,1566
1608932199,1567,1567
1608936953,1569,1569
1608944255,1570,1570
1608953601,1572,1572
1608962908,1573,1573
1608967856,1575,1575
1608977150,1576,1576
1608995020,1578,1578
1609004121,1580,1580
1609008965,1581,1581
1609013609,1582,1582
1609022927,1588,1588
1609032262,1590,1590
1609041397,1598,1598
1609050549,1599,1599
1609055446,1600,1600
1609077949,1603,1603
1609086677,1604,1604
1609095845,1605,1605
1609105026,1607,1607
1609114203,1612,1612
1609137403,1614,1614
1609141892,1615,1615
1609146490,1616,1616
1609155764,1617,1617
1609165008,1620,1620
1609169629,1621,1621
1609192073,1622,1622
1609201258,1625,1625
1609215034,1626,1626
1609219766,1628,1628
1609228946,1629,1629
1609247494,1632,1632
1609256990,1635,1635
1609266498,1638,1638
1609271208,1639,1639
1609275960,1641,1641
1609280566,1642,1642
1609285171,1646,1646
1609294528,1647,1647
1609299170,1648,1648
1609313097,1650,1650
1609322528,1651,1651
1609340826,1652,1652
1609350076,1653,1653
1609354668,1655,1655
1609365822,1657,1657
1609382344,1658,1658
1609389210,1660,1660
1609398470,1661,1661
1609407733,1663,1663
1609412339,1664,1664
1609421980,1665,1665
1609428999,1668,1668
1609433634,1669,1669
1609442859,1670,1670
1609456990,1671,1671
1609461615,1672,1672
1609465959,1673,1673
1609479949,1674,1674
1609484621,1675,1675
1609511546,1677,1677
1609520880,1678,1678
1609530168,1679,1679
1609539599,1682,1682
1609548977,1684,1684
1609568215,1686,1686
1609572852,1689,1689
1609582320,1691,1691
1609591892,1692,1692
1609601358,1694,1694
1609610777,1696,1696
1609620162,1697,1697
1609624860,1699,1699
1609633018,1705,1705
1609654032,1708,1708
1609666026,1710,1710
1609670758,1712,1712
1609679683,1713,1713
1609689080,1716,1716
1609698769,1718,1718
1609708178,1720,1720
1609713128,1721,1721
1609722550,1722,1722
1609727257,1723,1723
1609731972,1725,1725
1609741405,1727,1727
1609760907,1729,1729
1609775294,1731,1731
1609798835,1733,1733
1609808418,1734,1734
1609817876,1736,1736
1609827467,1740,1740
1609853688,1741,1741
1609858182,1742,1742
1609862919,1743,1743
1609867698,1744,1744
1609872417,1745,1745
1609881852,1747,1747
1609886556,1748,1748
1609890456,1752,1752
1609895198,1753,1753
1609899928,1770,1770
1609904698,1772,1772
1609926043,1773,1773
1609934482,1777,1777
1609943921,1779,1779
1609953356,1780,1780
1609958204,1781,1781
1609962938,1785,1785
1609991114,1803,1803
1610005371,1846,1846
1610010102,1851,1851
1610044237,1852,1852
1610058452,1854,1854
1610067821,1855,1855
1610082000,1856,1856
1610086836,1857,1857
1610096471,1858,1858
1610110958,1859,1859
1610115786,1860,1860
1610125438,1861,1861
1610135143,1862,1862
1610140002,1863,1863
1610144864,1864,1864
