DateTime,AddedIPs,RemovedIPs
1607200382,1,0
1607203981,1,1
1607207581,1,0
1607211182,1,0
1607214782,0,1
1607218381,1,2
1607221981,0,2
1607229182,0,1
1607232782,0,1
1607236382,1,0
1607239982,1,1
1607243581,1,0
1607247182,3,1
1607250781,1,2
1607254382,2,0
1607257982,2,2
1607261581,1,0
1607265181,2,0
1607268781,0,1
1607272381,3,7
1607275981,3,0
1607279581,2,1
1607283181,0,4
1607286781,3,2
1607290381,4,1
1607297582,0,1
1607301181,1,2
1607304782,2,0
1607308381,2,2
1607311982,1,0
1607315581,1,1
1607322781,0,3
1607326382,1,5
1607329982,1,0
1607337181,0,1
1607340781,1,0
1607344381,4,0
1607347981,0,2
1607351581,1,0
1607355182,2,2
1607358782,2,1
1607362382,0,1
1607365981,1,1
1607369582,1,3
1607373181,2,1
1607376781,2,0
1607380381,0,1
1607383981,0,3
1607391181,1,0
1607394781,3,0
1607398381,2,1
1607405582,2,1
1607409181,1,3
1607412782,2,0
1607416381,1,0
1607419981,1,1
1607423581,1,0
1607427182,2,5
1607430781,0,2
1607434381,2,0
1607437982,1,5
1607441581,2,0
1607445181,0,1
1607448781,2,1
1607452381,1,0
1607459581,0,3
1607463181,1,1
1607466782,1,0
1607470381,2,0
1607473981,1,2
1607477581,1,0
1607484781,1,0
1607488381,3,0
1607491981,1,2
1607495581,0,2
1607499181,0,3
1607502781,0,2
1607506381,1,5
1607509981,0,7
1607513581,1,0
1607517181,0,5
1607524381,3,1
1607531581,2,1
1607535182,2,0
1607538781,1,1
1607542382,0,1
1607545982,0,1
1607553181,0,4
1607556781,0,5
1607560381,0,1
1607567581,0,3
1607571182,0,1
1607578382,0,3
1607581981,0,1
1607599981,0,1
1607603581,0,2
1607610781,0,4
1607614381,0,5
1607617982,0,2
1607621581,0,4
1607625181,0,3
1607632382,0,2
1607639581,0,1
1607643181,0,2
1607646781,0,3
1607653982,0,2
1607657581,0,2
1607661181,0,3
1607668381,0,2
1607671981,0,5
1607682781,0,4
1607686381,0,2
1607693581,0,3
1607700781,0,1
1607704381,0,5
1607707982,0,1
1607711581,0,3
1607718781,0,2
1607722381,0,4
1607729581,0,1
1607733181,0,3
1607737230,0,3
1607740830,0,2
1607744431,0,3
1607748031,0,4
1607751630,0,2
1607755229,0,1
1607758829,0,3
1607762430,0,1
1607766032,0,4
1607773229,0,1
1607776830,0,2
1607780430,0,3
1607784030,0,3
1607787631,0,2
1607791230,0,3
1607794830,0,1
1607798430,0,1
1607802031,0,1
1607805630,0,1
1607812830,0,3
1607816430,0,5
1607820030,0,2
1607823630,0,2
1607827230,0,3
1607834430,0,2
1607838031,0,2
1607841630,0,2
1607848830,0,4
1607852432,0,3
1607856030,0,3
1607859630,0,4
1607863230,0,4
1607866830,0,3
1607870433,0,2
1607874030,0,5
1607877630,0,2
1607881230,0,2
1607884829,0,3
1607888429,0,1
1607892030,0,3
1607895630,0,1
1607899230,0,2
1607902831,0,6
1607906430,0,4
1607910030,0,2
1607913629,0,3
1607917230,0,1
1607920830,0,5
1607924430,0,4
1607928030,0,2
1607931634,0,5
1607935232,0,3
1607938831,0,6
1607942430,0,5
1607946030,0,5
1607949630,0,5
1607953232,0,2
1607960430,0,6
1607964030,0,5
1607967630,0,1
1607971230,0,2
1607974830,0,4
1607978430,0,6
1607982031,0,7
1607985631,0,8
