DateTime,AddedIPs,RemovedIPs
1606843981,17,21
1606847581,19,16
1606851181,12,9
1606854781,21,24
1606858381,22,17
1606861981,21,22
1606865581,15,13
1606869182,19,21
1606872781,18,19
1606876381,23,22
1606879981,22,22
1606883581,17,16
1606887181,19,19
1606890781,22,19
1606894381,14,17
1606897981,18,16
1606901582,16,18
1606905181,23,20
1606908782,24,24
1606912381,18,26
1606915981,22,19
1606919581,19,17
1606923182,23,24
1606926781,22,22
1606930381,22,20
1606933981,7,9
1606937582,16,16
1606941181,17,16
1606944781,13,14
1606948381,20,23
1606951982,23,19
1606955581,17,21
1606959182,17,12
1606962781,20,23
1606966381,18,18
1606969981,18,16
1606973581,22,23
1606977181,24,23
1606980781,15,19
1606984381,20,20
1606987981,16,20
1606991582,24,18
1606995182,18,17
1606998781,23,20
1607002381,22,24
1607005981,20,24
1607009582,25,20
1607013181,5,6
1607016782,22,24
1607020381,22,21
1607023981,19,21
1607027581,16,17
1607031181,22,17
1607034781,14,16
1607038381,20,18
1607041981,19,19
1607045581,16,18
1607049181,21,17
1607052781,21,22
1607056382,18,19
1607059981,20,24
1607063581,26,21
1607067182,15,21
1607070782,16,15
1607074381,16,17
1607077981,18,17
1607081581,23,26
1607085181,25,21
1607088781,22,23
1607092382,22,20
1607095981,15,14
1607099581,13,16
1607103181,19,19
1607106781,11,9
1607110382,22,21
1607113981,24,26
1607117581,19,19
1607121182,16,20
1607124782,16,13
1607128381,19,16
1607131982,21,21
1607135582,16,17
1607139181,16,16
1607142781,20,19
1607146382,17,21
1607149981,15,15
1607153581,18,14
1607157181,17,18
1607160782,17,13
1607164381,13,18
1607167982,14,14
1607171581,21,21
1607175181,19,19
1607178781,23,20
1607182381,20,19
1607185982,14,16
1607189582,17,21
1607193181,11,11
1607196782,23,23
1607200382,20,18
1607203981,16,16
1607207581,16,14
1607211182,19,17
1607214782,18,15
1607218381,17,20
1607221981,21,18
1607225581,16,17
1607229182,19,20
1607232782,16,16
1607236382,19,23
1607239982,20,17
1607243581,11,10
1607247182,16,17
1607250781,18,21
1607254382,14,15
1607257982,19,17
1607261581,17,17
1607265181,16,20
1607268781,17,12
1607272381,22,23
1607275981,20,20
1607279581,22,21
1607283181,19,20
1607286781,18,18
1607290381,16,16
1607293981,14,17
1607297582,27,19
1607301181,17,21
1607304782,21,22
1607308381,22,24
1607311982,18,20
1607315581,18,18
1607319181,20,17
1607322781,19,23
1607326382,17,16
1607329982,20,17
1607333582,13,17
1607337181,19,19
1607340781,19,16
1607344381,18,18
1607347981,15,16
1607351581,20,20
1607355182,19,16
1607358782,20,21
1607362382,20,23
1607365981,15,15
1607369582,18,14
1607373181,19,18
1607376781,22,22
1607380381,24,24
1607383981,24,25
1607387581,15,17
1607391181,19,18
1607394781,26,25
1607398381,19,21
1607401981,19,18
1607405582,24,23
1607409181,23,21
1607412782,21,24
1607416381,26,22
1607419981,19,21
1607423581,17,18
1607427182,16,18
1607430781,22,18
1607434381,22,25
1607437982,18,18
1607441581,18,18
1607445181,19,17
1607448781,18,21
1607452381,15,16
1607455982,13,14
1607459581,12,12
1607463181,20,18
1607466782,19,17
1607470381,16,16
1607473981,19,25
1607477581,20,18
1607481181,16,14
1607484781,23,21
1607488381,21,22
1607491981,19,21
1607495581,16,18
1607499181,14,12
1607502781,12,13
1607506381,21,19
1607509981,17,17
1607513581,21,18
1607517181,11,9
1607520781,18,21
1607524381,15,17
1607527981,7,9
1607531581,22,19
1607535182,19,17
1607538781,13,13
1610962381,30,34
1610965982,24,23
1610969581,18,19
1610973182,21,25
1610976781,17,18
1610980809,22,21
1610987581,23,23
1610991182,24,24
1610994781,23,19
1610998381,22,20
1611001981,23,22
1611005581,16,17
1611009181,24,23
1611012781,19,20
1611016382,19,20
1611019981,19,20
1611023581,23,22
1611027181,24,23
1611030781,21,21
1611034381,19,21
1611037982,15,15
1611041582,16,14
1611045181,21,25
1611048781,20,21
1611052382,23,19
1611055981,20,23
1611059582,17,19
1611063181,17,12
1611066782,17,17
1611070382,22,22
1611073982,21,22
1611077581,22,20
1611081182,20,24
1611084781,13,10
1611088381,20,18
1611091981,20,22
1611095581,20,19
1611099181,16,17
1611102781,16,15
1611106382,18,17
1611109981,21,24
1611113581,22,22
1611117182,22,18
1611120781,16,17
1611124381,14,16
1611127981,17,17
1611131581,20,17
1611135181,20,23
1611138781,21,17
1611142381,10,10
1611145981,20,24
1611149581,20,17
1611153181,16,19
1611156782,15,14
1611160381,19,21
1611163982,18,19
1611167581,14,14
1611171181,19,17
1611174782,18,17
1611178381,22,21
1611181981,18,18
1611185581,28,26
1611189181,21,23
1611192781,20,21
1611196381,14,13
1611199981,19,19
1611203581,15,16
1611207181,20,19
1611210781,19,20
1611214381,20,21
1611217982,20,17
1611221582,23,25
1611225181,20,22
1611228781,15,16
1611232381,21,16
1611235981,18,19
1611239581,18,22
1611243182,25,20
1611246781,19,17
1611250382,8,11
1611253981,19,18
1611257581,20,20
1611261181,16,20
1611264782,10,9
1611268381,19,19
1611271981,16,15
1611275582,16,16
1611279181,17,19
1611282781,18,17
1611286382,23,21
1611289982,20,21
1611293581,16,17
1611297181,21,18
1611300781,21,22
1611304381,23,24
1611307981,19,20
1611311581,20,19
1611315181,19,17
1611318782,14,16
1611322381,17,17
1611325981,23,19
1611329581,20,21
1611333182,8,9
1611336781,20,18
1611340382,20,22
1611343981,21,20
1611347581,20,18
1611351181,21,24
1611354781,19,21
1611358381,21,21
1611361981,15,17
1611365581,7,7
1611369181,17,18
1611372781,21,19
1611376382,15,16
1611379982,17,14
1611383582,16,17
1611387181,14,15
1611390781,24,20
1611394381,20,22
1611397981,23,20
1611401581,15,16
1611405181,17,20
1611408782,26,23
1611412381,14,19
1611415981,20,19
1611419581,20,18
1611423181,26,26
1611426781,20,22
1611430381,19,18
1611433982,21,19
1611437582,19,21
1611441181,20,18
1611444781,19,17
1611448381,24,24
1611451982,23,25
1611455581,23,22
1611459182,20,20
1611462782,21,23
1611466381,17,19
1611469981,19,22
1611473581,19,15
1611477181,24,24
1611480781,17,19
1611484381,16,20
1611487981,20,16
1611491581,21,19
1611495181,20,21
1611498781,22,18
1611502381,22,25
1611505982,16,14
1611509581,16,14
1611513182,19,19
1611516781,21,23
1611520381,27,24
1611523981,22,27
1611527581,25,22
1611531181,23,23
1611534782,13,13
1611538381,29,28
1611541982,18,22
1611545582,20,18
1611549181,24,21
1611552781,16,21
1611556381,19,16
1611559982,20,23
1611563581,21,18
1611567181,20,20
1611570781,23,25
1611574382,16,16
1611577981,16,17
1611581581,23,20
1611585181,18,15
1611588782,19,20
1611592381,17,19
1611595982,19,20
1611599581,16,18
1611603181,22,21
1611606781,21,21
1611610381,20,24
1611613981,19,18
1611617582,24,24
1611621181,23,22
1611624781,21,21
1611628381,21,20
1611631982,20,20
1611635581,17,18
1611639181,19,15
1611642781,21,23
1611646381,22,20
1611649981,21,25
1611653581,20,20
1611657182,16,18
1611660781,19,18
1611664381,16,15
1611667982,20,18
1611671581,18,20
1611675181,24,22
1611678781,19,22
1611682381,18,18
1611685982,15,17
1611689581,19,19
1611693181,10,10
1611696781,17,15
1611700381,19,20
1611703981,13,12
1611707582,20,18
1611711182,20,19
1611714781,16,18
1611718381,15,15
1611721981,16,17
1611725581,18,17
1611729181,19,17
1611732781,22,21
1611736381,21,21
1611739981,21,23
1611743581,10,10
1611747182,25,25
1611750782,22,22
1611754381,22,23
1611757981,15,17
1611761581,25,19
1611765182,21,21
1611768782,16,20
1611772381,25,23
1611775981,19,18
1611779581,24,23
1611783181,18,17
1611786781,18,22
1611790381,21,19
1611793981,20,22
1611797581,15,14
1611801181,18,16
1611804782,22,22
1611808381,14,16
1611811981,16,17
1611815581,27,24
1611819182,20,21
1611822781,15,17
1611826381,15,16
1611829982,23,22
1611833581,16,16
1611837181,20,22
1611840781,17,14
1611844381,19,20
1611847981,15,19
1611851581,23,17
1611855182,17,20
1611858781,18,21
1611862381,22,17
1611865982,18,20
1611869581,25,24
1611873181,17,17
1611876781,21,22
1611880381,11,11
1611883982,18,17
1611887581,19,19
1611891181,18,15
1611894781,18,19
1611898381,16,21
1611901981,20,13
1611905581,20,25
1611909182,6,7
1611912781,17,16
1611916382,15,16
1611919981,19,19
1611923581,21,17
1611927182,21,20
1611930781,19,20
1611934381,16,17
1611937981,16,16
1611941581,14,15
1611945182,17,16
1611948781,22,22
1611952382,18,16
1611955981,23,24
1611959581,23,23
1611963182,18,19
1611966782,11,11
1611970381,20,21
1611973982,19,19
1611977581,14,12
1611981181,15,14
1611984782,17,19
1611988381,20,22
1611991981,18,19
1611995582,24,19
1611999182,22,22
1612002781,16,19
1612006382,16,16
1612009982,19,17
1612013582,18,18
1612017181,26,23
1612020781,20,21
1612024382,18,20
1612027982,14,14
1612031581,19,19
1612035182,21,22
1612038901,21,20
1612051275,28,32
1612057260,27,22
1612060852,17,20
1612064461,12,13
1612068039,16,14
1612069831,21,20
1612077131,22,24
